# _root_ Közlekedésünk egyszerűen kedélybeteg , szorongásos , dúl-fúl .
#goldHeads=2,0,5,5,2,2,2,2,
#predictedHeads=7,3,5,5,7,7,0,7,
(0,1),-2.84318 # DEPENDENCYPART_ARC
(0,2),-2.38882 # DEPENDENCYPART_ARC
(0,3),-2.76325 # DEPENDENCYPART_ARC
(0,5),-2.96274 # DEPENDENCYPART_ARC
(0,7),-1.2937 # DEPENDENCYPART_ARC
(1,2),-0.713293 # DEPENDENCYPART_ARC
(1,3),-0.493513 # DEPENDENCYPART_ARC
(1,4),0.263384 # DEPENDENCYPART_ARC
(1,5),-0.56086 # DEPENDENCYPART_ARC
(1,6),0.0678822 # DEPENDENCYPART_ARC
(1,7),-0.738131 # DEPENDENCYPART_ARC
(1,8),0.240613 # DEPENDENCYPART_ARC
(2,1),-0.695864 # DEPENDENCYPART_ARC
(2,3),-0.147842 # DEPENDENCYPART_ARC
(2,4),-0.37405 # DEPENDENCYPART_ARC
(2,5),-0.713625 # DEPENDENCYPART_ARC
(2,6),-0.485818 # DEPENDENCYPART_ARC
(2,7),-1.17725 # DEPENDENCYPART_ARC
(2,8),-0.213814 # DEPENDENCYPART_ARC
(3,1),-0.306261 # DEPENDENCYPART_ARC
(3,2),1.85653 # DEPENDENCYPART_ARC
(3,4),0.385341 # DEPENDENCYPART_ARC
(3,5),-0.600037 # DEPENDENCYPART_ARC
(3,6),0.112641 # DEPENDENCYPART_ARC
(3,7),-0.181184 # DEPENDENCYPART_ARC
(3,8),0.096552 # DEPENDENCYPART_ARC
(5,1),-0.632199 # DEPENDENCYPART_ARC
(5,2),0.757343 # DEPENDENCYPART_ARC
(5,3),0.317806 # DEPENDENCYPART_ARC
(5,4),1.24808 # DEPENDENCYPART_ARC
(5,6),1.01613 # DEPENDENCYPART_ARC
(5,7),0.241189 # DEPENDENCYPART_ARC
(5,8),0.426436 # DEPENDENCYPART_ARC
(7,1),1.33815 # DEPENDENCYPART_ARC
(7,2),0.921903 # DEPENDENCYPART_ARC
(7,3),-0.191705 # DEPENDENCYPART_ARC
(7,4),1.09933 # DEPENDENCYPART_ARC
(7,5),0.69455 # DEPENDENCYPART_ARC
(7,6),1.39283 # DEPENDENCYPART_ARC
(7,8),1.86241 # DEPENDENCYPART_ARC
