# _root_ Önkéntesek hordták a vizet és az élelmet , a törmelék elszállítását — ha kellett , puszta kézzel — maguk szervezték meg .
#goldHeads=2,0,4,2,2,7,2,2,10,11,20,13,20,13,14,17,14,13,20,2,20,2,
#predictedHeads=2,0,4,2,2,7,2,2,10,11,2,13,2,2,14,17,20,20,20,2,20,2,
(0,1),-2.79194 # DEPENDENCYPART_ARC
(0,2),-0.685595 # DEPENDENCYPART_ARC
(0,5),-1.81556 # DEPENDENCYPART_ARC
(0,13),-2.32627 # DEPENDENCYPART_ARC
(0,14),-1.88223 # DEPENDENCYPART_ARC
(0,19),-4.46783 # DEPENDENCYPART_ARC
(0,20),-2.20584 # DEPENDENCYPART_ARC
(0,21),-4.10905 # DEPENDENCYPART_ARC
(1,2),-0.613966 # DEPENDENCYPART_ARC
(1,4),-2.11402 # DEPENDENCYPART_ARC
(1,17),-3.04319 # DEPENDENCYPART_ARC
(1,20),-1.52733 # DEPENDENCYPART_ARC
(1,22),0.352258 # DEPENDENCYPART_ARC
(2,1),3.60214 # DEPENDENCYPART_ARC
(2,3),0.0772388 # DEPENDENCYPART_ARC
(2,4),2.59125 # DEPENDENCYPART_ARC
(2,5),1.42539 # DEPENDENCYPART_ARC
(2,6),-0.152199 # DEPENDENCYPART_ARC
(2,7),2.42157 # DEPENDENCYPART_ARC
(2,8),1.27038 # DEPENDENCYPART_ARC
(2,9),-0.208263 # DEPENDENCYPART_ARC
(2,10),-0.926216 # DEPENDENCYPART_ARC
(2,11),2.09506 # DEPENDENCYPART_ARC
(2,12),0.497724 # DEPENDENCYPART_ARC
(2,13),1.00598 # DEPENDENCYPART_ARC
(2,14),1.75561 # DEPENDENCYPART_ARC
(2,15),0.400823 # DEPENDENCYPART_ARC
(2,16),-1.65853 # DEPENDENCYPART_ARC
(2,17),-1.2333 # DEPENDENCYPART_ARC
(2,18),0.656683 # DEPENDENCYPART_ARC
(2,20),0.780087 # DEPENDENCYPART_ARC
(2,21),-0.0258975 # DEPENDENCYPART_ARC
(2,22),3.1545 # DEPENDENCYPART_ARC
(4,2),-0.769951 # DEPENDENCYPART_ARC
(4,3),2.46435 # DEPENDENCYPART_ARC
(4,7),-2.049 # DEPENDENCYPART_ARC
(5,1),-0.776463 # DEPENDENCYPART_ARC
(5,2),0.209073 # DEPENDENCYPART_ARC
(5,3),-0.689298 # DEPENDENCYPART_ARC
(5,4),0.102296 # DEPENDENCYPART_ARC
(5,6),-0.504461 # DEPENDENCYPART_ARC
(5,7),0.685323 # DEPENDENCYPART_ARC
(5,8),-0.277165 # DEPENDENCYPART_ARC
(5,10),-0.225077 # DEPENDENCYPART_ARC
(5,11),-0.736323 # DEPENDENCYPART_ARC
(5,12),-0.66361 # DEPENDENCYPART_ARC
(5,13),-0.492309 # DEPENDENCYPART_ARC
(5,14),-0.0347508 # DEPENDENCYPART_ARC
(5,15),-0.313377 # DEPENDENCYPART_ARC
(5,17),-1.70049 # DEPENDENCYPART_ARC
(5,18),-0.538365 # DEPENDENCYPART_ARC
(5,20),-1.61325 # DEPENDENCYPART_ARC
(5,22),0.794913 # DEPENDENCYPART_ARC
(6,5),-0.335568 # DEPENDENCYPART_ARC
(6,11),-1.58436 # DEPENDENCYPART_ARC
(7,3),-0.0665149 # DEPENDENCYPART_ARC
(7,4),-1.87035 # DEPENDENCYPART_ARC
(7,5),-0.21261 # DEPENDENCYPART_ARC
(7,6),2.82851 # DEPENDENCYPART_ARC
(7,8),0.0481272 # DEPENDENCYPART_ARC
(7,10),-1.2557 # DEPENDENCYPART_ARC
(7,11),-0.832238 # DEPENDENCYPART_ARC
(7,12),-0.333867 # DEPENDENCYPART_ARC
(7,14),-0.578233 # DEPENDENCYPART_ARC
(7,15),-0.432539 # DEPENDENCYPART_ARC
