# _root_ — Öt percet kaptunk , hogy elhagyjuk a lakásunkat — meséli egy asszony , akit az EBESZ-szóvivő találomra állít meg .
#goldHeads=11,3,4,11,4,4,4,9,7,11,0,13,11,11,19,17,19,19,11,19,11,
#predictedHeads=4,3,4,11,4,4,4,9,7,11,0,13,11,11,19,17,19,19,11,19,11,
(0,2),-2.18192 # DEPENDENCYPART_ARC
(0,3),-3.27752 # DEPENDENCYPART_ARC
(0,4),-1.25383 # DEPENDENCYPART_ARC
(0,6),-0.829006 # DEPENDENCYPART_ARC
(0,7),-2.00902 # DEPENDENCYPART_ARC
(0,11),-0.498194 # DEPENDENCYPART_ARC
(0,19),-2.86938 # DEPENDENCYPART_ARC
(0,20),-3.45989 # DEPENDENCYPART_ARC
(2,1),0.0826479 # DEPENDENCYPART_ARC
(2,3),-0.99764 # DEPENDENCYPART_ARC
(2,4),-0.856878 # DEPENDENCYPART_ARC
(2,5),-0.354132 # DEPENDENCYPART_ARC
(2,7),-1.18945 # DEPENDENCYPART_ARC
(2,9),-2.28083 # DEPENDENCYPART_ARC
(2,10),-0.694534 # DEPENDENCYPART_ARC
(2,11),-0.459555 # DEPENDENCYPART_ARC
(2,13),-1.47342 # DEPENDENCYPART_ARC
(2,14),-0.722684 # DEPENDENCYPART_ARC
(2,19),-1.1894 # DEPENDENCYPART_ARC
(2,21),0.797663 # DEPENDENCYPART_ARC
(3,1),0.0942175 # DEPENDENCYPART_ARC
(3,2),2.67613 # DEPENDENCYPART_ARC
(3,4),-1.11714 # DEPENDENCYPART_ARC
(3,5),-0.749464 # DEPENDENCYPART_ARC
(3,7),-1.98322 # DEPENDENCYPART_ARC
(3,9),-2.14204 # DEPENDENCYPART_ARC
(3,11),-1.20225 # DEPENDENCYPART_ARC
(3,19),-1.42247 # DEPENDENCYPART_ARC
(3,21),0.433954 # DEPENDENCYPART_ARC
(4,1),1.59954 # DEPENDENCYPART_ARC
(4,2),0.266372 # DEPENDENCYPART_ARC
(4,3),3.2523 # DEPENDENCYPART_ARC
(4,5),1.74634 # DEPENDENCYPART_ARC
(4,6),3.04324 # DEPENDENCYPART_ARC
(4,7),2.91552 # DEPENDENCYPART_ARC
(4,8),-0.311003 # DEPENDENCYPART_ARC
(4,9),-0.533207 # DEPENDENCYPART_ARC
(4,10),0.0197205 # DEPENDENCYPART_ARC
(4,11),0.374555 # DEPENDENCYPART_ARC
(4,13),-1.98126 # DEPENDENCYPART_ARC
(4,14),0.493302 # DEPENDENCYPART_ARC
(4,15),-2.70907 # DEPENDENCYPART_ARC
(4,17),-3.88476 # DEPENDENCYPART_ARC
(4,18),-0.652105 # DEPENDENCYPART_ARC
(4,19),0.474654 # DEPENDENCYPART_ARC
(4,20),-0.274658 # DEPENDENCYPART_ARC
(4,21),2.95264 # DEPENDENCYPART_ARC
(6,1),0.463909 # DEPENDENCYPART_ARC
(6,3),-0.230969 # DEPENDENCYPART_ARC
(6,4),0.738489 # DEPENDENCYPART_ARC
(6,5),1.12345 # DEPENDENCYPART_ARC
(6,7),0.800995 # DEPENDENCYPART_ARC
(6,9),-1.46578 # DEPENDENCYPART_ARC
(6,10),0.207248 # DEPENDENCYPART_ARC
(6,11),-0.0492161 # DEPENDENCYPART_ARC
(6,13),-1.60727 # DEPENDENCYPART_ARC
(6,14),-0.0747111 # DEPENDENCYPART_ARC
(6,17),-2.4213 # DEPENDENCYPART_ARC
(6,18),-0.532126 # DEPENDENCYPART_ARC
(6,19),-0.484219 # DEPENDENCYPART_ARC
(6,21),2.08687 # DEPENDENCYPART_ARC
(7,1),-0.359437 # DEPENDENCYPART_ARC
(7,2),-2.63379 # DEPENDENCYPART_ARC
(7,3),0.299918 # DEPENDENCYPART_ARC
(7,4),-1.86046 # DEPENDENCYPART_ARC
(7,5),-0.210916 # DEPENDENCYPART_ARC
(7,6),-0.785383 # DEPENDENCYPART_ARC
(7,8),-0.00706815 # DEPENDENCYPART_ARC
(7,9),3.92783 # DEPENDENCYPART_ARC
(7,10),0.298655 # DEPENDENCYPART_ARC
(7,11),0.619166 # DEPENDENCYPART_ARC
(7,13),-0.369628 # DEPENDENCYPART_ARC
(7,14),1.11977 # DEPENDENCYPART_ARC
(7,15),-1.87445 # DEPENDENCYPART_ARC
(7,17),-2.28236 # DEPENDENCYPART_ARC
(7,18),-0.388754 # DEPENDENCYPART_ARC
(7,19),0.555719 # DEPENDENCYPART_ARC
(7,20),-0.327615 # DEPENDENCYPART_ARC
(7,21),2.40189 # DEPENDENCYPART_ARC
(9,1),-1.7784 # DEPENDENCYPART_ARC
(9,2),-1.50505 # DEPENDENCYPART_ARC
(9,4),-3.26858 # DEPENDENCYPART_ARC
(9,5),-1.83567 # DEPENDENCYPART_ARC
(9,6),-2.12155 # DEPENDENCYPART_ARC
(9,7),-1.68133 # DEPENDENCYPART_ARC
(9,8),2.65857 # DEPENDENCYPART_ARC
(9,10),-0.109063 # DEPENDENCYPART_ARC
(9,11),-1.162 # DEPENDENCYPART_ARC
(9,13),-1.45712 # DEPENDENCYPART_ARC
(9,17),-2.14593 # DEPENDENCYPART_ARC
(9,19),-1.62165 # DEPENDENCYPART_ARC
(9,21),0.248945 # DEPENDENCYPART_ARC
(11,1),1.58844 # DEPENDENCYPART_ARC
(11,2),-1.02257 # DEPENDENCYPART_ARC
(11,3),0.576163 # DEPENDENCYPART_ARC
(11,4),1.0521 # DEPENDENCYPART_ARC
(11,5),1.08943 # DEPENDENCYPART_ARC
(11,6),0.611458 # DEPENDENCYPART_ARC
(11,7),1.55107 # DEPENDENCYPART_ARC
(11,8),-0.681981 # DEPENDENCYPART_ARC
(11,9),1.85323 # DEPENDENCYPART_ARC
(11,10),1.66993 # DEPENDENCYPART_ARC
(11,13),3.09119 # DEPENDENCYPART_ARC
(11,14),2.43583 # DEPENDENCYPART_ARC
(11,15),-0.186862 # DEPENDENCYPART_ARC
(11,16),-0.591141 # DEPENDENCYPART_ARC
(11,17),-0.0574158 # DEPENDENCYPART_ARC
(11,18),0.698457 # DEPENDENCYPART_ARC
(11,19),1.34848 # DEPENDENCYPART_ARC
(11,20),0.758915 # DEPENDENCYPART_ARC
(11,21),3.03465 # DEPENDENCYPART_ARC
