# _root_ Nyilván a riválisok is kíváncsiak az összetételére , mert a kidolgozók mindössze annyit hajlandók elárulni róla , hogy " ez egy polimerszerű folyadék " .
#goldHeads=9,3,9,9,9,7,9,9,0,11,15,15,15,15,9,15,15,15,15,13,23,23,13,9,9,
#predictedHeads=18,3,7,5,9,7,5,9,0,11,15,15,14,15,9,15,18,15,18,23,23,23,13,23,9,
(0,1),-1.97428 # DEPENDENCYPART_ARC
(0,4),-2.35844 # DEPENDENCYPART_ARC
(0,5),-2.31447 # DEPENDENCYPART_ARC
(0,9),-1.45732 # DEPENDENCYPART_ARC
(0,12),-2.91213 # DEPENDENCYPART_ARC
(0,13),-4.44217 # DEPENDENCYPART_ARC
(0,14),-3.0308 # DEPENDENCYPART_ARC
(0,15),-2.59263 # DEPENDENCYPART_ARC
(0,16),-2.98149 # DEPENDENCYPART_ARC
(0,18),-2.01229 # DEPENDENCYPART_ARC
(0,20),-3.30512 # DEPENDENCYPART_ARC
(1,3),-0.392721 # DEPENDENCYPART_ARC
(1,4),-0.203509 # DEPENDENCYPART_ARC
(1,5),-0.290445 # DEPENDENCYPART_ARC
(1,7),-0.765835 # DEPENDENCYPART_ARC
(1,8),-0.511049 # DEPENDENCYPART_ARC
(1,9),-0.373061 # DEPENDENCYPART_ARC
(1,11),-1.40449 # DEPENDENCYPART_ARC
(1,15),-0.629722 # DEPENDENCYPART_ARC
(1,19),-0.529521 # DEPENDENCYPART_ARC
(1,23),-2.07341 # DEPENDENCYPART_ARC
(1,24),-0.629769 # DEPENDENCYPART_ARC
(1,25),0.724547 # DEPENDENCYPART_ARC
(3,1),-0.960095 # DEPENDENCYPART_ARC
(3,2),2.61513 # DEPENDENCYPART_ARC
(4,1),0.0874522 # DEPENDENCYPART_ARC
(4,2),-0.901788 # DEPENDENCYPART_ARC
(4,3),0.00665021 # DEPENDENCYPART_ARC
(4,5),-0.432867 # DEPENDENCYPART_ARC
(4,7),-0.674464 # DEPENDENCYPART_ARC
(4,12),-1.1087 # DEPENDENCYPART_ARC
(4,13),-1.89265 # DEPENDENCYPART_ARC
(4,15),-1.1973 # DEPENDENCYPART_ARC
(4,18),-0.40451 # DEPENDENCYPART_ARC
(4,25),0.552501 # DEPENDENCYPART_ARC
(5,1),0.574417 # DEPENDENCYPART_ARC
(5,2),1.61556 # DEPENDENCYPART_ARC
(5,3),0.723425 # DEPENDENCYPART_ARC
(5,4),1.70642 # DEPENDENCYPART_ARC
(5,7),1.50443 # DEPENDENCYPART_ARC
(5,8),0.351717 # DEPENDENCYPART_ARC
(5,9),0.0793104 # DEPENDENCYPART_ARC
(5,11),-1.00833 # DEPENDENCYPART_ARC
(5,14),-0.267587 # DEPENDENCYPART_ARC
(5,15),-0.29731 # DEPENDENCYPART_ARC
(5,17),0.0531612 # DEPENDENCYPART_ARC
(5,19),0.0181683 # DEPENDENCYPART_ARC
(5,23),-0.665184 # DEPENDENCYPART_ARC
(5,24),-0.0652251 # DEPENDENCYPART_ARC
(5,25),1.67116 # DEPENDENCYPART_ARC
(6,5),-0.832424 # DEPENDENCYPART_ARC
(7,1),-1.74408 # DEPENDENCYPART_ARC
(7,2),-1.33387 # DEPENDENCYPART_ARC
(7,3),0.781258 # DEPENDENCYPART_ARC
(7,4),-0.93811 # DEPENDENCYPART_ARC
(7,5),-2.12853 # DEPENDENCYPART_ARC
(7,6),1.55669 # DEPENDENCYPART_ARC
(7,8),-0.459767 # DEPENDENCYPART_ARC
(9,1),1.05347 # DEPENDENCYPART_ARC
(9,3),0.279106 # DEPENDENCYPART_ARC
(9,4),0.693763 # DEPENDENCYPART_ARC
(9,5),0.874584 # DEPENDENCYPART_ARC
(9,6),0.120069 # DEPENDENCYPART_ARC
(9,7),0.472769 # DEPENDENCYPART_ARC
(9,8),0.994379 # DEPENDENCYPART_ARC
(9,11),-0.46704 # DEPENDENCYPART_ARC
(9,12),-0.375331 # DEPENDENCYPART_ARC
(9,14),-0.478922 # DEPENDENCYPART_ARC
(9,15),0.678194 # DEPENDENCYPART_ARC
(9,17),0.239015 # DEPENDENCYPART_ARC
(9,18),0.599976 # DEPENDENCYPART_ARC
(9,19),0.377119 # DEPENDENCYPART_ARC
(9,23),-1.65764 # DEPENDENCYPART_ARC
(9,24),0.127602 # DEPENDENCYPART_ARC
(9,25),2.21616 # DEPENDENCYPART_ARC
(11,1),-2.1992 # DEPENDENCYPART_ARC
(11,2),-1.44295 # DEPENDENCYPART_ARC
(11,6),-0.301848 # DEPENDENCYPART_ARC
(11,7),-3.25919 # DEPENDENCYPART_ARC
(11,10),2.83676 # DEPENDENCYPART_ARC
(11,12),-0.502997 # DEPENDENCYPART_ARC
(12,3),-1.01559 # DEPENDENCYPART_ARC
(12,4),-0.52213 # DEPENDENCYPART_ARC
(12,5),-0.666172 # DEPENDENCYPART_ARC
(12,7),-1.20626 # DEPENDENCYPART_ARC
(12,8),-0.508653 # DEPENDENCYPART_ARC
(12,9),-0.513669 # DEPENDENCYPART_ARC
(12,11),-0.121056 # DEPENDENCYPART_ARC
(12,14),-0.0266687 # DEPENDENCYPART_ARC
(12,15),-0.195944 # DEPENDENCYPART_ARC
(12,16),-0.422036 # DEPENDENCYPART_ARC
(12,17),-0.418027 # DEPENDENCYPART_ARC
(12,18),-0.245622 # DEPENDENCYPART_ARC
(12,19),-0.310801 # DEPENDENCYPART_ARC
(12,23),-1.63224 # DEPENDENCYPART_ARC
(12,24),-0.521211 # DEPENDENCYPART_ARC
(12,25),-0.0378533 # DEPENDENCYPART_ARC
(13,3),-0.589193 # DEPENDENCYPART_ARC
(13,4),-0.0105819 # DEPENDENCYPART_ARC
(13,5),-0.24065 # DEPENDENCYPART_ARC
(13,7),-0.653312 # DEPENDENCYPART_ARC
(13,8),0.0164965 # DEPENDENCYPART_ARC
(13,9),-0.394092 # DEPENDENCYPART_ARC
(13,11),-0.473031 # DEPENDENCYPART_ARC
(13,12),0.399531 # DEPENDENCYPART_ARC
(13,14),0.233626 # DEPENDENCYPART_ARC
(13,15),-0.670392 # DEPENDENCYPART_ARC
(13,16),-0.348194 # DEPENDENCYPART_ARC
(13,17),0.256809 # DEPENDENCYPART_ARC
(13,18),0.115456 # DEPENDENCYPART_ARC
(13,19),0.0709898 # DEPENDENCYPART_ARC
(13,20),-0.355559 # DEPENDENCYPART_ARC
(13,22),-0.118225 # DEPENDENCYPART_ARC
(13,23),-0.282068 # DEPENDENCYPART_ARC
(13,24),-0.175014 # DEPENDENCYPART_ARC
(13,25),0.771643 # DEPENDENCYPART_ARC
(14,1),-0.701847 # DEPENDENCYPART_ARC
(14,3),-1.39123 # DEPENDENCYPART_ARC
(14,7),-0.128669 # DEPENDENCYPART_ARC
(14,8),0.194004 # DEPENDENCYPART_ARC
(14,9),-0.0897933 # DEPENDENCYPART_ARC
(14,10),1.0285 # DEPENDENCYPART_ARC
(14,11),-0.171605 # DEPENDENCYPART_ARC
(14,12),1.15098 # DEPENDENCYPART_ARC
(14,13),2.26593 # DEPENDENCYPART_ARC
(14,17),-0.590251 # DEPENDENCYPART_ARC
(14,18),-0.688321 # DEPENDENCYPART_ARC
(14,23),-1.23075 # DEPENDENCYPART_ARC
(15,1),0.677969 # DEPENDENCYPART_ARC
(15,2),-0.51141 # DEPENDENCYPART_ARC
(15,3),-0.786215 # DEPENDENCYPART_ARC
(15,4),-0.297269 # DEPENDENCYPART_ARC
(15,5),0.347938 # DEPENDENCYPART_ARC
(15,6),-0.516563 # DEPENDENCYPART_ARC
(15,7),0.639021 # DEPENDENCYPART_ARC
(15,8),0.464678 # DEPENDENCYPART_ARC
(15,9),-0.644885 # DEPENDENCYPART_ARC
(15,10),-0.726186 # DEPENDENCYPART_ARC
(15,11),0.629691 # DEPENDENCYPART_ARC
(15,12),1.42227 # DEPENDENCYPART_ARC
(15,13),2.16499 # DEPENDENCYPART_ARC
(15,14),2.54058 # DEPENDENCYPART_ARC
(15,16),2.01473 # DEPENDENCYPART_ARC
(15,17),1.22398 # DEPENDENCYPART_ARC
(15,18),1.40245 # DEPENDENCYPART_ARC
(15,19),0.434981 # DEPENDENCYPART_ARC
(15,20),-1.25894 # DEPENDENCYPART_ARC
(15,22),-0.25461 # DEPENDENCYPART_ARC
(15,23),-0.887981 # DEPENDENCYPART_ARC
(15,24),-0.385862 # DEPENDENCYPART_ARC
(15,25),1.20261 # DEPENDENCYPART_ARC
(16,9),-0.365894 # DEPENDENCYPART_ARC
(16,11),-0.367182 # DEPENDENCYPART_ARC
(16,12),0.127792 # DEPENDENCYPART_ARC
(16,14),-0.305079 # DEPENDENCYPART_ARC
(16,15),0.184407 # DEPENDENCYPART_ARC
(16,17),-0.618382 # DEPENDENCYPART_ARC
(16,19),-0.524515 # DEPENDENCYPART_ARC
(16,22),-0.952223 # DEPENDENCYPART_ARC
(16,23),-1.63537 # DEPENDENCYPART_ARC
(16,24),-0.662018 # DEPENDENCYPART_ARC
(16,25),0.0234457 # DEPENDENCYPART_ARC
(18,1),1.05354 # DEPENDENCYPART_ARC
(18,3),-0.519177 # DEPENDENCYPART_ARC
(18,4),0.655053 # DEPENDENCYPART_ARC
(18,5),0.44661 # DEPENDENCYPART_ARC
(18,7),-0.780524 # DEPENDENCYPART_ARC
(18,8),0.017034 # DEPENDENCYPART_ARC
(18,9),0.688049 # DEPENDENCYPART_ARC
(18,11),0.541941 # DEPENDENCYPART_ARC
(18,12),0.672966 # DEPENDENCYPART_ARC
(18,13),0.108355 # DEPENDENCYPART_ARC
(18,14),0.598435 # DEPENDENCYPART_ARC
(18,15),0.522887 # DEPENDENCYPART_ARC
(18,16),1.4498 # DEPENDENCYPART_ARC
(18,17),1.47608 # DEPENDENCYPART_ARC
(18,19),0.675832 # DEPENDENCYPART_ARC
(18,22),-0.0360372 # DEPENDENCYPART_ARC
(18,23),-0.951127 # DEPENDENCYPART_ARC
(18,24),0.342516 # DEPENDENCYPART_ARC
(18,25),1.8002 # DEPENDENCYPART_ARC
(20,4),0.626749 # DEPENDENCYPART_ARC
(20,8),0.956195 # DEPENDENCYPART_ARC
(20,9),0.352635 # DEPENDENCYPART_ARC
(20,11),-0.0291923 # DEPENDENCYPART_ARC
(20,12),0.207496 # DEPENDENCYPART_ARC
(20,14),-0.712533 # DEPENDENCYPART_ARC
(20,15),0.00519954 # DEPENDENCYPART_ARC
(20,17),0.926467 # DEPENDENCYPART_ARC
(20,18),0.28297 # DEPENDENCYPART_ARC
(20,19),0.522822 # DEPENDENCYPART_ARC
(20,22),-0.336769 # DEPENDENCYPART_ARC
(20,23),0.114754 # DEPENDENCYPART_ARC
(20,24),-0.164309 # DEPENDENCYPART_ARC
(20,25),0.269106 # DEPENDENCYPART_ARC
(21,22),0.317059 # DEPENDENCYPART_ARC
(22,13),-2.15079 # DEPENDENCYPART_ARC
(22,16),-1.22642 # DEPENDENCYPART_ARC
(22,18),-1.45333 # DEPENDENCYPART_ARC
(22,20),-1.31174 # DEPENDENCYPART_ARC
(22,21),0.498467 # DEPENDENCYPART_ARC
(23,10),-1.25508 # DEPENDENCYPART_ARC
(23,13),-3.0321 # DEPENDENCYPART_ARC
(23,14),-2.97997 # DEPENDENCYPART_ARC
(23,17),-0.743136 # DEPENDENCYPART_ARC
(23,18),-1.02244 # DEPENDENCYPART_ARC
(23,19),-0.236756 # DEPENDENCYPART_ARC
(23,20),0.416261 # DEPENDENCYPART_ARC
(23,21),2.84791 # DEPENDENCYPART_ARC
(23,22),3.50735 # DEPENDENCYPART_ARC
(23,24),0.562255 # DEPENDENCYPART_ARC
