# _root_ Az ottani gyülekezet alig hetven emberből áll , mégis örök fájdalmuk volt az alsógödieknek , hogy nincs templomuk .
#goldHeads=3,3,7,7,6,7,9,9,0,11,12,9,14,12,12,12,12,17,9,
#predictedHeads=3,3,7,7,6,7,9,9,0,11,12,7,14,12,12,12,12,17,7,
(0,4),-2.22323 # DEPENDENCYPART_ARC
(0,5),-2.58592 # DEPENDENCYPART_ARC
(0,7),-1.01115 # DEPENDENCYPART_ARC
(0,9),-0.36276 # DEPENDENCYPART_ARC
(0,12),-1.64317 # DEPENDENCYPART_ARC
(0,16),-2.2905 # DEPENDENCYPART_ARC
(0,17),-1.68035 # DEPENDENCYPART_ARC
(1,2),-0.0419752 # DEPENDENCYPART_ARC
(1,6),-1.10048 # DEPENDENCYPART_ARC
(2,1),0.436333 # DEPENDENCYPART_ARC
(3,1),2.31863 # DEPENDENCYPART_ARC
(3,2),3.43556 # DEPENDENCYPART_ARC
(3,4),-0.605311 # DEPENDENCYPART_ARC
(3,5),-0.952187 # DEPENDENCYPART_ARC
(3,6),-1.49097 # DEPENDENCYPART_ARC
(3,7),-0.679991 # DEPENDENCYPART_ARC
(3,12),-1.34378 # DEPENDENCYPART_ARC
(3,19),0.14004 # DEPENDENCYPART_ARC
(4,2),-0.313676 # DEPENDENCYPART_ARC
(4,3),-0.0982426 # DEPENDENCYPART_ARC
(4,5),-0.117639 # DEPENDENCYPART_ARC
(4,6),0.049905 # DEPENDENCYPART_ARC
(4,7),-0.0331957 # DEPENDENCYPART_ARC
(4,8),-0.117839 # DEPENDENCYPART_ARC
(4,9),-0.423984 # DEPENDENCYPART_ARC
(4,11),-1.20018 # DEPENDENCYPART_ARC
(4,12),-0.775615 # DEPENDENCYPART_ARC
(4,14),-0.991303 # DEPENDENCYPART_ARC
(4,15),-0.481125 # DEPENDENCYPART_ARC
(4,16),-0.538106 # DEPENDENCYPART_ARC
(4,17),-1.30125 # DEPENDENCYPART_ARC
(4,18),-1.61975 # DEPENDENCYPART_ARC
(4,19),-0.192803 # DEPENDENCYPART_ARC
(5,1),-0.609483 # DEPENDENCYPART_ARC
(5,3),-0.701516 # DEPENDENCYPART_ARC
(5,4),0.29801 # DEPENDENCYPART_ARC
(5,7),-0.565902 # DEPENDENCYPART_ARC
(5,8),-0.675144 # DEPENDENCYPART_ARC
(5,9),-0.949313 # DEPENDENCYPART_ARC
(5,12),-1.45242 # DEPENDENCYPART_ARC
(5,14),-2.41789 # DEPENDENCYPART_ARC
(5,15),-0.922432 # DEPENDENCYPART_ARC
(5,17),-1.45116 # DEPENDENCYPART_ARC
(5,19),-0.0917257 # DEPENDENCYPART_ARC
(6,1),0.310755 # DEPENDENCYPART_ARC
(6,2),1.05973 # DEPENDENCYPART_ARC
(6,3),-0.861126 # DEPENDENCYPART_ARC
(6,4),1.42742 # DEPENDENCYPART_ARC
(6,5),2.68926 # DEPENDENCYPART_ARC
(6,8),-0.805702 # DEPENDENCYPART_ARC
(6,11),-2.80633 # DEPENDENCYPART_ARC
(6,12),-1.59334 # DEPENDENCYPART_ARC
(7,1),-0.452413 # DEPENDENCYPART_ARC
(7,2),0.100975 # DEPENDENCYPART_ARC
(7,3),2.32392 # DEPENDENCYPART_ARC
(7,4),1.85827 # DEPENDENCYPART_ARC
(7,5),0.79522 # DEPENDENCYPART_ARC
(7,6),3.67749 # DEPENDENCYPART_ARC
(7,8),1.45321 # DEPENDENCYPART_ARC
(7,9),0.793879 # DEPENDENCYPART_ARC
(7,10),-0.23499 # DEPENDENCYPART_ARC
(7,11),-0.641456 # DEPENDENCYPART_ARC
(7,12),1.30747 # DEPENDENCYPART_ARC
(7,13),-1.25977 # DEPENDENCYPART_ARC
(7,14),-0.185263 # DEPENDENCYPART_ARC
(7,15),0.644006 # DEPENDENCYPART_ARC
(7,16),1.4199 # DEPENDENCYPART_ARC
(7,17),0.47304 # DEPENDENCYPART_ARC
(7,18),-1.07004 # DEPENDENCYPART_ARC
(7,19),2.29846 # DEPENDENCYPART_ARC
(9,2),-1.08067 # DEPENDENCYPART_ARC
(9,3),-0.856215 # DEPENDENCYPART_ARC
(9,4),-0.349519 # DEPENDENCYPART_ARC
(9,5),-0.277353 # DEPENDENCYPART_ARC
(9,6),-0.972994 # DEPENDENCYPART_ARC
(9,7),1.91842 # DEPENDENCYPART_ARC
(9,8),1.62201 # DEPENDENCYPART_ARC
(9,10),-0.246084 # DEPENDENCYPART_ARC
(9,11),-0.423177 # DEPENDENCYPART_ARC
(9,12),1.24309 # DEPENDENCYPART_ARC
(9,14),-0.627589 # DEPENDENCYPART_ARC
