# _root_ A társadalmi munkákat halmozó Kukorelli a Magyar_Politikatudományi_Társaság , a Független_Jogász_Fórum és a Népfőiskolai_Társaság tagja , emellett több tanácsadó testület és kodifikációs bizottság munkájában is közreműködik .
#goldHeads=5,3,4,5,0,7,14,14,10,14,14,13,14,5,5,25,19,19,23,23,22,23,25,25,5,5,
#predictedHeads=3,3,4,5,25,7,25,25,10,14,14,13,14,25,25,25,19,19,25,23,22,23,25,25,0,25,
(0,3),-2.82971 # DEPENDENCYPART_ARC
(0,4),-2.34626 # DEPENDENCYPART_ARC
(0,5),-2.38074 # DEPENDENCYPART_ARC
(0,11),-2.97914 # DEPENDENCYPART_ARC
(0,16),-3.13313 # DEPENDENCYPART_ARC
(0,18),-3.21521 # DEPENDENCYPART_ARC
(0,20),-3.32599 # DEPENDENCYPART_ARC
(0,21),-3.19844 # DEPENDENCYPART_ARC
(0,24),-4.62004 # DEPENDENCYPART_ARC
(0,25),-2.42553 # DEPENDENCYPART_ARC
(1,2),-0.16795 # DEPENDENCYPART_ARC
(2,1),0.274932 # DEPENDENCYPART_ARC
(3,1),2.4327 # DEPENDENCYPART_ARC
(3,2),3.92442 # DEPENDENCYPART_ARC
(3,7),-1.07548 # DEPENDENCYPART_ARC
(3,8),-0.131708 # DEPENDENCYPART_ARC
(3,25),-2.11224 # DEPENDENCYPART_ARC
(4,1),0.153559 # DEPENDENCYPART_ARC
(4,2),0.709557 # DEPENDENCYPART_ARC
(4,3),2.20166 # DEPENDENCYPART_ARC
(4,7),-0.985884 # DEPENDENCYPART_ARC
(4,25),-1.80878 # DEPENDENCYPART_ARC
(4,26),0.0874271 # DEPENDENCYPART_ARC
(5,1),1.16116 # DEPENDENCYPART_ARC
(5,2),1.2033 # DEPENDENCYPART_ARC
(5,3),-1.6656 # DEPENDENCYPART_ARC
(5,4),2.7972 # DEPENDENCYPART_ARC
(5,7),0.0290347 # DEPENDENCYPART_ARC
(5,8),0.285411 # DEPENDENCYPART_ARC
(5,10),-0.684766 # DEPENDENCYPART_ARC
(5,14),-0.456038 # DEPENDENCYPART_ARC
(5,15),-0.0374711 # DEPENDENCYPART_ARC
(5,22),-1.15516 # DEPENDENCYPART_ARC
(5,25),-1.40554 # DEPENDENCYPART_ARC
(5,26),0.122454 # DEPENDENCYPART_ARC
(6,4),-1.13976 # DEPENDENCYPART_ARC
(7,1),-1.21728 # DEPENDENCYPART_ARC
(7,4),-1.27058 # DEPENDENCYPART_ARC
(7,5),-0.959062 # DEPENDENCYPART_ARC
(7,6),2.31222 # DEPENDENCYPART_ARC
(7,8),0.107521 # DEPENDENCYPART_ARC
(7,10),-0.882007 # DEPENDENCYPART_ARC
(7,25),-1.70028 # DEPENDENCYPART_ARC
(7,26),-0.347299 # DEPENDENCYPART_ARC
(9,8),-0.550224 # DEPENDENCYPART_ARC
(10,6),-0.523572 # DEPENDENCYPART_ARC
(10,9),2.23069 # DEPENDENCYPART_ARC
(11,2),-0.991891 # DEPENDENCYPART_ARC
(11,3),-0.647206 # DEPENDENCYPART_ARC
(11,4),-1.00721 # DEPENDENCYPART_ARC
(11,5),-0.541603 # DEPENDENCYPART_ARC
(11,6),-1.17777 # DEPENDENCYPART_ARC
(11,7),-0.0521267 # DEPENDENCYPART_ARC
(11,8),0.64086 # DEPENDENCYPART_ARC
(11,9),-0.549421 # DEPENDENCYPART_ARC
(11,10),0.521648 # DEPENDENCYPART_ARC
(11,12),-0.441838 # DEPENDENCYPART_ARC
(11,13),0.812788 # DEPENDENCYPART_ARC
(11,14),0.18808 # DEPENDENCYPART_ARC
(11,15),-0.234782 # DEPENDENCYPART_ARC
(11,17),-0.736889 # DEPENDENCYPART_ARC
(11,19),-0.92985 # DEPENDENCYPART_ARC
(11,20),-0.642216 # DEPENDENCYPART_ARC
(11,21),-1.07052 # DEPENDENCYPART_ARC
