# _root_ Mint mondja , ősszel ők ketten lőtték a csapat góljainak felét , és ők vittek látványosságot a játékba .
#goldHeads=2,0,2,7,7,7,2,9,10,7,7,2,2,15,2,15,18,15,2,
#predictedHeads=2,13,2,7,7,7,13,9,10,7,7,13,0,15,13,15,18,15,2,
(0,1),-2.03736 # DEPENDENCYPART_ARC
(0,2),-0.584453 # DEPENDENCYPART_ARC
(0,4),-2.28699 # DEPENDENCYPART_ARC
(0,5),-2.95246 # DEPENDENCYPART_ARC
(0,6),-2.73012 # DEPENDENCYPART_ARC
(0,7),-1.31808 # DEPENDENCYPART_ARC
(0,13),-0.596702 # DEPENDENCYPART_ARC
(0,14),-3.30984 # DEPENDENCYPART_ARC
(0,15),-1.8244 # DEPENDENCYPART_ARC
(1,3),-0.0797425 # DEPENDENCYPART_ARC
(1,7),-0.663723 # DEPENDENCYPART_ARC
(1,10),-1.57912 # DEPENDENCYPART_ARC
(1,11),-1.44591 # DEPENDENCYPART_ARC
(1,12),-0.445568 # DEPENDENCYPART_ARC
(1,15),-0.671947 # DEPENDENCYPART_ARC
(1,19),-0.233451 # DEPENDENCYPART_ARC
(2,1),2.33273 # DEPENDENCYPART_ARC
(2,3),1.38648 # DEPENDENCYPART_ARC
(2,4),-0.0117685 # DEPENDENCYPART_ARC
(2,5),-1.3378 # DEPENDENCYPART_ARC
(2,6),-0.692545 # DEPENDENCYPART_ARC
(2,7),0.808929 # DEPENDENCYPART_ARC
(2,9),-2.51233 # DEPENDENCYPART_ARC
(2,10),-2.14091 # DEPENDENCYPART_ARC
(2,11),-0.993723 # DEPENDENCYPART_ARC
(2,12),0.0990426 # DEPENDENCYPART_ARC
(2,13),0.0546942 # DEPENDENCYPART_ARC
(2,15),0.017836 # DEPENDENCYPART_ARC
(2,16),-2.63582 # DEPENDENCYPART_ARC
(2,18),-3.16437 # DEPENDENCYPART_ARC
(2,19),3.41234 # DEPENDENCYPART_ARC
(4,1),-0.622407 # DEPENDENCYPART_ARC
(4,2),-0.525026 # DEPENDENCYPART_ARC
(4,3),-0.500824 # DEPENDENCYPART_ARC
(4,6),-0.348757 # DEPENDENCYPART_ARC
(4,7),-0.0338303 # DEPENDENCYPART_ARC
(4,9),-0.93502 # DEPENDENCYPART_ARC
(4,10),-1.18973 # DEPENDENCYPART_ARC
(4,11),-1.01712 # DEPENDENCYPART_ARC
(4,12),-0.192673 # DEPENDENCYPART_ARC
(4,13),-0.298049 # DEPENDENCYPART_ARC
(4,15),-0.596375 # DEPENDENCYPART_ARC
(4,16),-1.65915 # DEPENDENCYPART_ARC
(4,18),-1.77806 # DEPENDENCYPART_ARC
(4,19),0.562591 # DEPENDENCYPART_ARC
(5,2),0.558841 # DEPENDENCYPART_ARC
(5,3),0.274263 # DEPENDENCYPART_ARC
(5,7),-0.227712 # DEPENDENCYPART_ARC
(5,9),-0.378245 # DEPENDENCYPART_ARC
(5,10),-0.256821 # DEPENDENCYPART_ARC
(5,11),-0.669845 # DEPENDENCYPART_ARC
(5,15),0.677081 # DEPENDENCYPART_ARC
(5,16),-0.952703 # DEPENDENCYPART_ARC
(5,18),-0.994841 # DEPENDENCYPART_ARC
(5,19),0.496341 # DEPENDENCYPART_ARC
(6,1),-0.953298 # DEPENDENCYPART_ARC
(6,2),-1.59058 # DEPENDENCYPART_ARC
(6,3),-0.600527 # DEPENDENCYPART_ARC
(6,4),-0.309111 # DEPENDENCYPART_ARC
(6,7),-0.624259 # DEPENDENCYPART_ARC
(6,9),-1.57547 # DEPENDENCYPART_ARC
(6,10),-2.32175 # DEPENDENCYPART_ARC
(6,11),-2.32476 # DEPENDENCYPART_ARC
(6,12),-0.940167 # DEPENDENCYPART_ARC
