# _root_ Amikor Freit megválasztottuk , sokkal erőteljesebben felléphetett volna a hadsereggel és Pinochettel szemben , hiszen ma a demokrácia már nincs veszélyben .
#goldHeads=3,3,7,7,6,7,15,7,10,13,13,13,7,15,0,20,18,20,20,15,20,15,
#predictedHeads=3,3,7,3,6,7,15,7,10,13,13,13,7,15,0,20,18,20,20,15,20,15,
(0,1),-1.90566 # DEPENDENCYPART_ARC
(0,2),-1.97813 # DEPENDENCYPART_ARC
(0,3),-0.894969 # DEPENDENCYPART_ARC
(0,5),-2.28307 # DEPENDENCYPART_ARC
(0,6),-2.864 # DEPENDENCYPART_ARC
(0,7),-1.14126 # DEPENDENCYPART_ARC
(0,8),-1.42759 # DEPENDENCYPART_ARC
(0,11),-1.08321 # DEPENDENCYPART_ARC
(0,15),0.744734 # DEPENDENCYPART_ARC
(0,20),-1.69938 # DEPENDENCYPART_ARC
(1,2),-0.555822 # DEPENDENCYPART_ARC
(1,4),-0.0736795 # DEPENDENCYPART_ARC
(1,7),-0.876453 # DEPENDENCYPART_ARC
(1,20),-1.36402 # DEPENDENCYPART_ARC
(1,22),-0.288612 # DEPENDENCYPART_ARC
(2,6),-1.04731 # DEPENDENCYPART_ARC
(2,7),-1.26742 # DEPENDENCYPART_ARC
(3,1),2.47758 # DEPENDENCYPART_ARC
(3,2),3.54917 # DEPENDENCYPART_ARC
(3,4),1.49716 # DEPENDENCYPART_ARC
(3,5),0.615605 # DEPENDENCYPART_ARC
(3,6),0.598915 # DEPENDENCYPART_ARC
(3,7),1.11469 # DEPENDENCYPART_ARC
(3,8),2.0453 # DEPENDENCYPART_ARC
(3,9),-0.720896 # DEPENDENCYPART_ARC
(3,11),0.0384921 # DEPENDENCYPART_ARC
(3,12),-2.08189 # DEPENDENCYPART_ARC
(3,13),0.222267 # DEPENDENCYPART_ARC
(3,14),0.742498 # DEPENDENCYPART_ARC
(3,15),0.0567599 # DEPENDENCYPART_ARC
(3,16),-0.983312 # DEPENDENCYPART_ARC
(3,19),-1.06274 # DEPENDENCYPART_ARC
(3,20),1.08387 # DEPENDENCYPART_ARC
(3,22),2.52799 # DEPENDENCYPART_ARC
(5,1),-0.804786 # DEPENDENCYPART_ARC
(5,2),-0.956245 # DEPENDENCYPART_ARC
(5,3),-0.437104 # DEPENDENCYPART_ARC
(5,4),-0.415 # DEPENDENCYPART_ARC
(5,6),-0.294713 # DEPENDENCYPART_ARC
(5,7),-0.089039 # DEPENDENCYPART_ARC
(5,10),-1.01816 # DEPENDENCYPART_ARC
(5,12),-1.20956 # DEPENDENCYPART_ARC
(5,13),-0.264421 # DEPENDENCYPART_ARC
(5,14),-0.513259 # DEPENDENCYPART_ARC
(5,15),-0.3662 # DEPENDENCYPART_ARC
