# _root_ Budapesten és a vidéki nagyvárosokban túlzsúfoltak a temetők , nem érik el az ideális 30-40 hektáros nagyságot , kihasználtságuk így gyakran 90 százalék feletti .
#goldHeads=6,6,5,5,6,0,8,6,6,11,6,11,17,17,16,17,11,6,21,21,6,23,24,21,6,
#predictedHeads=11,11,5,5,6,11,8,11,11,11,0,11,17,17,16,17,11,11,24,11,24,23,24,20,11,
(0,1),-2.47794 # DEPENDENCYPART_ARC
(0,2),-2.81547 # DEPENDENCYPART_ARC
(0,5),-3.27986 # DEPENDENCYPART_ARC
(0,6),-2.73332 # DEPENDENCYPART_ARC
(0,10),-2.66055 # DEPENDENCYPART_ARC
(0,11),-1.67012 # DEPENDENCYPART_ARC
(0,12),-2.9516 # DEPENDENCYPART_ARC
(0,20),-1.03895 # DEPENDENCYPART_ARC
(0,21),-3.40967 # DEPENDENCYPART_ARC
(0,24),-3.272 # DEPENDENCYPART_ARC
(1,5),-1.71565 # DEPENDENCYPART_ARC
(1,8),-1.86246 # DEPENDENCYPART_ARC
(1,11),-1.85247 # DEPENDENCYPART_ARC
(2,1),0.355822 # DEPENDENCYPART_ARC
(2,3),-0.617281 # DEPENDENCYPART_ARC
(2,4),-0.204811 # DEPENDENCYPART_ARC
(2,5),0.246551 # DEPENDENCYPART_ARC
(2,6),-0.429042 # DEPENDENCYPART_ARC
(2,8),0.136231 # DEPENDENCYPART_ARC
(2,9),-0.52535 # DEPENDENCYPART_ARC
(2,10),-0.746698 # DEPENDENCYPART_ARC
(2,11),-0.478394 # DEPENDENCYPART_ARC
(2,15),-1.04105 # DEPENDENCYPART_ARC
(2,17),-0.848345 # DEPENDENCYPART_ARC
(2,18),-0.400985 # DEPENDENCYPART_ARC
(2,20),-1.15729 # DEPENDENCYPART_ARC
(2,21),-1.19826 # DEPENDENCYPART_ARC
(2,22),-1.24956 # DEPENDENCYPART_ARC
(2,24),-1.74686 # DEPENDENCYPART_ARC
(2,25),0.621946 # DEPENDENCYPART_ARC
(3,2),-0.499687 # DEPENDENCYPART_ARC
(3,4),0.00566302 # DEPENDENCYPART_ARC
(3,8),-1.46524 # DEPENDENCYPART_ARC
(4,1),-1.2627 # DEPENDENCYPART_ARC
(4,2),-0.645368 # DEPENDENCYPART_ARC
(4,3),0.424629 # DEPENDENCYPART_ARC
(5,1),-1.12718 # DEPENDENCYPART_ARC
(5,2),-0.0147677 # DEPENDENCYPART_ARC
(5,3),2.64738 # DEPENDENCYPART_ARC
(5,4),3.77358 # DEPENDENCYPART_ARC
(5,6),-0.178808 # DEPENDENCYPART_ARC
(5,8),-0.908763 # DEPENDENCYPART_ARC
(5,9),-0.269095 # DEPENDENCYPART_ARC
(5,11),-1.64024 # DEPENDENCYPART_ARC
(6,1),0.774725 # DEPENDENCYPART_ARC
(6,2),1.07678 # DEPENDENCYPART_ARC
(6,3),1.65543 # DEPENDENCYPART_ARC
(6,4),1.38398 # DEPENDENCYPART_ARC
(6,5),2.30463 # DEPENDENCYPART_ARC
(6,8),0.384691 # DEPENDENCYPART_ARC
(6,9),0.568853 # DEPENDENCYPART_ARC
(6,10),0.0590186 # DEPENDENCYPART_ARC
(6,11),0.715083 # DEPENDENCYPART_ARC
(6,14),-0.49061 # DEPENDENCYPART_ARC
(6,15),0.0483597 # DEPENDENCYPART_ARC
(6,17),-0.0998407 # DEPENDENCYPART_ARC
(6,23),-0.986815 # DEPENDENCYPART_ARC
(6,25),1.21377 # DEPENDENCYPART_ARC
(7,6),-0.979929 # DEPENDENCYPART_ARC
(8,1),-2.54831 # DEPENDENCYPART_ARC
(8,2),-1.15851 # DEPENDENCYPART_ARC
(8,3),-0.476782 # DEPENDENCYPART_ARC
(8,4),-0.889235 # DEPENDENCYPART_ARC
(8,5),-2.40276 # DEPENDENCYPART_ARC
(8,6),-2.0768 # DEPENDENCYPART_ARC
(8,7),2.70011 # DEPENDENCYPART_ARC
