# _root_ Az a kérdés , hogy sikerül -e az előtt tárgyalóasztalhoz ültetni Szlobodan_Milosevicset , hogy a jugoszláv hadsereg teljesen kiűzi az albánokat a tartományból .
#goldHeads=5,3,5,5,0,5,6,9,11,11,6,11,6,6,17,17,19,19,6,21,19,23,19,5,
#predictedHeads=3,3,5,5,0,19,6,10,11,11,6,11,6,6,17,17,19,19,1,21,19,23,19,5,
(0,1),-2.82665 # DEPENDENCYPART_ARC
(0,3),-3.07938 # DEPENDENCYPART_ARC
(0,5),-1.15087 # DEPENDENCYPART_ARC
(0,6),-1.09741 # DEPENDENCYPART_ARC
(0,7),-2.66916 # DEPENDENCYPART_ARC
(0,11),-2.25501 # DEPENDENCYPART_ARC
(0,14),-2.99011 # DEPENDENCYPART_ARC
(0,19),-1.45222 # DEPENDENCYPART_ARC
(1,3),0.310464 # DEPENDENCYPART_ARC
(1,4),0.402963 # DEPENDENCYPART_ARC
(1,5),-0.0665566 # DEPENDENCYPART_ARC
(1,6),0.827204 # DEPENDENCYPART_ARC
(1,7),0.267534 # DEPENDENCYPART_ARC
(1,9),0.137764 # DEPENDENCYPART_ARC
(1,10),-0.946908 # DEPENDENCYPART_ARC
(1,11),0.763921 # DEPENDENCYPART_ARC
(1,12),-0.86487 # DEPENDENCYPART_ARC
(1,13),0.715805 # DEPENDENCYPART_ARC
(1,14),-0.0239937 # DEPENDENCYPART_ARC
(1,16),-0.529834 # DEPENDENCYPART_ARC
(1,17),-0.277309 # DEPENDENCYPART_ARC
(1,18),-0.76806 # DEPENDENCYPART_ARC
(1,19),1.25319 # DEPENDENCYPART_ARC
(1,21),-1.21551 # DEPENDENCYPART_ARC
(1,23),-0.901846 # DEPENDENCYPART_ARC
(1,24),0.609584 # DEPENDENCYPART_ARC
(2,4),-0.312288 # DEPENDENCYPART_ARC
(3,1),0.909415 # DEPENDENCYPART_ARC
(3,2),2.67563 # DEPENDENCYPART_ARC
(3,4),-0.427826 # DEPENDENCYPART_ARC
(3,6),-0.7074 # DEPENDENCYPART_ARC
(3,9),-1.01664 # DEPENDENCYPART_ARC
(3,11),-0.979546 # DEPENDENCYPART_ARC
(3,19),-1.2627 # DEPENDENCYPART_ARC
(3,24),0.335177 # DEPENDENCYPART_ARC
(5,1),0.673333 # DEPENDENCYPART_ARC
(5,2),-0.0248297 # DEPENDENCYPART_ARC
(5,3),0.929328 # DEPENDENCYPART_ARC
(5,4),1.05436 # DEPENDENCYPART_ARC
(5,6),0.896584 # DEPENDENCYPART_ARC
(5,7),-0.486315 # DEPENDENCYPART_ARC
(5,10),-1.81003 # DEPENDENCYPART_ARC
(5,11),0.0730245 # DEPENDENCYPART_ARC
(5,12),-1.40352 # DEPENDENCYPART_ARC
(5,13),-0.0932546 # DEPENDENCYPART_ARC
(5,14),-0.0628364 # DEPENDENCYPART_ARC
(5,18),-1.21915 # DEPENDENCYPART_ARC
(5,19),-0.227785 # DEPENDENCYPART_ARC
(5,24),2.27361 # DEPENDENCYPART_ARC
(6,1),-1.67878 # DEPENDENCYPART_ARC
(6,3),-1.29521 # DEPENDENCYPART_ARC
(6,4),-0.851176 # DEPENDENCYPART_ARC
(6,5),-1.54518 # DEPENDENCYPART_ARC
(6,7),2.52197 # DEPENDENCYPART_ARC
(6,8),-0.36144 # DEPENDENCYPART_ARC
(6,9),1.61417 # DEPENDENCYPART_ARC
(6,10),1.00736 # DEPENDENCYPART_ARC
(6,11),2.49903 # DEPENDENCYPART_ARC
(6,12),0.818712 # DEPENDENCYPART_ARC
(6,13),1.50968 # DEPENDENCYPART_ARC
(6,14),2.16992 # DEPENDENCYPART_ARC
(6,16),-1.10805 # DEPENDENCYPART_ARC
(6,17),-1.22208 # DEPENDENCYPART_ARC
(6,18),-0.530336 # DEPENDENCYPART_ARC
(6,19),0.248926 # DEPENDENCYPART_ARC
(6,21),-0.535262 # DEPENDENCYPART_ARC
(6,23),0.00169293 # DEPENDENCYPART_ARC
(6,24),2.20203 # DEPENDENCYPART_ARC
(7,4),-0.273474 # DEPENDENCYPART_ARC
(7,5),-0.554158 # DEPENDENCYPART_ARC
(7,10),-0.600026 # DEPENDENCYPART_ARC
(9,3),-1.14638 # DEPENDENCYPART_ARC
(9,4),-0.823161 # DEPENDENCYPART_ARC
(9,8),0.762644 # DEPENDENCYPART_ARC
(9,10),-0.781904 # DEPENDENCYPART_ARC
(9,12),-1.23187 # DEPENDENCYPART_ARC
(9,17),-1.50395 # DEPENDENCYPART_ARC
(9,19),-1.32925 # DEPENDENCYPART_ARC
(10,1),-1.4682 # DEPENDENCYPART_ARC
(10,2),-1.03296 # DEPENDENCYPART_ARC
(10,3),-2.51961 # DEPENDENCYPART_ARC
(10,5),-1.21671 # DEPENDENCYPART_ARC
(10,6),-1.51187 # DEPENDENCYPART_ARC
(10,8),2.29997 # DEPENDENCYPART_ARC
(10,9),0.821734 # DEPENDENCYPART_ARC
(10,12),-1.00244 # DEPENDENCYPART_ARC
(10,13),-0.215605 # DEPENDENCYPART_ARC
(10,17),-1.76336 # DEPENDENCYPART_ARC
(10,19),-1.65237 # DEPENDENCYPART_ARC
(10,21),-2.25092 # DEPENDENCYPART_ARC
(10,23),-2.8803 # DEPENDENCYPART_ARC
(10,24),-0.0107721 # DEPENDENCYPART_ARC
(11,1),-0.989024 # DEPENDENCYPART_ARC
(11,2),-1.05187 # DEPENDENCYPART_ARC
(11,3),-1.33564 # DEPENDENCYPART_ARC
(11,4),0.457614 # DEPENDENCYPART_ARC
(11,5),-0.742073 # DEPENDENCYPART_ARC
(11,6),-0.361696 # DEPENDENCYPART_ARC
(11,7),1.56317 # DEPENDENCYPART_ARC
(11,8),0.0143461 # DEPENDENCYPART_ARC
(11,9),2.00804 # DEPENDENCYPART_ARC
(11,10),3.59878 # DEPENDENCYPART_ARC
(11,12),4.07027 # DEPENDENCYPART_ARC
(11,13),1.30232 # DEPENDENCYPART_ARC
(11,14),1.38533 # DEPENDENCYPART_ARC
(11,15),-0.0649277 # DEPENDENCYPART_ARC
(11,16),0.481351 # DEPENDENCYPART_ARC
(11,17),-1.47648 # DEPENDENCYPART_ARC
(11,18),0.359541 # DEPENDENCYPART_ARC
(11,19),0.0831407 # DEPENDENCYPART_ARC
(11,21),0.916285 # DEPENDENCYPART_ARC
(11,23),0.35379 # DEPENDENCYPART_ARC
(11,24),1.69622 # DEPENDENCYPART_ARC
(12,8),-0.716817 # DEPENDENCYPART_ARC
(12,9),-0.873498 # DEPENDENCYPART_ARC
(12,10),-2.07902 # DEPENDENCYPART_ARC
(12,11),1.36775 # DEPENDENCYPART_ARC
(12,13),-0.348946 # DEPENDENCYPART_ARC
(12,14),-1.21051 # DEPENDENCYPART_ARC
(12,17),-1.14719 # DEPENDENCYPART_ARC
(12,18),-1.14975 # DEPENDENCYPART_ARC
(12,19),-1.39656 # DEPENDENCYPART_ARC
(12,21),-2.30344 # DEPENDENCYPART_ARC
(14,1),-1.28297 # DEPENDENCYPART_ARC
(14,3),-0.665635 # DEPENDENCYPART_ARC
(14,4),-0.638998 # DEPENDENCYPART_ARC
(14,5),-0.497583 # DEPENDENCYPART_ARC
(14,6),-0.877417 # DEPENDENCYPART_ARC
(14,9),0.175869 # DEPENDENCYPART_ARC
(14,10),0.186576 # DEPENDENCYPART_ARC
(14,11),0.140413 # DEPENDENCYPART_ARC
(14,12),0.206357 # DEPENDENCYPART_ARC
(14,13),0.752228 # DEPENDENCYPART_ARC
(14,16),-0.233524 # DEPENDENCYPART_ARC
(14,17),-0.844341 # DEPENDENCYPART_ARC
(14,18),-0.523657 # DEPENDENCYPART_ARC
(14,19),0.744819 # DEPENDENCYPART_ARC
(14,21),-1.57376 # DEPENDENCYPART_ARC
(14,23),-1.98651 # DEPENDENCYPART_ARC
(14,24),1.57653 # DEPENDENCYPART_ARC
(15,16),0.155386 # DEPENDENCYPART_ARC
(15,18),-0.550821 # DEPENDENCYPART_ARC
(16,1),-3.12528 # DEPENDENCYPART_ARC
(16,14),-1.29976 # DEPENDENCYPART_ARC
(16,15),0.438425 # DEPENDENCYPART_ARC
(17,1),-3.04377 # DEPENDENCYPART_ARC
(17,5),-1.80026 # DEPENDENCYPART_ARC
(17,6),-2.08536 # DEPENDENCYPART_ARC
(17,8),-0.962924 # DEPENDENCYPART_ARC
(17,9),-0.847941 # DEPENDENCYPART_ARC
(17,11),0.366829 # DEPENDENCYPART_ARC
(17,12),-1.98347 # DEPENDENCYPART_ARC
(17,13),-0.359931 # DEPENDENCYPART_ARC
(17,14),-0.784081 # DEPENDENCYPART_ARC
(17,15),2.67607 # DEPENDENCYPART_ARC
(17,16),3.89603 # DEPENDENCYPART_ARC
(17,18),-0.785645 # DEPENDENCYPART_ARC
(17,21),-1.8308 # DEPENDENCYPART_ARC
(17,23),-2.25778 # DEPENDENCYPART_ARC
(18,3),-3.61691 # DEPENDENCYPART_ARC
(18,5),-1.49156 # DEPENDENCYPART_ARC
(18,6),-1.86769 # DEPENDENCYPART_ARC
(18,9),-1.06276 # DEPENDENCYPART_ARC
(18,10),-1.9367 # DEPENDENCYPART_ARC
(18,11),-1.25055 # DEPENDENCYPART_ARC
(18,12),-2.01766 # DEPENDENCYPART_ARC
(18,13),-0.600074 # DEPENDENCYPART_ARC
(18,14),-0.999945 # DEPENDENCYPART_ARC
(18,15),-0.397333 # DEPENDENCYPART_ARC
(18,16),-0.240937 # DEPENDENCYPART_ARC
(18,17),-0.877224 # DEPENDENCYPART_ARC
(18,21),-1.75886 # DEPENDENCYPART_ARC
(18,23),-1.50379 # DEPENDENCYPART_ARC
(18,24),-0.000467231 # DEPENDENCYPART_ARC
(19,1),-0.762773 # DEPENDENCYPART_ARC
(19,3),-1.38756 # DEPENDENCYPART_ARC
(19,4),0.139748 # DEPENDENCYPART_ARC
(19,5),-0.0830209 # DEPENDENCYPART_ARC
(19,6),1.08894 # DEPENDENCYPART_ARC
(19,8),-0.995445 # DEPENDENCYPART_ARC
(19,9),0.793043 # DEPENDENCYPART_ARC
(19,10),0.297773 # DEPENDENCYPART_ARC
(19,11),0.284669 # DEPENDENCYPART_ARC
(19,12),0.551637 # DEPENDENCYPART_ARC
(19,13),0.841244 # DEPENDENCYPART_ARC
(19,14),0.152945 # DEPENDENCYPART_ARC
(19,15),-0.864745 # DEPENDENCYPART_ARC
(19,16),0.334692 # DEPENDENCYPART_ARC
(19,17),2.23759 # DEPENDENCYPART_ARC
(19,18),3.19771 # DEPENDENCYPART_ARC
(19,20),-0.751366 # DEPENDENCYPART_ARC
(19,21),2.14804 # DEPENDENCYPART_ARC
(19,22),-1.03309 # DEPENDENCYPART_ARC
(19,23),1.6492 # DEPENDENCYPART_ARC
(19,24),1.8046 # DEPENDENCYPART_ARC
(20,23),-1.10952 # DEPENDENCYPART_ARC
(21,8),-2.43054 # DEPENDENCYPART_ARC
(21,15),-1.09645 # DEPENDENCYPART_ARC
(21,17),-2.94272 # DEPENDENCYPART_ARC
(21,18),-3.2247 # DEPENDENCYPART_ARC
(21,20),2.75388 # DEPENDENCYPART_ARC
