# _root_ Az új idők igényeihez igazodva ez a cég is szeretne a nagyok beszállítójává válni , hiszen a multiknak és a bankoknak is kellenek a jól zárható , biztonságos iratszekrények .
#goldHeads=3,3,4,5,10,8,8,10,10,16,12,13,14,10,16,0,18,23,23,21,23,23,16,29,26,29,29,29,23,16,
#predictedHeads=3,3,4,14,10,8,8,10,10,16,12,13,14,10,16,0,18,23,23,21,23,23,6,29,26,29,29,29,23,16,
(0,4),-3.11076 # DEPENDENCYPART_ARC
(0,5),-2.53451 # DEPENDENCYPART_ARC
(0,6),-3.10863 # DEPENDENCYPART_ARC
(0,8),-3.87061 # DEPENDENCYPART_ARC
(0,9),-2.88173 # DEPENDENCYPART_ARC
(0,10),-1.71996 # DEPENDENCYPART_ARC
(0,14),-2.14439 # DEPENDENCYPART_ARC
(0,16),0.0478872 # DEPENDENCYPART_ARC
(0,19),-2.39741 # DEPENDENCYPART_ARC
(0,23),-2.55652 # DEPENDENCYPART_ARC
(1,2),-0.00613852 # DEPENDENCYPART_ARC
(2,1),0.038894 # DEPENDENCYPART_ARC
(3,1),2.54989 # DEPENDENCYPART_ARC
(3,2),3.75983 # DEPENDENCYPART_ARC
(4,1),0.371039 # DEPENDENCYPART_ARC
(4,2),1.53272 # DEPENDENCYPART_ARC
(4,3),3.93002 # DEPENDENCYPART_ARC
(4,5),-1.06758 # DEPENDENCYPART_ARC
(4,8),-2.32178 # DEPENDENCYPART_ARC
(5,2),1.00139 # DEPENDENCYPART_ARC
(5,3),0.971582 # DEPENDENCYPART_ARC
(5,4),1.44703 # DEPENDENCYPART_ARC
(5,6),0.789168 # DEPENDENCYPART_ARC
(5,8),0.27988 # DEPENDENCYPART_ARC
(5,9),0.384948 # DEPENDENCYPART_ARC
(5,10),0.518187 # DEPENDENCYPART_ARC
(5,12),-0.462766 # DEPENDENCYPART_ARC
(5,13),-0.480982 # DEPENDENCYPART_ARC
(5,14),0.33326 # DEPENDENCYPART_ARC
(5,15),0.410786 # DEPENDENCYPART_ARC
(5,16),0.636659 # DEPENDENCYPART_ARC
(5,19),0.193177 # DEPENDENCYPART_ARC
(5,21),-1.18961 # DEPENDENCYPART_ARC
(5,22),-0.778387 # DEPENDENCYPART_ARC
(5,23),-0.200369 # DEPENDENCYPART_ARC
(5,27),-0.357597 # DEPENDENCYPART_ARC
(5,29),-1.14779 # DEPENDENCYPART_ARC
(5,30),1.03181 # DEPENDENCYPART_ARC
(6,2),-0.900301 # DEPENDENCYPART_ARC
(6,3),-0.3911 # DEPENDENCYPART_ARC
(6,4),-0.367694 # DEPENDENCYPART_ARC
(6,5),0.238005 # DEPENDENCYPART_ARC
(6,8),0.14507 # DEPENDENCYPART_ARC
(6,9),-0.554217 # DEPENDENCYPART_ARC
(6,10),0.623917 # DEPENDENCYPART_ARC
(6,12),-0.0687795 # DEPENDENCYPART_ARC
(6,13),-0.661197 # DEPENDENCYPART_ARC
(6,14),0.466099 # DEPENDENCYPART_ARC
(6,15),0.899137 # DEPENDENCYPART_ARC
(6,16),0.260518 # DEPENDENCYPART_ARC
(6,18),-0.599207 # DEPENDENCYPART_ARC
(6,19),-0.0467893 # DEPENDENCYPART_ARC
(6,21),-0.6245 # DEPENDENCYPART_ARC
(6,22),-0.461535 # DEPENDENCYPART_ARC
(6,23),0.753494 # DEPENDENCYPART_ARC
(6,25),-0.111025 # DEPENDENCYPART_ARC
(6,26),-1.07238 # DEPENDENCYPART_ARC
(6,27),0.362717 # DEPENDENCYPART_ARC
(6,28),-0.796723 # DEPENDENCYPART_ARC
(6,29),-0.685028 # DEPENDENCYPART_ARC
(6,30),0.77045 # DEPENDENCYPART_ARC
(7,9),-0.405687 # DEPENDENCYPART_ARC
(8,1),-0.297851 # DEPENDENCYPART_ARC
(8,3),-2.09694 # DEPENDENCYPART_ARC
(8,4),-3.66464 # DEPENDENCYPART_ARC
(8,5),-0.311363 # DEPENDENCYPART_ARC
(8,6),1.78323 # DEPENDENCYPART_ARC
(8,7),3.49586 # DEPENDENCYPART_ARC
(9,2),-1.0449 # DEPENDENCYPART_ARC
(9,3),-1.21978 # DEPENDENCYPART_ARC
(9,4),-0.89018 # DEPENDENCYPART_ARC
(9,5),-0.19405 # DEPENDENCYPART_ARC
(9,6),-0.920006 # DEPENDENCYPART_ARC
(9,7),-1.05542 # DEPENDENCYPART_ARC
(9,8),-0.546457 # DEPENDENCYPART_ARC
(9,10),-0.0697136 # DEPENDENCYPART_ARC
(9,12),-0.576385 # DEPENDENCYPART_ARC
(9,13),-1.15167 # DEPENDENCYPART_ARC
(9,14),-1.40667 # DEPENDENCYPART_ARC
(9,15),-0.299697 # DEPENDENCYPART_ARC
(9,16),-0.813585 # DEPENDENCYPART_ARC
(9,23),-2.29418 # DEPENDENCYPART_ARC
(9,30),0.0691688 # DEPENDENCYPART_ARC
(10,1),-0.284408 # DEPENDENCYPART_ARC
(10,2),-0.164453 # DEPENDENCYPART_ARC
(10,3),0.50471 # DEPENDENCYPART_ARC
(10,4),0.445384 # DEPENDENCYPART_ARC
(10,5),1.68632 # DEPENDENCYPART_ARC
(10,6),0.316877 # DEPENDENCYPART_ARC
(10,7),-0.00230474 # DEPENDENCYPART_ARC
(10,8),2.44282 # DEPENDENCYPART_ARC
(10,9),2.99426 # DEPENDENCYPART_ARC
(10,11),-0.674985 # DEPENDENCYPART_ARC
(10,12),0.846858 # DEPENDENCYPART_ARC
(10,13),0.508771 # DEPENDENCYPART_ARC
(10,14),2.3212 # DEPENDENCYPART_ARC
(10,15),1.20498 # DEPENDENCYPART_ARC
(10,16),0.513485 # DEPENDENCYPART_ARC
(10,17),-1.21474 # DEPENDENCYPART_ARC
(10,18),-1.38228 # DEPENDENCYPART_ARC
(10,19),0.353224 # DEPENDENCYPART_ARC
(10,21),-1.88726 # DEPENDENCYPART_ARC
(10,22),0.130298 # DEPENDENCYPART_ARC
(10,23),0.620055 # DEPENDENCYPART_ARC
(10,25),-1.33586 # DEPENDENCYPART_ARC
(10,26),-1.33924 # DEPENDENCYPART_ARC
(10,27),-0.732316 # DEPENDENCYPART_ARC
(10,28),-1.89189 # DEPENDENCYPART_ARC
(10,29),-1.6979 # DEPENDENCYPART_ARC
(10,30),2.85524 # DEPENDENCYPART_ARC
(12,6),-1.85634 # DEPENDENCYPART_ARC
(12,7),-1.27102 # DEPENDENCYPART_ARC
(12,10),-1.97934 # DEPENDENCYPART_ARC
(12,11),2.55982 # DEPENDENCYPART_ARC
(13,3),-1.57031 # DEPENDENCYPART_ARC
(13,5),-1.03054 # DEPENDENCYPART_ARC
(13,6),-1.8439 # DEPENDENCYPART_ARC
(13,8),-0.257183 # DEPENDENCYPART_ARC
(13,9),-0.628143 # DEPENDENCYPART_ARC
(13,10),-2.94854 # DEPENDENCYPART_ARC
(13,11),0.216307 # DEPENDENCYPART_ARC
(13,12),4.06818 # DEPENDENCYPART_ARC
(13,15),-0.968329 # DEPENDENCYPART_ARC
(14,1),-0.462491 # DEPENDENCYPART_ARC
(14,2),-0.0598699 # DEPENDENCYPART_ARC
(14,3),-0.541756 # DEPENDENCYPART_ARC
(14,4),1.73062 # DEPENDENCYPART_ARC
(14,5),0.940776 # DEPENDENCYPART_ARC
(14,6),-1.08353 # DEPENDENCYPART_ARC
(14,7),-0.657577 # DEPENDENCYPART_ARC
(14,8),0.829795 # DEPENDENCYPART_ARC
(14,9),1.15061 # DEPENDENCYPART_ARC
(14,10),-0.320009 # DEPENDENCYPART_ARC
(14,11),-0.0226948 # DEPENDENCYPART_ARC
(14,12),1.46837 # DEPENDENCYPART_ARC
(14,13),4.78438 # DEPENDENCYPART_ARC
(14,15),1.1697 # DEPENDENCYPART_ARC
(14,16),0.497152 # DEPENDENCYPART_ARC
(14,17),-0.202936 # DEPENDENCYPART_ARC
(14,18),-0.0926516 # DEPENDENCYPART_ARC
(14,19),-0.357942 # DEPENDENCYPART_ARC
(14,20),-0.415051 # DEPENDENCYPART_ARC
(14,21),-0.982557 # DEPENDENCYPART_ARC
(14,22),-0.218059 # DEPENDENCYPART_ARC
(14,23),0.712826 # DEPENDENCYPART_ARC
(14,25),-1.32355 # DEPENDENCYPART_ARC
(14,26),-0.18797 # DEPENDENCYPART_ARC
(14,27),-0.999343 # DEPENDENCYPART_ARC
(14,28),-0.902459 # DEPENDENCYPART_ARC
(14,29),-2.93927 # DEPENDENCYPART_ARC
(14,30),1.79447 # DEPENDENCYPART_ARC
(16,2),-0.269503 # DEPENDENCYPART_ARC
(16,3),-0.708682 # DEPENDENCYPART_ARC
(16,4),-0.571932 # DEPENDENCYPART_ARC
(16,5),-0.263584 # DEPENDENCYPART_ARC
(16,6),-1.43178 # DEPENDENCYPART_ARC
(16,8),-0.898326 # DEPENDENCYPART_ARC
(16,9),0.318767 # DEPENDENCYPART_ARC
(16,10),1.13991 # DEPENDENCYPART_ARC
(16,11),-0.619795 # DEPENDENCYPART_ARC
(16,12),-0.254253 # DEPENDENCYPART_ARC
(16,13),-0.317456 # DEPENDENCYPART_ARC
(16,14),0.92845 # DEPENDENCYPART_ARC
(16,15),2.29956 # DEPENDENCYPART_ARC
(16,17),-0.223555 # DEPENDENCYPART_ARC
(16,18),-0.180756 # DEPENDENCYPART_ARC
(16,19),0.651797 # DEPENDENCYPART_ARC
(16,21),-0.822407 # DEPENDENCYPART_ARC
(16,22),0.587714 # DEPENDENCYPART_ARC
(16,23),0.711669 # DEPENDENCYPART_ARC
(16,25),-0.186625 # DEPENDENCYPART_ARC
(16,26),-0.378896 # DEPENDENCYPART_ARC
(16,27),0.596102 # DEPENDENCYPART_ARC
(16,28),-0.719718 # DEPENDENCYPART_ARC
(16,29),-1.01718 # DEPENDENCYPART_ARC
(16,30),3.16106 # DEPENDENCYPART_ARC
(18,16),-0.814159 # DEPENDENCYPART_ARC
(18,17),2.64687 # DEPENDENCYPART_ARC
(19,4),-1.12693 # DEPENDENCYPART_ARC
(19,9),-0.671402 # DEPENDENCYPART_ARC
(19,10),-0.0950582 # DEPENDENCYPART_ARC
(19,12),-1.02214 # DEPENDENCYPART_ARC
(19,14),-1.30571 # DEPENDENCYPART_ARC
(19,15),0.624786 # DEPENDENCYPART_ARC
(19,16),0.323168 # DEPENDENCYPART_ARC
(19,17),-0.648399 # DEPENDENCYPART_ARC
(19,18),0.526613 # DEPENDENCYPART_ARC
(19,20),-0.410763 # DEPENDENCYPART_ARC
(19,21),0.438274 # DEPENDENCYPART_ARC
(19,22),-0.145292 # DEPENDENCYPART_ARC
(19,23),0.0343059 # DEPENDENCYPART_ARC
(19,25),-0.554751 # DEPENDENCYPART_ARC
(19,26),-0.747635 # DEPENDENCYPART_ARC
(19,27),-0.0508373 # DEPENDENCYPART_ARC
(19,28),-1.00634 # DEPENDENCYPART_ARC
(19,29),-0.513398 # DEPENDENCYPART_ARC
(19,30),0.745025 # DEPENDENCYPART_ARC
(21,17),-0.0795372 # DEPENDENCYPART_ARC
(21,18),-2.07732 # DEPENDENCYPART_ARC
(21,19),-0.243601 # DEPENDENCYPART_ARC
(21,20),2.85549 # DEPENDENCYPART_ARC
(22,14),-2.35691 # DEPENDENCYPART_ARC
(22,15),-0.356178 # DEPENDENCYPART_ARC
(22,16),-0.227784 # DEPENDENCYPART_ARC
(22,17),-1.67233 # DEPENDENCYPART_ARC
(22,18),-1.22986 # DEPENDENCYPART_ARC
(22,19),-0.421103 # DEPENDENCYPART_ARC
(22,20),-1.10471 # DEPENDENCYPART_ARC
(22,21),-0.470744 # DEPENDENCYPART_ARC
(22,23),-0.316351 # DEPENDENCYPART_ARC
(22,25),-1.08438 # DEPENDENCYPART_ARC
(22,26),-0.912918 # DEPENDENCYPART_ARC
(22,29),-1.06475 # DEPENDENCYPART_ARC
(22,30),0.108255 # DEPENDENCYPART_ARC
(23,1),-0.609106 # DEPENDENCYPART_ARC
(23,2),-1.25882 # DEPENDENCYPART_ARC
(23,3),-0.491572 # DEPENDENCYPART_ARC
(23,4),-0.314893 # DEPENDENCYPART_ARC
(23,5),-0.0511717 # DEPENDENCYPART_ARC
(23,6),-2.37582 # DEPENDENCYPART_ARC
(23,8),-0.373528 # DEPENDENCYPART_ARC
(23,9),-0.725365 # DEPENDENCYPART_ARC
(23,10),-0.288093 # DEPENDENCYPART_ARC
(23,11),-0.646847 # DEPENDENCYPART_ARC
(23,12),0.336764 # DEPENDENCYPART_ARC
(23,13),0.167534 # DEPENDENCYPART_ARC
(23,14),0.115735 # DEPENDENCYPART_ARC
(23,15),0.834654 # DEPENDENCYPART_ARC
(23,16),0.763368 # DEPENDENCYPART_ARC
(23,17),-0.243289 # DEPENDENCYPART_ARC
(23,18),2.32826 # DEPENDENCYPART_ARC
(23,19),1.14386 # DEPENDENCYPART_ARC
(23,20),-0.0787926 # DEPENDENCYPART_ARC
(23,21),3.01751 # DEPENDENCYPART_ARC
(23,22),2.92863 # DEPENDENCYPART_ARC
(23,24),-0.612021 # DEPENDENCYPART_ARC
(23,25),0.438342 # DEPENDENCYPART_ARC
(23,26),-0.473138 # DEPENDENCYPART_ARC
(23,27),0.406303 # DEPENDENCYPART_ARC
(23,28),-1.11799 # DEPENDENCYPART_ARC
(23,29),1.01851 # DEPENDENCYPART_ARC
(23,30),1.10931 # DEPENDENCYPART_ARC
(24,26),0.128106 # DEPENDENCYPART_ARC
(24,28),-0.254643 # DEPENDENCYPART_ARC
(25,24),0.344472 # DEPENDENCYPART_ARC
(25,28),-0.9379 # DEPENDENCYPART_ARC
(25,29),-1.09412 # DEPENDENCYPART_ARC
(26,14),-0.877986 # DEPENDENCYPART_ARC
(26,18),-0.908279 # DEPENDENCYPART_ARC
(26,20),-1.26109 # DEPENDENCYPART_ARC
(26,21),-0.43889 # DEPENDENCYPART_ARC
(26,22),-0.0243772 # DEPENDENCYPART_ARC
(26,23),-0.442557 # DEPENDENCYPART_ARC
(26,24),0.192254 # DEPENDENCYPART_ARC
(26,25),2.43047 # DEPENDENCYPART_ARC
(26,27),0.748107 # DEPENDENCYPART_ARC
(26,28),-0.270546 # DEPENDENCYPART_ARC
(26,29),-0.609415 # DEPENDENCYPART_ARC
(26,30),0.371244 # DEPENDENCYPART_ARC
(28,22),-0.250162 # DEPENDENCYPART_ARC
(28,24),-0.519576 # DEPENDENCYPART_ARC
(28,25),1.20276 # DEPENDENCYPART_ARC
(28,26),0.135187 # DEPENDENCYPART_ARC
(28,27),0.6598 # DEPENDENCYPART_ARC
(29,12),-2.81311 # DEPENDENCYPART_ARC
(29,17),-1.4912 # DEPENDENCYPART_ARC
(29,18),-3.09397 # DEPENDENCYPART_ARC
(29,19),-0.891362 # DEPENDENCYPART_ARC
(29,20),-0.464216 # DEPENDENCYPART_ARC
(29,21),-2.5438 # DEPENDENCYPART_ARC
(29,22),-0.931616 # DEPENDENCYPART_ARC
(29,24),2.11066 # DEPENDENCYPART_ARC
(29,25),0.123233 # DEPENDENCYPART_ARC
(29,26),1.777 # DEPENDENCYPART_ARC
(29,27),1.97893 # DEPENDENCYPART_ARC
(29,28),3.22112 # DEPENDENCYPART_ARC
