# _root_ Olyannyira erősen , hogy megkésett hordalékra tippeltem , majd meg öreg márnára .
#goldHeads=2,4,4,0,6,7,9,9,4,9,12,10,4,
#predictedHeads=4,7,6,9,6,7,9,7,0,12,12,7,7,
(0,1),-1.78044 # DEPENDENCYPART_ARC
(0,2),-2.00202 # DEPENDENCYPART_ARC
(0,4),-0.483762 # DEPENDENCYPART_ARC
(0,7),-1.52087 # DEPENDENCYPART_ARC
(0,9),-0.163157 # DEPENDENCYPART_ARC
(0,10),-1.28027 # DEPENDENCYPART_ARC
(0,12),-3.87778 # DEPENDENCYPART_ARC
(1,2),-0.144886 # DEPENDENCYPART_ARC
(1,3),-0.450097 # DEPENDENCYPART_ARC
(1,5),-0.458401 # DEPENDENCYPART_ARC
(1,6),-0.833354 # DEPENDENCYPART_ARC
(1,7),-0.443923 # DEPENDENCYPART_ARC
(1,8),-0.699777 # DEPENDENCYPART_ARC
(1,12),-1.79428 # DEPENDENCYPART_ARC
(1,13),-0.510337 # DEPENDENCYPART_ARC
(2,1),0.653407 # DEPENDENCYPART_ARC
(2,3),0.114367 # DEPENDENCYPART_ARC
(2,4),-0.259732 # DEPENDENCYPART_ARC
(2,5),-0.418948 # DEPENDENCYPART_ARC
(2,6),-0.579457 # DEPENDENCYPART_ARC
(2,7),-1.15943 # DEPENDENCYPART_ARC
(2,8),-0.337204 # DEPENDENCYPART_ARC
(2,9),-0.343593 # DEPENDENCYPART_ARC
(2,10),-0.434268 # DEPENDENCYPART_ARC
(2,11),-0.90908 # DEPENDENCYPART_ARC
(2,12),-1.4141 # DEPENDENCYPART_ARC
(2,13),0.293474 # DEPENDENCYPART_ARC
(4,1),1.42551 # DEPENDENCYPART_ARC
(4,2),0.997766 # DEPENDENCYPART_ARC
(4,3),0.39746 # DEPENDENCYPART_ARC
(4,5),-0.500058 # DEPENDENCYPART_ARC
(4,6),-1.39316 # DEPENDENCYPART_ARC
(4,7),0.774009 # DEPENDENCYPART_ARC
(4,8),-0.105158 # DEPENDENCYPART_ARC
(4,9),0.0136125 # DEPENDENCYPART_ARC
(4,10),-0.00304725 # DEPENDENCYPART_ARC
(4,12),-2.60942 # DEPENDENCYPART_ARC
(4,13),1.26605 # DEPENDENCYPART_ARC
(5,1),-0.708893 # DEPENDENCYPART_ARC
(5,2),-0.503568 # DEPENDENCYPART_ARC
(5,3),-0.560096 # DEPENDENCYPART_ARC
(5,4),-0.705295 # DEPENDENCYPART_ARC
(5,7),-0.630823 # DEPENDENCYPART_ARC
(5,8),-0.596098 # DEPENDENCYPART_ARC
(5,9),-1.17248 # DEPENDENCYPART_ARC
(5,10),-1.27595 # DEPENDENCYPART_ARC
(5,12),-1.60506 # DEPENDENCYPART_ARC
(5,13),-0.549177 # DEPENDENCYPART_ARC
(6,1),-0.253038 # DEPENDENCYPART_ARC
(6,2),-0.522654 # DEPENDENCYPART_ARC
(6,3),1.69833 # DEPENDENCYPART_ARC
(6,4),0.441322 # DEPENDENCYPART_ARC
(6,5),3.26606 # DEPENDENCYPART_ARC
(6,7),-1.22001 # DEPENDENCYPART_ARC
(6,8),-0.785129 # DEPENDENCYPART_ARC
(6,9),-0.929514 # DEPENDENCYPART_ARC
(6,10),-1.10975 # DEPENDENCYPART_ARC
(6,12),-2.42618 # DEPENDENCYPART_ARC
(6,13),-0.739115 # DEPENDENCYPART_ARC
(7,1),1.34984 # DEPENDENCYPART_ARC
(7,2),1.1543 # DEPENDENCYPART_ARC
(7,3),0.931486 # DEPENDENCYPART_ARC
(7,4),0.333892 # DEPENDENCYPART_ARC
(7,5),0.595096 # DEPENDENCYPART_ARC
(7,6),3.73359 # DEPENDENCYPART_ARC
(7,8),1.86512 # DEPENDENCYPART_ARC
(7,9),1.19212 # DEPENDENCYPART_ARC
(7,10),0.0780406 # DEPENDENCYPART_ARC
(7,11),-0.0819342 # DEPENDENCYPART_ARC
(7,12),0.169252 # DEPENDENCYPART_ARC
(7,13),1.9199 # DEPENDENCYPART_ARC
(9,1),0.0996891 # DEPENDENCYPART_ARC
(9,2),-0.869411 # DEPENDENCYPART_ARC
(9,3),0.396976 # DEPENDENCYPART_ARC
(9,4),0.50302 # DEPENDENCYPART_ARC
(9,5),-0.524864 # DEPENDENCYPART_ARC
(9,6),-0.753458 # DEPENDENCYPART_ARC
(9,7),1.73858 # DEPENDENCYPART_ARC
(9,8),1.64868 # DEPENDENCYPART_ARC
(9,10),0.0767513 # DEPENDENCYPART_ARC
(9,11),-0.22597 # DEPENDENCYPART_ARC
(9,12),-1.18153 # DEPENDENCYPART_ARC
(9,13),1.40509 # DEPENDENCYPART_ARC
(10,1),-0.713705 # DEPENDENCYPART_ARC
(10,2),-1.1955 # DEPENDENCYPART_ARC
(10,3),0.348273 # DEPENDENCYPART_ARC
(10,4),-0.205635 # DEPENDENCYPART_ARC
(10,5),-1.06342 # DEPENDENCYPART_ARC
(10,6),-1.60629 # DEPENDENCYPART_ARC
(10,7),0.903606 # DEPENDENCYPART_ARC
(10,8),0.641424 # DEPENDENCYPART_ARC
(10,9),0.623176 # DEPENDENCYPART_ARC
(10,11),0.261972 # DEPENDENCYPART_ARC
(10,12),-0.262868 # DEPENDENCYPART_ARC
(10,13),0.833989 # DEPENDENCYPART_ARC
(11,1),-0.504866 # DEPENDENCYPART_ARC
(11,2),-0.456485 # DEPENDENCYPART_ARC
(11,3),0.026746 # DEPENDENCYPART_ARC
(11,4),-0.769826 # DEPENDENCYPART_ARC
(11,6),-0.928552 # DEPENDENCYPART_ARC
(11,7),-0.919435 # DEPENDENCYPART_ARC
(11,8),0.304238 # DEPENDENCYPART_ARC
(11,9),-0.0595127 # DEPENDENCYPART_ARC
(11,10),0.879181 # DEPENDENCYPART_ARC
(11,12),-0.255098 # DEPENDENCYPART_ARC
(11,13),-0.826411 # DEPENDENCYPART_ARC
(12,2),-1.62944 # DEPENDENCYPART_ARC
(12,3),0.848624 # DEPENDENCYPART_ARC
