# _root_ Azon fáradozunk , hogy az utánpótlás-nevelésre fordítható öszszeg évről évre emelkedjen , ezzel is segítve a hazai labdarúgás kimozdulását a mély kátyúból .
#goldHeads=2,0,2,2,6,7,8,11,11,11,1,11,15,11,11,18,18,19,15,22,22,15,2,
#predictedHeads=2,0,2,2,6,7,9,9,11,11,1,15,15,15,1,18,18,19,15,22,22,15,2,
(0,1),-3.20956 # DEPENDENCYPART_ARC
(0,2),-0.423717 # DEPENDENCYPART_ARC
(0,4),-0.949254 # DEPENDENCYPART_ARC
(0,8),-2.51882 # DEPENDENCYPART_ARC
(0,11),-1.80076 # DEPENDENCYPART_ARC
(1,2),1.02921 # DEPENDENCYPART_ARC
(1,3),0.917467 # DEPENDENCYPART_ARC
(1,4),1.12951 # DEPENDENCYPART_ARC
(1,6),-0.129902 # DEPENDENCYPART_ARC
(1,7),0.221623 # DEPENDENCYPART_ARC
(1,8),0.674843 # DEPENDENCYPART_ARC
(1,9),-0.241513 # DEPENDENCYPART_ARC
(1,10),-0.618277 # DEPENDENCYPART_ARC
(1,11),3.31158 # DEPENDENCYPART_ARC
(1,12),0.955627 # DEPENDENCYPART_ARC
(1,13),-0.0667035 # DEPENDENCYPART_ARC
(1,14),0.926122 # DEPENDENCYPART_ARC
(1,15),0.642133 # DEPENDENCYPART_ARC
(1,17),-0.152407 # DEPENDENCYPART_ARC
(1,18),0.236168 # DEPENDENCYPART_ARC
(1,19),-0.46764 # DEPENDENCYPART_ARC
(1,21),-0.316753 # DEPENDENCYPART_ARC
(1,22),-0.0382887 # DEPENDENCYPART_ARC
(1,23),0.78244 # DEPENDENCYPART_ARC
(2,1),2.31344 # DEPENDENCYPART_ARC
(2,3),2.70332 # DEPENDENCYPART_ARC
(2,4),3.09293 # DEPENDENCYPART_ARC
(2,5),-0.33849 # DEPENDENCYPART_ARC
(2,6),-0.531345 # DEPENDENCYPART_ARC
(2,7),-0.625733 # DEPENDENCYPART_ARC
(2,8),-0.142684 # DEPENDENCYPART_ARC
(2,9),-0.303484 # DEPENDENCYPART_ARC
(2,10),-0.80281 # DEPENDENCYPART_ARC
(2,11),1.87976 # DEPENDENCYPART_ARC
(2,12),0.916151 # DEPENDENCYPART_ARC
(2,13),-1.81359 # DEPENDENCYPART_ARC
(2,14),-0.335165 # DEPENDENCYPART_ARC
(2,15),-0.518401 # DEPENDENCYPART_ARC
(2,17),-1.7656 # DEPENDENCYPART_ARC
(2,18),-2.99406 # DEPENDENCYPART_ARC
(2,19),-2.28985 # DEPENDENCYPART_ARC
(2,22),-1.87491 # DEPENDENCYPART_ARC
(2,23),2.95323 # DEPENDENCYPART_ARC
(4,1),-0.643466 # DEPENDENCYPART_ARC
(4,2),0.175143 # DEPENDENCYPART_ARC
(4,3),0.977196 # DEPENDENCYPART_ARC
(4,6),-1.05109 # DEPENDENCYPART_ARC
(4,7),-0.293596 # DEPENDENCYPART_ARC
(4,9),-1.14184 # DEPENDENCYPART_ARC
(4,10),-1.68212 # DEPENDENCYPART_ARC
(4,11),0.416337 # DEPENDENCYPART_ARC
