# _root_ A szakértők azonban arra figyelmeztetnek , hogy az illegális hanghordozók piacán az idén ismét boom várható , s az összforgalmon belül akár meg is duplázódhat a tavalyi becsült 15-20 százalékos arány .
#goldHeads=2,5,5,5,0,5,5,10,10,11,16,13,16,16,16,4,4,4,20,21,25,25,25,25,4,31,31,31,30,31,25,5,
#predictedHeads=2,5,5,5,0,5,5,10,10,11,25,13,16,16,16,4,18,5,20,21,25,25,25,25,18,31,31,31,30,31,25,5,
(0,3),-2.28721 # DEPENDENCYPART_ARC
(0,4),-3.27166 # DEPENDENCYPART_ARC
(0,5),-0.484486 # DEPENDENCYPART_ARC
(0,7),-1.14826 # DEPENDENCYPART_ARC
(0,18),-0.383203 # DEPENDENCYPART_ARC
(0,25),-2.51982 # DEPENDENCYPART_ARC
(1,3),-0.671272 # DEPENDENCYPART_ARC
(2,1),2.71206 # DEPENDENCYPART_ARC
(3,1),-0.758814 # DEPENDENCYPART_ARC
(3,2),-0.234067 # DEPENDENCYPART_ARC
(3,4),-1.24029 # DEPENDENCYPART_ARC
(3,5),0.196542 # DEPENDENCYPART_ARC
(3,6),0.023121 # DEPENDENCYPART_ARC
(3,7),0.260413 # DEPENDENCYPART_ARC
(3,18),0.0489016 # DEPENDENCYPART_ARC
(3,25),-2.27048 # DEPENDENCYPART_ARC
(3,32),1.06845 # DEPENDENCYPART_ARC
(4,2),-1.31969 # DEPENDENCYPART_ARC
(4,3),-0.256283 # DEPENDENCYPART_ARC
(4,5),1.57872 # DEPENDENCYPART_ARC
(4,6),0.727482 # DEPENDENCYPART_ARC
(4,7),0.573471 # DEPENDENCYPART_ARC
(4,9),0.278707 # DEPENDENCYPART_ARC
(4,10),0.363151 # DEPENDENCYPART_ARC
(4,11),-0.279003 # DEPENDENCYPART_ARC
(4,13),0.555998 # DEPENDENCYPART_ARC
(4,14),0.561735 # DEPENDENCYPART_ARC
(4,15),0.332141 # DEPENDENCYPART_ARC
(4,16),0.312016 # DEPENDENCYPART_ARC
(4,17),0.837285 # DEPENDENCYPART_ARC
(4,18),0.847036 # DEPENDENCYPART_ARC
(4,20),-0.416607 # DEPENDENCYPART_ARC
(4,21),0.956553 # DEPENDENCYPART_ARC
(4,22),0.572134 # DEPENDENCYPART_ARC
(4,23),0.288041 # DEPENDENCYPART_ARC
(4,24),0.310189 # DEPENDENCYPART_ARC
(4,25),1.14038 # DEPENDENCYPART_ARC
(4,27),-0.0866163 # DEPENDENCYPART_ARC
(4,28),0.207816 # DEPENDENCYPART_ARC
(4,29),-0.231353 # DEPENDENCYPART_ARC
(4,30),0.129296 # DEPENDENCYPART_ARC
(4,31),0.300923 # DEPENDENCYPART_ARC
(4,32),1.04808 # DEPENDENCYPART_ARC
(5,1),-0.250385 # DEPENDENCYPART_ARC
(5,2),2.45045 # DEPENDENCYPART_ARC
(5,3),2.92396 # DEPENDENCYPART_ARC
(5,4),3.35527 # DEPENDENCYPART_ARC
(5,6),2.79265 # DEPENDENCYPART_ARC
(5,7),3.29931 # DEPENDENCYPART_ARC
(5,8),-0.505596 # DEPENDENCYPART_ARC
(5,9),-0.683822 # DEPENDENCYPART_ARC
(5,10),-0.0453879 # DEPENDENCYPART_ARC
(5,11),0.169693 # DEPENDENCYPART_ARC
(5,12),-0.719355 # DEPENDENCYPART_ARC
(5,13),0.183723 # DEPENDENCYPART_ARC
(5,14),0.379461 # DEPENDENCYPART_ARC
(5,15),-1.42277 # DEPENDENCYPART_ARC
(5,16),-0.536286 # DEPENDENCYPART_ARC
(5,17),0.409979 # DEPENDENCYPART_ARC
(5,18),0.911421 # DEPENDENCYPART_ARC
(5,20),-1.48464 # DEPENDENCYPART_ARC
(5,21),-0.473229 # DEPENDENCYPART_ARC
(5,22),0.120495 # DEPENDENCYPART_ARC
(5,23),-0.184796 # DEPENDENCYPART_ARC
(5,24),-0.844113 # DEPENDENCYPART_ARC
(5,25),-0.157221 # DEPENDENCYPART_ARC
(5,27),-1.85915 # DEPENDENCYPART_ARC
(5,28),-1.86578 # DEPENDENCYPART_ARC
(5,29),-0.860076 # DEPENDENCYPART_ARC
(5,31),-1.75583 # DEPENDENCYPART_ARC
(5,32),4.41623 # DEPENDENCYPART_ARC
