# _root_ A japán jen 0,40-0,50 forinttal erősödött .
#goldHeads=3,3,6,5,6,0,6,
#predictedHeads=3,3,6,5,6,0,6,
(0,3),-2.47006 # DEPENDENCYPART_ARC
(0,4),-2.55471 # DEPENDENCYPART_ARC
(0,5),-3.57323 # DEPENDENCYPART_ARC
(0,6),-1.00759 # DEPENDENCYPART_ARC
(1,2),-0.0941947 # DEPENDENCYPART_ARC
(1,5),-1.29111 # DEPENDENCYPART_ARC
(2,1),0.357066 # DEPENDENCYPART_ARC
(2,6),-1.09196 # DEPENDENCYPART_ARC
(2,7),-1.22207 # DEPENDENCYPART_ARC
(3,1),2.61924 # DEPENDENCYPART_ARC
(3,2),3.4091 # DEPENDENCYPART_ARC
(3,4),-0.52968 # DEPENDENCYPART_ARC
(3,5),-0.453728 # DEPENDENCYPART_ARC
(3,6),-0.380392 # DEPENDENCYPART_ARC
(3,7),0.0546209 # DEPENDENCYPART_ARC
(4,3),-0.208089 # DEPENDENCYPART_ARC
(4,6),-0.590205 # DEPENDENCYPART_ARC
(4,7),-0.552385 # DEPENDENCYPART_ARC
(5,1),0.839902 # DEPENDENCYPART_ARC
(5,2),1.4926 # DEPENDENCYPART_ARC
(5,3),0.615388 # DEPENDENCYPART_ARC
(5,4),3.00614 # DEPENDENCYPART_ARC
(5,6),-0.738178 # DEPENDENCYPART_ARC
(5,7),-1.03902 # DEPENDENCYPART_ARC
(6,1),-0.852191 # DEPENDENCYPART_ARC
(6,2),-0.0378081 # DEPENDENCYPART_ARC
(6,3),2.32443 # DEPENDENCYPART_ARC
(6,4),0.679916 # DEPENDENCYPART_ARC
(6,5),2.74039 # DEPENDENCYPART_ARC
(6,7),1.56537 # DEPENDENCYPART_ARC
