# _root_ Az érdekvédők továbbra is ragaszkodtak ahhoz , hogy az ÉT még április 9. , a részben helyébe lépő Gazdasági_Tanács összehívása előtt üljön össze .
#goldHeads=2,5,5,5,0,5,5,5,10,22,22,13,21,21,19,18,18,19,20,21,22,6,22,5,
#predictedHeads=2,5,5,5,0,5,5,5,10,13,5,13,5,5,19,18,18,19,20,21,22,6,22,5,
(0,2),-2.37115 # DEPENDENCYPART_ARC
(0,3),-2.16043 # DEPENDENCYPART_ARC
(0,4),-2.0691 # DEPENDENCYPART_ARC
(0,5),-0.881076 # DEPENDENCYPART_ARC
(0,6),-3.42632 # DEPENDENCYPART_ARC
(0,8),-1.29053 # DEPENDENCYPART_ARC
(0,22),-2.36646 # DEPENDENCYPART_ARC
(0,23),-3.25835 # DEPENDENCYPART_ARC
(2,1),2.79551 # DEPENDENCYPART_ARC
(2,3),-0.382077 # DEPENDENCYPART_ARC
(2,5),-0.473701 # DEPENDENCYPART_ARC
(2,24),0.320623 # DEPENDENCYPART_ARC
(3,2),-0.0918271 # DEPENDENCYPART_ARC
(3,4),-0.532462 # DEPENDENCYPART_ARC
(3,5),-0.6077 # DEPENDENCYPART_ARC
(3,11),-0.906982 # DEPENDENCYPART_ARC
(3,22),-1.31492 # DEPENDENCYPART_ARC
(3,24),-0.237665 # DEPENDENCYPART_ARC
(4,1),-0.735619 # DEPENDENCYPART_ARC
(4,2),-0.60479 # DEPENDENCYPART_ARC
(4,3),0.276759 # DEPENDENCYPART_ARC
(4,5),0.488523 # DEPENDENCYPART_ARC
(4,6),-1.49166 # DEPENDENCYPART_ARC
(4,7),0.128919 # DEPENDENCYPART_ARC
(4,8),-0.273853 # DEPENDENCYPART_ARC
(4,21),-1.31189 # DEPENDENCYPART_ARC
(4,22),-1.00809 # DEPENDENCYPART_ARC
(4,24),0.940546 # DEPENDENCYPART_ARC
(5,1),-0.135299 # DEPENDENCYPART_ARC
(5,2),2.40491 # DEPENDENCYPART_ARC
(5,3),2.36184 # DEPENDENCYPART_ARC
(5,4),2.74133 # DEPENDENCYPART_ARC
(5,6),2.52175 # DEPENDENCYPART_ARC
(5,7),2.64589 # DEPENDENCYPART_ARC
(5,8),3.25197 # DEPENDENCYPART_ARC
(5,9),0.218842 # DEPENDENCYPART_ARC
(5,10),-0.213387 # DEPENDENCYPART_ARC
(5,11),1.04196 # DEPENDENCYPART_ARC
(5,12),-0.521764 # DEPENDENCYPART_ARC
(5,13),0.910958 # DEPENDENCYPART_ARC
(5,14),1.16781 # DEPENDENCYPART_ARC
(5,16),0.227742 # DEPENDENCYPART_ARC
(5,17),-0.784226 # DEPENDENCYPART_ARC
(5,18),-0.770104 # DEPENDENCYPART_ARC
(5,19),-1.4468 # DEPENDENCYPART_ARC
(5,20),-0.793176 # DEPENDENCYPART_ARC
(5,21),0.397134 # DEPENDENCYPART_ARC
(5,22),1.65609 # DEPENDENCYPART_ARC
(5,23),0.446544 # DEPENDENCYPART_ARC
(5,24),3.28136 # DEPENDENCYPART_ARC
(6,2),-1.37771 # DEPENDENCYPART_ARC
(6,3),-0.507681 # DEPENDENCYPART_ARC
(6,4),-0.94849 # DEPENDENCYPART_ARC
(6,5),-0.306329 # DEPENDENCYPART_ARC
(6,7),0.218302 # DEPENDENCYPART_ARC
(6,8),-0.360284 # DEPENDENCYPART_ARC
(6,10),-0.430336 # DEPENDENCYPART_ARC
(6,11),-0.245241 # DEPENDENCYPART_ARC
(6,12),-0.485441 # DEPENDENCYPART_ARC
(6,13),-0.634012 # DEPENDENCYPART_ARC
(6,14),0.0785793 # DEPENDENCYPART_ARC
(6,16),-0.0996367 # DEPENDENCYPART_ARC
(6,17),-1.10836 # DEPENDENCYPART_ARC
(6,18),-0.819884 # DEPENDENCYPART_ARC
(6,19),-0.978064 # DEPENDENCYPART_ARC
(6,20),-1.1276 # DEPENDENCYPART_ARC
(6,21),-0.307768 # DEPENDENCYPART_ARC
(6,22),2.85684 # DEPENDENCYPART_ARC
(6,23),-0.120607 # DEPENDENCYPART_ARC
(6,24),0.169825 # DEPENDENCYPART_ARC
(8,2),-0.0331029 # DEPENDENCYPART_ARC
(8,3),0.188157 # DEPENDENCYPART_ARC
(8,4),0.305071 # DEPENDENCYPART_ARC
(8,5),-0.192365 # DEPENDENCYPART_ARC
(8,6),-0.759763 # DEPENDENCYPART_ARC
(8,7),1.08683 # DEPENDENCYPART_ARC
(8,10),-0.43372 # DEPENDENCYPART_ARC
(8,11),-0.12612 # DEPENDENCYPART_ARC
(8,13),-0.748179 # DEPENDENCYPART_ARC
(8,14),-0.136056 # DEPENDENCYPART_ARC
(8,16),-0.117112 # DEPENDENCYPART_ARC
(8,18),-0.473419 # DEPENDENCYPART_ARC
(8,22),0.688694 # DEPENDENCYPART_ARC
(8,24),1.9543 # DEPENDENCYPART_ARC
(10,6),-2.56276 # DEPENDENCYPART_ARC
(10,9),2.25306 # DEPENDENCYPART_ARC
(11,2),-1.51949 # DEPENDENCYPART_ARC
(11,3),-0.964756 # DEPENDENCYPART_ARC
(11,4),-0.635231 # DEPENDENCYPART_ARC
(11,5),-0.575465 # DEPENDENCYPART_ARC
(11,8),-0.52273 # DEPENDENCYPART_ARC
(11,10),-0.046122 # DEPENDENCYPART_ARC
(11,12),-0.689289 # DEPENDENCYPART_ARC
(11,13),-0.446638 # DEPENDENCYPART_ARC
(11,14),-0.385405 # DEPENDENCYPART_ARC
(11,16),-0.85808 # DEPENDENCYPART_ARC
(11,19),-1.91482 # DEPENDENCYPART_ARC
(11,21),-0.681759 # DEPENDENCYPART_ARC
(11,22),-1.04122 # DEPENDENCYPART_ARC
(11,24),-1.20511 # DEPENDENCYPART_ARC
(12,6),-3.21143 # DEPENDENCYPART_ARC
(12,7),-1.05513 # DEPENDENCYPART_ARC
(12,8),-1.64918 # DEPENDENCYPART_ARC
(12,9),-0.529043 # DEPENDENCYPART_ARC
(12,10),0.233925 # DEPENDENCYPART_ARC
(12,11),-0.486085 # DEPENDENCYPART_ARC
(12,22),-1.312 # DEPENDENCYPART_ARC
(13,2),-1.05106 # DEPENDENCYPART_ARC
(13,3),-1.02053 # DEPENDENCYPART_ARC
(13,4),-0.929991 # DEPENDENCYPART_ARC
(13,5),-1.72819 # DEPENDENCYPART_ARC
(13,6),-2.99442 # DEPENDENCYPART_ARC
(13,7),0.294477 # DEPENDENCYPART_ARC
(13,8),-0.491319 # DEPENDENCYPART_ARC
