# _root_ — A kérdés provokatív , ám — bár ezt senki nem mondta ki — a le nem fektetett etikai normákból kiolvasható , hogy egy MÁV-vezérnek nem illik lecövekelni egyetlen párt mellé sem .
#goldHeads=6,3,4,6,6,0,23,23,12,12,12,23,12,23,20,18,18,20,20,23,23,23,6,25,28,27,23,27,30,31,28,27,6,
#predictedHeads=12,3,4,8,6,0,8,23,12,12,12,6,12,12,20,18,18,20,20,21,23,12,12,25,27,27,23,27,30,31,28,9,6,
(0,4),-2.49896 # DEPENDENCYPART_ARC
(0,6),-0.876567 # DEPENDENCYPART_ARC
(0,8),-1.5928 # DEPENDENCYPART_ARC
(0,9),-4.32813 # DEPENDENCYPART_ARC
(0,12),-0.677116 # DEPENDENCYPART_ARC
(0,13),-3.20448 # DEPENDENCYPART_ARC
(0,16),-2.98075 # DEPENDENCYPART_ARC
(0,23),-2.40427 # DEPENDENCYPART_ARC
(0,26),-3.29157 # DEPENDENCYPART_ARC
(0,27),-3.07103 # DEPENDENCYPART_ARC
(0,28),-3.50142 # DEPENDENCYPART_ARC
(0,32),-4.43292 # DEPENDENCYPART_ARC
(2,1),-0.485176 # DEPENDENCYPART_ARC
(2,4),-0.42282 # DEPENDENCYPART_ARC
(2,5),-0.294789 # DEPENDENCYPART_ARC
(3,2),2.35154 # DEPENDENCYPART_ARC
(3,31),-1.40796 # DEPENDENCYPART_ARC
(4,1),0.0277555 # DEPENDENCYPART_ARC
(4,2),0.159067 # DEPENDENCYPART_ARC
(4,3),1.26344 # DEPENDENCYPART_ARC
(4,5),0.133046 # DEPENDENCYPART_ARC
(4,6),-0.665125 # DEPENDENCYPART_ARC
(4,7),-0.149974 # DEPENDENCYPART_ARC
(4,10),-1.09989 # DEPENDENCYPART_ARC
(4,12),-0.238417 # DEPENDENCYPART_ARC
(4,33),1.37647 # DEPENDENCYPART_ARC
(6,1),0.898551 # DEPENDENCYPART_ARC
(6,2),-0.166373 # DEPENDENCYPART_ARC
