# _root_ Hogy Récsey vállalkozó , netán másként vállalkozó , azt nehéz lenne eldönteni .
#goldHeads=11,9,9,11,9,9,9,11,12,11,0,11,11,
#predictedHeads=12,3,9,7,12,12,11,11,12,11,0,11,11,
(0,1),-2.30344 # DEPENDENCYPART_ARC
(0,2),-2.28989 # DEPENDENCYPART_ARC
(0,3),-3.09983 # DEPENDENCYPART_ARC
(0,5),-2.92002 # DEPENDENCYPART_ARC
(0,6),-2.7322 # DEPENDENCYPART_ARC
(0,7),-3.2961 # DEPENDENCYPART_ARC
(0,9),-4.90419 # DEPENDENCYPART_ARC
(0,10),-3.8868 # DEPENDENCYPART_ARC
(0,11),-2.55716 # DEPENDENCYPART_ARC
(0,12),-2.32968 # DEPENDENCYPART_ARC
(1,2),-0.516717 # DEPENDENCYPART_ARC
(1,3),-0.750768 # DEPENDENCYPART_ARC
(1,4),-0.14653 # DEPENDENCYPART_ARC
(1,5),-0.759316 # DEPENDENCYPART_ARC
(1,6),-0.751846 # DEPENDENCYPART_ARC
(1,7),-1.78087 # DEPENDENCYPART_ARC
(1,8),-0.132618 # DEPENDENCYPART_ARC
(1,10),-2.21506 # DEPENDENCYPART_ARC
(1,11),-0.511518 # DEPENDENCYPART_ARC
(1,12),-0.841877 # DEPENDENCYPART_ARC
(1,13),-0.328901 # DEPENDENCYPART_ARC
(2,1),-0.778303 # DEPENDENCYPART_ARC
(2,3),-0.0555077 # DEPENDENCYPART_ARC
(2,4),-0.278072 # DEPENDENCYPART_ARC
(2,7),-1.02665 # DEPENDENCYPART_ARC
(2,8),-0.251476 # DEPENDENCYPART_ARC
(2,9),-2.27651 # DEPENDENCYPART_ARC
(2,10),-1.36836 # DEPENDENCYPART_ARC
(2,11),-0.699828 # DEPENDENCYPART_ARC
(2,12),-0.26821 # DEPENDENCYPART_ARC
(2,13),0.328893 # DEPENDENCYPART_ARC
(3,1),0.266358 # DEPENDENCYPART_ARC
(3,2),3.45628 # DEPENDENCYPART_ARC
(3,4),0.168826 # DEPENDENCYPART_ARC
(3,5),-0.689609 # DEPENDENCYPART_ARC
(3,6),-0.668301 # DEPENDENCYPART_ARC
(3,7),-0.958428 # DEPENDENCYPART_ARC
(3,8),-0.139989 # DEPENDENCYPART_ARC
(3,10),-1.36584 # DEPENDENCYPART_ARC
(3,11),-0.272125 # DEPENDENCYPART_ARC
(3,12),-0.19889 # DEPENDENCYPART_ARC
(3,13),0.462073 # DEPENDENCYPART_ARC
(5,1),-0.618663 # DEPENDENCYPART_ARC
(5,2),-0.686546 # DEPENDENCYPART_ARC
(5,3),-0.903256 # DEPENDENCYPART_ARC
(5,4),-0.392749 # DEPENDENCYPART_ARC
(5,6),-0.375223 # DEPENDENCYPART_ARC
(5,7),-0.319397 # DEPENDENCYPART_ARC
(5,8),0.01091 # DEPENDENCYPART_ARC
(5,10),-0.900255 # DEPENDENCYPART_ARC
(5,11),-0.144827 # DEPENDENCYPART_ARC
(5,12),-0.621835 # DEPENDENCYPART_ARC
(5,13),0.0411081 # DEPENDENCYPART_ARC
(6,1),-0.517871 # DEPENDENCYPART_ARC
(6,2),-0.783914 # DEPENDENCYPART_ARC
(6,3),-0.887614 # DEPENDENCYPART_ARC
(6,4),-0.360216 # DEPENDENCYPART_ARC
(6,5),0.12323 # DEPENDENCYPART_ARC
(6,7),-0.623212 # DEPENDENCYPART_ARC
(6,8),-0.205728 # DEPENDENCYPART_ARC
(6,10),-0.986231 # DEPENDENCYPART_ARC
(6,11),-0.421038 # DEPENDENCYPART_ARC
(6,12),-0.813642 # DEPENDENCYPART_ARC
(6,13),-0.00803622 # DEPENDENCYPART_ARC
(7,1),-0.54275 # DEPENDENCYPART_ARC
(7,2),0.60127 # DEPENDENCYPART_ARC
(7,3),-0.938095 # DEPENDENCYPART_ARC
(7,4),0.55585 # DEPENDENCYPART_ARC
(7,5),0.594002 # DEPENDENCYPART_ARC
(7,6),0.566205 # DEPENDENCYPART_ARC
(7,8),0.525947 # DEPENDENCYPART_ARC
(7,10),-0.0579234 # DEPENDENCYPART_ARC
(7,11),0.329024 # DEPENDENCYPART_ARC
(7,12),0.3748 # DEPENDENCYPART_ARC
(7,13),1.18066 # DEPENDENCYPART_ARC
(9,1),-0.0628507 # DEPENDENCYPART_ARC
(9,2),-0.394849 # DEPENDENCYPART_ARC
(9,3),-0.321963 # DEPENDENCYPART_ARC
(9,4),-0.0717387 # DEPENDENCYPART_ARC
(9,5),0.305197 # DEPENDENCYPART_ARC
(9,6),0.562809 # DEPENDENCYPART_ARC
(9,7),-0.327504 # DEPENDENCYPART_ARC
(9,8),-0.0653428 # DEPENDENCYPART_ARC
(9,10),0.565368 # DEPENDENCYPART_ARC
(9,11),1.53679 # DEPENDENCYPART_ARC
(9,12),0.606271 # DEPENDENCYPART_ARC
(9,13),0.116651 # DEPENDENCYPART_ARC
(10,1),-0.681947 # DEPENDENCYPART_ARC
(10,2),-0.182814 # DEPENDENCYPART_ARC
(10,3),-1.9691 # DEPENDENCYPART_ARC
(10,4),-0.0436899 # DEPENDENCYPART_ARC
(10,5),-0.0402309 # DEPENDENCYPART_ARC
(10,6),-0.12735 # DEPENDENCYPART_ARC
(10,7),-0.896994 # DEPENDENCYPART_ARC
(10,8),-0.0290796 # DEPENDENCYPART_ARC
(10,9),0.529522 # DEPENDENCYPART_ARC
(10,11),-0.206646 # DEPENDENCYPART_ARC
(10,12),-0.231997 # DEPENDENCYPART_ARC
(10,13),0.103844 # DEPENDENCYPART_ARC
(11,1),0.34386 # DEPENDENCYPART_ARC
(11,2),0.0253541 # DEPENDENCYPART_ARC
(11,3),-0.771704 # DEPENDENCYPART_ARC
(11,4),0.444778 # DEPENDENCYPART_ARC
(11,5),0.0196172 # DEPENDENCYPART_ARC
(11,6),0.126884 # DEPENDENCYPART_ARC
(11,7),-0.121639 # DEPENDENCYPART_ARC
(11,8),0.654095 # DEPENDENCYPART_ARC
(11,9),1.47669 # DEPENDENCYPART_ARC
(11,10),2.24833 # DEPENDENCYPART_ARC
(11,12),3.8828 # DEPENDENCYPART_ARC
(11,13),1.704 # DEPENDENCYPART_ARC
(12,1),0.375412 # DEPENDENCYPART_ARC
(12,2),-0.958424 # DEPENDENCYPART_ARC
(12,3),-1.14381 # DEPENDENCYPART_ARC
(12,4),0.312454 # DEPENDENCYPART_ARC
(12,5),1.00967 # DEPENDENCYPART_ARC
(12,6),0.752871 # DEPENDENCYPART_ARC
(12,7),-0.404052 # DEPENDENCYPART_ARC
(12,8),0.594095 # DEPENDENCYPART_ARC
(12,9),2.56819 # DEPENDENCYPART_ARC
(12,10),1.85066 # DEPENDENCYPART_ARC
(12,11),1.03686 # DEPENDENCYPART_ARC
(12,13),0.44223 # DEPENDENCYPART_ARC
