# _root_ Azt , hogy melyik banknév lehet alkalmas a kívülállók megtévesztésére , jelenleg az ÁPTF dönti el .
#goldHeads=15,15,15,5,6,1,6,9,10,6,15,15,14,15,0,15,15,
#predictedHeads=3,3,0,5,6,1,6,9,10,6,6,15,14,15,1,15,6,
(0,1),-3.33398 # DEPENDENCYPART_ARC
(0,3),-0.704051 # DEPENDENCYPART_ARC
(0,5),-2.95291 # DEPENDENCYPART_ARC
(0,6),-1.31749 # DEPENDENCYPART_ARC
(0,7),-2.39328 # DEPENDENCYPART_ARC
(0,12),-2.71103 # DEPENDENCYPART_ARC
(0,15),-1.41557 # DEPENDENCYPART_ARC
(0,16),-2.82946 # DEPENDENCYPART_ARC
(1,2),0.567485 # DEPENDENCYPART_ARC
(1,3),0.0614804 # DEPENDENCYPART_ARC
(1,4),-0.191066 # DEPENDENCYPART_ARC
(1,5),0.328699 # DEPENDENCYPART_ARC
(1,6),2.13986 # DEPENDENCYPART_ARC
(1,7),0.502269 # DEPENDENCYPART_ARC
(1,9),-0.23301 # DEPENDENCYPART_ARC
(1,10),-0.648446 # DEPENDENCYPART_ARC
(1,11),0.369088 # DEPENDENCYPART_ARC
(1,12),0.282993 # DEPENDENCYPART_ARC
(1,14),-0.438806 # DEPENDENCYPART_ARC
(1,15),2.07763 # DEPENDENCYPART_ARC
(1,16),0.0844127 # DEPENDENCYPART_ARC
(1,17),0.513067 # DEPENDENCYPART_ARC
(3,1),-0.0325598 # DEPENDENCYPART_ARC
(3,2),1.11153 # DEPENDENCYPART_ARC
(3,5),-0.732773 # DEPENDENCYPART_ARC
(3,6),1.01491 # DEPENDENCYPART_ARC
(3,7),-0.506574 # DEPENDENCYPART_ARC
(3,10),-1.6618 # DEPENDENCYPART_ARC
(3,11),0.0723391 # DEPENDENCYPART_ARC
(3,12),0.0111646 # DEPENDENCYPART_ARC
(3,15),0.276367 # DEPENDENCYPART_ARC
(3,17),1.99568 # DEPENDENCYPART_ARC
(4,2),-1.07673 # DEPENDENCYPART_ARC
(4,5),-0.0552054 # DEPENDENCYPART_ARC
