# _root_ A megyei munkaügyi központokat és a társminisztériumokat is arra ösztönzi a gazdasági tárca , hogy segítsenek megoldani a bányászok elhelyezkedését , illetve átképzését megfelelő munkákra .
#goldHeads=4,4,4,10,10,7,10,10,10,0,13,13,10,10,10,9,16,19,20,17,17,17,17,25,17,10,
#predictedHeads=4,4,4,10,10,7,10,10,10,0,13,13,10,10,10,9,16,19,20,17,10,25,24,25,17,10,
(0,4),-3.48083 # DEPENDENCYPART_ARC
(0,5),-2.92308 # DEPENDENCYPART_ARC
(0,8),-2.50717 # DEPENDENCYPART_ARC
(0,9),-3.73525 # DEPENDENCYPART_ARC
(0,10),-1.16031 # DEPENDENCYPART_ARC
(0,15),-1.48352 # DEPENDENCYPART_ARC
(0,16),-2.59896 # DEPENDENCYPART_ARC
(0,17),-2.75835 # DEPENDENCYPART_ARC
(0,22),-2.86068 # DEPENDENCYPART_ARC
(1,2),-0.0466134 # DEPENDENCYPART_ARC
(1,3),-0.254959 # DEPENDENCYPART_ARC
(2,1),0.591803 # DEPENDENCYPART_ARC
(2,10),-1.10116 # DEPENDENCYPART_ARC
(2,26),0.114791 # DEPENDENCYPART_ARC
(3,1),-0.138012 # DEPENDENCYPART_ARC
(3,2),1.41595 # DEPENDENCYPART_ARC
(3,10),-1.30214 # DEPENDENCYPART_ARC
(4,1),2.00408 # DEPENDENCYPART_ARC
(4,2),2.75859 # DEPENDENCYPART_ARC
(4,3),3.50776 # DEPENDENCYPART_ARC
(5,1),-0.882378 # DEPENDENCYPART_ARC
(5,2),-0.30555 # DEPENDENCYPART_ARC
(5,3),-0.444682 # DEPENDENCYPART_ARC
(5,4),0.201119 # DEPENDENCYPART_ARC
(5,6),-0.460516 # DEPENDENCYPART_ARC
(5,7),0.369606 # DEPENDENCYPART_ARC
(5,8),-0.175849 # DEPENDENCYPART_ARC
(5,9),-1.33694 # DEPENDENCYPART_ARC
(5,10),0.0818637 # DEPENDENCYPART_ARC
(5,13),-0.175069 # DEPENDENCYPART_ARC
(5,14),-0.550006 # DEPENDENCYPART_ARC
(5,15),-0.187608 # DEPENDENCYPART_ARC
(5,16),-1.33662 # DEPENDENCYPART_ARC
(5,17),-1.65002 # DEPENDENCYPART_ARC
(5,20),-1.20644 # DEPENDENCYPART_ARC
(5,22),-1.30502 # DEPENDENCYPART_ARC
(5,23),-2.29487 # DEPENDENCYPART_ARC
(5,25),-2.24099 # DEPENDENCYPART_ARC
(5,26),0.062236 # DEPENDENCYPART_ARC
(7,1),-0.976264 # DEPENDENCYPART_ARC
(7,3),-0.953778 # DEPENDENCYPART_ARC
(7,4),-1.92362 # DEPENDENCYPART_ARC
(7,5),-0.386027 # DEPENDENCYPART_ARC
(7,6),2.80994 # DEPENDENCYPART_ARC
(8,2),-0.468044 # DEPENDENCYPART_ARC
(8,3),-0.551819 # DEPENDENCYPART_ARC
(8,4),-1.16332 # DEPENDENCYPART_ARC
(8,5),-0.0471547 # DEPENDENCYPART_ARC
(8,6),-0.683911 # DEPENDENCYPART_ARC
(8,7),-0.329075 # DEPENDENCYPART_ARC
(8,9),-1.52508 # DEPENDENCYPART_ARC
(8,10),0.175287 # DEPENDENCYPART_ARC
(8,13),-0.312509 # DEPENDENCYPART_ARC
(8,14),-0.148714 # DEPENDENCYPART_ARC
(8,15),-0.163659 # DEPENDENCYPART_ARC
(8,16),-1.13837 # DEPENDENCYPART_ARC
(8,17),-1.37717 # DEPENDENCYPART_ARC
(8,25),-1.69753 # DEPENDENCYPART_ARC
(8,26),-0.157111 # DEPENDENCYPART_ARC
(9,2),-0.635885 # DEPENDENCYPART_ARC
(9,3),-0.56657 # DEPENDENCYPART_ARC
(9,4),-1.51132 # DEPENDENCYPART_ARC
(9,5),-0.041376 # DEPENDENCYPART_ARC
(9,7),-1.26238 # DEPENDENCYPART_ARC
(9,8),0.295794 # DEPENDENCYPART_ARC
(9,10),1.40465 # DEPENDENCYPART_ARC
(9,12),0.643539 # DEPENDENCYPART_ARC
(9,13),0.744993 # DEPENDENCYPART_ARC
(9,14),0.883362 # DEPENDENCYPART_ARC
(9,15),1.09818 # DEPENDENCYPART_ARC
(9,16),3.82967 # DEPENDENCYPART_ARC
(9,17),0.993273 # DEPENDENCYPART_ARC
(9,19),0.53144 # DEPENDENCYPART_ARC
(9,20),-0.374887 # DEPENDENCYPART_ARC
(9,21),1.44912 # DEPENDENCYPART_ARC
(9,22),0.905409 # DEPENDENCYPART_ARC
(9,23),-0.289754 # DEPENDENCYPART_ARC
(9,24),0.773225 # DEPENDENCYPART_ARC
(9,25),-0.527389 # DEPENDENCYPART_ARC
(9,26),1.33148 # DEPENDENCYPART_ARC
(10,1),-1.21701 # DEPENDENCYPART_ARC
(10,2),-0.797982 # DEPENDENCYPART_ARC
(10,3),-0.64108 # DEPENDENCYPART_ARC
(10,4),0.487941 # DEPENDENCYPART_ARC
(10,5),0.607157 # DEPENDENCYPART_ARC
(10,6),-1.22332 # DEPENDENCYPART_ARC
(10,7),1.08564 # DEPENDENCYPART_ARC
(10,8),2.13005 # DEPENDENCYPART_ARC
(10,9),2.5454 # DEPENDENCYPART_ARC
(10,11),-0.593584 # DEPENDENCYPART_ARC
(10,12),0.24151 # DEPENDENCYPART_ARC
(10,13),2.37421 # DEPENDENCYPART_ARC
(10,14),2.29252 # DEPENDENCYPART_ARC
(10,15),2.73811 # DEPENDENCYPART_ARC
(10,16),1.22279 # DEPENDENCYPART_ARC
(10,17),1.00436 # DEPENDENCYPART_ARC
(10,18),-1.01923 # DEPENDENCYPART_ARC
(10,19),-1.03991 # DEPENDENCYPART_ARC
(10,20),1.45855 # DEPENDENCYPART_ARC
(10,21),1.55782 # DEPENDENCYPART_ARC
(10,22),1.25232 # DEPENDENCYPART_ARC
(10,23),-1.46376 # DEPENDENCYPART_ARC
(10,24),-1.34721 # DEPENDENCYPART_ARC
(10,25),-1.13201 # DEPENDENCYPART_ARC
(10,26),2.65838 # DEPENDENCYPART_ARC
