# _root_ S bár aranyat ér minden találatuk , Hímer és Kökény hadrendbe állásával kézzelfoghatóvá vált , hogy a kubaiak játéka az egyéni improvizációra épül .
#goldHeads=14,14,4,14,6,4,14,12,12,12,12,14,14,0,14,14,18,19,23,22,22,23,14,14,
#predictedHeads=4,14,4,0,6,4,4,14,14,11,12,14,14,4,14,14,18,19,23,22,22,23,14,4,
(0,1),-1.83162 # DEPENDENCYPART_ARC
(0,2),-2.17347 # DEPENDENCYPART_ARC
(0,3),-2.95771 # DEPENDENCYPART_ARC
(0,4),-1.28456 # DEPENDENCYPART_ARC
(0,9),-2.24774 # DEPENDENCYPART_ARC
(0,14),-0.980929 # DEPENDENCYPART_ARC
(0,16),-3.29021 # DEPENDENCYPART_ARC
(0,23),-2.80491 # DEPENDENCYPART_ARC
(1,2),0.100303 # DEPENDENCYPART_ARC
(1,3),-0.562027 # DEPENDENCYPART_ARC
(1,4),0.706447 # DEPENDENCYPART_ARC
(1,6),-0.636821 # DEPENDENCYPART_ARC
(1,7),0.506919 # DEPENDENCYPART_ARC
(1,13),-0.909348 # DEPENDENCYPART_ARC
(1,14),0.192533 # DEPENDENCYPART_ARC
(1,15),0.494896 # DEPENDENCYPART_ARC
(1,16),-0.29999 # DEPENDENCYPART_ARC
(1,19),-1.12284 # DEPENDENCYPART_ARC
(1,23),0.106974 # DEPENDENCYPART_ARC
(1,24),2.18859 # DEPENDENCYPART_ARC
(2,1),0.358314 # DEPENDENCYPART_ARC
(2,3),-0.777651 # DEPENDENCYPART_ARC
(2,4),0.23436 # DEPENDENCYPART_ARC
(2,14),-0.94854 # DEPENDENCYPART_ARC
(2,15),-0.292293 # DEPENDENCYPART_ARC
(2,16),-0.68384 # DEPENDENCYPART_ARC
(2,23),-1.35296 # DEPENDENCYPART_ARC
(2,24),1.0256 # DEPENDENCYPART_ARC
(3,1),-0.185071 # DEPENDENCYPART_ARC
(3,2),0.193454 # DEPENDENCYPART_ARC
(3,14),-0.84041 # DEPENDENCYPART_ARC
(3,24),0.430086 # DEPENDENCYPART_ARC
(4,1),1.45234 # DEPENDENCYPART_ARC
(4,2),1.66729 # DEPENDENCYPART_ARC
(4,3),2.73809 # DEPENDENCYPART_ARC
(4,5),1.43928 # DEPENDENCYPART_ARC
(4,6),2.99418 # DEPENDENCYPART_ARC
(4,7),1.69155 # DEPENDENCYPART_ARC
(4,8),0.922366 # DEPENDENCYPART_ARC
(4,9),1.09545 # DEPENDENCYPART_ARC
(4,10),-0.439942 # DEPENDENCYPART_ARC
(4,11),0.0149569 # DEPENDENCYPART_ARC
(4,12),-0.593993 # DEPENDENCYPART_ARC
(4,13),0.796033 # DEPENDENCYPART_ARC
(4,14),1.24652 # DEPENDENCYPART_ARC
(4,15),1.40579 # DEPENDENCYPART_ARC
(4,16),1.48982 # DEPENDENCYPART_ARC
(4,18),-1.76703 # DEPENDENCYPART_ARC
(4,19),-0.733589 # DEPENDENCYPART_ARC
(4,21),-1.22894 # DEPENDENCYPART_ARC
(4,22),-1.71397 # DEPENDENCYPART_ARC
(4,23),-0.155836 # DEPENDENCYPART_ARC
(4,24),2.98033 # DEPENDENCYPART_ARC
(6,2),-1.1322 # DEPENDENCYPART_ARC
(6,3),-4.91867 # DEPENDENCYPART_ARC
(6,4),-1.69946 # DEPENDENCYPART_ARC
(6,5),3.16031 # DEPENDENCYPART_ARC
(6,7),0.0728583 # DEPENDENCYPART_ARC
(6,8),-0.723959 # DEPENDENCYPART_ARC
(6,11),-1.47167 # DEPENDENCYPART_ARC
(6,14),-0.648169 # DEPENDENCYPART_ARC
(6,23),-1.06621 # DEPENDENCYPART_ARC
(6,24),0.124186 # DEPENDENCYPART_ARC
(8,6),-0.137675 # DEPENDENCYPART_ARC
(8,7),0.401053 # DEPENDENCYPART_ARC
(8,10),-1.16203 # DEPENDENCYPART_ARC
(8,12),-1.82305 # DEPENDENCYPART_ARC
(9,1),0.323132 # DEPENDENCYPART_ARC
(9,2),0.11357 # DEPENDENCYPART_ARC
(9,4),0.289268 # DEPENDENCYPART_ARC
(9,5),-1.0697 # DEPENDENCYPART_ARC
(9,6),-0.592591 # DEPENDENCYPART_ARC
(9,7),0.521603 # DEPENDENCYPART_ARC
(9,8),-0.0926975 # DEPENDENCYPART_ARC
(9,10),0.010665 # DEPENDENCYPART_ARC
(9,11),-0.114275 # DEPENDENCYPART_ARC
(9,12),-0.776997 # DEPENDENCYPART_ARC
(9,13),-0.636846 # DEPENDENCYPART_ARC
(9,14),0.249423 # DEPENDENCYPART_ARC
(9,15),0.0666226 # DEPENDENCYPART_ARC
(9,16),-0.265681 # DEPENDENCYPART_ARC
(9,18),-1.22892 # DEPENDENCYPART_ARC
(9,19),-1.52718 # DEPENDENCYPART_ARC
(9,23),-1.49458 # DEPENDENCYPART_ARC
(9,24),-0.100999 # DEPENDENCYPART_ARC
(10,8),0.780126 # DEPENDENCYPART_ARC
(10,9),0.874711 # DEPENDENCYPART_ARC
(10,11),-0.898189 # DEPENDENCYPART_ARC
(10,12),-1.1432 # DEPENDENCYPART_ARC
(11,1),-0.00961303 # DEPENDENCYPART_ARC
