# _root_ A Hexa és a RO-LA mellett már akad más támogatónk is , de mi azt szeretnénk , ha tovább bővülne ez a kör .
#goldHeads=2,6,6,5,6,8,8,13,10,8,8,13,0,16,16,13,16,16,20,15,23,23,20,13,
#predictedHeads=2,8,6,5,6,8,8,13,10,8,8,8,0,16,16,13,16,16,20,15,23,23,20,13,
(0,3),-2.66852 # DEPENDENCYPART_ARC
(0,6),-3.50992 # DEPENDENCYPART_ARC
(0,7),-2.13401 # DEPENDENCYPART_ARC
(0,8),-0.978323 # DEPENDENCYPART_ARC
(0,9),-3.31118 # DEPENDENCYPART_ARC
(0,11),-2.30556 # DEPENDENCYPART_ARC
(0,13),-0.333573 # DEPENDENCYPART_ARC
(0,14),-2.90666 # DEPENDENCYPART_ARC
(0,15),-3.76379 # DEPENDENCYPART_ARC
(0,16),-1.41256 # DEPENDENCYPART_ARC
(0,18),-2.48939 # DEPENDENCYPART_ARC
(0,20),-2.25956 # DEPENDENCYPART_ARC
(0,21),-2.5427 # DEPENDENCYPART_ARC
(2,1),2.12733 # DEPENDENCYPART_ARC
(3,1),-0.633465 # DEPENDENCYPART_ARC
(3,2),0.521648 # DEPENDENCYPART_ARC
(3,4),-0.441838 # DEPENDENCYPART_ARC
(3,5),0.780053 # DEPENDENCYPART_ARC
(3,6),-0.0500735 # DEPENDENCYPART_ARC
(3,7),-0.407667 # DEPENDENCYPART_ARC
(3,8),0.429706 # DEPENDENCYPART_ARC
(3,10),-0.791029 # DEPENDENCYPART_ARC
(3,11),-0.387873 # DEPENDENCYPART_ARC
(3,12),-0.242352 # DEPENDENCYPART_ARC
(3,13),-0.451017 # DEPENDENCYPART_ARC
(3,15),-1.38956 # DEPENDENCYPART_ARC
(3,16),-0.965577 # DEPENDENCYPART_ARC
(3,17),-0.872803 # DEPENDENCYPART_ARC
(3,18),-0.607577 # DEPENDENCYPART_ARC
(3,19),-0.850382 # DEPENDENCYPART_ARC
(3,20),-1.42513 # DEPENDENCYPART_ARC
(3,24),2.07643 # DEPENDENCYPART_ARC
(4,3),-0.347595 # DEPENDENCYPART_ARC
(5,1),-0.719223 # DEPENDENCYPART_ARC
(5,2),-1.34309 # DEPENDENCYPART_ARC
(5,3),-0.132348 # DEPENDENCYPART_ARC
(5,4),2.27511 # DEPENDENCYPART_ARC
(5,9),-2.29959 # DEPENDENCYPART_ARC
(6,1),-0.628935 # DEPENDENCYPART_ARC
(6,2),0.92722 # DEPENDENCYPART_ARC
(6,3),1.52343 # DEPENDENCYPART_ARC
(6,4),0.26682 # DEPENDENCYPART_ARC
(6,5),3.54553 # DEPENDENCYPART_ARC
(6,7),-0.531419 # DEPENDENCYPART_ARC
(7,2),-0.440463 # DEPENDENCYPART_ARC
(7,3),-0.374023 # DEPENDENCYPART_ARC
(7,5),-0.136191 # DEPENDENCYPART_ARC
(7,6),0.443616 # DEPENDENCYPART_ARC
(7,10),-0.914792 # DEPENDENCYPART_ARC
(8,1),-1.16574 # DEPENDENCYPART_ARC
(8,2),1.25489 # DEPENDENCYPART_ARC
(8,3),1.10683 # DEPENDENCYPART_ARC
(8,4),-1.15584 # DEPENDENCYPART_ARC
(8,5),1.32653 # DEPENDENCYPART_ARC
(8,6),1.71282 # DEPENDENCYPART_ARC
(8,7),2.92628 # DEPENDENCYPART_ARC
(8,9),1.71022 # DEPENDENCYPART_ARC
(8,10),2.68212 # DEPENDENCYPART_ARC
(8,11),2.63987 # DEPENDENCYPART_ARC
(8,12),2.15001 # DEPENDENCYPART_ARC
(8,13),1.03495 # DEPENDENCYPART_ARC
(8,14),0.29662 # DEPENDENCYPART_ARC
(8,15),-0.677898 # DEPENDENCYPART_ARC
(8,16),1.08631 # DEPENDENCYPART_ARC
(8,17),1.02326 # DEPENDENCYPART_ARC
(8,18),1.27072 # DEPENDENCYPART_ARC
(8,19),-0.430227 # DEPENDENCYPART_ARC
(8,20),0.562038 # DEPENDENCYPART_ARC
(8,21),-0.759813 # DEPENDENCYPART_ARC
(8,23),-1.88495 # DEPENDENCYPART_ARC
(8,24),3.8036 # DEPENDENCYPART_ARC
(9,10),0.0957858 # DEPENDENCYPART_ARC
(9,11),-1.27963 # DEPENDENCYPART_ARC
(9,12),-0.209249 # DEPENDENCYPART_ARC
(9,13),-0.633892 # DEPENDENCYPART_ARC
(9,16),0.824134 # DEPENDENCYPART_ARC
(9,17),0.103661 # DEPENDENCYPART_ARC
(9,20),0.900173 # DEPENDENCYPART_ARC
(10,1),-1.52654 # DEPENDENCYPART_ARC
(10,2),-3.62985 # DEPENDENCYPART_ARC
(10,4),-0.230378 # DEPENDENCYPART_ARC
(10,5),-3.07958 # DEPENDENCYPART_ARC
(10,6),-0.90483 # DEPENDENCYPART_ARC
(10,7),-0.768362 # DEPENDENCYPART_ARC
(10,8),-1.60388 # DEPENDENCYPART_ARC
(10,9),2.73842 # DEPENDENCYPART_ARC
(11,5),-1.04108 # DEPENDENCYPART_ARC
(11,6),-0.518267 # DEPENDENCYPART_ARC
(11,7),-0.338666 # DEPENDENCYPART_ARC
(11,8),0.00690289 # DEPENDENCYPART_ARC
(11,9),-0.598322 # DEPENDENCYPART_ARC
(11,10),-0.111065 # DEPENDENCYPART_ARC
(11,12),-0.172597 # DEPENDENCYPART_ARC
(11,13),-0.898007 # DEPENDENCYPART_ARC
(11,15),-2.02598 # DEPENDENCYPART_ARC
(11,16),-0.695016 # DEPENDENCYPART_ARC
(11,17),-0.493735 # DEPENDENCYPART_ARC
(11,18),-0.707403 # DEPENDENCYPART_ARC
(11,19),-1.26054 # DEPENDENCYPART_ARC
(11,21),-1.58805 # DEPENDENCYPART_ARC
(11,23),-1.88093 # DEPENDENCYPART_ARC
(11,24),0.723892 # DEPENDENCYPART_ARC
(13,2),-1.21026 # DEPENDENCYPART_ARC
(13,3),0.0172537 # DEPENDENCYPART_ARC
(13,5),-0.937753 # DEPENDENCYPART_ARC
(13,6),-0.317659 # DEPENDENCYPART_ARC
(13,7),-0.200491 # DEPENDENCYPART_ARC
(13,8),1.37901 # DEPENDENCYPART_ARC
(13,9),-0.293364 # DEPENDENCYPART_ARC
(13,10),-0.443329 # DEPENDENCYPART_ARC
(13,11),0.617894 # DEPENDENCYPART_ARC
(13,12),1.99883 # DEPENDENCYPART_ARC
(13,15),-1.24796 # DEPENDENCYPART_ARC
(13,16),1.655 # DEPENDENCYPART_ARC
(13,17),0.28433 # DEPENDENCYPART_ARC
(13,18),0.318259 # DEPENDENCYPART_ARC
(13,19),-0.349813 # DEPENDENCYPART_ARC
(13,20),0.384271 # DEPENDENCYPART_ARC
(13,21),-0.680736 # DEPENDENCYPART_ARC
(13,23),-1.56738 # DEPENDENCYPART_ARC
(13,24),3.87104 # DEPENDENCYPART_ARC
(14,8),-1.6961 # DEPENDENCYPART_ARC
(14,12),-0.0609509 # DEPENDENCYPART_ARC
(14,13),0.434545 # DEPENDENCYPART_ARC
(14,16),-1.1857 # DEPENDENCYPART_ARC
(14,17),0.925212 # DEPENDENCYPART_ARC
(14,20),-0.344267 # DEPENDENCYPART_ARC
(14,23),-0.186812 # DEPENDENCYPART_ARC
(14,24),1.05909 # DEPENDENCYPART_ARC
(15,8),-0.0326447 # DEPENDENCYPART_ARC
(15,10),-1.40255 # DEPENDENCYPART_ARC
(15,11),-0.318301 # DEPENDENCYPART_ARC
(15,12),-0.0224327 # DEPENDENCYPART_ARC
(15,13),-0.385251 # DEPENDENCYPART_ARC
(15,16),1.6468 # DEPENDENCYPART_ARC
(15,17),0.764219 # DEPENDENCYPART_ARC
(15,18),1.00007 # DEPENDENCYPART_ARC
(15,19),0.287208 # DEPENDENCYPART_ARC
(15,20),2.69357 # DEPENDENCYPART_ARC
(15,21),0.143681 # DEPENDENCYPART_ARC
(15,23),0.576407 # DEPENDENCYPART_ARC
(15,24),0.996524 # DEPENDENCYPART_ARC
(16,1),-1.03138 # DEPENDENCYPART_ARC
(16,2),-2.11921 # DEPENDENCYPART_ARC
(16,3),-0.132018 # DEPENDENCYPART_ARC
(16,4),-1.08747 # DEPENDENCYPART_ARC
(16,5),-2.81125 # DEPENDENCYPART_ARC
(16,6),0.190306 # DEPENDENCYPART_ARC
(16,7),0.11953 # DEPENDENCYPART_ARC
(16,8),-0.852901 # DEPENDENCYPART_ARC
(16,9),-1.78655 # DEPENDENCYPART_ARC
(16,10),-0.783341 # DEPENDENCYPART_ARC
(16,11),0.575342 # DEPENDENCYPART_ARC
(16,12),0.464039 # DEPENDENCYPART_ARC
(16,13),1.09883 # DEPENDENCYPART_ARC
(16,14),2.22294 # DEPENDENCYPART_ARC
(16,15),2.93234 # DEPENDENCYPART_ARC
(16,17),2.78686 # DEPENDENCYPART_ARC
(16,18),2.38197 # DEPENDENCYPART_ARC
(16,19),0.21189 # DEPENDENCYPART_ARC
(16,20),1.48766 # DEPENDENCYPART_ARC
(16,21),-1.36753 # DEPENDENCYPART_ARC
(16,22),-0.699496 # DEPENDENCYPART_ARC
(16,23),-2.22498 # DEPENDENCYPART_ARC
(16,24),2.7546 # DEPENDENCYPART_ARC
(18,2),-1.1329 # DEPENDENCYPART_ARC
(18,3),-1.09237 # DEPENDENCYPART_ARC
(18,5),-0.787815 # DEPENDENCYPART_ARC
(18,6),-0.489437 # DEPENDENCYPART_ARC
(18,7),-0.147631 # DEPENDENCYPART_ARC
(18,8),-0.975094 # DEPENDENCYPART_ARC
(18,9),-0.409862 # DEPENDENCYPART_ARC
(18,10),-0.841529 # DEPENDENCYPART_ARC
(18,11),0.0593436 # DEPENDENCYPART_ARC
(18,12),0.472547 # DEPENDENCYPART_ARC
(18,13),0.746647 # DEPENDENCYPART_ARC
(18,15),-0.639119 # DEPENDENCYPART_ARC
(18,16),-0.296056 # DEPENDENCYPART_ARC
(18,17),1.23575 # DEPENDENCYPART_ARC
(18,19),-0.527599 # DEPENDENCYPART_ARC
(18,20),0.374802 # DEPENDENCYPART_ARC
(18,23),-1.51021 # DEPENDENCYPART_ARC
(18,24),1.37938 # DEPENDENCYPART_ARC
(19,18),-0.805702 # DEPENDENCYPART_ARC
(19,23),-1.8924 # DEPENDENCYPART_ARC
(20,1),-1.57384 # DEPENDENCYPART_ARC
(20,2),-1.99718 # DEPENDENCYPART_ARC
(20,3),-0.737584 # DEPENDENCYPART_ARC
(20,4),-1.77372 # DEPENDENCYPART_ARC
(20,5),-2.49114 # DEPENDENCYPART_ARC
(20,6),-0.617418 # DEPENDENCYPART_ARC
(20,7),-0.898311 # DEPENDENCYPART_ARC
(20,8),-1.84657 # DEPENDENCYPART_ARC
(20,9),-2.68697 # DEPENDENCYPART_ARC
(20,10),-0.150966 # DEPENDENCYPART_ARC
(20,11),-0.466876 # DEPENDENCYPART_ARC
(20,12),-0.29854 # DEPENDENCYPART_ARC
(20,13),0.346374 # DEPENDENCYPART_ARC
(20,14),-1.36334 # DEPENDENCYPART_ARC
(20,15),-0.663771 # DEPENDENCYPART_ARC
(20,16),1.31126 # DEPENDENCYPART_ARC
(20,17),0.832583 # DEPENDENCYPART_ARC
(20,18),0.595796 # DEPENDENCYPART_ARC
(20,19),2.48695 # DEPENDENCYPART_ARC
(20,21),0.895676 # DEPENDENCYPART_ARC
(20,22),-0.545837 # DEPENDENCYPART_ARC
(20,23),1.12123 # DEPENDENCYPART_ARC
(20,24),1.58211 # DEPENDENCYPART_ARC
(21,11),-0.451483 # DEPENDENCYPART_ARC
(21,15),-2.21006 # DEPENDENCYPART_ARC
(21,18),-0.478246 # DEPENDENCYPART_ARC
(21,19),-0.714867 # DEPENDENCYPART_ARC
(21,20),-0.44091 # DEPENDENCYPART_ARC
(21,23),0.499259 # DEPENDENCYPART_ARC
(21,24),0.451895 # DEPENDENCYPART_ARC
(23,15),-3.80002 # DEPENDENCYPART_ARC
(23,19),-1.20533 # DEPENDENCYPART_ARC
(23,21),1.66282 # DEPENDENCYPART_ARC
(23,22),2.85393 # DEPENDENCYPART_ARC
