# _root_ A Gazdasági_Minisztérium utasítja az ITD_Hungary vezérigazgatóját , hogy dolgozzanak ki olyan térségi programokat , amelyek lehetővé teszik a bányászok foglalkoztatását .
#goldHeads=2,3,0,5,6,3,3,3,3,9,13,13,9,9,17,17,11,19,20,17,3,
#predictedHeads=2,3,0,5,6,3,3,3,3,9,13,13,9,9,17,17,11,19,20,17,3,
(0,2),-1.8666 # DEPENDENCYPART_ARC
(0,3),-0.475874 # DEPENDENCYPART_ARC
(0,8),-1.05665 # DEPENDENCYPART_ARC
(0,9),-2.00451 # DEPENDENCYPART_ARC
(0,10),-2.81927 # DEPENDENCYPART_ARC
(0,11),-3.29523 # DEPENDENCYPART_ARC
(0,17),-1.90485 # DEPENDENCYPART_ARC
(1,6),-1.65742 # DEPENDENCYPART_ARC
(2,1),1.8058 # DEPENDENCYPART_ARC
(2,3),-0.28853 # DEPENDENCYPART_ARC
(2,5),-1.13317 # DEPENDENCYPART_ARC
(2,6),-1.44339 # DEPENDENCYPART_ARC
(2,7),-0.379561 # DEPENDENCYPART_ARC
(2,8),-0.888591 # DEPENDENCYPART_ARC
(2,9),-1.50982 # DEPENDENCYPART_ARC
(2,11),-1.96792 # DEPENDENCYPART_ARC
(2,13),-2.65313 # DEPENDENCYPART_ARC
(2,17),-0.696646 # DEPENDENCYPART_ARC
(2,21),0.508586 # DEPENDENCYPART_ARC
(3,1),-0.549459 # DEPENDENCYPART_ARC
(3,2),3.42802 # DEPENDENCYPART_ARC
(3,4),-0.665885 # DEPENDENCYPART_ARC
(3,5),1.01139 # DEPENDENCYPART_ARC
(3,6),3.1654 # DEPENDENCYPART_ARC
(3,7),1.53154 # DEPENDENCYPART_ARC
(3,8),2.30067 # DEPENDENCYPART_ARC
(3,9),1.38593 # DEPENDENCYPART_ARC
(3,10),0.428264 # DEPENDENCYPART_ARC
(3,11),-1.50961 # DEPENDENCYPART_ARC
(3,12),-1.11323 # DEPENDENCYPART_ARC
(3,13),0.289852 # DEPENDENCYPART_ARC
(3,14),1.23644 # DEPENDENCYPART_ARC
(3,15),-1.88382 # DEPENDENCYPART_ARC
(3,16),-0.023958 # DEPENDENCYPART_ARC
(3,17),0.0327037 # DEPENDENCYPART_ARC
(3,19),-2.50301 # DEPENDENCYPART_ARC
(3,20),0.0385927 # DEPENDENCYPART_ARC
(3,21),2.53006 # DEPENDENCYPART_ARC
(5,1),-1.08871 # DEPENDENCYPART_ARC
(5,4),2.22549 # DEPENDENCYPART_ARC
(5,9),-1.61646 # DEPENDENCYPART_ARC
(6,1),-1.77763 # DEPENDENCYPART_ARC
(6,2),-0.502711 # DEPENDENCYPART_ARC
(6,3),-1.32382 # DEPENDENCYPART_ARC
(6,4),1.12791 # DEPENDENCYPART_ARC
(6,5),3.8573 # DEPENDENCYPART_ARC
(6,7),-0.341605 # DEPENDENCYPART_ARC
(6,9),-2.15975 # DEPENDENCYPART_ARC
(6,13),-1.94137 # DEPENDENCYPART_ARC
(6,17),-1.88811 # DEPENDENCYPART_ARC
(6,20),-3.0074 # DEPENDENCYPART_ARC
(6,21),0.546683 # DEPENDENCYPART_ARC
(8,2),-0.0662542 # DEPENDENCYPART_ARC
(8,3),-0.0733199 # DEPENDENCYPART_ARC
(8,5),1.09113 # DEPENDENCYPART_ARC
(8,6),0.372935 # DEPENDENCYPART_ARC
(8,7),1.08932 # DEPENDENCYPART_ARC
(8,9),0.8107 # DEPENDENCYPART_ARC
(8,10),-0.498871 # DEPENDENCYPART_ARC
(8,12),-0.563468 # DEPENDENCYPART_ARC
(8,13),-1.57123 # DEPENDENCYPART_ARC
(8,14),0.341959 # DEPENDENCYPART_ARC
(8,16),-0.936731 # DEPENDENCYPART_ARC
(8,17),0.249483 # DEPENDENCYPART_ARC
(8,20),-2.29113 # DEPENDENCYPART_ARC
(8,21),2.32374 # DEPENDENCYPART_ARC
(9,1),-2.39875 # DEPENDENCYPART_ARC
(9,2),-1.24994 # DEPENDENCYPART_ARC
(9,3),-1.74813 # DEPENDENCYPART_ARC
(9,4),-1.797 # DEPENDENCYPART_ARC
(9,5),-1.04807 # DEPENDENCYPART_ARC
(9,6),-1.014 # DEPENDENCYPART_ARC
(9,7),-0.32085 # DEPENDENCYPART_ARC
(9,8),-1.04178 # DEPENDENCYPART_ARC
(9,10),2.18315 # DEPENDENCYPART_ARC
(9,11),0.620337 # DEPENDENCYPART_ARC
(9,12),0.193093 # DEPENDENCYPART_ARC
(9,13),2.9866 # DEPENDENCYPART_ARC
(9,14),1.56112 # DEPENDENCYPART_ARC
(9,15),-0.710489 # DEPENDENCYPART_ARC
(9,16),0.98018 # DEPENDENCYPART_ARC
(9,17),0.715214 # DEPENDENCYPART_ARC
(9,19),-0.00760359 # DEPENDENCYPART_ARC
(9,20),0.81702 # DEPENDENCYPART_ARC
(9,21),2.23974 # DEPENDENCYPART_ARC
(10,3),-0.962215 # DEPENDENCYPART_ARC
(10,6),-1.10148 # DEPENDENCYPART_ARC
(10,7),-0.376285 # DEPENDENCYPART_ARC
(10,8),-0.605312 # DEPENDENCYPART_ARC
(10,9),0.184793 # DEPENDENCYPART_ARC
(10,13),-0.335517 # DEPENDENCYPART_ARC
(10,14),-0.0759807 # DEPENDENCYPART_ARC
(10,19),-1.59834 # DEPENDENCYPART_ARC
(10,20),-1.44626 # DEPENDENCYPART_ARC
(10,21),0.0979379 # DEPENDENCYPART_ARC
(11,3),-0.764215 # DEPENDENCYPART_ARC
(11,5),-1.64793 # DEPENDENCYPART_ARC
(11,6),-2.47799 # DEPENDENCYPART_ARC
(11,7),-0.734243 # DEPENDENCYPART_ARC
(11,8),-1.00718 # DEPENDENCYPART_ARC
(11,9),-0.731866 # DEPENDENCYPART_ARC
(11,12),0.341689 # DEPENDENCYPART_ARC
(11,13),0.207806 # DEPENDENCYPART_ARC
(11,14),0.305262 # DEPENDENCYPART_ARC
(11,15),-0.295246 # DEPENDENCYPART_ARC
(11,16),-0.0773199 # DEPENDENCYPART_ARC
(11,17),1.63125 # DEPENDENCYPART_ARC
(11,19),0.0322945 # DEPENDENCYPART_ARC
(11,20),-0.39878 # DEPENDENCYPART_ARC
(11,21),0.654513 # DEPENDENCYPART_ARC
(12,2),-2.30588 # DEPENDENCYPART_ARC
(12,3),-1.34862 # DEPENDENCYPART_ARC
(12,5),-1.85073 # DEPENDENCYPART_ARC
(12,6),-1.91354 # DEPENDENCYPART_ARC
(12,7),-0.499704 # DEPENDENCYPART_ARC
(12,8),-0.703879 # DEPENDENCYPART_ARC
(12,10),0.611756 # DEPENDENCYPART_ARC
(12,11),1.10388 # DEPENDENCYPART_ARC
(12,14),-0.485025 # DEPENDENCYPART_ARC
(12,16),-1.60019 # DEPENDENCYPART_ARC
(12,17),-1.00435 # DEPENDENCYPART_ARC
(13,1),-0.717126 # DEPENDENCYPART_ARC
(13,2),-1.85548 # DEPENDENCYPART_ARC
(13,3),-1.71885 # DEPENDENCYPART_ARC
(13,4),0.305785 # DEPENDENCYPART_ARC
(13,5),-0.51176 # DEPENDENCYPART_ARC
(13,6),-3.4722 # DEPENDENCYPART_ARC
(13,7),-0.625271 # DEPENDENCYPART_ARC
(13,8),-0.529008 # DEPENDENCYPART_ARC
(13,9),-1.0903 # DEPENDENCYPART_ARC
(13,11),2.29151 # DEPENDENCYPART_ARC
(13,12),3.71592 # DEPENDENCYPART_ARC
(13,14),0.136209 # DEPENDENCYPART_ARC
(13,15),-0.826013 # DEPENDENCYPART_ARC
(13,16),-0.299851 # DEPENDENCYPART_ARC
(13,17),-0.856778 # DEPENDENCYPART_ARC
(13,19),-1.5738 # DEPENDENCYPART_ARC
(13,20),-1.76685 # DEPENDENCYPART_ARC
(13,21),0.466071 # DEPENDENCYPART_ARC
(15,16),-0.878931 # DEPENDENCYPART_ARC
(15,19),-0.55358 # DEPENDENCYPART_ARC
(15,20),-0.700214 # DEPENDENCYPART_ARC
(16,8),-2.3906 # DEPENDENCYPART_ARC
(16,11),-1.28523 # DEPENDENCYPART_ARC
(16,12),-2.71821 # DEPENDENCYPART_ARC
(16,13),-3.65223 # DEPENDENCYPART_ARC
(16,14),-1.71518 # DEPENDENCYPART_ARC
(16,15),-0.659994 # DEPENDENCYPART_ARC
(16,19),-2.0801 # DEPENDENCYPART_ARC
(16,20),-2.66633 # DEPENDENCYPART_ARC
(17,1),-1.47194 # DEPENDENCYPART_ARC
(17,2),-0.789373 # DEPENDENCYPART_ARC
(17,3),-0.0381367 # DEPENDENCYPART_ARC
(17,4),-0.982602 # DEPENDENCYPART_ARC
(17,5),-0.967765 # DEPENDENCYPART_ARC
(17,6),-0.823896 # DEPENDENCYPART_ARC
(17,7),-0.0238854 # DEPENDENCYPART_ARC
(17,8),0.223799 # DEPENDENCYPART_ARC
(17,9),-0.126557 # DEPENDENCYPART_ARC
(17,10),0.331698 # DEPENDENCYPART_ARC
(17,11),-1.30705 # DEPENDENCYPART_ARC
(17,12),-0.220512 # DEPENDENCYPART_ARC
(17,13),1.44597 # DEPENDENCYPART_ARC
(17,14),1.05504 # DEPENDENCYPART_ARC
(17,15),2.34867 # DEPENDENCYPART_ARC
(17,16),3.17505 # DEPENDENCYPART_ARC
(17,18),-0.856798 # DEPENDENCYPART_ARC
(17,19),1.16575 # DEPENDENCYPART_ARC
(17,20),2.64131 # DEPENDENCYPART_ARC
(17,21),1.46782 # DEPENDENCYPART_ARC
(19,11),-1.57984 # DEPENDENCYPART_ARC
