# _root_ Nehézség : a magyar nyelv , ugye és az időzónák eltolódása miatti fáradékonyság , aluszékonyság .
#goldHeads=0,1,5,5,15,15,15,15,10,11,12,13,15,15,1,1,
#predictedHeads=0,1,5,5,1,15,8,11,10,11,12,13,15,15,1,1,
(0,1),-2.80099 # DEPENDENCYPART_ARC
(0,5),-3.86618 # DEPENDENCYPART_ARC
(0,7),-2.98481 # DEPENDENCYPART_ARC
(0,8),-2.92454 # DEPENDENCYPART_ARC
(0,11),-4.08646 # DEPENDENCYPART_ARC
(0,12),-3.26449 # DEPENDENCYPART_ARC
(0,13),-4.66527 # DEPENDENCYPART_ARC
(0,15),-4.57809 # DEPENDENCYPART_ARC
(1,2),0.331115 # DEPENDENCYPART_ARC
(1,4),-0.470737 # DEPENDENCYPART_ARC
(1,5),0.159918 # DEPENDENCYPART_ARC
(1,6),0.125148 # DEPENDENCYPART_ARC
(1,8),-0.017318 # DEPENDENCYPART_ARC
(1,10),-1.40334 # DEPENDENCYPART_ARC
(1,11),-0.814349 # DEPENDENCYPART_ARC
(1,12),-1.31457 # DEPENDENCYPART_ARC
(1,13),-0.883208 # DEPENDENCYPART_ARC
(1,14),0.027891 # DEPENDENCYPART_ARC
(1,15),-1.79036 # DEPENDENCYPART_ARC
(1,16),0.496649 # DEPENDENCYPART_ARC
(3,2),-1.00083 # DEPENDENCYPART_ARC
(3,4),0.0866967 # DEPENDENCYPART_ARC
(3,5),-0.661824 # DEPENDENCYPART_ARC
(3,6),-0.365121 # DEPENDENCYPART_ARC
(4,1),-3.28311 # DEPENDENCYPART_ARC
(4,2),-1.52536 # DEPENDENCYPART_ARC
(4,3),-0.288753 # DEPENDENCYPART_ARC
(4,8),-1.59752 # DEPENDENCYPART_ARC
(4,13),-1.98705 # DEPENDENCYPART_ARC
(4,14),-0.823741 # DEPENDENCYPART_ARC
(4,15),-2.62683 # DEPENDENCYPART_ARC
(4,16),-1.5788 # DEPENDENCYPART_ARC
(5,1),-1.42175 # DEPENDENCYPART_ARC
(5,2),-0.507118 # DEPENDENCYPART_ARC
(5,3),2.67358 # DEPENDENCYPART_ARC
(5,4),3.64567 # DEPENDENCYPART_ARC
(5,6),-0.078951 # DEPENDENCYPART_ARC
(5,8),-0.68737 # DEPENDENCYPART_ARC
(5,10),-1.72478 # DEPENDENCYPART_ARC
(5,11),-1.29398 # DEPENDENCYPART_ARC
(5,13),-0.955051 # DEPENDENCYPART_ARC
(5,14),-0.270841 # DEPENDENCYPART_ARC
(5,15),-1.92934 # DEPENDENCYPART_ARC
(5,16),-0.180426 # DEPENDENCYPART_ARC
(7,2),-0.756624 # DEPENDENCYPART_ARC
(7,5),-0.88681 # DEPENDENCYPART_ARC
(7,6),-0.254366 # DEPENDENCYPART_ARC
(7,10),-0.970295 # DEPENDENCYPART_ARC
(7,11),-1.0246 # DEPENDENCYPART_ARC
(8,1),-1.08549 # DEPENDENCYPART_ARC
(8,2),-0.427319 # DEPENDENCYPART_ARC
(8,3),-1.46985 # DEPENDENCYPART_ARC
(8,4),-1.1443 # DEPENDENCYPART_ARC
(8,5),-0.857217 # DEPENDENCYPART_ARC
(8,6),0.301223 # DEPENDENCYPART_ARC
(8,7),-0.324899 # DEPENDENCYPART_ARC
(8,9),-0.3428 # DEPENDENCYPART_ARC
(8,10),0.56349 # DEPENDENCYPART_ARC
(8,11),-0.105398 # DEPENDENCYPART_ARC
(8,12),-0.342252 # DEPENDENCYPART_ARC
(8,13),-0.150057 # DEPENDENCYPART_ARC
(8,14),0.00234681 # DEPENDENCYPART_ARC
(8,15),-1.03514 # DEPENDENCYPART_ARC
(8,16),0.0275884 # DEPENDENCYPART_ARC
(9,8),-0.354723 # DEPENDENCYPART_ARC
(9,11),-0.887961 # DEPENDENCYPART_ARC
(9,13),-1.06763 # DEPENDENCYPART_ARC
(10,1),-3.1555 # DEPENDENCYPART_ARC
(10,3),-0.804871 # DEPENDENCYPART_ARC
(10,4),-0.935827 # DEPENDENCYPART_ARC
(10,5),-2.13446 # DEPENDENCYPART_ARC
(10,6),-0.787651 # DEPENDENCYPART_ARC
(10,8),0.0111998 # DEPENDENCYPART_ARC
(10,9),2.8785 # DEPENDENCYPART_ARC
(10,11),-1.33591 # DEPENDENCYPART_ARC
(10,13),-1.07487 # DEPENDENCYPART_ARC
(10,14),-0.32152 # DEPENDENCYPART_ARC
(10,15),-1.85477 # DEPENDENCYPART_ARC
(10,16),-0.823586 # DEPENDENCYPART_ARC
(11,1),-0.679355 # DEPENDENCYPART_ARC
(11,2),-1.01089 # DEPENDENCYPART_ARC
(11,3),-1.25811 # DEPENDENCYPART_ARC
(11,4),-0.622126 # DEPENDENCYPART_ARC
(11,5),-0.0967548 # DEPENDENCYPART_ARC
