# _root_ Addig is egy sebtében összehívott " kinevezési bizottság " kapta feladatul , hogy november 30-áig három jelölt nevét tegye le a végső döntést meghozó kuratórium asztalára , ki legyen az új művészeti vezető .
#goldHeads=10,10,8,5,8,8,8,10,8,0,10,10,10,15,19,17,18,19,10,19,23,23,24,25,26,19,19,29,19,33,33,33,29,10,
#predictedHeads=10,10,8,5,8,8,8,10,8,0,10,10,10,15,19,17,18,19,10,19,23,23,24,25,26,19,10,29,10,33,33,33,29,10,
(0,1),-1.99106 # DEPENDENCYPART_ARC
(0,2),-2.18377 # DEPENDENCYPART_ARC
(0,4),-2.14898 # DEPENDENCYPART_ARC
(0,5),-2.23479 # DEPENDENCYPART_ARC
(0,10),0.0637395 # DEPENDENCYPART_ARC
(0,13),-1.13221 # DEPENDENCYPART_ARC
(0,19),-2.45812 # DEPENDENCYPART_ARC
(0,20),-3.36875 # DEPENDENCYPART_ARC
(0,29),-4.69997 # DEPENDENCYPART_ARC
(1,2),-0.430849 # DEPENDENCYPART_ARC
(1,5),-0.708721 # DEPENDENCYPART_ARC
(1,6),-0.764776 # DEPENDENCYPART_ARC
(1,8),-1.53413 # DEPENDENCYPART_ARC
(1,9),-0.678867 # DEPENDENCYPART_ARC
(1,10),-0.825558 # DEPENDENCYPART_ARC
(1,34),-0.0948134 # DEPENDENCYPART_ARC
(2,1),0.185255 # DEPENDENCYPART_ARC
(2,4),-0.237894 # DEPENDENCYPART_ARC
(2,5),-0.0555121 # DEPENDENCYPART_ARC
(2,6),0.0801542 # DEPENDENCYPART_ARC
(2,7),-0.364887 # DEPENDENCYPART_ARC
(2,8),-0.0904019 # DEPENDENCYPART_ARC
(2,9),0.0487443 # DEPENDENCYPART_ARC
(2,10),0.166542 # DEPENDENCYPART_ARC
(2,13),-0.132269 # DEPENDENCYPART_ARC
(2,19),-0.558441 # DEPENDENCYPART_ARC
(2,25),-0.891211 # DEPENDENCYPART_ARC
(2,34),-0.113197 # DEPENDENCYPART_ARC
(3,5),0.310508 # DEPENDENCYPART_ARC
(3,7),-0.00361829 # DEPENDENCYPART_ARC
(4,1),-0.583868 # DEPENDENCYPART_ARC
(4,2),-0.916824 # DEPENDENCYPART_ARC
(4,7),-0.791898 # DEPENDENCYPART_ARC
(4,19),-1.65167 # DEPENDENCYPART_ARC
(5,1),-0.0270327 # DEPENDENCYPART_ARC
(5,2),0.444744 # DEPENDENCYPART_ARC
(5,3),0.260692 # DEPENDENCYPART_ARC
(5,4),2.39907 # DEPENDENCYPART_ARC
(5,6),0.702189 # DEPENDENCYPART_ARC
(5,7),-0.507256 # DEPENDENCYPART_ARC
(5,8),-0.243036 # DEPENDENCYPART_ARC
(5,9),0.262886 # DEPENDENCYPART_ARC
(5,10),0.0111436 # DEPENDENCYPART_ARC
(5,11),-0.865944 # DEPENDENCYPART_ARC
(5,19),-1.23431 # DEPENDENCYPART_ARC
(5,29),-1.11095 # DEPENDENCYPART_ARC
(5,34),0.893743 # DEPENDENCYPART_ARC
(7,1),-0.180841 # DEPENDENCYPART_ARC
(7,2),0.0724982 # DEPENDENCYPART_ARC
(7,3),-0.121338 # DEPENDENCYPART_ARC
(7,4),1.30657 # DEPENDENCYPART_ARC
(7,5),0.373644 # DEPENDENCYPART_ARC
(7,6),1.02536 # DEPENDENCYPART_ARC
(8,1),-0.430234 # DEPENDENCYPART_ARC
(8,2),-0.60484 # DEPENDENCYPART_ARC
(8,3),2.4916 # DEPENDENCYPART_ARC
(8,4),0.299789 # DEPENDENCYPART_ARC
(8,5),1.92261 # DEPENDENCYPART_ARC
(8,6),2.49785 # DEPENDENCYPART_ARC
(8,7),3.53669 # DEPENDENCYPART_ARC
(8,9),1.52182 # DEPENDENCYPART_ARC
(8,10),0.0472242 # DEPENDENCYPART_ARC
(8,11),-0.610395 # DEPENDENCYPART_ARC
(8,12),0.265527 # DEPENDENCYPART_ARC
(8,19),-0.739575 # DEPENDENCYPART_ARC
(8,26),-1.56808 # DEPENDENCYPART_ARC
