# _root_ A kft. másik társtulajdonosa Rózsavölgyi_Sándor , aki korábban maga is futballozott , később pedig a játékvezetésre adta a fejét .
#goldHeads=2,4,4,5,0,5,11,11,11,11,5,5,17,17,16,17,5,19,17,5,
#predictedHeads=2,4,4,5,11,11,11,11,11,11,0,11,17,17,16,17,11,19,17,11,
(0,2),-2.22104 # DEPENDENCYPART_ARC
(0,3),-2.60758 # DEPENDENCYPART_ARC
(0,4),-3.00159 # DEPENDENCYPART_ARC
(0,5),-2.48888 # DEPENDENCYPART_ARC
(0,8),-3.00322 # DEPENDENCYPART_ARC
(0,9),-3.16133 # DEPENDENCYPART_ARC
(0,10),-3.02298 # DEPENDENCYPART_ARC
(0,11),-1.05653 # DEPENDENCYPART_ARC
(0,13),-2.9245 # DEPENDENCYPART_ARC
(0,14),-1.43106 # DEPENDENCYPART_ARC
(0,17),-0.961539 # DEPENDENCYPART_ARC
(1,4),-1.49746 # DEPENDENCYPART_ARC
(2,1),2.72687 # DEPENDENCYPART_ARC
(2,4),-0.336959 # DEPENDENCYPART_ARC
(2,5),-0.191844 # DEPENDENCYPART_ARC
(2,6),0.49298 # DEPENDENCYPART_ARC
(2,8),-0.502679 # DEPENDENCYPART_ARC
(2,10),-0.708931 # DEPENDENCYPART_ARC
(2,11),-0.132919 # DEPENDENCYPART_ARC
(2,13),-0.529299 # DEPENDENCYPART_ARC
(2,17),-0.557944 # DEPENDENCYPART_ARC
(2,20),1.03977 # DEPENDENCYPART_ARC
(3,2),-0.0919906 # DEPENDENCYPART_ARC
(3,5),-0.272365 # DEPENDENCYPART_ARC
(3,6),-0.118418 # DEPENDENCYPART_ARC
(3,10),-0.128307 # DEPENDENCYPART_ARC
(3,11),0.80782 # DEPENDENCYPART_ARC
(3,12),0.166662 # DEPENDENCYPART_ARC
(3,14),-0.00990298 # DEPENDENCYPART_ARC
(3,16),-1.34912 # DEPENDENCYPART_ARC
(3,17),0.64727 # DEPENDENCYPART_ARC
(3,20),1.03287 # DEPENDENCYPART_ARC
(4,1),0.441195 # DEPENDENCYPART_ARC
(4,2),2.57174 # DEPENDENCYPART_ARC
(4,3),2.88051 # DEPENDENCYPART_ARC
(4,5),-0.174215 # DEPENDENCYPART_ARC
(4,6),-0.127942 # DEPENDENCYPART_ARC
(4,8),-0.897864 # DEPENDENCYPART_ARC
(4,10),-1.02682 # DEPENDENCYPART_ARC
(4,11),-0.866293 # DEPENDENCYPART_ARC
(4,13),-0.948938 # DEPENDENCYPART_ARC
(5,1),0.294014 # DEPENDENCYPART_ARC
(5,2),-0.819366 # DEPENDENCYPART_ARC
(5,4),1.15043 # DEPENDENCYPART_ARC
(5,6),0.436764 # DEPENDENCYPART_ARC
(5,11),-0.4901 # DEPENDENCYPART_ARC
(5,12),-0.241839 # DEPENDENCYPART_ARC
(5,17),-0.797893 # DEPENDENCYPART_ARC
(5,20),1.20524 # DEPENDENCYPART_ARC
(7,10),-0.619368 # DEPENDENCYPART_ARC
(7,16),-1.40368 # DEPENDENCYPART_ARC
(7,19),-1.23334 # DEPENDENCYPART_ARC
(8,2),-2.0492 # DEPENDENCYPART_ARC
(8,4),-1.77599 # DEPENDENCYPART_ARC
(8,5),-1.86013 # DEPENDENCYPART_ARC
(8,6),-1.54845 # DEPENDENCYPART_ARC
(8,7),-1.07232 # DEPENDENCYPART_ARC
(8,10),-0.708018 # DEPENDENCYPART_ARC
(8,12),-0.637848 # DEPENDENCYPART_ARC
(8,13),-0.992924 # DEPENDENCYPART_ARC
(8,14),-0.682573 # DEPENDENCYPART_ARC
(8,17),-1.16964 # DEPENDENCYPART_ARC
(8,19),-2.04283 # DEPENDENCYPART_ARC
(8,20),-0.403914 # DEPENDENCYPART_ARC
(9,11),0.0400518 # DEPENDENCYPART_ARC
(9,12),0.0605134 # DEPENDENCYPART_ARC
(9,16),-0.966244 # DEPENDENCYPART_ARC
(9,17),0.754118 # DEPENDENCYPART_ARC
(9,19),-0.747652 # DEPENDENCYPART_ARC
(9,20),0.426362 # DEPENDENCYPART_ARC
(10,2),-1.31069 # DEPENDENCYPART_ARC
(10,3),-1.43022 # DEPENDENCYPART_ARC
(10,4),-1.41212 # DEPENDENCYPART_ARC
(10,5),-1.30148 # DEPENDENCYPART_ARC
(10,6),-0.459225 # DEPENDENCYPART_ARC
(10,7),-0.859936 # DEPENDENCYPART_ARC
(10,8),0.173982 # DEPENDENCYPART_ARC
(10,9),-0.334149 # DEPENDENCYPART_ARC
