# _root_ Mert csupán úgy adták elő a falhoz tapadó , földön vonagló vagy ölelkező " koreográfiákat " , amilyen szinten prózai színészektől kitelik .
#goldHeads=4,4,4,0,4,7,8,15,15,11,15,15,15,15,4,15,4,19,22,21,22,4,4,
#predictedHeads=4,4,4,0,4,7,8,15,4,11,15,15,15,15,4,15,4,22,22,21,22,4,4,
(0,1),-2.16429 # DEPENDENCYPART_ARC
(0,2),-2.22103 # DEPENDENCYPART_ARC
(0,3),-2.1371 # DEPENDENCYPART_ARC
(0,4),-1.12322 # DEPENDENCYPART_ARC
(0,5),-2.27449 # DEPENDENCYPART_ARC
(0,8),-2.78228 # DEPENDENCYPART_ARC
(0,12),-1.89739 # DEPENDENCYPART_ARC
(0,22),-2.62171 # DEPENDENCYPART_ARC
(1,2),-1.0477 # DEPENDENCYPART_ARC
(1,4),-0.315587 # DEPENDENCYPART_ARC
(1,5),-1.28337 # DEPENDENCYPART_ARC
(1,9),0.189759 # DEPENDENCYPART_ARC
(1,16),-0.107075 # DEPENDENCYPART_ARC
(1,17),-0.185098 # DEPENDENCYPART_ARC
(1,22),-1.45415 # DEPENDENCYPART_ARC
(1,23),0.183269 # DEPENDENCYPART_ARC
(2,1),-0.483191 # DEPENDENCYPART_ARC
(2,4),-0.133106 # DEPENDENCYPART_ARC
(2,12),-0.0472785 # DEPENDENCYPART_ARC
(2,22),-1.12464 # DEPENDENCYPART_ARC
(2,23),0.131641 # DEPENDENCYPART_ARC
(3,1),-0.246004 # DEPENDENCYPART_ARC
(3,2),0.595944 # DEPENDENCYPART_ARC
(3,4),0.164652 # DEPENDENCYPART_ARC
(3,23),0.152349 # DEPENDENCYPART_ARC
(4,1),0.771771 # DEPENDENCYPART_ARC
(4,2),2.0038 # DEPENDENCYPART_ARC
(4,3),2.28964 # DEPENDENCYPART_ARC
(4,5),3.45967 # DEPENDENCYPART_ARC
(4,6),0.44397 # DEPENDENCYPART_ARC
(4,7),1.67661 # DEPENDENCYPART_ARC
(4,8),0.810125 # DEPENDENCYPART_ARC
(4,9),2.22716 # DEPENDENCYPART_ARC
(4,10),0.986356 # DEPENDENCYPART_ARC
(4,11),-0.0571516 # DEPENDENCYPART_ARC
(4,12),1.31774 # DEPENDENCYPART_ARC
(4,13),0.198471 # DEPENDENCYPART_ARC
