# _root_ Nem volt nagy , ám a másodikhoz már elkelt a segítség , én nyúltam alá a merítőhálóval .
#goldHeads=2,5,2,5,0,7,9,9,5,11,9,5,14,5,14,17,14,5,
#predictedHeads=2,5,2,5,0,7,9,9,5,11,9,9,14,5,14,17,14,5,
(0,1),-1.8755 # DEPENDENCYPART_ARC
(0,2),-0.420209 # DEPENDENCYPART_ARC
(0,3),-2.08658 # DEPENDENCYPART_ARC
(0,5),-0.0152074 # DEPENDENCYPART_ARC
(0,9),-1.4121 # DEPENDENCYPART_ARC
(0,13),-2.72559 # DEPENDENCYPART_ARC
(0,14),-1.62978 # DEPENDENCYPART_ARC
(0,15),-2.62491 # DEPENDENCYPART_ARC
(1,2),-0.154881 # DEPENDENCYPART_ARC
(1,3),-0.48999 # DEPENDENCYPART_ARC
(1,4),-0.698084 # DEPENDENCYPART_ARC
(1,5),-0.606614 # DEPENDENCYPART_ARC
(1,7),-1.94235 # DEPENDENCYPART_ARC
(1,9),-1.34454 # DEPENDENCYPART_ARC
(1,11),-1.93699 # DEPENDENCYPART_ARC
(1,12),-0.869497 # DEPENDENCYPART_ARC
(1,14),-1.39109 # DEPENDENCYPART_ARC
(1,18),0.321921 # DEPENDENCYPART_ARC
(2,1),3.14075 # DEPENDENCYPART_ARC
(2,3),2.31958 # DEPENDENCYPART_ARC
(2,4),1.84161 # DEPENDENCYPART_ARC
(2,5),0.975392 # DEPENDENCYPART_ARC
(2,6),-0.372415 # DEPENDENCYPART_ARC
(2,7),0.217849 # DEPENDENCYPART_ARC
(2,8),0.320037 # DEPENDENCYPART_ARC
(2,9),0.949424 # DEPENDENCYPART_ARC
(2,10),-0.726565 # DEPENDENCYPART_ARC
(2,11),-0.154442 # DEPENDENCYPART_ARC
(2,12),0.992512 # DEPENDENCYPART_ARC
(2,14),0.663618 # DEPENDENCYPART_ARC
(2,15),0.128805 # DEPENDENCYPART_ARC
(2,17),-1.85561 # DEPENDENCYPART_ARC
(2,18),2.71502 # DEPENDENCYPART_ARC
(3,1),-0.811427 # DEPENDENCYPART_ARC
(3,2),-1.01306 # DEPENDENCYPART_ARC
(3,4),-0.199738 # DEPENDENCYPART_ARC
(3,5),-1.01853 # DEPENDENCYPART_ARC
(3,7),-1.6302 # DEPENDENCYPART_ARC
(3,9),-0.509529 # DEPENDENCYPART_ARC
(3,11),-1.61473 # DEPENDENCYPART_ARC
(3,12),-0.377442 # DEPENDENCYPART_ARC
(3,14),-1.01434 # DEPENDENCYPART_ARC
(3,17),-2.29198 # DEPENDENCYPART_ARC
(3,18),0.764268 # DEPENDENCYPART_ARC
(5,1),0.69022 # DEPENDENCYPART_ARC
(5,2),1.5534 # DEPENDENCYPART_ARC
(5,3),0.027332 # DEPENDENCYPART_ARC
(5,4),2.09872 # DEPENDENCYPART_ARC
(5,6),-0.220385 # DEPENDENCYPART_ARC
(5,7),-0.310382 # DEPENDENCYPART_ARC
