# _root_ Krőzsel pénzügyi okokkal magyarázta , hogy az ORFK vezetése csökkentette a MESZ létszámát , pedig elégedett volt az eddigi tevékenységével .
#goldHeads=4,3,4,0,4,4,8,9,10,4,12,13,10,4,4,17,4,20,20,17,4,
#predictedHeads=4,3,4,0,4,4,8,9,10,4,12,13,10,10,17,17,4,20,20,17,4,
(0,1),-1.92991 # DEPENDENCYPART_ARC
(0,3),-3.70477 # DEPENDENCYPART_ARC
(0,4),-0.423936 # DEPENDENCYPART_ARC
(0,6),-0.88476 # DEPENDENCYPART_ARC
(0,10),-1.26652 # DEPENDENCYPART_ARC
(0,15),-0.921245 # DEPENDENCYPART_ARC
(0,17),-1.80664 # DEPENDENCYPART_ARC
(1,2),-0.313229 # DEPENDENCYPART_ARC
(1,3),-1.04687 # DEPENDENCYPART_ARC
(1,4),-0.604764 # DEPENDENCYPART_ARC
(1,5),-0.272711 # DEPENDENCYPART_ARC
(1,6),-0.77521 # DEPENDENCYPART_ARC
(1,8),-1.65071 # DEPENDENCYPART_ARC
(1,10),-1.12674 # DEPENDENCYPART_ARC
(1,14),-0.392903 # DEPENDENCYPART_ARC
(1,17),-1.60419 # DEPENDENCYPART_ARC
(1,20),-2.5585 # DEPENDENCYPART_ARC
(1,21),0.144405 # DEPENDENCYPART_ARC
(2,1),0.836946 # DEPENDENCYPART_ARC
(2,5),-0.73869 # DEPENDENCYPART_ARC
(2,10),-1.21451 # DEPENDENCYPART_ARC
(2,21),0.0403485 # DEPENDENCYPART_ARC
(3,1),1.25929 # DEPENDENCYPART_ARC
(3,2),3.69307 # DEPENDENCYPART_ARC
(3,5),-0.895067 # DEPENDENCYPART_ARC
(3,10),-1.89817 # DEPENDENCYPART_ARC
(3,17),-2.09656 # DEPENDENCYPART_ARC
(3,21),-0.279485 # DEPENDENCYPART_ARC
(4,1),2.19187 # DEPENDENCYPART_ARC
(4,2),0.864425 # DEPENDENCYPART_ARC
(4,3),2.59156 # DEPENDENCYPART_ARC
(4,5),2.1312 # DEPENDENCYPART_ARC
(4,6),2.86792 # DEPENDENCYPART_ARC
(4,7),-0.44242 # DEPENDENCYPART_ARC
(4,8),-0.740907 # DEPENDENCYPART_ARC
(4,9),-0.483496 # DEPENDENCYPART_ARC
(4,10),1.8646 # DEPENDENCYPART_ARC
(4,11),-0.816998 # DEPENDENCYPART_ARC
(4,12),-1.70421 # DEPENDENCYPART_ARC
(4,13),0.475311 # DEPENDENCYPART_ARC
(4,14),1.44703 # DEPENDENCYPART_ARC
(4,15),0.723916 # DEPENDENCYPART_ARC
(4,16),-1.00898 # DEPENDENCYPART_ARC
(4,17),1.4918 # DEPENDENCYPART_ARC
(4,19),-1.65481 # DEPENDENCYPART_ARC
(4,20),-1.21319 # DEPENDENCYPART_ARC
