# _root_ Szép_Tibor egyelőre nem kívánt nyilatkozni lapunknak , de annyit elmondott , hogy a munkakör betöltésének napjáig a munkavállaló visszaléphet .
#goldHeads=4,4,4,8,4,5,8,0,10,8,10,10,14,15,19,19,18,19,9,8,
#predictedHeads=4,4,4,8,4,5,8,0,10,8,10,10,14,15,19,19,18,19,9,8,
(0,1),-2.10727 # DEPENDENCYPART_ARC
(0,2),-2.08843 # DEPENDENCYPART_ARC
(0,3),-2.01852 # DEPENDENCYPART_ARC
(0,4),-0.778183 # DEPENDENCYPART_ARC
(0,5),-1.83906 # DEPENDENCYPART_ARC
(0,8),0.442866 # DEPENDENCYPART_ARC
(0,9),-4.33067 # DEPENDENCYPART_ARC
(0,10),-0.880774 # DEPENDENCYPART_ARC
(0,12),-3.14104 # DEPENDENCYPART_ARC
(0,19),-1.93271 # DEPENDENCYPART_ARC
(1,4),-0.780565 # DEPENDENCYPART_ARC
(1,6),-1.81348 # DEPENDENCYPART_ARC
(1,9),-2.08244 # DEPENDENCYPART_ARC
(1,19),-1.25549 # DEPENDENCYPART_ARC
(2,1),0.427212 # DEPENDENCYPART_ARC
(2,4),0.0939278 # DEPENDENCYPART_ARC
(2,5),-0.167097 # DEPENDENCYPART_ARC
(2,6),-0.0699376 # DEPENDENCYPART_ARC
(2,7),-0.0513313 # DEPENDENCYPART_ARC
(2,8),-0.264293 # DEPENDENCYPART_ARC
(2,10),-0.344934 # DEPENDENCYPART_ARC
(2,19),-0.44778 # DEPENDENCYPART_ARC
(2,20),0.680836 # DEPENDENCYPART_ARC
(3,1),-0.343339 # DEPENDENCYPART_ARC
(3,2),0.498573 # DEPENDENCYPART_ARC
(3,5),-0.530539 # DEPENDENCYPART_ARC
(3,6),-0.74351 # DEPENDENCYPART_ARC
(3,7),-0.399884 # DEPENDENCYPART_ARC
(3,8),-0.589272 # DEPENDENCYPART_ARC
(3,10),-0.814327 # DEPENDENCYPART_ARC
(3,12),-0.556741 # DEPENDENCYPART_ARC
(3,19),-1.41743 # DEPENDENCYPART_ARC
(3,20),-0.0457216 # DEPENDENCYPART_ARC
(4,1),1.95413 # DEPENDENCYPART_ARC
(4,2),1.64175 # DEPENDENCYPART_ARC
(4,3),2.52682 # DEPENDENCYPART_ARC
(4,5),3.45139 # DEPENDENCYPART_ARC
(4,6),2.5124 # DEPENDENCYPART_ARC
(4,7),1.55431 # DEPENDENCYPART_ARC
(4,8),0.794717 # DEPENDENCYPART_ARC
(4,9),-0.924579 # DEPENDENCYPART_ARC
(4,10),0.579608 # DEPENDENCYPART_ARC
(4,11),1.05925 # DEPENDENCYPART_ARC
(4,12),1.31571 # DEPENDENCYPART_ARC
(4,14),-2.23353 # DEPENDENCYPART_ARC
(4,15),-1.20976 # DEPENDENCYPART_ARC
(4,16),-1.93141 # DEPENDENCYPART_ARC
(4,18),-2.73095 # DEPENDENCYPART_ARC
(4,19),0.61701 # DEPENDENCYPART_ARC
(4,20),2.98146 # DEPENDENCYPART_ARC
(5,1),0.423967 # DEPENDENCYPART_ARC
(5,2),1.46091 # DEPENDENCYPART_ARC
(5,3),1.33447 # DEPENDENCYPART_ARC
(5,4),0.864681 # DEPENDENCYPART_ARC
(5,6),3.76514 # DEPENDENCYPART_ARC
(5,7),0.953416 # DEPENDENCYPART_ARC
(5,8),0.100178 # DEPENDENCYPART_ARC
(5,9),-0.369264 # DEPENDENCYPART_ARC
(5,10),0.0175333 # DEPENDENCYPART_ARC
(5,11),-0.106755 # DEPENDENCYPART_ARC
(5,12),-0.175129 # DEPENDENCYPART_ARC
(5,14),-2.96804 # DEPENDENCYPART_ARC
(5,15),-1.65671 # DEPENDENCYPART_ARC
(5,16),-1.17354 # DEPENDENCYPART_ARC
(5,19),0.048593 # DEPENDENCYPART_ARC
(5,20),1.55603 # DEPENDENCYPART_ARC
(6,1),-3.96169 # DEPENDENCYPART_ARC
(6,2),-1.22271 # DEPENDENCYPART_ARC
(6,3),-0.965753 # DEPENDENCYPART_ARC
(6,4),-2.40618 # DEPENDENCYPART_ARC
(6,5),1.15652 # DEPENDENCYPART_ARC
(6,7),-0.364409 # DEPENDENCYPART_ARC
(6,10),-1.57913 # DEPENDENCYPART_ARC
(8,1),-0.258328 # DEPENDENCYPART_ARC
(8,2),-0.128955 # DEPENDENCYPART_ARC
(8,3),-0.280884 # DEPENDENCYPART_ARC
(8,4),1.63306 # DEPENDENCYPART_ARC
(8,5),0.922261 # DEPENDENCYPART_ARC
(8,6),-0.282774 # DEPENDENCYPART_ARC
(8,7),2.20379 # DEPENDENCYPART_ARC
(8,9),-0.914674 # DEPENDENCYPART_ARC
(8,10),2.13828 # DEPENDENCYPART_ARC
(8,11),0.627175 # DEPENDENCYPART_ARC
(8,12),0.988329 # DEPENDENCYPART_ARC
(8,14),-1.15803 # DEPENDENCYPART_ARC
(8,15),-0.935995 # DEPENDENCYPART_ARC
(8,16),-1.35561 # DEPENDENCYPART_ARC
(8,18),-1.42605 # DEPENDENCYPART_ARC
(8,19),1.20264 # DEPENDENCYPART_ARC
(8,20),3.46889 # DEPENDENCYPART_ARC
(9,2),-0.322635 # DEPENDENCYPART_ARC
(9,4),-0.336442 # DEPENDENCYPART_ARC
(9,5),-0.755866 # DEPENDENCYPART_ARC
(9,6),-1.35037 # DEPENDENCYPART_ARC
(9,7),-0.438464 # DEPENDENCYPART_ARC
(9,8),-0.078126 # DEPENDENCYPART_ARC
(9,10),1.21175 # DEPENDENCYPART_ARC
(9,11),0.478447 # DEPENDENCYPART_ARC
(9,12),0.499728 # DEPENDENCYPART_ARC
(9,14),0.225034 # DEPENDENCYPART_ARC
(9,15),-0.0968412 # DEPENDENCYPART_ARC
(9,16),-0.547228 # DEPENDENCYPART_ARC
(9,18),-0.124522 # DEPENDENCYPART_ARC
(9,19),2.37324 # DEPENDENCYPART_ARC
(9,20),0.574302 # DEPENDENCYPART_ARC
(10,1),0.82599 # DEPENDENCYPART_ARC
(10,2),0.624949 # DEPENDENCYPART_ARC
(10,3),-0.0264764 # DEPENDENCYPART_ARC
(10,4),-0.190568 # DEPENDENCYPART_ARC
(10,5),0.646047 # DEPENDENCYPART_ARC
(10,6),1.28501 # DEPENDENCYPART_ARC
(10,7),1.22888 # DEPENDENCYPART_ARC
(10,8),1.52601 # DEPENDENCYPART_ARC
(10,9),3.08603 # DEPENDENCYPART_ARC
(10,11),2.74283 # DEPENDENCYPART_ARC
(10,12),3.14865 # DEPENDENCYPART_ARC
(10,13),-0.674093 # DEPENDENCYPART_ARC
(10,14),-0.471559 # DEPENDENCYPART_ARC
(10,15),0.621933 # DEPENDENCYPART_ARC
(10,16),-0.66364 # DEPENDENCYPART_ARC
(10,17),-0.839196 # DEPENDENCYPART_ARC
(10,18),-1.31146 # DEPENDENCYPART_ARC
(10,19),1.00248 # DEPENDENCYPART_ARC
(10,20),2.55146 # DEPENDENCYPART_ARC
(12,1),-0.601494 # DEPENDENCYPART_ARC
(12,2),-0.398201 # DEPENDENCYPART_ARC
(12,3),-0.787246 # DEPENDENCYPART_ARC
(12,4),-0.814069 # DEPENDENCYPART_ARC
(12,5),-0.507088 # DEPENDENCYPART_ARC
(12,6),-0.671772 # DEPENDENCYPART_ARC
(12,7),-0.121352 # DEPENDENCYPART_ARC
(12,8),0.774245 # DEPENDENCYPART_ARC
(12,9),-0.462714 # DEPENDENCYPART_ARC
(12,10),-0.249228 # DEPENDENCYPART_ARC
(12,11),0.98172 # DEPENDENCYPART_ARC
(12,14),-0.65974 # DEPENDENCYPART_ARC
(12,15),-0.917839 # DEPENDENCYPART_ARC
(12,16),-1.1435 # DEPENDENCYPART_ARC
(12,18),-1.58675 # DEPENDENCYPART_ARC
(12,19),0.734852 # DEPENDENCYPART_ARC
(12,20),1.43485 # DEPENDENCYPART_ARC
(14,11),-0.956254 # DEPENDENCYPART_ARC
(14,13),2.74134 # DEPENDENCYPART_ARC
(14,15),-1.33511 # DEPENDENCYPART_ARC
(14,16),-1.48894 # DEPENDENCYPART_ARC
(15,8),-0.603994 # DEPENDENCYPART_ARC
(15,9),-3.02268 # DEPENDENCYPART_ARC
(15,11),-0.0897235 # DEPENDENCYPART_ARC
(15,12),-0.32625 # DEPENDENCYPART_ARC
(15,13),1.11805 # DEPENDENCYPART_ARC
(15,14),4.73805 # DEPENDENCYPART_ARC
(15,16),-1.34296 # DEPENDENCYPART_ARC
(15,18),-1.39372 # DEPENDENCYPART_ARC
(16,9),-4.12174 # DEPENDENCYPART_ARC
(16,11),-0.488241 # DEPENDENCYPART_ARC
