# _root_ Fémlemezzel borított , falra és oszlopokra hasonlító elemek szolgálnak díszletül a Kár,_hogy_ká című John_Ford-dráma előadásához .
#goldHeads=2,8,8,7,7,7,8,9,0,9,14,13,14,15,9,9,
#predictedHeads=2,4,8,9,9,9,8,9,0,9,14,13,14,15,9,9,
(0,1),-2.92135 # DEPENDENCYPART_ARC
(0,2),-2.40028 # DEPENDENCYPART_ARC
(0,4),-3.55536 # DEPENDENCYPART_ARC
(0,5),-3.07215 # DEPENDENCYPART_ARC
(0,7),-3.10656 # DEPENDENCYPART_ARC
(0,8),-4.09419 # DEPENDENCYPART_ARC
(0,9),-2.07574 # DEPENDENCYPART_ARC
(0,10),-3.80558 # DEPENDENCYPART_ARC
(1,2),-0.795416 # DEPENDENCYPART_ARC
(1,9),-1.17341 # DEPENDENCYPART_ARC
(1,14),-2.1023 # DEPENDENCYPART_ARC
(1,15),-2.48418 # DEPENDENCYPART_ARC
(1,16),-0.409133 # DEPENDENCYPART_ARC
(2,1),1.9749 # DEPENDENCYPART_ARC
(2,3),0.66992 # DEPENDENCYPART_ARC
(2,4),-0.209229 # DEPENDENCYPART_ARC
(2,5),-0.64439 # DEPENDENCYPART_ARC
(2,6),-1.08006 # DEPENDENCYPART_ARC
(2,8),-1.47381 # DEPENDENCYPART_ARC
(2,9),-0.657467 # DEPENDENCYPART_ARC
(2,10),-1.46515 # DEPENDENCYPART_ARC
(2,14),-1.55598 # DEPENDENCYPART_ARC
(2,15),-2.18535 # DEPENDENCYPART_ARC
(2,16),0.225592 # DEPENDENCYPART_ARC
(4,1),-1.17201 # DEPENDENCYPART_ARC
(4,2),1.60776 # DEPENDENCYPART_ARC
(4,3),1.31296 # DEPENDENCYPART_ARC
(4,6),-1.23878 # DEPENDENCYPART_ARC
(4,8),-1.13627 # DEPENDENCYPART_ARC
(4,9),-1.51134 # DEPENDENCYPART_ARC
(4,14),-1.74887 # DEPENDENCYPART_ARC
(4,16),-0.86221 # DEPENDENCYPART_ARC
(5,1),-0.568886 # DEPENDENCYPART_ARC
(5,2),-0.640723 # DEPENDENCYPART_ARC
(5,3),0.318547 # DEPENDENCYPART_ARC
(5,4),-0.678208 # DEPENDENCYPART_ARC
(5,6),-0.587279 # DEPENDENCYPART_ARC
(5,7),-0.304383 # DEPENDENCYPART_ARC
(5,8),-0.333738 # DEPENDENCYPART_ARC
(5,9),-0.252931 # DEPENDENCYPART_ARC
(5,10),-0.926284 # DEPENDENCYPART_ARC
(5,12),-1.05878 # DEPENDENCYPART_ARC
(5,14),-1.14708 # DEPENDENCYPART_ARC
(5,15),-1.98328 # DEPENDENCYPART_ARC
(5,16),-0.551948 # DEPENDENCYPART_ARC
(6,1),-1.54877 # DEPENDENCYPART_ARC
(6,2),-0.154211 # DEPENDENCYPART_ARC
(6,3),0.662311 # DEPENDENCYPART_ARC
(6,4),0.0706214 # DEPENDENCYPART_ARC
(6,5),0.793475 # DEPENDENCYPART_ARC
(6,7),-0.169125 # DEPENDENCYPART_ARC
(6,8),-0.07723 # DEPENDENCYPART_ARC
(6,9),-0.97215 # DEPENDENCYPART_ARC
(6,10),-1.4762 # DEPENDENCYPART_ARC
(6,12),-1.50373 # DEPENDENCYPART_ARC
(6,14),-1.37122 # DEPENDENCYPART_ARC
(6,15),-2.23004 # DEPENDENCYPART_ARC
