# _root_ Valószínű , hogy a többség továbbra is a legális , illetve illegális lerakókba kerül .
#goldHeads=3,3,0,5,14,14,14,13,13,13,13,13,14,3,3,
#predictedHeads=3,3,0,5,14,14,14,13,13,13,13,13,14,3,3,
(0,1),-1.87433 # DEPENDENCYPART_ARC
(0,3),-0.530499 # DEPENDENCYPART_ARC
(0,5),-3.35115 # DEPENDENCYPART_ARC
(0,6),-2.70151 # DEPENDENCYPART_ARC
(0,7),-2.3692 # DEPENDENCYPART_ARC
(0,11),-2.53388 # DEPENDENCYPART_ARC
(0,14),-3.13235 # DEPENDENCYPART_ARC
(1,2),0.141836 # DEPENDENCYPART_ARC
(1,3),-0.471482 # DEPENDENCYPART_ARC
(1,5),-1.06888 # DEPENDENCYPART_ARC
(1,7),-0.868316 # DEPENDENCYPART_ARC
(1,9),-1.2168 # DEPENDENCYPART_ARC
(1,10),-0.225951 # DEPENDENCYPART_ARC
(1,11),-0.798248 # DEPENDENCYPART_ARC
(1,13),-2.23187 # DEPENDENCYPART_ARC
(1,14),-0.631661 # DEPENDENCYPART_ARC
(1,15),0.986361 # DEPENDENCYPART_ARC
(3,1),1.27354 # DEPENDENCYPART_ARC
(3,2),1.06667 # DEPENDENCYPART_ARC
(3,5),-0.913928 # DEPENDENCYPART_ARC
(3,6),-0.263219 # DEPENDENCYPART_ARC
(3,7),-0.0646563 # DEPENDENCYPART_ARC
(3,9),-0.674834 # DEPENDENCYPART_ARC
(3,10),-0.454844 # DEPENDENCYPART_ARC
(3,11),-0.01595 # DEPENDENCYPART_ARC
(3,12),-1.01967 # DEPENDENCYPART_ARC
(3,13),-1.91172 # DEPENDENCYPART_ARC
(3,14),0.423201 # DEPENDENCYPART_ARC
(3,15),1.72456 # DEPENDENCYPART_ARC
(4,9),-0.929808 # DEPENDENCYPART_ARC
(5,1),-1.5131 # DEPENDENCYPART_ARC
(5,2),-0.56385 # DEPENDENCYPART_ARC
(5,3),-1.46047 # DEPENDENCYPART_ARC
(5,4),2.64046 # DEPENDENCYPART_ARC
(5,6),-0.658984 # DEPENDENCYPART_ARC
(5,11),-0.758343 # DEPENDENCYPART_ARC
(5,14),-1.16464 # DEPENDENCYPART_ARC
(5,15),-0.499108 # DEPENDENCYPART_ARC
(6,1),-1.13546 # DEPENDENCYPART_ARC
(6,2),-0.813131 # DEPENDENCYPART_ARC
(6,3),-0.917392 # DEPENDENCYPART_ARC
(6,5),-0.188849 # DEPENDENCYPART_ARC
(6,7),-0.519285 # DEPENDENCYPART_ARC
(6,9),-0.728365 # DEPENDENCYPART_ARC
(6,10),-0.901712 # DEPENDENCYPART_ARC
(6,11),-0.635869 # DEPENDENCYPART_ARC
(6,13),-1.62372 # DEPENDENCYPART_ARC
(6,14),-1.03849 # DEPENDENCYPART_ARC
(6,15),-0.943781 # DEPENDENCYPART_ARC
(7,1),-0.940714 # DEPENDENCYPART_ARC
(7,2),-0.244303 # DEPENDENCYPART_ARC
(7,3),-0.297493 # DEPENDENCYPART_ARC
(7,4),-1.14701 # DEPENDENCYPART_ARC
(7,5),-0.609339 # DEPENDENCYPART_ARC
(7,6),-0.0564466 # DEPENDENCYPART_ARC
(7,8),-0.975212 # DEPENDENCYPART_ARC
(7,9),-0.435595 # DEPENDENCYPART_ARC
(7,10),-0.377183 # DEPENDENCYPART_ARC
(7,11),-0.800779 # DEPENDENCYPART_ARC
(7,12),-0.962117 # DEPENDENCYPART_ARC
(7,13),-0.860854 # DEPENDENCYPART_ARC
(7,14),-0.527134 # DEPENDENCYPART_ARC
(7,15),0.111639 # DEPENDENCYPART_ARC
(8,7),-0.0756205 # DEPENDENCYPART_ARC
(8,9),0.394253 # DEPENDENCYPART_ARC
(8,10),-0.0533979 # DEPENDENCYPART_ARC
(8,12),-0.432091 # DEPENDENCYPART_ARC
(9,1),-2.21753 # DEPENDENCYPART_ARC
(9,2),-1.20163 # DEPENDENCYPART_ARC
(9,3),-1.51477 # DEPENDENCYPART_ARC
(9,4),-1.63057 # DEPENDENCYPART_ARC
(9,5),-1.96384 # DEPENDENCYPART_ARC
(9,6),-0.872173 # DEPENDENCYPART_ARC
(9,7),-0.462381 # DEPENDENCYPART_ARC
(9,8),0.367693 # DEPENDENCYPART_ARC
(9,10),-0.326913 # DEPENDENCYPART_ARC
(9,11),-1.13212 # DEPENDENCYPART_ARC
(9,14),-0.835144 # DEPENDENCYPART_ARC
(9,15),-0.315766 # DEPENDENCYPART_ARC
(11,1),-0.470765 # DEPENDENCYPART_ARC
(11,2),-0.436501 # DEPENDENCYPART_ARC
(11,3),-0.539474 # DEPENDENCYPART_ARC
(11,5),-0.503246 # DEPENDENCYPART_ARC
(11,6),0.0807528 # DEPENDENCYPART_ARC
(11,7),0.109256 # DEPENDENCYPART_ARC
(11,8),-0.860478 # DEPENDENCYPART_ARC
(11,9),-0.407503 # DEPENDENCYPART_ARC
(11,10),0.443137 # DEPENDENCYPART_ARC
(11,12),-0.383401 # DEPENDENCYPART_ARC
(11,13),-0.4736 # DEPENDENCYPART_ARC
(11,14),1.02846 # DEPENDENCYPART_ARC
(11,15),1.32495 # DEPENDENCYPART_ARC
(12,1),-1.87406 # DEPENDENCYPART_ARC
(12,2),-0.560001 # DEPENDENCYPART_ARC
(12,3),-1.18441 # DEPENDENCYPART_ARC
(12,5),-1.84866 # DEPENDENCYPART_ARC
(12,6),-0.845178 # DEPENDENCYPART_ARC
(12,7),-0.595729 # DEPENDENCYPART_ARC
(12,8),-0.935212 # DEPENDENCYPART_ARC
(12,9),-0.576368 # DEPENDENCYPART_ARC
(12,10),0.041623 # DEPENDENCYPART_ARC
(12,11),0.0959322 # DEPENDENCYPART_ARC
(12,14),-0.701035 # DEPENDENCYPART_ARC
(12,15),-0.618465 # DEPENDENCYPART_ARC
(13,1),-0.60123 # DEPENDENCYPART_ARC
(13,2),0.790962 # DEPENDENCYPART_ARC
(13,3),-1.03102 # DEPENDENCYPART_ARC
(13,4),-0.0728527 # DEPENDENCYPART_ARC
(13,5),-0.875784 # DEPENDENCYPART_ARC
(13,6),-0.171367 # DEPENDENCYPART_ARC
(13,7),-0.242763 # DEPENDENCYPART_ARC
(13,8),1.47398 # DEPENDENCYPART_ARC
(13,9),1.67797 # DEPENDENCYPART_ARC
(13,10),1.86945 # DEPENDENCYPART_ARC
(13,11),1.47697 # DEPENDENCYPART_ARC
(13,12),3.33094 # DEPENDENCYPART_ARC
(13,15),-0.953439 # DEPENDENCYPART_ARC
(14,1),-1.11524 # DEPENDENCYPART_ARC
(14,2),-0.263304 # DEPENDENCYPART_ARC
(14,3),-0.704939 # DEPENDENCYPART_ARC
(14,4),-0.953572 # DEPENDENCYPART_ARC
(14,5),1.17989 # DEPENDENCYPART_ARC
(14,6),1.0151 # DEPENDENCYPART_ARC
(14,7),0.925597 # DEPENDENCYPART_ARC
(14,8),-0.779399 # DEPENDENCYPART_ARC
(14,9),-0.485762 # DEPENDENCYPART_ARC
(14,10),0.389318 # DEPENDENCYPART_ARC
(14,11),0.949107 # DEPENDENCYPART_ARC
(14,12),0.50454 # DEPENDENCYPART_ARC
(14,13),2.81649 # DEPENDENCYPART_ARC
