# _root_ Az ÖIAG-hoz csapták még — idegen testként — az állami nyomdát , a Staatsdruckereit_és_a_Dorotheum aukciósházat , amelyek privatizációja is a szervezetre vár .
#goldHeads=2,3,0,3,3,7,3,3,11,11,3,3,15,15,3,3,18,22,22,21,22,3,3,
#predictedHeads=2,3,0,3,3,7,3,22,11,11,3,3,14,15,3,3,22,22,22,21,22,3,3,
(0,2),-2.07681 # DEPENDENCYPART_ARC
(0,3),-0.3322 # DEPENDENCYPART_ARC
(0,4),-2.46624 # DEPENDENCYPART_ARC
(0,6),-2.43101 # DEPENDENCYPART_ARC
(0,7),-3.17435 # DEPENDENCYPART_ARC
(0,22),-2.33397 # DEPENDENCYPART_ARC
(2,1),2.08936 # DEPENDENCYPART_ARC
(2,3),-1.17837 # DEPENDENCYPART_ARC
(2,5),-0.480034 # DEPENDENCYPART_ARC
(2,7),-1.25803 # DEPENDENCYPART_ARC
(2,11),-1.58945 # DEPENDENCYPART_ARC
(2,22),-1.95493 # DEPENDENCYPART_ARC
(2,23),0.252069 # DEPENDENCYPART_ARC
(3,1),0.0459277 # DEPENDENCYPART_ARC
(3,2),1.84285 # DEPENDENCYPART_ARC
(3,4),3.22545 # DEPENDENCYPART_ARC
(3,5),0.940678 # DEPENDENCYPART_ARC
(3,6),-0.486018 # DEPENDENCYPART_ARC
(3,7),0.886619 # DEPENDENCYPART_ARC
(3,8),0.526089 # DEPENDENCYPART_ARC
(3,9),-0.609258 # DEPENDENCYPART_ARC
(3,10),-1.35987 # DEPENDENCYPART_ARC
(3,11),1.26207 # DEPENDENCYPART_ARC
(3,12),0.779381 # DEPENDENCYPART_ARC
(3,14),-1.85456 # DEPENDENCYPART_ARC
(3,15),0.643624 # DEPENDENCYPART_ARC
(3,16),1.00014 # DEPENDENCYPART_ARC
(3,17),-2.09507 # DEPENDENCYPART_ARC
(3,18),-1.7922 # DEPENDENCYPART_ARC
(3,19),-0.471639 # DEPENDENCYPART_ARC
(3,21),-2.58248 # DEPENDENCYPART_ARC
(3,22),1.29418 # DEPENDENCYPART_ARC
(3,23),2.62609 # DEPENDENCYPART_ARC
(4,2),-0.39439 # DEPENDENCYPART_ARC
(4,3),-0.218378 # DEPENDENCYPART_ARC
(4,5),-0.516761 # DEPENDENCYPART_ARC
(4,6),-0.847722 # DEPENDENCYPART_ARC
(4,7),-1.39416 # DEPENDENCYPART_ARC
(4,8),-0.727975 # DEPENDENCYPART_ARC
(4,11),-2.20186 # DEPENDENCYPART_ARC
(4,15),-2.78709 # DEPENDENCYPART_ARC
(4,16),-1.53574 # DEPENDENCYPART_ARC
(4,19),-2.82597 # DEPENDENCYPART_ARC
(4,22),-1.54757 # DEPENDENCYPART_ARC
(4,23),-1.35582 # DEPENDENCYPART_ARC
(6,1),-1.13019 # DEPENDENCYPART_ARC
(6,2),-0.452212 # DEPENDENCYPART_ARC
(6,3),-0.726054 # DEPENDENCYPART_ARC
(6,4),0.557045 # DEPENDENCYPART_ARC
(6,5),0.513921 # DEPENDENCYPART_ARC
(6,8),0.114709 # DEPENDENCYPART_ARC
(6,11),-1.19498 # DEPENDENCYPART_ARC
(6,12),-0.1046 # DEPENDENCYPART_ARC
(6,15),-1.6322 # DEPENDENCYPART_ARC
(6,16),-0.0621541 # DEPENDENCYPART_ARC
(6,22),-1.19003 # DEPENDENCYPART_ARC
(6,23),0.285114 # DEPENDENCYPART_ARC
(7,1),-0.143868 # DEPENDENCYPART_ARC
(7,2),-1.70186 # DEPENDENCYPART_ARC
(7,3),-0.0897267 # DEPENDENCYPART_ARC
(7,4),-0.0287748 # DEPENDENCYPART_ARC
(7,5),0.662695 # DEPENDENCYPART_ARC
(7,6),3.16838 # DEPENDENCYPART_ARC
(7,8),0.394967 # DEPENDENCYPART_ARC
(7,10),-0.720952 # DEPENDENCYPART_ARC
(7,11),-0.294774 # DEPENDENCYPART_ARC
(7,12),0.0762593 # DEPENDENCYPART_ARC
(7,14),-1.11011 # DEPENDENCYPART_ARC
(7,15),-0.723584 # DEPENDENCYPART_ARC
(7,16),-0.00593546 # DEPENDENCYPART_ARC
(7,18),-1.71603 # DEPENDENCYPART_ARC
(7,19),-1.2874 # DEPENDENCYPART_ARC
(7,22),-0.317887 # DEPENDENCYPART_ARC
(7,23),0.726093 # DEPENDENCYPART_ARC
(9,6),-1.05889 # DEPENDENCYPART_ARC
(9,8),-0.189379 # DEPENDENCYPART_ARC
(9,10),0.335945 # DEPENDENCYPART_ARC
(9,12),-0.0175403 # DEPENDENCYPART_ARC
(10,3),-2.30136 # DEPENDENCYPART_ARC
(10,4),-1.6527 # DEPENDENCYPART_ARC
(10,7),-1.81745 # DEPENDENCYPART_ARC
(10,8),-1.23329 # DEPENDENCYPART_ARC
(10,9),-0.225401 # DEPENDENCYPART_ARC
(10,15),-2.04553 # DEPENDENCYPART_ARC
(11,1),-0.831011 # DEPENDENCYPART_ARC
(11,2),-2.5087 # DEPENDENCYPART_ARC
(11,3),-0.768773 # DEPENDENCYPART_ARC
(11,4),-0.962769 # DEPENDENCYPART_ARC
(11,5),0.0938908 # DEPENDENCYPART_ARC
(11,6),0.428488 # DEPENDENCYPART_ARC
(11,7),-2.52791 # DEPENDENCYPART_ARC
(11,8),-0.203292 # DEPENDENCYPART_ARC
(11,9),2.28426 # DEPENDENCYPART_ARC
(11,10),3.51535 # DEPENDENCYPART_ARC
(11,12),0.239422 # DEPENDENCYPART_ARC
(11,14),-0.975703 # DEPENDENCYPART_ARC
(11,15),-0.569805 # DEPENDENCYPART_ARC
(11,16),-0.120436 # DEPENDENCYPART_ARC
(11,18),-1.73008 # DEPENDENCYPART_ARC
(11,19),-1.19408 # DEPENDENCYPART_ARC
(11,22),-0.92053 # DEPENDENCYPART_ARC
(11,23),0.404147 # DEPENDENCYPART_ARC
(13,12),-0.55512 # DEPENDENCYPART_ARC
(13,14),-0.0459123 # DEPENDENCYPART_ARC
(13,16),-0.265332 # DEPENDENCYPART_ARC
(13,18),-1.31512 # DEPENDENCYPART_ARC
(14,9),-0.884186 # DEPENDENCYPART_ARC
(14,11),-3.71442 # DEPENDENCYPART_ARC
(14,13),2.30754 # DEPENDENCYPART_ARC
(14,18),-1.28558 # DEPENDENCYPART_ARC
(14,22),-1.20221 # DEPENDENCYPART_ARC
(15,1),-1.83123 # DEPENDENCYPART_ARC
(15,2),-3.22409 # DEPENDENCYPART_ARC
(15,3),-1.09484 # DEPENDENCYPART_ARC
(15,4),-0.988145 # DEPENDENCYPART_ARC
(15,5),-0.287034 # DEPENDENCYPART_ARC
(15,6),-1.04575 # DEPENDENCYPART_ARC
(15,7),-3.30543 # DEPENDENCYPART_ARC
(15,8),-0.179276 # DEPENDENCYPART_ARC
(15,9),0.203608 # DEPENDENCYPART_ARC
(15,10),0.126071 # DEPENDENCYPART_ARC
(15,11),-2.33014 # DEPENDENCYPART_ARC
(15,12),0.33986 # DEPENDENCYPART_ARC
(15,13),2.05839 # DEPENDENCYPART_ARC
(15,14),2.90684 # DEPENDENCYPART_ARC
(15,16),0.187115 # DEPENDENCYPART_ARC
(15,17),-0.782631 # DEPENDENCYPART_ARC
(15,18),-1.24359 # DEPENDENCYPART_ARC
(15,19),-0.745152 # DEPENDENCYPART_ARC
(15,21),-1.92924 # DEPENDENCYPART_ARC
(15,22),-0.589873 # DEPENDENCYPART_ARC
(15,23),0.343881 # DEPENDENCYPART_ARC
(17,18),-0.417903 # DEPENDENCYPART_ARC
(17,19),-1.65677 # DEPENDENCYPART_ARC
(17,21),-1.13513 # DEPENDENCYPART_ARC
(18,5),-1.01704 # DEPENDENCYPART_ARC
(18,7),-4.22445 # DEPENDENCYPART_ARC
(18,9),-2.00209 # DEPENDENCYPART_ARC
(18,11),-4.5602 # DEPENDENCYPART_ARC
(18,12),-0.967802 # DEPENDENCYPART_ARC
(18,13),-0.987239 # DEPENDENCYPART_ARC
(18,14),0.670866 # DEPENDENCYPART_ARC
(18,15),-3.4816 # DEPENDENCYPART_ARC
(18,16),-0.766397 # DEPENDENCYPART_ARC
(18,17),0.875744 # DEPENDENCYPART_ARC
(18,19),-1.18006 # DEPENDENCYPART_ARC
(18,21),-1.8036 # DEPENDENCYPART_ARC
(19,3),-2.37652 # DEPENDENCYPART_ARC
(19,4),-0.689851 # DEPENDENCYPART_ARC
(19,5),-0.309826 # DEPENDENCYPART_ARC
(19,6),-1.35093 # DEPENDENCYPART_ARC
(19,7),-1.41108 # DEPENDENCYPART_ARC
(19,8),-0.430977 # DEPENDENCYPART_ARC
(19,10),-1.35797 # DEPENDENCYPART_ARC
(19,11),-1.42009 # DEPENDENCYPART_ARC
(19,12),-0.598071 # DEPENDENCYPART_ARC
(19,14),-0.865172 # DEPENDENCYPART_ARC
(19,15),-1.12521 # DEPENDENCYPART_ARC
(19,16),-0.338887 # DEPENDENCYPART_ARC
(19,17),-0.61824 # DEPENDENCYPART_ARC
(19,18),-0.275652 # DEPENDENCYPART_ARC
(19,20),-1.01495 # DEPENDENCYPART_ARC
(19,21),-0.363787 # DEPENDENCYPART_ARC
(19,22),-0.344831 # DEPENDENCYPART_ARC
(19,23),-0.494647 # DEPENDENCYPART_ARC
(20,19),-0.146811 # DEPENDENCYPART_ARC
(21,13),-1.26274 # DEPENDENCYPART_ARC
(21,14),-1.33985 # DEPENDENCYPART_ARC
(21,15),-4.37654 # DEPENDENCYPART_ARC
(21,17),-2.23349 # DEPENDENCYPART_ARC
(21,18),-2.27818 # DEPENDENCYPART_ARC
(21,19),-0.875528 # DEPENDENCYPART_ARC
(21,20),2.44199 # DEPENDENCYPART_ARC
(21,23),-1.23797 # DEPENDENCYPART_ARC
(22,1),-1.07192 # DEPENDENCYPART_ARC
(22,2),-0.097062 # DEPENDENCYPART_ARC
(22,3),-0.534673 # DEPENDENCYPART_ARC
(22,4),-0.833245 # DEPENDENCYPART_ARC
(22,5),0.721664 # DEPENDENCYPART_ARC
(22,6),-1.05731 # DEPENDENCYPART_ARC
(22,7),-0.0738908 # DEPENDENCYPART_ARC
(22,8),0.790544 # DEPENDENCYPART_ARC
(22,9),-0.627341 # DEPENDENCYPART_ARC
(22,10),-0.764016 # DEPENDENCYPART_ARC
(22,11),-0.469514 # DEPENDENCYPART_ARC
(22,12),0.750827 # DEPENDENCYPART_ARC
(22,13),-0.930663 # DEPENDENCYPART_ARC
(22,14),0.976894 # DEPENDENCYPART_ARC
(22,15),-0.165846 # DEPENDENCYPART_ARC
(22,16),0.621551 # DEPENDENCYPART_ARC
(22,17),1.20549 # DEPENDENCYPART_ARC
(22,18),2.38105 # DEPENDENCYPART_ARC
(22,19),2.39346 # DEPENDENCYPART_ARC
(22,20),-0.184917 # DEPENDENCYPART_ARC
(22,21),3.27477 # DEPENDENCYPART_ARC
(22,23),1.6272 # DEPENDENCYPART_ARC
