# _root_ Az oroszok azonban feltűnően békésen viselkednek , s egyelőre semmi jele annak , hogy a katonák erőszakos akcióra készülnének .
#goldHeads=2,6,6,5,6,8,8,0,14,11,14,14,14,8,16,19,18,19,14,8,
#predictedHeads=2,6,6,6,6,8,8,0,14,11,14,14,14,8,16,19,18,19,12,8,
(0,3),-2.19341 # DEPENDENCYPART_ARC
(0,6),-0.94273 # DEPENDENCYPART_ARC
(0,8),0.324583 # DEPENDENCYPART_ARC
(0,9),-2.79524 # DEPENDENCYPART_ARC
(0,12),-3.73915 # DEPENDENCYPART_ARC
(0,14),-1.67564 # DEPENDENCYPART_ARC
(0,19),-2.34145 # DEPENDENCYPART_ARC
(1,3),-0.635447 # DEPENDENCYPART_ARC
(1,4),-0.975698 # DEPENDENCYPART_ARC
(1,5),-0.968507 # DEPENDENCYPART_ARC
(2,1),2.58445 # DEPENDENCYPART_ARC
(3,1),-0.587854 # DEPENDENCYPART_ARC
(3,2),0.0307833 # DEPENDENCYPART_ARC
(3,4),-0.579283 # DEPENDENCYPART_ARC
(3,5),-0.585278 # DEPENDENCYPART_ARC
(3,6),-0.179126 # DEPENDENCYPART_ARC
(3,7),-0.197822 # DEPENDENCYPART_ARC
(3,8),-0.390369 # DEPENDENCYPART_ARC
(3,11),-0.851228 # DEPENDENCYPART_ARC
(3,12),-1.56952 # DEPENDENCYPART_ARC
(3,13),-0.608235 # DEPENDENCYPART_ARC
(3,14),0.0826878 # DEPENDENCYPART_ARC
(3,16),-1.03912 # DEPENDENCYPART_ARC
(3,19),-2.21696 # DEPENDENCYPART_ARC
(3,20),0.598117 # DEPENDENCYPART_ARC
(4,1),-0.688178 # DEPENDENCYPART_ARC
(4,2),-1.08593 # DEPENDENCYPART_ARC
(4,3),0.530009 # DEPENDENCYPART_ARC
(4,5),-0.523431 # DEPENDENCYPART_ARC
(4,6),-0.758354 # DEPENDENCYPART_ARC
(4,7),-0.414786 # DEPENDENCYPART_ARC
(4,10),-1.20136 # DEPENDENCYPART_ARC
(4,19),-1.16941 # DEPENDENCYPART_ARC
(4,20),0.563257 # DEPENDENCYPART_ARC
(5,1),-0.43089 # DEPENDENCYPART_ARC
(5,2),-1.64993 # DEPENDENCYPART_ARC
(5,3),0.0419082 # DEPENDENCYPART_ARC
(5,4),1.69773 # DEPENDENCYPART_ARC
(5,10),-1.56411 # DEPENDENCYPART_ARC
(5,19),-1.59264 # DEPENDENCYPART_ARC
(5,20),0.176534 # DEPENDENCYPART_ARC
(6,1),-0.0713263 # DEPENDENCYPART_ARC
(6,2),2.46501 # DEPENDENCYPART_ARC
(6,3),2.91518 # DEPENDENCYPART_ARC
(6,4),2.11103 # DEPENDENCYPART_ARC
(6,5),3.44543 # DEPENDENCYPART_ARC
(6,7),1.77982 # DEPENDENCYPART_ARC
(6,8),0.699375 # DEPENDENCYPART_ARC
(6,9),-0.118412 # DEPENDENCYPART_ARC
(6,10),-1.17519 # DEPENDENCYPART_ARC
(6,11),-0.909934 # DEPENDENCYPART_ARC
(6,12),-0.560321 # DEPENDENCYPART_ARC
(6,13),0.288455 # DEPENDENCYPART_ARC
(6,14),0.803405 # DEPENDENCYPART_ARC
(6,16),-2.82668 # DEPENDENCYPART_ARC
(6,17),-1.42098 # DEPENDENCYPART_ARC
(6,18),-2.84172 # DEPENDENCYPART_ARC
(6,19),0.972887 # DEPENDENCYPART_ARC
(6,20),2.48201 # DEPENDENCYPART_ARC
(8,2),-0.78765 # DEPENDENCYPART_ARC
(8,3),0.7102 # DEPENDENCYPART_ARC
(8,4),0.288894 # DEPENDENCYPART_ARC
(8,5),0.220729 # DEPENDENCYPART_ARC
(8,6),2.29219 # DEPENDENCYPART_ARC
(8,7),2.77034 # DEPENDENCYPART_ARC
(8,9),-0.25515 # DEPENDENCYPART_ARC
(8,10),-0.771605 # DEPENDENCYPART_ARC
(8,11),-0.655881 # DEPENDENCYPART_ARC
(8,12),-1.05182 # DEPENDENCYPART_ARC
(8,13),-0.325955 # DEPENDENCYPART_ARC
(8,14),0.834436 # DEPENDENCYPART_ARC
(8,16),-1.25714 # DEPENDENCYPART_ARC
(8,17),-0.23934 # DEPENDENCYPART_ARC
(8,18),-1.49009 # DEPENDENCYPART_ARC
(8,19),1.09656 # DEPENDENCYPART_ARC
(8,20),3.63055 # DEPENDENCYPART_ARC
(9,3),-0.203462 # DEPENDENCYPART_ARC
(9,6),0.166778 # DEPENDENCYPART_ARC
(9,7),0.255517 # DEPENDENCYPART_ARC
(9,8),0.401944 # DEPENDENCYPART_ARC
