# _root_ Szakmai ártalom talán , hogy jobb híján statisztikát készítek róluk magamban , hátha kiderül az élet e mindennapi jelenetéből valami .
#goldHeads=2,5,5,5,0,7,9,9,5,9,9,9,14,9,16,19,19,19,14,14,5,
#predictedHeads=2,5,5,5,0,8,9,9,5,9,9,9,14,9,16,14,19,19,14,14,9,
(0,1),-1.98866 # DEPENDENCYPART_ARC
(0,2),-2.50667 # DEPENDENCYPART_ARC
(0,3),-2.34121 # DEPENDENCYPART_ARC
(0,5),-0.904913 # DEPENDENCYPART_ARC
(0,6),-2.98007 # DEPENDENCYPART_ARC
(0,7),-3.3546 # DEPENDENCYPART_ARC
(0,8),-3.61419 # DEPENDENCYPART_ARC
(0,9),-2.04741 # DEPENDENCYPART_ARC
(0,10),-2.89666 # DEPENDENCYPART_ARC
(0,13),-2.85393 # DEPENDENCYPART_ARC
(0,14),-2.34067 # DEPENDENCYPART_ARC
(0,17),-3.65244 # DEPENDENCYPART_ARC
(0,20),-3.88451 # DEPENDENCYPART_ARC
(1,3),-1.02639 # DEPENDENCYPART_ARC
(1,4),-0.776397 # DEPENDENCYPART_ARC
(1,5),-0.997241 # DEPENDENCYPART_ARC
(1,9),-1.54201 # DEPENDENCYPART_ARC
(1,14),-1.57441 # DEPENDENCYPART_ARC
(2,1),3.26034 # DEPENDENCYPART_ARC
(2,3),-0.409146 # DEPENDENCYPART_ARC
(2,4),-0.22538 # DEPENDENCYPART_ARC
(2,6),-0.661284 # DEPENDENCYPART_ARC
(2,7),-0.246914 # DEPENDENCYPART_ARC
(2,9),-1.04211 # DEPENDENCYPART_ARC
(3,1),0.0973362 # DEPENDENCYPART_ARC
(3,2),0.738203 # DEPENDENCYPART_ARC
(3,4),-0.30313 # DEPENDENCYPART_ARC
(3,5),-0.285088 # DEPENDENCYPART_ARC
(3,6),-0.339654 # DEPENDENCYPART_ARC
(3,7),-0.24943 # DEPENDENCYPART_ARC
(3,8),-0.944916 # DEPENDENCYPART_ARC
(3,9),-0.580919 # DEPENDENCYPART_ARC
(3,10),-0.442358 # DEPENDENCYPART_ARC
(3,12),-0.620973 # DEPENDENCYPART_ARC
(3,13),-0.422702 # DEPENDENCYPART_ARC
(3,14),-1.11998 # DEPENDENCYPART_ARC
(3,16),-2.20511 # DEPENDENCYPART_ARC
(3,19),-2.26899 # DEPENDENCYPART_ARC
(3,21),0.545915 # DEPENDENCYPART_ARC
(5,1),0.837298 # DEPENDENCYPART_ARC
(5,2),1.23938 # DEPENDENCYPART_ARC
(5,3),1.0761 # DEPENDENCYPART_ARC
(5,4),0.854621 # DEPENDENCYPART_ARC
(5,6),-0.263256 # DEPENDENCYPART_ARC
(5,8),-1.40271 # DEPENDENCYPART_ARC
(5,9),0.925541 # DEPENDENCYPART_ARC
(5,12),0.547409 # DEPENDENCYPART_ARC
(5,13),-0.425743 # DEPENDENCYPART_ARC
(5,14),0.0119976 # DEPENDENCYPART_ARC
(5,18),-0.773551 # DEPENDENCYPART_ARC
(5,21),2.67482 # DEPENDENCYPART_ARC
(6,1),-2.07402 # DEPENDENCYPART_ARC
(6,2),-2.61112 # DEPENDENCYPART_ARC
(6,3),-0.678725 # DEPENDENCYPART_ARC
(6,4),-0.609121 # DEPENDENCYPART_ARC
(6,5),-0.683087 # DEPENDENCYPART_ARC
(6,7),-0.258643 # DEPENDENCYPART_ARC
(6,8),-1.19713 # DEPENDENCYPART_ARC
(6,9),-0.76658 # DEPENDENCYPART_ARC
(6,12),-0.596679 # DEPENDENCYPART_ARC
(6,14),-0.866461 # DEPENDENCYPART_ARC
(6,16),-1.90598 # DEPENDENCYPART_ARC
(6,21),0.53935 # DEPENDENCYPART_ARC
(7,1),-0.398572 # DEPENDENCYPART_ARC
(7,2),0.0574177 # DEPENDENCYPART_ARC
(7,3),0.14844 # DEPENDENCYPART_ARC
(7,4),0.383912 # DEPENDENCYPART_ARC
(7,6),1.31439 # DEPENDENCYPART_ARC
(7,8),-0.527071 # DEPENDENCYPART_ARC
(7,14),-0.791781 # DEPENDENCYPART_ARC
(7,16),-1.4412 # DEPENDENCYPART_ARC
(7,19),-1.47129 # DEPENDENCYPART_ARC
(8,1),0.485254 # DEPENDENCYPART_ARC
(8,2),-0.898295 # DEPENDENCYPART_ARC
(8,3),-0.162517 # DEPENDENCYPART_ARC
(8,4),0.231073 # DEPENDENCYPART_ARC
(8,5),-0.0792646 # DEPENDENCYPART_ARC
(8,6),1.75207 # DEPENDENCYPART_ARC
(8,7),0.911705 # DEPENDENCYPART_ARC
(8,12),-0.447592 # DEPENDENCYPART_ARC
(8,14),-0.717787 # DEPENDENCYPART_ARC
(8,21),0.848991 # DEPENDENCYPART_ARC
(9,1),-1.42561 # DEPENDENCYPART_ARC
(9,2),0.216904 # DEPENDENCYPART_ARC
(9,3),0.52012 # DEPENDENCYPART_ARC
(9,4),0.542104 # DEPENDENCYPART_ARC
(9,5),-0.575332 # DEPENDENCYPART_ARC
(9,6),0.231701 # DEPENDENCYPART_ARC
(9,7),1.82946 # DEPENDENCYPART_ARC
(9,8),2.53455 # DEPENDENCYPART_ARC
(9,10),2.6402 # DEPENDENCYPART_ARC
(9,11),2.53551 # DEPENDENCYPART_ARC
(9,12),1.78338 # DEPENDENCYPART_ARC
(9,13),0.582696 # DEPENDENCYPART_ARC
(9,14),1.37332 # DEPENDENCYPART_ARC
(9,15),-0.539623 # DEPENDENCYPART_ARC
(9,16),-0.53995 # DEPENDENCYPART_ARC
(9,17),-0.829439 # DEPENDENCYPART_ARC
(9,18),-0.511573 # DEPENDENCYPART_ARC
(9,19),-0.877266 # DEPENDENCYPART_ARC
(9,21),2.7986 # DEPENDENCYPART_ARC
(10,4),-0.831654 # DEPENDENCYPART_ARC
(10,5),-0.991281 # DEPENDENCYPART_ARC
(10,8),-0.374777 # DEPENDENCYPART_ARC
(10,9),-0.0207117 # DEPENDENCYPART_ARC
(10,12),-0.649124 # DEPENDENCYPART_ARC
(10,13),-0.845503 # DEPENDENCYPART_ARC
(10,14),-0.672236 # DEPENDENCYPART_ARC
(10,16),-2.0118 # DEPENDENCYPART_ARC
(10,18),-1.05224 # DEPENDENCYPART_ARC
(10,19),-1.98586 # DEPENDENCYPART_ARC
(10,21),-0.0568841 # DEPENDENCYPART_ARC
(13,2),-1.6517 # DEPENDENCYPART_ARC
(13,5),-0.842356 # DEPENDENCYPART_ARC
(13,6),-1.05706 # DEPENDENCYPART_ARC
(13,7),-0.86547 # DEPENDENCYPART_ARC
(13,8),-1.28267 # DEPENDENCYPART_ARC
(13,9),-0.455295 # DEPENDENCYPART_ARC
(13,12),-0.379742 # DEPENDENCYPART_ARC
(13,16),-1.00445 # DEPENDENCYPART_ARC
(13,19),-1.39665 # DEPENDENCYPART_ARC
(13,21),-0.0168835 # DEPENDENCYPART_ARC
(14,1),-1.64154 # DEPENDENCYPART_ARC
(14,2),-0.784833 # DEPENDENCYPART_ARC
(14,3),-0.494315 # DEPENDENCYPART_ARC
(14,4),0.118889 # DEPENDENCYPART_ARC
(14,5),0.0593987 # DEPENDENCYPART_ARC
(14,6),-0.387043 # DEPENDENCYPART_ARC
(14,7),0.382618 # DEPENDENCYPART_ARC
(14,8),-0.299812 # DEPENDENCYPART_ARC
(14,9),-0.00931887 # DEPENDENCYPART_ARC
(14,10),0.934255 # DEPENDENCYPART_ARC
(14,11),1.00958 # DEPENDENCYPART_ARC
(14,12),1.24804 # DEPENDENCYPART_ARC
(14,13),2.57019 # DEPENDENCYPART_ARC
(14,15),-0.0336384 # DEPENDENCYPART_ARC
(14,16),2.15571 # DEPENDENCYPART_ARC
(14,17),0.612703 # DEPENDENCYPART_ARC
(14,18),0.263291 # DEPENDENCYPART_ARC
(14,19),1.88195 # DEPENDENCYPART_ARC
(14,20),0.308688 # DEPENDENCYPART_ARC
(14,21),2.45031 # DEPENDENCYPART_ARC
(15,19),-1.33092 # DEPENDENCYPART_ARC
(16,13),-1.08973 # DEPENDENCYPART_ARC
(16,15),2.81948 # DEPENDENCYPART_ARC
(16,18),-1.01919 # DEPENDENCYPART_ARC
(16,19),-1.64891 # DEPENDENCYPART_ARC
(17,5),-0.922691 # DEPENDENCYPART_ARC
(17,8),-2.07224 # DEPENDENCYPART_ARC
(17,9),-0.868086 # DEPENDENCYPART_ARC
(17,12),-0.559887 # DEPENDENCYPART_ARC
(17,13),-0.62566 # DEPENDENCYPART_ARC
(17,14),0.030503 # DEPENDENCYPART_ARC
(17,16),-0.77578 # DEPENDENCYPART_ARC
(17,18),-0.0238108 # DEPENDENCYPART_ARC
(17,19),0.0464225 # DEPENDENCYPART_ARC
(17,20),-0.860971 # DEPENDENCYPART_ARC
(17,21),-0.038533 # DEPENDENCYPART_ARC
(18,2),-3.34044 # DEPENDENCYPART_ARC
(18,3),-1.11586 # DEPENDENCYPART_ARC
(18,7),-0.917416 # DEPENDENCYPART_ARC
(18,10),-0.817504 # DEPENDENCYPART_ARC
(18,13),-0.617735 # DEPENDENCYPART_ARC
(18,15),-0.481132 # DEPENDENCYPART_ARC
(18,16),-0.587623 # DEPENDENCYPART_ARC
(18,17),0.869965 # DEPENDENCYPART_ARC
(19,1),-1.21131 # DEPENDENCYPART_ARC
(19,6),-1.46519 # DEPENDENCYPART_ARC
(19,7),-0.783386 # DEPENDENCYPART_ARC
(19,12),-0.768598 # DEPENDENCYPART_ARC
(19,13),-0.58209 # DEPENDENCYPART_ARC
(19,15),0.355762 # DEPENDENCYPART_ARC
(19,16),1.8002 # DEPENDENCYPART_ARC
(19,17),1.85003 # DEPENDENCYPART_ARC
(19,18),2.99689 # DEPENDENCYPART_ARC
(20,19),0.340647 # DEPENDENCYPART_ARC
(20,21),0.548999 # DEPENDENCYPART_ARC
