# _root_ Szkuratov irodáját lepecsételték , az ügyészséget első helyettese , Jurij_Csajka irányítja egyelőre .
#goldHeads=2,3,0,3,6,11,8,11,11,11,3,11,3,
#predictedHeads=2,3,0,3,6,11,8,11,11,11,3,11,3,
(0,1),-1.99032 # DEPENDENCYPART_ARC
(0,2),-2.84771 # DEPENDENCYPART_ARC
(0,3),-0.415834 # DEPENDENCYPART_ARC
(0,6),-3.90571 # DEPENDENCYPART_ARC
(0,8),-4.15038 # DEPENDENCYPART_ARC
(0,11),-1.43351 # DEPENDENCYPART_ARC
(0,12),-2.8559 # DEPENDENCYPART_ARC
(1,2),-1.10227 # DEPENDENCYPART_ARC
(1,3),-0.730118 # DEPENDENCYPART_ARC
(1,4),-0.362369 # DEPENDENCYPART_ARC
(1,6),-1.89132 # DEPENDENCYPART_ARC
(1,8),-1.43758 # DEPENDENCYPART_ARC
(1,9),-0.340396 # DEPENDENCYPART_ARC
(1,11),-0.868855 # DEPENDENCYPART_ARC
(1,13),-0.143007 # DEPENDENCYPART_ARC
(2,1),3.81354 # DEPENDENCYPART_ARC
(2,3),-0.991776 # DEPENDENCYPART_ARC
(2,4),-0.673292 # DEPENDENCYPART_ARC
(2,6),-2.08392 # DEPENDENCYPART_ARC
(2,8),-1.99948 # DEPENDENCYPART_ARC
(2,9),-0.416853 # DEPENDENCYPART_ARC
(2,11),-1.99452 # DEPENDENCYPART_ARC
(2,12),-1.18709 # DEPENDENCYPART_ARC
(2,13),-0.128159 # DEPENDENCYPART_ARC
(3,1),1.84081 # DEPENDENCYPART_ARC
(3,2),4.20281 # DEPENDENCYPART_ARC
(3,4),1.67297 # DEPENDENCYPART_ARC
(3,5),-0.356481 # DEPENDENCYPART_ARC
(3,6),0.084486 # DEPENDENCYPART_ARC
(3,8),-0.0279562 # DEPENDENCYPART_ARC
(3,9),0.642056 # DEPENDENCYPART_ARC
(3,10),-2.34136 # DEPENDENCYPART_ARC
(3,11),1.85188 # DEPENDENCYPART_ARC
(3,12),0.0326906 # DEPENDENCYPART_ARC
(3,13),2.30442 # DEPENDENCYPART_ARC
(5,4),-0.480437 # DEPENDENCYPART_ARC
(5,6),-0.391373 # DEPENDENCYPART_ARC
(5,7),-0.356344 # DEPENDENCYPART_ARC
(5,8),-0.96328 # DEPENDENCYPART_ARC
(6,1),-2.07154 # DEPENDENCYPART_ARC
(6,3),-1.02569 # DEPENDENCYPART_ARC
(6,4),-0.82204 # DEPENDENCYPART_ARC
(6,5),2.65234 # DEPENDENCYPART_ARC
(6,8),-0.785334 # DEPENDENCYPART_ARC
(6,9),0.10118 # DEPENDENCYPART_ARC
(6,10),-1.12678 # DEPENDENCYPART_ARC
(6,11),-0.658925 # DEPENDENCYPART_ARC
(6,12),-0.953661 # DEPENDENCYPART_ARC
(6,13),-0.391291 # DEPENDENCYPART_ARC
(7,4),-0.890687 # DEPENDENCYPART_ARC
(7,6),-0.963302 # DEPENDENCYPART_ARC
(7,8),-0.467845 # DEPENDENCYPART_ARC
(7,11),-0.48991 # DEPENDENCYPART_ARC
(7,13),-0.520174 # DEPENDENCYPART_ARC
(8,1),-0.77105 # DEPENDENCYPART_ARC
(8,3),-0.749313 # DEPENDENCYPART_ARC
(8,4),-0.334218 # DEPENDENCYPART_ARC
(8,5),-0.146505 # DEPENDENCYPART_ARC
(8,6),-0.799807 # DEPENDENCYPART_ARC
(8,7),2.95957 # DEPENDENCYPART_ARC
(8,9),-0.139528 # DEPENDENCYPART_ARC
(8,10),-0.633125 # DEPENDENCYPART_ARC
(8,11),-1.29869 # DEPENDENCYPART_ARC
(8,12),-1.14675 # DEPENDENCYPART_ARC
(8,13),-0.722181 # DEPENDENCYPART_ARC
(10,1),-2.34516 # DEPENDENCYPART_ARC
(10,3),-0.532506 # DEPENDENCYPART_ARC
(10,4),-0.110838 # DEPENDENCYPART_ARC
(10,5),0.165907 # DEPENDENCYPART_ARC
(10,6),-2.11112 # DEPENDENCYPART_ARC
(10,7),0.37963 # DEPENDENCYPART_ARC
(10,8),0.0198581 # DEPENDENCYPART_ARC
(10,9),0.546475 # DEPENDENCYPART_ARC
(10,11),-0.442953 # DEPENDENCYPART_ARC
(10,13),-0.534793 # DEPENDENCYPART_ARC
(11,1),1.29488 # DEPENDENCYPART_ARC
(11,2),1.81196 # DEPENDENCYPART_ARC
(11,3),0.0706986 # DEPENDENCYPART_ARC
(11,4),1.20189 # DEPENDENCYPART_ARC
(11,5),-0.363107 # DEPENDENCYPART_ARC
(11,6),2.08891 # DEPENDENCYPART_ARC
(11,7),0.461315 # DEPENDENCYPART_ARC
(11,8),1.5258 # DEPENDENCYPART_ARC
(11,9),1.66596 # DEPENDENCYPART_ARC
(11,10),3.942 # DEPENDENCYPART_ARC
(11,12),2.7587 # DEPENDENCYPART_ARC
(11,13),1.72006 # DEPENDENCYPART_ARC
(12,1),-0.527841 # DEPENDENCYPART_ARC
(12,2),-0.547315 # DEPENDENCYPART_ARC
(12,3),-0.397757 # DEPENDENCYPART_ARC
(12,4),-0.663334 # DEPENDENCYPART_ARC
(12,6),-0.302083 # DEPENDENCYPART_ARC
(12,8),-0.445615 # DEPENDENCYPART_ARC
(12,9),-0.197508 # DEPENDENCYPART_ARC
(12,10),0.29488 # DEPENDENCYPART_ARC
(12,11),0.42248 # DEPENDENCYPART_ARC
(12,13),0.2255 # DEPENDENCYPART_ARC
