# _root_ Ám 1996-ban született egy újabb rendelet , amely alapján a díj magasabb lett , mint amennyit a szegedi orvosegyetem előzőleg kifizetett .
#goldHeads=3,3,0,6,6,3,3,9,13,11,13,13,3,13,13,21,19,19,21,21,13,3,
#predictedHeads=3,3,0,6,6,3,3,13,13,11,13,13,3,13,13,21,19,19,21,21,13,3,
(0,1),-2.02213 # DEPENDENCYPART_ARC
(0,2),-2.0979 # DEPENDENCYPART_ARC
(0,3),-0.857909 # DEPENDENCYPART_ARC
(0,6),-3.66995 # DEPENDENCYPART_ARC
(0,13),-1.8712 # DEPENDENCYPART_ARC
(0,15),-2.77901 # DEPENDENCYPART_ARC
(0,21),-2.26612 # DEPENDENCYPART_ARC
(1,2),-0.285007 # DEPENDENCYPART_ARC
(1,3),0.93503 # DEPENDENCYPART_ARC
(1,5),-0.505963 # DEPENDENCYPART_ARC
(1,6),-0.26023 # DEPENDENCYPART_ARC
(1,7),0.762567 # DEPENDENCYPART_ARC
(1,9),-0.948513 # DEPENDENCYPART_ARC
(1,11),-0.827137 # DEPENDENCYPART_ARC
(1,12),-0.854332 # DEPENDENCYPART_ARC
(1,13),0.344703 # DEPENDENCYPART_ARC
(1,14),0.205615 # DEPENDENCYPART_ARC
(1,15),-0.350583 # DEPENDENCYPART_ARC
(1,19),-1.11782 # DEPENDENCYPART_ARC
(1,20),-0.827394 # DEPENDENCYPART_ARC
(1,21),-0.614007 # DEPENDENCYPART_ARC
(1,22),1.77104 # DEPENDENCYPART_ARC
(2,1),0.311936 # DEPENDENCYPART_ARC
(2,3),0.412371 # DEPENDENCYPART_ARC
(2,5),-0.382638 # DEPENDENCYPART_ARC
(2,6),-0.262105 # DEPENDENCYPART_ARC
(2,7),-0.218587 # DEPENDENCYPART_ARC
(2,13),-0.698696 # DEPENDENCYPART_ARC
(2,14),-0.202499 # DEPENDENCYPART_ARC
(2,21),-0.934297 # DEPENDENCYPART_ARC
(2,22),1.12835 # DEPENDENCYPART_ARC
(3,1),1.84508 # DEPENDENCYPART_ARC
(3,2),3.23187 # DEPENDENCYPART_ARC
(3,5),0.752522 # DEPENDENCYPART_ARC
(3,6),2.75053 # DEPENDENCYPART_ARC
(3,7),2.45771 # DEPENDENCYPART_ARC
(3,8),-0.00169506 # DEPENDENCYPART_ARC
(3,9),1.55608 # DEPENDENCYPART_ARC
(3,10),-0.20943 # DEPENDENCYPART_ARC
(3,11),-0.57176 # DEPENDENCYPART_ARC
(3,12),-0.421202 # DEPENDENCYPART_ARC
(3,13),1.70842 # DEPENDENCYPART_ARC
(3,14),1.91681 # DEPENDENCYPART_ARC
(3,15),1.69575 # DEPENDENCYPART_ARC
(3,16),-0.979658 # DEPENDENCYPART_ARC
(3,18),-1.41437 # DEPENDENCYPART_ARC
(3,19),-1.13484 # DEPENDENCYPART_ARC
(3,20),0.0600949 # DEPENDENCYPART_ARC
(3,21),0.898556 # DEPENDENCYPART_ARC
(3,22),3.44461 # DEPENDENCYPART_ARC
(4,5),0.288989 # DEPENDENCYPART_ARC
(5,1),-1.69118 # DEPENDENCYPART_ARC
(5,2),-1.76266 # DEPENDENCYPART_ARC
(5,4),-0.0297368 # DEPENDENCYPART_ARC
(5,13),-1.34164 # DEPENDENCYPART_ARC
(6,1),-1.0167 # DEPENDENCYPART_ARC
(6,2),-1.85891 # DEPENDENCYPART_ARC
(6,3),-0.421628 # DEPENDENCYPART_ARC
(6,4),2.61348 # DEPENDENCYPART_ARC
(6,5),3.31404 # DEPENDENCYPART_ARC
(6,7),0.192976 # DEPENDENCYPART_ARC
(6,8),-0.916314 # DEPENDENCYPART_ARC
(6,9),-1.44222 # DEPENDENCYPART_ARC
(6,11),-0.627438 # DEPENDENCYPART_ARC
(6,13),-0.541313 # DEPENDENCYPART_ARC
(6,21),-0.910125 # DEPENDENCYPART_ARC
(6,22),1.1566 # DEPENDENCYPART_ARC
(8,9),-0.493596 # DEPENDENCYPART_ARC
(8,11),-0.384155 # DEPENDENCYPART_ARC
(8,12),-0.0982042 # DEPENDENCYPART_ARC
(8,19),-0.836674 # DEPENDENCYPART_ARC
(9,1),-1.72698 # DEPENDENCYPART_ARC
(9,2),-3.71266 # DEPENDENCYPART_ARC
(9,3),-3.90643 # DEPENDENCYPART_ARC
(9,4),-0.618481 # DEPENDENCYPART_ARC
(9,5),-0.363904 # DEPENDENCYPART_ARC
(9,6),-0.491165 # DEPENDENCYPART_ARC
(9,7),-0.995396 # DEPENDENCYPART_ARC
(9,8),0.540486 # DEPENDENCYPART_ARC
(9,10),-1.64896 # DEPENDENCYPART_ARC
(9,11),-0.684201 # DEPENDENCYPART_ARC
(9,12),-1.07645 # DEPENDENCYPART_ARC
(9,14),-0.648418 # DEPENDENCYPART_ARC
(9,19),-1.90027 # DEPENDENCYPART_ARC
(9,21),-1.37453 # DEPENDENCYPART_ARC
(9,22),0.273506 # DEPENDENCYPART_ARC
(10,12),-0.384521 # DEPENDENCYPART_ARC
(11,4),-0.297911 # DEPENDENCYPART_ARC
(11,6),-2.36368 # DEPENDENCYPART_ARC
(11,8),-1.29666 # DEPENDENCYPART_ARC
(11,9),-2.76798 # DEPENDENCYPART_ARC
(11,10),2.80591 # DEPENDENCYPART_ARC
(11,12),-0.36269 # DEPENDENCYPART_ARC
(11,21),-1.06447 # DEPENDENCYPART_ARC
(12,1),-0.589253 # DEPENDENCYPART_ARC
(12,2),-1.38165 # DEPENDENCYPART_ARC
(12,3),-2.09788 # DEPENDENCYPART_ARC
(12,6),-2.25445 # DEPENDENCYPART_ARC
(12,7),-0.529734 # DEPENDENCYPART_ARC
(12,8),-0.985043 # DEPENDENCYPART_ARC
(12,9),-1.38 # DEPENDENCYPART_ARC
(12,10),0.00867194 # DEPENDENCYPART_ARC
(12,11),-0.016337 # DEPENDENCYPART_ARC
(12,14),-0.654946 # DEPENDENCYPART_ARC
(12,15),-0.955731 # DEPENDENCYPART_ARC
(12,19),-1.85681 # DEPENDENCYPART_ARC
(12,21),-0.813875 # DEPENDENCYPART_ARC
(12,22),0.128247 # DEPENDENCYPART_ARC
(13,1),1.04778 # DEPENDENCYPART_ARC
(13,2),0.963598 # DEPENDENCYPART_ARC
(13,3),0.545375 # DEPENDENCYPART_ARC
(13,4),-0.302017 # DEPENDENCYPART_ARC
(13,5),0.0595635 # DEPENDENCYPART_ARC
(13,6),0.726073 # DEPENDENCYPART_ARC
(13,7),1.08039 # DEPENDENCYPART_ARC
(13,8),2.14195 # DEPENDENCYPART_ARC
(13,9),3.64517 # DEPENDENCYPART_ARC
(13,10),-0.370859 # DEPENDENCYPART_ARC
(13,11),2.38075 # DEPENDENCYPART_ARC
(13,12),2.66375 # DEPENDENCYPART_ARC
(13,14),2.00627 # DEPENDENCYPART_ARC
(13,15),2.62104 # DEPENDENCYPART_ARC
(13,16),-0.841978 # DEPENDENCYPART_ARC
(13,17),-0.645214 # DEPENDENCYPART_ARC
(13,18),-0.681778 # DEPENDENCYPART_ARC
(13,19),-0.962948 # DEPENDENCYPART_ARC
(13,20),0.0688539 # DEPENDENCYPART_ARC
(13,21),0.952235 # DEPENDENCYPART_ARC
(13,22),2.40231 # DEPENDENCYPART_ARC
(15,1),0.358581 # DEPENDENCYPART_ARC
(15,3),-0.769108 # DEPENDENCYPART_ARC
(15,5),-0.587706 # DEPENDENCYPART_ARC
(15,6),-0.657683 # DEPENDENCYPART_ARC
(15,7),-0.567801 # DEPENDENCYPART_ARC
(15,8),-0.524456 # DEPENDENCYPART_ARC
(15,9),-0.353673 # DEPENDENCYPART_ARC
(15,11),0.0576215 # DEPENDENCYPART_ARC
(15,12),0.373889 # DEPENDENCYPART_ARC
(15,13),-0.236685 # DEPENDENCYPART_ARC
(15,14),0.952364 # DEPENDENCYPART_ARC
(15,18),-0.330463 # DEPENDENCYPART_ARC
(15,19),-0.89044 # DEPENDENCYPART_ARC
(15,20),-0.506077 # DEPENDENCYPART_ARC
(15,21),0.116137 # DEPENDENCYPART_ARC
(15,22),1.68334 # DEPENDENCYPART_ARC
(16,18),-0.592408 # DEPENDENCYPART_ARC
(16,19),-0.545762 # DEPENDENCYPART_ARC
(17,18),-0.212678 # DEPENDENCYPART_ARC
(18,8),-2.71264 # DEPENDENCYPART_ARC
(18,15),-1.26804 # DEPENDENCYPART_ARC
(18,16),-0.931392 # DEPENDENCYPART_ARC
(18,17),0.386219 # DEPENDENCYPART_ARC
(19,2),-3.58308 # DEPENDENCYPART_ARC
(19,4),-0.937075 # DEPENDENCYPART_ARC
(19,10),-1.07459 # DEPENDENCYPART_ARC
(19,11),-2.41413 # DEPENDENCYPART_ARC
(19,12),-1.04691 # DEPENDENCYPART_ARC
(19,13),-1.23086 # DEPENDENCYPART_ARC
(19,14),-0.966703 # DEPENDENCYPART_ARC
(19,15),-0.664956 # DEPENDENCYPART_ARC
(19,16),-0.946934 # DEPENDENCYPART_ARC
(19,17),2.55642 # DEPENDENCYPART_ARC
(19,18),3.55834 # DEPENDENCYPART_ARC
(19,20),-0.581877 # DEPENDENCYPART_ARC
(20,3),-0.821845 # DEPENDENCYPART_ARC
(20,7),-1.09717 # DEPENDENCYPART_ARC
(20,9),-1.05972 # DEPENDENCYPART_ARC
(20,13),-0.626692 # DEPENDENCYPART_ARC
(20,14),-0.564815 # DEPENDENCYPART_ARC
(20,15),-0.592659 # DEPENDENCYPART_ARC
(20,18),-0.189319 # DEPENDENCYPART_ARC
(20,19),0.355201 # DEPENDENCYPART_ARC
(20,22),-0.745702 # DEPENDENCYPART_ARC
(21,1),0.760115 # DEPENDENCYPART_ARC
(21,2),0.0137627 # DEPENDENCYPART_ARC
(21,3),-0.501733 # DEPENDENCYPART_ARC
(21,5),-1.37914 # DEPENDENCYPART_ARC
(21,6),-1.12712 # DEPENDENCYPART_ARC
(21,7),-0.0286265 # DEPENDENCYPART_ARC
(21,8),0.0882647 # DEPENDENCYPART_ARC
(21,9),1.11817 # DEPENDENCYPART_ARC
(21,10),-1.521 # DEPENDENCYPART_ARC
(21,11),-0.265733 # DEPENDENCYPART_ARC
(21,12),-0.30395 # DEPENDENCYPART_ARC
(21,13),-0.77868 # DEPENDENCYPART_ARC
(21,14),0.55104 # DEPENDENCYPART_ARC
(21,15),0.175525 # DEPENDENCYPART_ARC
(21,16),0.733466 # DEPENDENCYPART_ARC
(21,17),-0.945988 # DEPENDENCYPART_ARC
(21,18),0.261378 # DEPENDENCYPART_ARC
(21,19),2.59196 # DEPENDENCYPART_ARC
(21,20),3.23444 # DEPENDENCYPART_ARC
(21,22),1.3209 # DEPENDENCYPART_ARC
