# _root_ Pontbegyűjtő , tömegrajtos városi tájfutó verseny lesz április 5-én , húsvéthétfőn Szentendrén .
#goldHeads=6,6,6,6,6,7,0,9,7,7,7,7,7,
#predictedHeads=6,6,6,6,6,7,0,9,7,7,7,7,7,
(0,1),-1.90455 # DEPENDENCYPART_ARC
(0,3),-2.44966 # DEPENDENCYPART_ARC
(0,4),-2.79948 # DEPENDENCYPART_ARC
(0,6),-3.78314 # DEPENDENCYPART_ARC
(0,7),-1.63988 # DEPENDENCYPART_ARC
(0,8),-3.59271 # DEPENDENCYPART_ARC
(0,9),-4.07846 # DEPENDENCYPART_ARC
(0,11),-4.07367 # DEPENDENCYPART_ARC
(0,12),-3.94816 # DEPENDENCYPART_ARC
(1,2),0.185851 # DEPENDENCYPART_ARC
(1,3),-0.85028 # DEPENDENCYPART_ARC
(1,4),-1.01123 # DEPENDENCYPART_ARC
(1,5),-1.08316 # DEPENDENCYPART_ARC
(1,6),-0.953953 # DEPENDENCYPART_ARC
(1,7),-0.451556 # DEPENDENCYPART_ARC
(1,8),-1.31024 # DEPENDENCYPART_ARC
(1,9),-1.10325 # DEPENDENCYPART_ARC
(1,10),-0.140606 # DEPENDENCYPART_ARC
(1,11),-1.26502 # DEPENDENCYPART_ARC
(1,13),-0.307918 # DEPENDENCYPART_ARC
(3,1),0.133042 # DEPENDENCYPART_ARC
(3,2),0.682957 # DEPENDENCYPART_ARC
(3,4),-0.365097 # DEPENDENCYPART_ARC
(3,5),-0.539811 # DEPENDENCYPART_ARC
(3,6),-0.396511 # DEPENDENCYPART_ARC
(3,7),-0.307386 # DEPENDENCYPART_ARC
(3,8),-0.78758 # DEPENDENCYPART_ARC
(3,9),-0.584089 # DEPENDENCYPART_ARC
(3,10),0.168284 # DEPENDENCYPART_ARC
(3,11),-0.888548 # DEPENDENCYPART_ARC
(3,13),-0.3124 # DEPENDENCYPART_ARC
(4,1),-0.434109 # DEPENDENCYPART_ARC
(4,2),0.0638547 # DEPENDENCYPART_ARC
(4,3),1.11905 # DEPENDENCYPART_ARC
(4,5),-0.817091 # DEPENDENCYPART_ARC
(4,7),-0.744681 # DEPENDENCYPART_ARC
(4,8),-1.2415 # DEPENDENCYPART_ARC
(4,9),-1.03742 # DEPENDENCYPART_ARC
(4,10),-0.398919 # DEPENDENCYPART_ARC
(4,11),-1.39735 # DEPENDENCYPART_ARC
(4,13),-0.805307 # DEPENDENCYPART_ARC
(5,1),-0.812232 # DEPENDENCYPART_ARC
(5,2),-0.0182652 # DEPENDENCYPART_ARC
(5,3),0.34859 # DEPENDENCYPART_ARC
(5,4),1.33642 # DEPENDENCYPART_ARC
(5,8),-1.4101 # DEPENDENCYPART_ARC
(5,9),-1.19039 # DEPENDENCYPART_ARC
(5,10),-0.637937 # DEPENDENCYPART_ARC
