# _root_ Külön biztató , hogy a részvények nemcsak a hazai , hanem a külföldi befektetők számára is újra vonzóak .
#goldHeads=4,4,4,0,6,18,18,18,8,18,18,14,14,15,18,18,18,4,4,
#predictedHeads=4,4,4,0,6,7,18,14,14,11,4,14,14,15,18,18,18,11,11,
(0,1),-1.56345 # DEPENDENCYPART_ARC
(0,2),-1.77863 # DEPENDENCYPART_ARC
(0,4),-0.361799 # DEPENDENCYPART_ARC
(0,7),-2.4688 # DEPENDENCYPART_ARC
(0,11),-0.967468 # DEPENDENCYPART_ARC
(0,15),-3.34466 # DEPENDENCYPART_ARC
(0,16),-2.34181 # DEPENDENCYPART_ARC
(0,17),-3.04856 # DEPENDENCYPART_ARC
(0,18),-2.66683 # DEPENDENCYPART_ARC
(1,2),-0.339185 # DEPENDENCYPART_ARC
(1,3),-0.635542 # DEPENDENCYPART_ARC
(1,4),-0.503115 # DEPENDENCYPART_ARC
(1,6),-1.41472 # DEPENDENCYPART_ARC
(1,7),-0.728962 # DEPENDENCYPART_ARC
(1,11),-1.01764 # DEPENDENCYPART_ARC
(1,14),-2.20081 # DEPENDENCYPART_ARC
(1,15),-0.697884 # DEPENDENCYPART_ARC
(1,16),-1.67011 # DEPENDENCYPART_ARC
(1,19),-0.424863 # DEPENDENCYPART_ARC
(2,1),0.875176 # DEPENDENCYPART_ARC
(2,3),-0.0292168 # DEPENDENCYPART_ARC
(2,4),-0.521013 # DEPENDENCYPART_ARC
(2,6),-1.50827 # DEPENDENCYPART_ARC
(2,9),-1.23473 # DEPENDENCYPART_ARC
(2,10),-0.36155 # DEPENDENCYPART_ARC
(2,11),-0.886949 # DEPENDENCYPART_ARC
(2,14),-2.0686 # DEPENDENCYPART_ARC
(2,16),-1.44643 # DEPENDENCYPART_ARC
(2,18),-1.62247 # DEPENDENCYPART_ARC
(2,19),0.697793 # DEPENDENCYPART_ARC
(4,1),1.71004 # DEPENDENCYPART_ARC
(4,2),1.13875 # DEPENDENCYPART_ARC
(4,3),1.06667 # DEPENDENCYPART_ARC
(4,6),-0.88768 # DEPENDENCYPART_ARC
(4,7),0.166854 # DEPENDENCYPART_ARC
(4,9),-0.561091 # DEPENDENCYPART_ARC
(4,10),-0.516713 # DEPENDENCYPART_ARC
(4,11),0.271024 # DEPENDENCYPART_ARC
(4,13),-0.956824 # DEPENDENCYPART_ARC
(4,14),-1.60333 # DEPENDENCYPART_ARC
(4,16),-0.520529 # DEPENDENCYPART_ARC
(4,17),-0.466306 # DEPENDENCYPART_ARC
(4,18),-1.02424 # DEPENDENCYPART_ARC
(4,19),2.05807 # DEPENDENCYPART_ARC
(6,1),-1.83036 # DEPENDENCYPART_ARC
(6,2),-1.6822 # DEPENDENCYPART_ARC
(6,3),-0.573893 # DEPENDENCYPART_ARC
(6,4),-1.56993 # DEPENDENCYPART_ARC
