# _root_ A versenyeken továbbra is lassúak voltunk , és egy idő után arra a következtetésre jutottunk , hogy valószínűleg nem bennünk van a hiba .
#goldHeads=2,6,6,6,6,8,8,0,10,11,15,14,14,15,8,15,15,21,21,21,12,23,21,8,
#predictedHeads=2,6,6,6,6,8,8,0,10,11,15,14,14,15,8,15,15,21,21,21,12,23,21,8,
(0,3),-2.13822 # DEPENDENCYPART_ARC
(0,4),-2.11685 # DEPENDENCYPART_ARC
(0,5),-2.37157 # DEPENDENCYPART_ARC
(0,6),-0.536925 # DEPENDENCYPART_ARC
(0,8),-0.409651 # DEPENDENCYPART_ARC
(0,11),-3.51336 # DEPENDENCYPART_ARC
(0,12),-3.15495 # DEPENDENCYPART_ARC
(0,15),-1.49188 # DEPENDENCYPART_ARC
(0,17),-2.77667 # DEPENDENCYPART_ARC
(0,19),-2.55374 # DEPENDENCYPART_ARC
(0,21),-2.25399 # DEPENDENCYPART_ARC
(2,1),2.76842 # DEPENDENCYPART_ARC
(3,2),-0.0822451 # DEPENDENCYPART_ARC
(3,4),-0.321185 # DEPENDENCYPART_ARC
(3,5),-0.434362 # DEPENDENCYPART_ARC
(3,11),-0.849429 # DEPENDENCYPART_ARC
(3,15),-0.995897 # DEPENDENCYPART_ARC
(3,24),-0.242904 # DEPENDENCYPART_ARC
(4,1),-1.14212 # DEPENDENCYPART_ARC
(4,2),-0.64536 # DEPENDENCYPART_ARC
(4,3),0.160449 # DEPENDENCYPART_ARC
(4,5),-0.436478 # DEPENDENCYPART_ARC
(4,6),0.0340455 # DEPENDENCYPART_ARC
(4,7),-0.0368871 # DEPENDENCYPART_ARC
(4,8),-0.700909 # DEPENDENCYPART_ARC
(4,10),-1.28257 # DEPENDENCYPART_ARC
(4,11),-0.934238 # DEPENDENCYPART_ARC
(4,12),-1.89972 # DEPENDENCYPART_ARC
(4,15),-1.08782 # DEPENDENCYPART_ARC
(4,17),-0.863906 # DEPENDENCYPART_ARC
