# _root_ Az események hátterét kutatva folyamatokat , trendeket szándékozik bemutatni , segítve a polgárosulási folyamatot és a város jövőképének közös formálását .
#goldHeads=2,3,4,8,9,9,9,0,8,8,8,14,14,11,11,17,18,20,20,11,8,
#predictedHeads=2,3,9,8,9,8,9,0,8,11,8,14,14,11,18,17,18,19,20,11,11,
(0,2),-2.34222 # DEPENDENCYPART_ARC
(0,3),-2.91287 # DEPENDENCYPART_ARC
(0,4),-2.22082 # DEPENDENCYPART_ARC
(0,5),-2.88496 # DEPENDENCYPART_ARC
(0,7),-3.5743 # DEPENDENCYPART_ARC
(0,8),-1.69397 # DEPENDENCYPART_ARC
(0,9),-1.93613 # DEPENDENCYPART_ARC
(0,11),-2.32353 # DEPENDENCYPART_ARC
(0,15),-1.7764 # DEPENDENCYPART_ARC
(1,5),-1.33663 # DEPENDENCYPART_ARC
(2,1),2.59928 # DEPENDENCYPART_ARC
(2,3),-1.65313 # DEPENDENCYPART_ARC
(2,4),-1.01784 # DEPENDENCYPART_ARC
(2,5),-1.58963 # DEPENDENCYPART_ARC
(3,1),0.86343 # DEPENDENCYPART_ARC
(3,2),4.21929 # DEPENDENCYPART_ARC
(3,4),-1.02669 # DEPENDENCYPART_ARC
(3,5),-1.19546 # DEPENDENCYPART_ARC
(3,6),-0.277063 # DEPENDENCYPART_ARC
(3,7),-1.69524 # DEPENDENCYPART_ARC
(3,8),-1.60377 # DEPENDENCYPART_ARC
(3,20),-3.15739 # DEPENDENCYPART_ARC
(3,21),-0.385616 # DEPENDENCYPART_ARC
(4,2),0.85124 # DEPENDENCYPART_ARC
(4,3),1.15484 # DEPENDENCYPART_ARC
(4,5),0.399532 # DEPENDENCYPART_ARC
(4,6),0.589825 # DEPENDENCYPART_ARC
(4,7),0.0921912 # DEPENDENCYPART_ARC
(4,8),0.445512 # DEPENDENCYPART_ARC
(4,9),0.180036 # DEPENDENCYPART_ARC
(4,10),0.649282 # DEPENDENCYPART_ARC
(4,14),-0.778259 # DEPENDENCYPART_ARC
(4,15),0.147736 # DEPENDENCYPART_ARC
(4,17),-1.08971 # DEPENDENCYPART_ARC
(4,18),-1.11445 # DEPENDENCYPART_ARC
(4,20),-0.965554 # DEPENDENCYPART_ARC
(4,21),0.75469 # DEPENDENCYPART_ARC
(5,1),0.0385653 # DEPENDENCYPART_ARC
(5,2),-0.674421 # DEPENDENCYPART_ARC
(5,3),-1.05688 # DEPENDENCYPART_ARC
(5,4),0.295885 # DEPENDENCYPART_ARC
(5,6),0.125454 # DEPENDENCYPART_ARC
(5,7),-0.618833 # DEPENDENCYPART_ARC
(5,8),-0.562784 # DEPENDENCYPART_ARC
(5,9),-0.24994 # DEPENDENCYPART_ARC
(5,10),0.096203 # DEPENDENCYPART_ARC
(5,11),-0.71753 # DEPENDENCYPART_ARC
(5,20),-2.50643 # DEPENDENCYPART_ARC
(5,21),0.417898 # DEPENDENCYPART_ARC
(7,1),0.445067 # DEPENDENCYPART_ARC
(7,2),-0.561733 # DEPENDENCYPART_ARC
(7,3),-1.60361 # DEPENDENCYPART_ARC
(7,4),0.245829 # DEPENDENCYPART_ARC
(7,5),0.191238 # DEPENDENCYPART_ARC
(7,6),0.655024 # DEPENDENCYPART_ARC
(7,8),-0.924374 # DEPENDENCYPART_ARC
(7,9),-0.688528 # DEPENDENCYPART_ARC
(7,10),-0.0560223 # DEPENDENCYPART_ARC
(7,11),-0.957823 # DEPENDENCYPART_ARC
(7,14),-1.91887 # DEPENDENCYPART_ARC
(7,18),-2.67225 # DEPENDENCYPART_ARC
(7,20),-2.71604 # DEPENDENCYPART_ARC
(7,21),-0.2537 # DEPENDENCYPART_ARC
(8,1),-0.863044 # DEPENDENCYPART_ARC
(8,2),0.62684 # DEPENDENCYPART_ARC
(8,3),0.801047 # DEPENDENCYPART_ARC
(8,4),1.28772 # DEPENDENCYPART_ARC
(8,5),0.0269002 # DEPENDENCYPART_ARC
(8,6),1.33278 # DEPENDENCYPART_ARC
(8,7),1.87114 # DEPENDENCYPART_ARC
(8,9),3.18572 # DEPENDENCYPART_ARC
(8,10),0.827925 # DEPENDENCYPART_ARC
(8,11),-0.298703 # DEPENDENCYPART_ARC
(8,12),-1.66391 # DEPENDENCYPART_ARC
(8,13),-1.48593 # DEPENDENCYPART_ARC
(8,14),-1.30168 # DEPENDENCYPART_ARC
(8,15),-0.293741 # DEPENDENCYPART_ARC
(8,17),-1.70811 # DEPENDENCYPART_ARC
(8,18),-1.23615 # DEPENDENCYPART_ARC
(8,19),-1.83168 # DEPENDENCYPART_ARC
