# _root_ A kiszolgálás pedig csikorog fájdalmasan , minden nehézkesnek , bonyodalmasnak és szögletesnek tűnik .
#goldHeads=2,4,4,0,4,4,13,13,13,13,13,13,4,4,
#predictedHeads=2,4,4,0,4,4,8,4,13,13,13,13,4,13,
(0,2),-2.4196 # DEPENDENCYPART_ARC
(0,3),-2.30336 # DEPENDENCYPART_ARC
(0,4),-0.852762 # DEPENDENCYPART_ARC
(0,5),-2.26568 # DEPENDENCYPART_ARC
(0,7),-3.1802 # DEPENDENCYPART_ARC
(0,8),-2.85867 # DEPENDENCYPART_ARC
(0,10),-2.93991 # DEPENDENCYPART_ARC
(0,11),-1.89405 # DEPENDENCYPART_ARC
(0,12),-2.88056 # DEPENDENCYPART_ARC
(0,13),-1.32299 # DEPENDENCYPART_ARC
(1,3),-0.649998 # DEPENDENCYPART_ARC
(1,5),-1.16517 # DEPENDENCYPART_ARC
(1,8),-1.33426 # DEPENDENCYPART_ARC
(2,1),2.7542 # DEPENDENCYPART_ARC
(2,3),-0.63103 # DEPENDENCYPART_ARC
(2,4),-0.457412 # DEPENDENCYPART_ARC
(2,5),-1.0151 # DEPENDENCYPART_ARC
(2,6),-0.175916 # DEPENDENCYPART_ARC
(2,8),-1.23543 # DEPENDENCYPART_ARC
(2,9),-0.407953 # DEPENDENCYPART_ARC
(2,10),-1.22912 # DEPENDENCYPART_ARC
(2,11),-0.428944 # DEPENDENCYPART_ARC
(2,13),-1.06348 # DEPENDENCYPART_ARC
(2,14),0.227704 # DEPENDENCYPART_ARC
(3,1),-0.704353 # DEPENDENCYPART_ARC
(3,2),-0.115435 # DEPENDENCYPART_ARC
(3,4),0.224333 # DEPENDENCYPART_ARC
(3,5),-0.78849 # DEPENDENCYPART_ARC
(3,6),0.112572 # DEPENDENCYPART_ARC
(3,8),-1.12721 # DEPENDENCYPART_ARC
(3,9),-0.191874 # DEPENDENCYPART_ARC
(3,10),-1.40016 # DEPENDENCYPART_ARC
(3,11),-1.16603 # DEPENDENCYPART_ARC
(3,12),-1.61466 # DEPENDENCYPART_ARC
(3,13),-1.38964 # DEPENDENCYPART_ARC
(3,14),0.334152 # DEPENDENCYPART_ARC
(4,1),-1.02279 # DEPENDENCYPART_ARC
(4,2),1.85164 # DEPENDENCYPART_ARC
(4,3),2.65328 # DEPENDENCYPART_ARC
(4,5),1.91556 # DEPENDENCYPART_ARC
(4,6),1.2208 # DEPENDENCYPART_ARC
(4,7),-0.963623 # DEPENDENCYPART_ARC
(4,8),0.889657 # DEPENDENCYPART_ARC
(4,9),0.421464 # DEPENDENCYPART_ARC
(4,10),-0.0575658 # DEPENDENCYPART_ARC
(4,11),-0.385551 # DEPENDENCYPART_ARC
(4,12),0.00721079 # DEPENDENCYPART_ARC
(4,13),-0.225232 # DEPENDENCYPART_ARC
(4,14),1.34723 # DEPENDENCYPART_ARC
(5,1),-1.05126 # DEPENDENCYPART_ARC
(5,2),-1.94948 # DEPENDENCYPART_ARC
(5,3),-0.222569 # DEPENDENCYPART_ARC
(5,4),-0.14223 # DEPENDENCYPART_ARC
(5,6),0.382981 # DEPENDENCYPART_ARC
(5,7),-0.659856 # DEPENDENCYPART_ARC
(5,8),-0.269942 # DEPENDENCYPART_ARC
(5,9),-0.0931716 # DEPENDENCYPART_ARC
(5,10),-0.669719 # DEPENDENCYPART_ARC
(5,11),-0.343588 # DEPENDENCYPART_ARC
(5,12),-0.725459 # DEPENDENCYPART_ARC
(5,13),-0.815364 # DEPENDENCYPART_ARC
(5,14),0.26786 # DEPENDENCYPART_ARC
(7,6),0.219889 # DEPENDENCYPART_ARC
(8,1),-1.12443 # DEPENDENCYPART_ARC
(8,2),-2.63356 # DEPENDENCYPART_ARC
(8,3),-0.837845 # DEPENDENCYPART_ARC
(8,4),-1.43691 # DEPENDENCYPART_ARC
(8,5),-0.65034 # DEPENDENCYPART_ARC
(8,6),-0.350372 # DEPENDENCYPART_ARC
(8,7),0.615885 # DEPENDENCYPART_ARC
(8,9),-0.0206591 # DEPENDENCYPART_ARC
(8,10),-0.388233 # DEPENDENCYPART_ARC
(8,11),-0.717637 # DEPENDENCYPART_ARC
(8,12),-0.662755 # DEPENDENCYPART_ARC
(8,13),-0.818921 # DEPENDENCYPART_ARC
(8,14),-0.091578 # DEPENDENCYPART_ARC
(10,2),-2.89964 # DEPENDENCYPART_ARC
(10,3),-0.882724 # DEPENDENCYPART_ARC
(10,4),-1.49627 # DEPENDENCYPART_ARC
(10,5),-1.21547 # DEPENDENCYPART_ARC
(10,6),-0.51481 # DEPENDENCYPART_ARC
(10,7),-0.669076 # DEPENDENCYPART_ARC
(10,8),-0.0783588 # DEPENDENCYPART_ARC
(10,9),0.272011 # DEPENDENCYPART_ARC
(10,11),-0.793438 # DEPENDENCYPART_ARC
(10,12),-0.509985 # DEPENDENCYPART_ARC
(10,13),-0.918845 # DEPENDENCYPART_ARC
(10,14),-0.689357 # DEPENDENCYPART_ARC
(11,2),-1.74906 # DEPENDENCYPART_ARC
(11,3),-0.226483 # DEPENDENCYPART_ARC
(11,4),-0.189467 # DEPENDENCYPART_ARC
(11,5),-1.02797 # DEPENDENCYPART_ARC
(11,6),-0.21386 # DEPENDENCYPART_ARC
(11,7),-0.911111 # DEPENDENCYPART_ARC
(11,8),-0.602111 # DEPENDENCYPART_ARC
(11,9),0.386573 # DEPENDENCYPART_ARC
(11,10),-0.0819498 # DEPENDENCYPART_ARC
(11,12),-0.486924 # DEPENDENCYPART_ARC
(11,13),0.459518 # DEPENDENCYPART_ARC
(11,14),0.650125 # DEPENDENCYPART_ARC
(12,2),-2.86661 # DEPENDENCYPART_ARC
(12,3),-0.899855 # DEPENDENCYPART_ARC
(12,4),-1.37881 # DEPENDENCYPART_ARC
(12,5),-1.05236 # DEPENDENCYPART_ARC
(12,6),-0.314742 # DEPENDENCYPART_ARC
(12,8),-0.435889 # DEPENDENCYPART_ARC
(12,9),0.12904 # DEPENDENCYPART_ARC
(12,10),0.466543 # DEPENDENCYPART_ARC
