# _root_ A végső szót a Legfelsőbb_Bíróság mondja majd ki , de nem tudni , mikor .
#goldHeads=3,3,6,5,6,10,6,6,10,0,12,10,12,12,10,
#predictedHeads=3,3,6,5,6,10,6,6,6,0,12,10,12,12,10,
(0,3),-2.74146 # DEPENDENCYPART_ARC
(0,6),-0.518363 # DEPENDENCYPART_ARC
(0,7),-2.39093 # DEPENDENCYPART_ARC
(0,8),-2.47804 # DEPENDENCYPART_ARC
(0,10),0.15188 # DEPENDENCYPART_ARC
(0,11),-2.3665 # DEPENDENCYPART_ARC
(0,12),-1.89291 # DEPENDENCYPART_ARC
(0,14),-2.27162 # DEPENDENCYPART_ARC
(1,2),-0.0941947 # DEPENDENCYPART_ARC
(2,1),0.36045 # DEPENDENCYPART_ARC
(2,5),-1.63294 # DEPENDENCYPART_ARC
(2,6),-1.14854 # DEPENDENCYPART_ARC
(2,9),-0.936421 # DEPENDENCYPART_ARC
(2,10),-1.2057 # DEPENDENCYPART_ARC
(2,12),-1.90969 # DEPENDENCYPART_ARC
(2,13),-0.926741 # DEPENDENCYPART_ARC
(2,15),-0.607309 # DEPENDENCYPART_ARC
(3,1),2.89509 # DEPENDENCYPART_ARC
(3,2),3.8581 # DEPENDENCYPART_ARC
(3,4),-0.894517 # DEPENDENCYPART_ARC
(3,5),-0.450157 # DEPENDENCYPART_ARC
(3,6),-0.50288 # DEPENDENCYPART_ARC
(3,7),-0.610079 # DEPENDENCYPART_ARC
(3,9),-0.351816 # DEPENDENCYPART_ARC
(3,10),-0.530799 # DEPENDENCYPART_ARC
(3,12),-0.887981 # DEPENDENCYPART_ARC
(3,13),-0.256576 # DEPENDENCYPART_ARC
(3,15),0.223936 # DEPENDENCYPART_ARC
(4,2),-1.1031 # DEPENDENCYPART_ARC
(5,1),-1.13833 # DEPENDENCYPART_ARC
(5,2),-1.37214 # DEPENDENCYPART_ARC
(5,3),-2.95669 # DEPENDENCYPART_ARC
(5,4),2.03284 # DEPENDENCYPART_ARC
(5,6),-0.641263 # DEPENDENCYPART_ARC
(5,9),-0.86645 # DEPENDENCYPART_ARC
(5,12),-1.12686 # DEPENDENCYPART_ARC
(5,13),-0.823394 # DEPENDENCYPART_ARC
(5,15),-0.610588 # DEPENDENCYPART_ARC
(6,1),-1.08836 # DEPENDENCYPART_ARC
(6,2),0.0773662 # DEPENDENCYPART_ARC
(6,3),2.59662 # DEPENDENCYPART_ARC
(6,4),-0.605373 # DEPENDENCYPART_ARC
(6,5),3.25122 # DEPENDENCYPART_ARC
(6,7),2.74584 # DEPENDENCYPART_ARC
(6,8),2.67312 # DEPENDENCYPART_ARC
(6,9),2.26829 # DEPENDENCYPART_ARC
(6,10),0.895391 # DEPENDENCYPART_ARC
(6,11),0.312947 # DEPENDENCYPART_ARC
(6,12),1.71568 # DEPENDENCYPART_ARC
(6,13),1.39403 # DEPENDENCYPART_ARC
(6,14),-0.192761 # DEPENDENCYPART_ARC
(6,15),2.30913 # DEPENDENCYPART_ARC
(7,3),-0.865768 # DEPENDENCYPART_ARC
(7,5),-0.506572 # DEPENDENCYPART_ARC
(7,6),-0.178136 # DEPENDENCYPART_ARC
(7,9),-1.04756 # DEPENDENCYPART_ARC
(7,10),-0.99509 # DEPENDENCYPART_ARC
(7,12),-0.939266 # DEPENDENCYPART_ARC
(7,13),-1.13385 # DEPENDENCYPART_ARC
(7,15),-1.36803 # DEPENDENCYPART_ARC
(8,2),-0.49274 # DEPENDENCYPART_ARC
(8,3),-0.572468 # DEPENDENCYPART_ARC
(8,6),-0.293312 # DEPENDENCYPART_ARC
(8,7),0.696089 # DEPENDENCYPART_ARC
(8,9),-0.0795457 # DEPENDENCYPART_ARC
(8,10),-0.360528 # DEPENDENCYPART_ARC
(8,12),0.00165433 # DEPENDENCYPART_ARC
(8,13),-0.366559 # DEPENDENCYPART_ARC
(8,15),-0.0834546 # DEPENDENCYPART_ARC
(10,2),-0.546593 # DEPENDENCYPART_ARC
(10,3),-0.830092 # DEPENDENCYPART_ARC
(10,5),-0.494762 # DEPENDENCYPART_ARC
(10,6),1.29569 # DEPENDENCYPART_ARC
(10,7),0.303039 # DEPENDENCYPART_ARC
(10,9),2.25282 # DEPENDENCYPART_ARC
(10,11),0.15265 # DEPENDENCYPART_ARC
(10,12),1.77462 # DEPENDENCYPART_ARC
(10,13),1.08901 # DEPENDENCYPART_ARC
(10,15),2.39086 # DEPENDENCYPART_ARC
(11,3),-0.788665 # DEPENDENCYPART_ARC
(11,6),-0.111965 # DEPENDENCYPART_ARC
(11,7),-0.00833034 # DEPENDENCYPART_ARC
(11,9),0.244109 # DEPENDENCYPART_ARC
(11,10),0.177095 # DEPENDENCYPART_ARC
(11,12),0.389689 # DEPENDENCYPART_ARC
(11,13),-0.362337 # DEPENDENCYPART_ARC
(11,15),-0.13535 # DEPENDENCYPART_ARC
(12,1),-1.19432 # DEPENDENCYPART_ARC
(12,2),-0.49307 # DEPENDENCYPART_ARC
(12,3),1.54061 # DEPENDENCYPART_ARC
(12,4),-1.29287 # DEPENDENCYPART_ARC
(12,5),-0.344726 # DEPENDENCYPART_ARC
(12,6),-1.03747 # DEPENDENCYPART_ARC
