# _root_ Elébb egy , majd két téesz alakult a falu földjein : a Dózsa és a Petőfi , majd ezek egyesültek a nagy Egyetértésben .
#goldHeads=2,4,4,18,6,7,4,9,10,7,4,13,14,4,16,14,18,0,20,18,23,23,20,18,
#predictedHeads=4,4,4,18,6,7,4,9,10,7,7,13,14,7,16,14,18,0,20,18,23,23,20,4,
(0,1),-1.67003 # DEPENDENCYPART_ARC
(0,2),-1.41648 # DEPENDENCYPART_ARC
(0,4),-0.821003 # DEPENDENCYPART_ARC
(0,6),-3.31623 # DEPENDENCYPART_ARC
(0,7),-0.920776 # DEPENDENCYPART_ARC
(0,14),-2.23905 # DEPENDENCYPART_ARC
(0,18),-0.88258 # DEPENDENCYPART_ARC
(0,19),-3.97881 # DEPENDENCYPART_ARC
(0,20),-2.32546 # DEPENDENCYPART_ARC
(1,2),-0.0131218 # DEPENDENCYPART_ARC
(1,3),-0.037033 # DEPENDENCYPART_ARC
(1,4),-0.128149 # DEPENDENCYPART_ARC
(1,5),-0.256178 # DEPENDENCYPART_ARC
(1,6),-0.647699 # DEPENDENCYPART_ARC
(1,7),-0.508428 # DEPENDENCYPART_ARC
(1,9),-1.39741 # DEPENDENCYPART_ARC
(1,10),-1.29385 # DEPENDENCYPART_ARC
(1,11),0.256734 # DEPENDENCYPART_ARC
(1,14),-0.669764 # DEPENDENCYPART_ARC
(1,17),-0.720697 # DEPENDENCYPART_ARC
(1,18),-0.799418 # DEPENDENCYPART_ARC
(1,20),-0.932842 # DEPENDENCYPART_ARC
(1,24),0.686307 # DEPENDENCYPART_ARC
(2,1),0.899034 # DEPENDENCYPART_ARC
(2,3),0.541954 # DEPENDENCYPART_ARC
(2,4),0.00266182 # DEPENDENCYPART_ARC
(2,5),-0.481639 # DEPENDENCYPART_ARC
(2,6),-0.394802 # DEPENDENCYPART_ARC
(2,7),0.325789 # DEPENDENCYPART_ARC
(2,9),-0.743751 # DEPENDENCYPART_ARC
(2,10),-1.786 # DEPENDENCYPART_ARC
(2,11),0.47337 # DEPENDENCYPART_ARC
(2,13),-1.38612 # DEPENDENCYPART_ARC
(2,16),-1.48049 # DEPENDENCYPART_ARC
(2,17),-0.349714 # DEPENDENCYPART_ARC
(2,20),-0.784129 # DEPENDENCYPART_ARC
(2,24),1.95126 # DEPENDENCYPART_ARC
(4,1),1.29262 # DEPENDENCYPART_ARC
(4,2),0.723049 # DEPENDENCYPART_ARC
(4,3),1.77949 # DEPENDENCYPART_ARC
(4,5),0.422178 # DEPENDENCYPART_ARC
(4,6),0.320497 # DEPENDENCYPART_ARC
(4,7),1.9331 # DEPENDENCYPART_ARC
(4,9),-0.531932 # DEPENDENCYPART_ARC
(4,10),-0.651519 # DEPENDENCYPART_ARC
(4,11),1.02665 # DEPENDENCYPART_ARC
(4,13),-1.14752 # DEPENDENCYPART_ARC
(4,14),0.390716 # DEPENDENCYPART_ARC
(4,16),-1.16909 # DEPENDENCYPART_ARC
(4,17),0.269645 # DEPENDENCYPART_ARC
(4,18),-0.128628 # DEPENDENCYPART_ARC
(4,20),0.140595 # DEPENDENCYPART_ARC
(4,22),-0.610574 # DEPENDENCYPART_ARC
(4,23),-1.56286 # DEPENDENCYPART_ARC
(4,24),3.44613 # DEPENDENCYPART_ARC
(5,1),-1.14266 # DEPENDENCYPART_ARC
(5,2),-1.11494 # DEPENDENCYPART_ARC
(5,3),-1.3255 # DEPENDENCYPART_ARC
(5,4),-0.69891 # DEPENDENCYPART_ARC
(5,7),-0.779343 # DEPENDENCYPART_ARC
(5,9),-1.24991 # DEPENDENCYPART_ARC
(5,10),-2.34333 # DEPENDENCYPART_ARC
(5,11),-0.311509 # DEPENDENCYPART_ARC
(5,13),-2.0412 # DEPENDENCYPART_ARC
(5,24),-0.446012 # DEPENDENCYPART_ARC
(6,1),-0.019049 # DEPENDENCYPART_ARC
(6,2),0.557417 # DEPENDENCYPART_ARC
(6,3),0.411861 # DEPENDENCYPART_ARC
(6,4),0.612455 # DEPENDENCYPART_ARC
(6,5),3.11738 # DEPENDENCYPART_ARC
(6,9),-1.13808 # DEPENDENCYPART_ARC
(6,10),-2.12281 # DEPENDENCYPART_ARC
(6,18),-1.23433 # DEPENDENCYPART_ARC
(7,1),0.946079 # DEPENDENCYPART_ARC
(7,2),-0.352643 # DEPENDENCYPART_ARC
(7,3),0.751289 # DEPENDENCYPART_ARC
(7,4),1.12777 # DEPENDENCYPART_ARC
(7,5),0.672152 # DEPENDENCYPART_ARC
(7,6),3.3975 # DEPENDENCYPART_ARC
(7,8),-0.207216 # DEPENDENCYPART_ARC
(7,9),1.63782 # DEPENDENCYPART_ARC
(7,10),2.91248 # DEPENDENCYPART_ARC
(7,11),1.76407 # DEPENDENCYPART_ARC
(7,12),-0.371614 # DEPENDENCYPART_ARC
(7,13),-0.0521709 # DEPENDENCYPART_ARC
(7,14),0.557365 # DEPENDENCYPART_ARC
(7,15),-0.586545 # DEPENDENCYPART_ARC
(7,16),0.454652 # DEPENDENCYPART_ARC
(7,17),1.1683 # DEPENDENCYPART_ARC
(7,18),0.539694 # DEPENDENCYPART_ARC
(7,19),-1.56036 # DEPENDENCYPART_ARC
(7,20),0.771667 # DEPENDENCYPART_ARC
(7,22),-1.53348 # DEPENDENCYPART_ARC
(7,23),-0.657102 # DEPENDENCYPART_ARC
(7,24),2.92844 # DEPENDENCYPART_ARC
(9,5),-0.61831 # DEPENDENCYPART_ARC
(9,8),2.84201 # DEPENDENCYPART_ARC
(10,1),-0.931432 # DEPENDENCYPART_ARC
(10,2),-1.54252 # DEPENDENCYPART_ARC
(10,3),-0.709051 # DEPENDENCYPART_ARC
(10,4),-0.161615 # DEPENDENCYPART_ARC
(10,5),-0.495746 # DEPENDENCYPART_ARC
(10,6),-0.432908 # DEPENDENCYPART_ARC
(10,7),-2.85923 # DEPENDENCYPART_ARC
(10,8),1.43572 # DEPENDENCYPART_ARC
(10,9),3.93952 # DEPENDENCYPART_ARC
(10,11),0.0103536 # DEPENDENCYPART_ARC
(10,13),-1.08682 # DEPENDENCYPART_ARC
(10,14),-0.677562 # DEPENDENCYPART_ARC
(10,16),-1.5491 # DEPENDENCYPART_ARC
(10,17),-0.450625 # DEPENDENCYPART_ARC
(10,18),-0.933106 # DEPENDENCYPART_ARC
(10,20),-1.16518 # DEPENDENCYPART_ARC
(10,22),-2.11361 # DEPENDENCYPART_ARC
(10,24),0.314108 # DEPENDENCYPART_ARC
(13,8),-0.779122 # DEPENDENCYPART_ARC
(13,12),2.23069 # DEPENDENCYPART_ARC
(13,16),-1.6453 # DEPENDENCYPART_ARC
(13,19),-1.99906 # DEPENDENCYPART_ARC
(14,1),-1.318 # DEPENDENCYPART_ARC
(14,2),-0.603527 # DEPENDENCYPART_ARC
(14,3),0.123813 # DEPENDENCYPART_ARC
(14,4),-0.0369665 # DEPENDENCYPART_ARC
(14,5),-0.667793 # DEPENDENCYPART_ARC
(14,6),-1.04193 # DEPENDENCYPART_ARC
(14,7),-0.15162 # DEPENDENCYPART_ARC
(14,9),-0.394778 # DEPENDENCYPART_ARC
(14,10),-0.400912 # DEPENDENCYPART_ARC
(14,11),0.0330482 # DEPENDENCYPART_ARC
(14,12),-0.549421 # DEPENDENCYPART_ARC
(14,13),0.521648 # DEPENDENCYPART_ARC
(14,15),-0.441838 # DEPENDENCYPART_ARC
(14,16),0.887394 # DEPENDENCYPART_ARC
(14,17),-0.405201 # DEPENDENCYPART_ARC
(14,18),-0.322385 # DEPENDENCYPART_ARC
(14,19),-1.05614 # DEPENDENCYPART_ARC
(14,20),-0.236812 # DEPENDENCYPART_ARC
(14,22),-1.04853 # DEPENDENCYPART_ARC
(14,23),-0.764749 # DEPENDENCYPART_ARC
(14,24),0.683881 # DEPENDENCYPART_ARC
(15,14),-0.353725 # DEPENDENCYPART_ARC
(15,22),-1.00784 # DEPENDENCYPART_ARC
(16,12),-0.682679 # DEPENDENCYPART_ARC
(16,13),-1.0309 # DEPENDENCYPART_ARC
(16,14),-0.236779 # DEPENDENCYPART_ARC
(16,15),2.3733 # DEPENDENCYPART_ARC
(16,17),-0.369214 # DEPENDENCYPART_ARC
(16,19),-1.36011 # DEPENDENCYPART_ARC
(16,20),-0.96498 # DEPENDENCYPART_ARC
(16,23),-2.23895 # DEPENDENCYPART_ARC
(18,1),0.375065 # DEPENDENCYPART_ARC
(18,2),0.148636 # DEPENDENCYPART_ARC
(18,3),-0.0351741 # DEPENDENCYPART_ARC
(18,4),0.610532 # DEPENDENCYPART_ARC
(18,5),0.013801 # DEPENDENCYPART_ARC
(18,6),-0.627542 # DEPENDENCYPART_ARC
(18,7),0.585105 # DEPENDENCYPART_ARC
(18,9),-0.191652 # DEPENDENCYPART_ARC
(18,10),-0.442541 # DEPENDENCYPART_ARC
(18,11),0.267859 # DEPENDENCYPART_ARC
(18,13),-0.148457 # DEPENDENCYPART_ARC
(18,14),0.513505 # DEPENDENCYPART_ARC
(18,15),0.0228134 # DEPENDENCYPART_ARC
(18,16),-0.0344461 # DEPENDENCYPART_ARC
(18,17),1.93548 # DEPENDENCYPART_ARC
(18,19),-0.667651 # DEPENDENCYPART_ARC
(18,20),1.74872 # DEPENDENCYPART_ARC
(18,22),-0.170336 # DEPENDENCYPART_ARC
(18,23),-0.902706 # DEPENDENCYPART_ARC
