# _root_ Mint arról korábban beszámoltunk , márciusban csaknem kétszáz mázsa busa , harcsa és amur pusztult el a természetvédelmi területen található vajai őstóban .
#goldHeads=4,4,4,15,15,15,9,9,10,15,15,15,15,15,0,15,19,19,20,22,22,15,15,
#predictedHeads=4,4,4,0,4,15,9,9,10,15,15,15,15,15,2,15,19,19,20,21,22,15,15,
(0,1),-2.12338 # DEPENDENCYPART_ARC
(0,2),-3.4273 # DEPENDENCYPART_ARC
(0,3),-2.23622 # DEPENDENCYPART_ARC
(0,4),-1.71838 # DEPENDENCYPART_ARC
(0,7),-2.31782 # DEPENDENCYPART_ARC
(0,13),-2.24096 # DEPENDENCYPART_ARC
(0,15),-1.72467 # DEPENDENCYPART_ARC
(0,16),-2.95364 # DEPENDENCYPART_ARC
(1,4),0.373965 # DEPENDENCYPART_ARC
(1,5),0.175913 # DEPENDENCYPART_ARC
(1,6),-0.796415 # DEPENDENCYPART_ARC
(1,10),-1.13405 # DEPENDENCYPART_ARC
(1,11),-0.0988521 # DEPENDENCYPART_ARC
(1,15),-0.679669 # DEPENDENCYPART_ARC
(1,23),-0.488879 # DEPENDENCYPART_ARC
(2,3),-0.834791 # DEPENDENCYPART_ARC
(2,4),0.820415 # DEPENDENCYPART_ARC
(2,5),-0.14503 # DEPENDENCYPART_ARC
(2,6),-0.751647 # DEPENDENCYPART_ARC
(2,7),-1.03911 # DEPENDENCYPART_ARC
(2,8),-0.855716 # DEPENDENCYPART_ARC
(2,9),-0.915449 # DEPENDENCYPART_ARC
(2,10),-1.04942 # DEPENDENCYPART_ARC
(2,11),-0.293294 # DEPENDENCYPART_ARC
(2,12),-1.30938 # DEPENDENCYPART_ARC
(2,13),0.128377 # DEPENDENCYPART_ARC
(2,14),-1.28587 # DEPENDENCYPART_ARC
(2,15),1.27335 # DEPENDENCYPART_ARC
(2,16),-1.06903 # DEPENDENCYPART_ARC
(2,18),-1.14142 # DEPENDENCYPART_ARC
(2,19),-1.13666 # DEPENDENCYPART_ARC
(2,20),-1.10474 # DEPENDENCYPART_ARC
(2,21),-1.19779 # DEPENDENCYPART_ARC
(2,22),-1.14408 # DEPENDENCYPART_ARC
(2,23),-0.658804 # DEPENDENCYPART_ARC
(3,1),0.0589077 # DEPENDENCYPART_ARC
(3,2),0.427585 # DEPENDENCYPART_ARC
(3,15),-1.31696 # DEPENDENCYPART_ARC
(3,23),-0.558127 # DEPENDENCYPART_ARC
(4,1),1.64371 # DEPENDENCYPART_ARC
(4,2),1.89802 # DEPENDENCYPART_ARC
(4,3),2.95644 # DEPENDENCYPART_ARC
(4,5),0.843006 # DEPENDENCYPART_ARC
(4,6),0.103344 # DEPENDENCYPART_ARC
(4,7),-0.383438 # DEPENDENCYPART_ARC
(4,8),-1.62091 # DEPENDENCYPART_ARC
(4,9),-1.80509 # DEPENDENCYPART_ARC
(4,10),-1.63417 # DEPENDENCYPART_ARC
(4,11),-0.513515 # DEPENDENCYPART_ARC
(4,12),-2.49124 # DEPENDENCYPART_ARC
(4,13),-0.655129 # DEPENDENCYPART_ARC
(4,14),-3.16877 # DEPENDENCYPART_ARC
(4,15),0.189502 # DEPENDENCYPART_ARC
(4,16),-0.61388 # DEPENDENCYPART_ARC
(4,18),-2.47569 # DEPENDENCYPART_ARC
(4,20),-2.22438 # DEPENDENCYPART_ARC
(4,21),-3.03059 # DEPENDENCYPART_ARC
(4,22),-1.96133 # DEPENDENCYPART_ARC
(4,23),-0.129774 # DEPENDENCYPART_ARC
(6,1),-0.924161 # DEPENDENCYPART_ARC
(6,2),-1.02537 # DEPENDENCYPART_ARC
(6,3),-0.741331 # DEPENDENCYPART_ARC
(6,4),-0.979338 # DEPENDENCYPART_ARC
(6,5),0.0895761 # DEPENDENCYPART_ARC
(6,7),-0.230055 # DEPENDENCYPART_ARC
(6,8),-0.587833 # DEPENDENCYPART_ARC
(6,9),-0.650058 # DEPENDENCYPART_ARC
(6,10),-0.412207 # DEPENDENCYPART_ARC
(6,11),0.47207 # DEPENDENCYPART_ARC
(6,15),-0.714682 # DEPENDENCYPART_ARC
