# _root_ Holbrooke megkérdezte : világos -e vajon , hogy mi történik , ha a válasz tagadó lesz .
#goldHeads=2,0,2,2,2,2,2,2,10,2,10,10,14,16,16,10,2,
#predictedHeads=2,0,2,8,8,2,2,2,10,2,10,10,14,16,16,2,2,
(0,1),-2.03765 # DEPENDENCYPART_ARC
(0,2),-0.23729 # DEPENDENCYPART_ARC
(0,4),-2.47284 # DEPENDENCYPART_ARC
(0,5),-2.45167 # DEPENDENCYPART_ARC
(0,6),-2.25676 # DEPENDENCYPART_ARC
(0,8),-0.776717 # DEPENDENCYPART_ARC
(0,10),-1.32481 # DEPENDENCYPART_ARC
(0,12),-1.71377 # DEPENDENCYPART_ARC
(0,16),-2.24688 # DEPENDENCYPART_ARC
(1,2),-0.755447 # DEPENDENCYPART_ARC
(1,3),-0.598129 # DEPENDENCYPART_ARC
(1,4),-0.940266 # DEPENDENCYPART_ARC
(1,7),-0.843029 # DEPENDENCYPART_ARC
(1,8),-1.09669 # DEPENDENCYPART_ARC
(1,10),-1.28889 # DEPENDENCYPART_ARC
(1,11),-0.845885 # DEPENDENCYPART_ARC
(1,12),-1.09959 # DEPENDENCYPART_ARC
(1,16),-1.66114 # DEPENDENCYPART_ARC
(1,17),0.204642 # DEPENDENCYPART_ARC
(2,1),4.01703 # DEPENDENCYPART_ARC
(2,3),2.33769 # DEPENDENCYPART_ARC
(2,4),0.540315 # DEPENDENCYPART_ARC
(2,5),1.03168 # DEPENDENCYPART_ARC
(2,6),1.3845 # DEPENDENCYPART_ARC
(2,7),1.95619 # DEPENDENCYPART_ARC
(2,8),2.0359 # DEPENDENCYPART_ARC
(2,9),-1.37589 # DEPENDENCYPART_ARC
(2,10),1.60439 # DEPENDENCYPART_ARC
(2,11),1.17296 # DEPENDENCYPART_ARC
(2,12),0.882893 # DEPENDENCYPART_ARC
(2,14),-3.7978 # DEPENDENCYPART_ARC
(2,15),-0.969062 # DEPENDENCYPART_ARC
(2,16),1.21944 # DEPENDENCYPART_ARC
(2,17),2.51137 # DEPENDENCYPART_ARC
(4,2),-1.90918 # DEPENDENCYPART_ARC
(4,3),-0.973937 # DEPENDENCYPART_ARC
(4,7),-0.169427 # DEPENDENCYPART_ARC
(4,8),-0.42576 # DEPENDENCYPART_ARC
(4,10),-0.627259 # DEPENDENCYPART_ARC
