# _root_ Jelenleg a határőrség nyolc közösségi szállásán mintegy 1500 külföldit helyezhetnek el , ám igazán jó körülményeket csupán 500-nak nyújthatnak , miközben a tényleges létszám megközelíti az 1200-at .
#goldHeads=10,3,10,6,6,10,9,9,10,0,10,10,10,15,16,19,19,19,10,19,25,24,24,25,19,27,25,10,
#predictedHeads=10,3,6,6,6,10,9,9,10,13,10,13,0,15,16,19,19,19,13,19,25,24,24,25,19,27,25,13,
(0,10),-1.72332 # DEPENDENCYPART_ARC
(0,11),-2.77794 # DEPENDENCYPART_ARC
(0,13),0.821664 # DEPENDENCYPART_ARC
(0,19),-2.85285 # DEPENDENCYPART_ARC
(0,25),-2.18812 # DEPENDENCYPART_ARC
(1,3),-0.0642683 # DEPENDENCYPART_ARC
(1,4),-0.171188 # DEPENDENCYPART_ARC
(1,5),-0.175582 # DEPENDENCYPART_ARC
(1,6),-0.314618 # DEPENDENCYPART_ARC
(1,7),-0.243245 # DEPENDENCYPART_ARC
(1,8),-0.386674 # DEPENDENCYPART_ARC
(1,9),-0.582191 # DEPENDENCYPART_ARC
(1,10),-0.558856 # DEPENDENCYPART_ARC
(1,12),-0.289307 # DEPENDENCYPART_ARC
(1,13),-0.459674 # DEPENDENCYPART_ARC
(1,19),-1.07643 # DEPENDENCYPART_ARC
(1,20),-0.0906343 # DEPENDENCYPART_ARC
(1,21),-0.647483 # DEPENDENCYPART_ARC
(1,25),-1.47669 # DEPENDENCYPART_ARC
(1,28),0.730886 # DEPENDENCYPART_ARC
(3,1),-0.513105 # DEPENDENCYPART_ARC
(3,2),3.02732 # DEPENDENCYPART_ARC
(3,6),-1.20361 # DEPENDENCYPART_ARC
(4,1),-0.331353 # DEPENDENCYPART_ARC
(4,2),0.0376281 # DEPENDENCYPART_ARC
(4,3),0.192273 # DEPENDENCYPART_ARC
(4,5),-0.452409 # DEPENDENCYPART_ARC
(4,8),-1.2631 # DEPENDENCYPART_ARC
(4,9),-1.80586 # DEPENDENCYPART_ARC
(4,19),-1.20123 # DEPENDENCYPART_ARC
(4,27),-1.62667 # DEPENDENCYPART_ARC
(4,28),0.660483 # DEPENDENCYPART_ARC
(5,1),-0.236525 # DEPENDENCYPART_ARC
(5,2),-0.0839068 # DEPENDENCYPART_ARC
(5,3),-0.134875 # DEPENDENCYPART_ARC
(5,4),1.77845 # DEPENDENCYPART_ARC
(6,1),0.064026 # DEPENDENCYPART_ARC
(6,2),1.4803 # DEPENDENCYPART_ARC
(6,3),2.53165 # DEPENDENCYPART_ARC
(6,4),2.5375 # DEPENDENCYPART_ARC
(6,5),3.52577 # DEPENDENCYPART_ARC
(6,9),-1.29609 # DEPENDENCYPART_ARC
(7,1),-0.212881 # DEPENDENCYPART_ARC
(7,3),-0.433391 # DEPENDENCYPART_ARC
(7,4),-0.331121 # DEPENDENCYPART_ARC
(7,5),-0.440148 # DEPENDENCYPART_ARC
(7,6),-0.236984 # DEPENDENCYPART_ARC
(7,8),-0.17807 # DEPENDENCYPART_ARC
(7,9),-0.0739893 # DEPENDENCYPART_ARC
(7,10),-0.253854 # DEPENDENCYPART_ARC
(7,14),-0.398125 # DEPENDENCYPART_ARC
(7,16),-1.44805 # DEPENDENCYPART_ARC
(7,17),-0.36522 # DEPENDENCYPART_ARC
(7,18),-0.823506 # DEPENDENCYPART_ARC
(7,19),-1.00883 # DEPENDENCYPART_ARC
(7,21),-0.736055 # DEPENDENCYPART_ARC
(7,25),-1.28767 # DEPENDENCYPART_ARC
(8,4),-0.730426 # DEPENDENCYPART_ARC
(8,6),-1.53238 # DEPENDENCYPART_ARC
(8,7),0.400774 # DEPENDENCYPART_ARC
(8,19),-1.22308 # DEPENDENCYPART_ARC
(8,27),-1.63847 # DEPENDENCYPART_ARC
(8,28),0.514173 # DEPENDENCYPART_ARC
(9,1),-0.378397 # DEPENDENCYPART_ARC
(9,2),0.456655 # DEPENDENCYPART_ARC
(9,3),-0.778684 # DEPENDENCYPART_ARC
(9,4),0.414397 # DEPENDENCYPART_ARC
(9,5),0.936954 # DEPENDENCYPART_ARC
(9,6),-2.46665 # DEPENDENCYPART_ARC
(9,7),1.9378 # DEPENDENCYPART_ARC
(9,8),3.00629 # DEPENDENCYPART_ARC
(10,1),2.23361 # DEPENDENCYPART_ARC
(10,2),-0.450749 # DEPENDENCYPART_ARC
(10,3),1.07146 # DEPENDENCYPART_ARC
(10,4),-0.245949 # DEPENDENCYPART_ARC
(10,5),-0.0812174 # DEPENDENCYPART_ARC
(10,6),2.71005 # DEPENDENCYPART_ARC
(10,7),1.22306 # DEPENDENCYPART_ARC
(10,8),0.461908 # DEPENDENCYPART_ARC
(10,9),2.73854 # DEPENDENCYPART_ARC
(10,11),3.34584 # DEPENDENCYPART_ARC
(10,12),1.74804 # DEPENDENCYPART_ARC
(10,13),0.639304 # DEPENDENCYPART_ARC
(10,14),0.448704 # DEPENDENCYPART_ARC
(10,15),-0.312603 # DEPENDENCYPART_ARC
(10,16),-0.233519 # DEPENDENCYPART_ARC
(10,17),0.289974 # DEPENDENCYPART_ARC
(10,18),0.549837 # DEPENDENCYPART_ARC
(10,19),0.282663 # DEPENDENCYPART_ARC
(10,20),0.695561 # DEPENDENCYPART_ARC
(10,21),-0.210022 # DEPENDENCYPART_ARC
(10,23),-1.66972 # DEPENDENCYPART_ARC
(10,24),-2.48646 # DEPENDENCYPART_ARC
(10,25),-0.0631013 # DEPENDENCYPART_ARC
(10,27),-0.336748 # DEPENDENCYPART_ARC
(10,28),2.30362 # DEPENDENCYPART_ARC
(11,6),-0.339664 # DEPENDENCYPART_ARC
(11,7),0.324091 # DEPENDENCYPART_ARC
(11,9),0.0138717 # DEPENDENCYPART_ARC
(11,12),-0.720855 # DEPENDENCYPART_ARC
(11,13),-0.636437 # DEPENDENCYPART_ARC
(11,16),-1.33004 # DEPENDENCYPART_ARC
(13,1),-0.0193203 # DEPENDENCYPART_ARC
(13,3),-0.63441 # DEPENDENCYPART_ARC
(13,4),0.193489 # DEPENDENCYPART_ARC
(13,5),-0.197619 # DEPENDENCYPART_ARC
(13,6),-0.569966 # DEPENDENCYPART_ARC
(13,7),-0.199068 # DEPENDENCYPART_ARC
(13,8),0.102573 # DEPENDENCYPART_ARC
(13,9),-0.606224 # DEPENDENCYPART_ARC
(13,10),2.00865 # DEPENDENCYPART_ARC
(13,12),2.25674 # DEPENDENCYPART_ARC
(13,14),0.0564825 # DEPENDENCYPART_ARC
(13,15),0.485972 # DEPENDENCYPART_ARC
(13,16),-0.735967 # DEPENDENCYPART_ARC
(13,17),0.100419 # DEPENDENCYPART_ARC
(13,18),-0.166977 # DEPENDENCYPART_ARC
(13,19),1.18365 # DEPENDENCYPART_ARC
(13,20),0.952847 # DEPENDENCYPART_ARC
(13,21),-0.238964 # DEPENDENCYPART_ARC
(13,23),-0.139811 # DEPENDENCYPART_ARC
(13,24),-1.40602 # DEPENDENCYPART_ARC
(13,25),0.851626 # DEPENDENCYPART_ARC
(13,27),-0.240228 # DEPENDENCYPART_ARC
(13,28),4.01251 # DEPENDENCYPART_ARC
(14,10),0.0675278 # DEPENDENCYPART_ARC
(14,13),0.499179 # DEPENDENCYPART_ARC
(14,15),0.151711 # DEPENDENCYPART_ARC
(14,16),0.0876187 # DEPENDENCYPART_ARC
(14,17),-0.204279 # DEPENDENCYPART_ARC
(14,18),-0.423923 # DEPENDENCYPART_ARC
(14,20),-0.0335932 # DEPENDENCYPART_ARC
(14,24),-1.23845 # DEPENDENCYPART_ARC
(15,7),-1.33562 # DEPENDENCYPART_ARC
(15,8),-1.5753 # DEPENDENCYPART_ARC
(15,10),-1.47724 # DEPENDENCYPART_ARC
(15,12),-0.364228 # DEPENDENCYPART_ARC
(15,13),-0.635776 # DEPENDENCYPART_ARC
(15,14),0.984604 # DEPENDENCYPART_ARC
(15,17),-1.10746 # DEPENDENCYPART_ARC
(16,2),-0.639966 # DEPENDENCYPART_ARC
(16,5),0.274039 # DEPENDENCYPART_ARC
