# _root_ Egyébként a helyi legenda szerint Bregovity éppen itt , Gucsán szedte össze azokat a bandákat is , amelyekkel aztán a stúdióban feljátszatta az említett filmek slágereit .
#goldHeads=11,4,4,5,11,11,11,11,11,11,0,11,15,15,11,11,11,22,22,21,22,13,25,25,26,22,11,
#predictedHeads=11,4,4,5,11,11,11,11,11,11,0,11,15,15,11,11,11,22,22,21,22,13,25,25,26,22,11,
(0,1),-2.11331 # DEPENDENCYPART_ARC
(0,5),-3.52092 # DEPENDENCYPART_ARC
(0,7),-2.55448 # DEPENDENCYPART_ARC
(0,8),-2.27848 # DEPENDENCYPART_ARC
(0,10),-3.2443 # DEPENDENCYPART_ARC
(0,11),-1.273 # DEPENDENCYPART_ARC
(0,12),-2.74032 # DEPENDENCYPART_ARC
(0,13),-4.09903 # DEPENDENCYPART_ARC
(0,16),-3.11961 # DEPENDENCYPART_ARC
(0,19),-2.70994 # DEPENDENCYPART_ARC
(0,22),-1.68947 # DEPENDENCYPART_ARC
(1,3),-0.0574997 # DEPENDENCYPART_ARC
(1,4),-0.154622 # DEPENDENCYPART_ARC
(1,5),0.272834 # DEPENDENCYPART_ARC
(1,6),-0.408332 # DEPENDENCYPART_ARC
(1,7),-0.304021 # DEPENDENCYPART_ARC
(1,9),-0.094691 # DEPENDENCYPART_ARC
(1,10),-1.01262 # DEPENDENCYPART_ARC
(1,11),-0.243544 # DEPENDENCYPART_ARC
(1,15),-1.8994 # DEPENDENCYPART_ARC
(1,16),-1.33019 # DEPENDENCYPART_ARC
(1,17),-0.120096 # DEPENDENCYPART_ARC
(1,22),-0.748004 # DEPENDENCYPART_ARC
(1,27),0.763862 # DEPENDENCYPART_ARC
(2,3),0.231868 # DEPENDENCYPART_ARC
(3,1),-1.15725 # DEPENDENCYPART_ARC
(3,2),-0.0410478 # DEPENDENCYPART_ARC
(4,1),-0.743959 # DEPENDENCYPART_ARC
(4,2),2.42644 # DEPENDENCYPART_ARC
(4,3),3.37871 # DEPENDENCYPART_ARC
(4,6),-1.29422 # DEPENDENCYPART_ARC
(4,7),-1.47153 # DEPENDENCYPART_ARC
(4,8),-1.41597 # DEPENDENCYPART_ARC
(5,1),0.172928 # DEPENDENCYPART_ARC
(5,2),0.0665058 # DEPENDENCYPART_ARC
(5,3),0.703989 # DEPENDENCYPART_ARC
(5,4),3.92149 # DEPENDENCYPART_ARC
(5,6),-0.207725 # DEPENDENCYPART_ARC
(5,7),-0.572949 # DEPENDENCYPART_ARC
(5,10),-0.906363 # DEPENDENCYPART_ARC
(5,22),-0.413278 # DEPENDENCYPART_ARC
(6,1),-0.902061 # DEPENDENCYPART_ARC
(6,2),0.477157 # DEPENDENCYPART_ARC
(6,3),0.404196 # DEPENDENCYPART_ARC
(6,4),-0.464916 # DEPENDENCYPART_ARC
(6,5),0.322196 # DEPENDENCYPART_ARC
(6,9),0.0960585 # DEPENDENCYPART_ARC
(6,10),-1.90922 # DEPENDENCYPART_ARC
(6,11),-0.612321 # DEPENDENCYPART_ARC
(6,13),-1.3699 # DEPENDENCYPART_ARC
(6,22),-1.02465 # DEPENDENCYPART_ARC
(6,27),0.859108 # DEPENDENCYPART_ARC
(7,1),-0.493701 # DEPENDENCYPART_ARC
(7,3),-0.884974 # DEPENDENCYPART_ARC
(7,4),-0.662679 # DEPENDENCYPART_ARC
(7,5),-0.447305 # DEPENDENCYPART_ARC
(7,6),-0.0194592 # DEPENDENCYPART_ARC
(7,9),-0.306723 # DEPENDENCYPART_ARC
(7,10),-0.752494 # DEPENDENCYPART_ARC
(7,11),-0.396151 # DEPENDENCYPART_ARC
(7,16),-1.09788 # DEPENDENCYPART_ARC
(7,17),-0.407427 # DEPENDENCYPART_ARC
