# _root_ Azt azonban elárulja , hogy az áremelés lehetetlen helyzetbe hozná a csapat költségvetését , hiszen a teljes kézilabdapénz egynegyedét a két kubai játékosra kellene fordítani .
#goldHeads=3,3,0,3,3,7,10,9,10,1,12,13,10,1,1,18,18,19,25,23,23,23,25,1,24,3,
#predictedHeads=3,3,0,3,3,7,10,9,10,1,12,13,10,15,10,18,18,19,25,23,23,23,25,1,24,15,
(0,1),-3.45336 # DEPENDENCYPART_ARC
(0,2),-2.01982 # DEPENDENCYPART_ARC
(0,3),-0.107328 # DEPENDENCYPART_ARC
(0,5),-1.05925 # DEPENDENCYPART_ARC
(0,10),-1.28949 # DEPENDENCYPART_ARC
(0,15),0.0228947 # DEPENDENCYPART_ARC
(0,19),-4.26802 # DEPENDENCYPART_ARC
(0,24),-2.00587 # DEPENDENCYPART_ARC
(0,25),-2.9408 # DEPENDENCYPART_ARC
(1,2),0.465879 # DEPENDENCYPART_ARC
(1,3),1.47715 # DEPENDENCYPART_ARC
(1,4),0.844435 # DEPENDENCYPART_ARC
(1,5),0.726489 # DEPENDENCYPART_ARC
(1,7),0.617598 # DEPENDENCYPART_ARC
(1,8),0.468276 # DEPENDENCYPART_ARC
(1,9),-0.0733138 # DEPENDENCYPART_ARC
(1,10),2.73925 # DEPENDENCYPART_ARC
(1,12),0.300777 # DEPENDENCYPART_ARC
(1,13),-0.451863 # DEPENDENCYPART_ARC
(1,14),0.659337 # DEPENDENCYPART_ARC
(1,15),0.778383 # DEPENDENCYPART_ARC
(1,17),0.0430527 # DEPENDENCYPART_ARC
(1,18),0.264274 # DEPENDENCYPART_ARC
(1,21),-0.190222 # DEPENDENCYPART_ARC
(1,22),0.131812 # DEPENDENCYPART_ARC
(1,23),-0.666624 # DEPENDENCYPART_ARC
(1,24),3.95788 # DEPENDENCYPART_ARC
(1,25),0.487569 # DEPENDENCYPART_ARC
(1,26),0.286039 # DEPENDENCYPART_ARC
(2,1),-0.704101 # DEPENDENCYPART_ARC
(2,3),0.582522 # DEPENDENCYPART_ARC
(2,4),0.0714472 # DEPENDENCYPART_ARC
(2,5),-0.0498588 # DEPENDENCYPART_ARC
(2,9),-1.06614 # DEPENDENCYPART_ARC
(2,10),-0.963325 # DEPENDENCYPART_ARC
(2,14),-0.449055 # DEPENDENCYPART_ARC
(2,15),-0.522353 # DEPENDENCYPART_ARC
(2,19),-1.00191 # DEPENDENCYPART_ARC
(2,21),-1.01265 # DEPENDENCYPART_ARC
(2,23),-0.985576 # DEPENDENCYPART_ARC
(2,24),-2.49289 # DEPENDENCYPART_ARC
(2,25),-2.67699 # DEPENDENCYPART_ARC
(2,26),1.66398 # DEPENDENCYPART_ARC
(3,1),1.83062 # DEPENDENCYPART_ARC
(3,2),2.43007 # DEPENDENCYPART_ARC
(3,4),2.29209 # DEPENDENCYPART_ARC
(3,5),2.74794 # DEPENDENCYPART_ARC
(3,6),-0.863234 # DEPENDENCYPART_ARC
(3,7),-1.05976 # DEPENDENCYPART_ARC
(3,8),-0.534029 # DEPENDENCYPART_ARC
(3,9),-0.888781 # DEPENDENCYPART_ARC
(3,10),1.87102 # DEPENDENCYPART_ARC
(3,12),-1.40114 # DEPENDENCYPART_ARC
(3,13),0.246525 # DEPENDENCYPART_ARC
(3,14),1.0638 # DEPENDENCYPART_ARC
(3,15),0.601216 # DEPENDENCYPART_ARC
(3,17),-1.86614 # DEPENDENCYPART_ARC
(3,21),-1.00265 # DEPENDENCYPART_ARC
(3,23),-2.96206 # DEPENDENCYPART_ARC
(3,24),1.10969 # DEPENDENCYPART_ARC
(3,25),1.30046 # DEPENDENCYPART_ARC
(3,26),3.00297 # DEPENDENCYPART_ARC
(5,1),-0.557591 # DEPENDENCYPART_ARC
(5,2),0.866935 # DEPENDENCYPART_ARC
(5,3),-0.387828 # DEPENDENCYPART_ARC
(5,4),0.977196 # DEPENDENCYPART_ARC
(5,7),-0.683234 # DEPENDENCYPART_ARC
(5,8),-0.299489 # DEPENDENCYPART_ARC
(5,9),-1.28234 # DEPENDENCYPART_ARC
(5,10),0.737934 # DEPENDENCYPART_ARC
(5,15),0.0775077 # DEPENDENCYPART_ARC
