# _root_ Elsősorban nekik köszönhető , hogy a különböző korosztályos megyei válogatottak eljuthatnak külföldre , és rendszeresek a Pest_megyében tartott nemzetközi tornák is .
#goldHeads=5,5,5,5,0,10,8,10,10,11,14,11,14,5,21,20,18,20,20,21,14,5,
#predictedHeads=11,3,5,10,11,10,10,10,10,11,14,11,14,0,21,20,18,20,20,21,11,14,
(0,1),-1.66099 # DEPENDENCYPART_ARC
(0,2),-1.69371 # DEPENDENCYPART_ARC
(0,3),-1.9789 # DEPENDENCYPART_ARC
(0,5),-0.575255 # DEPENDENCYPART_ARC
(0,11),-1.67086 # DEPENDENCYPART_ARC
(0,14),-0.510479 # DEPENDENCYPART_ARC
(0,15),-2.78537 # DEPENDENCYPART_ARC
(0,21),-2.66346 # DEPENDENCYPART_ARC
(1,2),-0.2036 # DEPENDENCYPART_ARC
(1,3),-0.0426022 # DEPENDENCYPART_ARC
(1,4),-0.306572 # DEPENDENCYPART_ARC
(1,5),-0.37372 # DEPENDENCYPART_ARC
(1,10),-1.19363 # DEPENDENCYPART_ARC
(1,11),-0.508765 # DEPENDENCYPART_ARC
(1,14),-0.995257 # DEPENDENCYPART_ARC
(1,20),-1.82262 # DEPENDENCYPART_ARC
(1,21),-1.95738 # DEPENDENCYPART_ARC
(1,22),-0.330668 # DEPENDENCYPART_ARC
(2,1),0.437699 # DEPENDENCYPART_ARC
(2,3),-0.0591112 # DEPENDENCYPART_ARC
(2,4),-0.372299 # DEPENDENCYPART_ARC
(2,7),-0.691115 # DEPENDENCYPART_ARC
(2,8),-0.66056 # DEPENDENCYPART_ARC
(2,9),-0.577782 # DEPENDENCYPART_ARC
(2,10),-1.09805 # DEPENDENCYPART_ARC
(2,11),-0.667245 # DEPENDENCYPART_ARC
(2,12),-1.29686 # DEPENDENCYPART_ARC
(2,20),-1.96819 # DEPENDENCYPART_ARC
(2,22),-0.641991 # DEPENDENCYPART_ARC
(3,1),0.536499 # DEPENDENCYPART_ARC
(3,2),1.51731 # DEPENDENCYPART_ARC
(3,4),0.0277556 # DEPENDENCYPART_ARC
(3,5),-0.459638 # DEPENDENCYPART_ARC
(3,8),-1.13135 # DEPENDENCYPART_ARC
(3,10),-1.47534 # DEPENDENCYPART_ARC
(3,11),-0.444473 # DEPENDENCYPART_ARC
(3,12),-0.95266 # DEPENDENCYPART_ARC
(3,13),-0.381523 # DEPENDENCYPART_ARC
(3,14),-0.657918 # DEPENDENCYPART_ARC
(3,18),-1.46596 # DEPENDENCYPART_ARC
(3,20),-2.08841 # DEPENDENCYPART_ARC
(3,21),-1.84448 # DEPENDENCYPART_ARC
(3,22),0.402905 # DEPENDENCYPART_ARC
(5,1),1.14346 # DEPENDENCYPART_ARC
(5,2),1.15162 # DEPENDENCYPART_ARC
(5,3),1.18284 # DEPENDENCYPART_ARC
(5,4),1.00163 # DEPENDENCYPART_ARC
(5,7),-0.154913 # DEPENDENCYPART_ARC
(5,8),-0.373295 # DEPENDENCYPART_ARC
(5,9),-0.569449 # DEPENDENCYPART_ARC
(5,10),-0.950562 # DEPENDENCYPART_ARC
(5,11),0.440666 # DEPENDENCYPART_ARC
(5,12),-1.39629 # DEPENDENCYPART_ARC
(5,13),-0.303516 # DEPENDENCYPART_ARC
(5,14),-0.202778 # DEPENDENCYPART_ARC
(5,15),-1.2137 # DEPENDENCYPART_ARC
(5,18),-1.24496 # DEPENDENCYPART_ARC
(5,20),-1.91174 # DEPENDENCYPART_ARC
(5,21),-0.648068 # DEPENDENCYPART_ARC
(5,22),1.60778 # DEPENDENCYPART_ARC
