# _root_ A laikus már-már azt hinné : a megbírált játékos serényen magába száll , s a legközelebbi buszjárattal kolostorba vonul , hogy csöndes magányban felülvizsgálja nézeteit a védekezést illetően .
#goldHeads=2,5,5,5,0,5,9,9,12,12,12,4,4,4,17,17,19,19,4,19,19,23,24,19,24,27,28,24,5,
#predictedHeads=2,5,5,5,0,5,9,9,12,12,12,4,14,4,17,17,19,19,4,19,19,23,24,4,24,27,28,24,14,
(0,2),-2.21795 # DEPENDENCYPART_ARC
(0,3),-2.18439 # DEPENDENCYPART_ARC
(0,4),-3.54621 # DEPENDENCYPART_ARC
(0,5),-0.234919 # DEPENDENCYPART_ARC
(0,12),-1.23859 # DEPENDENCYPART_ARC
(0,14),-0.200967 # DEPENDENCYPART_ARC
(0,19),-1.35823 # DEPENDENCYPART_ARC
(0,21),-3.53114 # DEPENDENCYPART_ARC
(0,24),-1.78766 # DEPENDENCYPART_ARC
(2,1),2.63882 # DEPENDENCYPART_ARC
(2,3),-0.327405 # DEPENDENCYPART_ARC
(3,2),0.0555284 # DEPENDENCYPART_ARC
(3,5),0.30181 # DEPENDENCYPART_ARC
(3,6),0.279777 # DEPENDENCYPART_ARC
(3,9),-0.978108 # DEPENDENCYPART_ARC
(3,12),-0.352417 # DEPENDENCYPART_ARC
(3,19),-0.566669 # DEPENDENCYPART_ARC
(3,24),-1.08293 # DEPENDENCYPART_ARC
(3,29),0.126334 # DEPENDENCYPART_ARC
(4,2),-0.294978 # DEPENDENCYPART_ARC
(4,3),0.60543 # DEPENDENCYPART_ARC
(4,5),1.79124 # DEPENDENCYPART_ARC
(4,6),0.634831 # DEPENDENCYPART_ARC
(4,8),0.582895 # DEPENDENCYPART_ARC
(4,9),0.766801 # DEPENDENCYPART_ARC
(4,10),0.401141 # DEPENDENCYPART_ARC
(4,12),2.52353 # DEPENDENCYPART_ARC
(4,13),1.44822 # DEPENDENCYPART_ARC
(4,14),1.75061 # DEPENDENCYPART_ARC
(4,16),1.10865 # DEPENDENCYPART_ARC
(4,17),-0.0863685 # DEPENDENCYPART_ARC
(4,18),-0.143085 # DEPENDENCYPART_ARC
(4,19),2.71975 # DEPENDENCYPART_ARC
(4,20),1.37354 # DEPENDENCYPART_ARC
(4,21),1.33366 # DEPENDENCYPART_ARC
(4,22),0.413888 # DEPENDENCYPART_ARC
(4,23),0.211142 # DEPENDENCYPART_ARC
(4,24),1.79204 # DEPENDENCYPART_ARC
(4,25),-0.818749 # DEPENDENCYPART_ARC
(4,27),-0.231753 # DEPENDENCYPART_ARC
(4,28),0.0737799 # DEPENDENCYPART_ARC
(4,29),0.744095 # DEPENDENCYPART_ARC
(5,1),-0.613314 # DEPENDENCYPART_ARC
(5,2),1.93886 # DEPENDENCYPART_ARC
(5,3),2.35351 # DEPENDENCYPART_ARC
(5,4),3.01492 # DEPENDENCYPART_ARC
(5,6),2.2356 # DEPENDENCYPART_ARC
(5,7),-0.570962 # DEPENDENCYPART_ARC
(5,8),-0.152166 # DEPENDENCYPART_ARC
(5,9),-0.876841 # DEPENDENCYPART_ARC
(5,10),0.648666 # DEPENDENCYPART_ARC
(5,11),-0.355063 # DEPENDENCYPART_ARC
(5,12),0.936494 # DEPENDENCYPART_ARC
(5,13),1.87265 # DEPENDENCYPART_ARC
(5,14),1.05549 # DEPENDENCYPART_ARC
(5,17),-2.2702 # DEPENDENCYPART_ARC
(5,18),-2.46036 # DEPENDENCYPART_ARC
(5,19),0.522277 # DEPENDENCYPART_ARC
(5,20),1.40853 # DEPENDENCYPART_ARC
(5,21),0.909492 # DEPENDENCYPART_ARC
(5,22),-1.15095 # DEPENDENCYPART_ARC
(5,23),-3.31308 # DEPENDENCYPART_ARC
(5,24),-0.0422146 # DEPENDENCYPART_ARC
(5,25),-1.75766 # DEPENDENCYPART_ARC
(5,27),-2.45721 # DEPENDENCYPART_ARC
(5,28),-0.313029 # DEPENDENCYPART_ARC
(5,29),3.28118 # DEPENDENCYPART_ARC
(7,8),0.0530198 # DEPENDENCYPART_ARC
(7,10),-0.727018 # DEPENDENCYPART_ARC
(8,7),0.450001 # DEPENDENCYPART_ARC
(9,1),-0.971768 # DEPENDENCYPART_ARC
(9,4),-2.3381 # DEPENDENCYPART_ARC
(9,5),-1.20299 # DEPENDENCYPART_ARC
