# _root_ A társaság a HungarHotelst nem tudja ugyan megvenni , mégis tovább működött , fb-elnöki tisztéről Récsey 1998 áprilisában mondott le .
#goldHeads=2,6,4,8,6,10,6,6,10,0,12,10,10,15,19,19,18,19,10,19,10,
#predictedHeads=2,6,4,6,6,10,6,6,10,0,12,10,15,15,19,19,18,19,12,19,10,
(0,2),-2.09374 # DEPENDENCYPART_ARC
(0,5),-2.27301 # DEPENDENCYPART_ARC
(0,6),-1.47786 # DEPENDENCYPART_ARC
(0,7),-0.858269 # DEPENDENCYPART_ARC
(0,8),-1.88954 # DEPENDENCYPART_ARC
(0,10),-0.549664 # DEPENDENCYPART_ARC
(0,12),-1.24528 # DEPENDENCYPART_ARC
(0,19),-1.5095 # DEPENDENCYPART_ARC
(0,20),-2.75101 # DEPENDENCYPART_ARC
(2,1),3.02165 # DEPENDENCYPART_ARC
(2,3),-0.610762 # DEPENDENCYPART_ARC
(2,4),-0.712747 # DEPENDENCYPART_ARC
(2,6),0.0763272 # DEPENDENCYPART_ARC
(2,19),-0.813203 # DEPENDENCYPART_ARC
(2,21),0.673429 # DEPENDENCYPART_ARC
(4,1),-0.132704 # DEPENDENCYPART_ARC
(4,2),-1.19273 # DEPENDENCYPART_ARC
(4,3),2.14758 # DEPENDENCYPART_ARC
(5,2),-0.361811 # DEPENDENCYPART_ARC
(5,4),0.261597 # DEPENDENCYPART_ARC
(5,7),-0.633124 # DEPENDENCYPART_ARC
(5,8),-0.661242 # DEPENDENCYPART_ARC
(5,9),-0.688504 # DEPENDENCYPART_ARC
(5,19),-1.87869 # DEPENDENCYPART_ARC
(5,21),-0.833788 # DEPENDENCYPART_ARC
(6,1),-1.4937 # DEPENDENCYPART_ARC
(6,2),1.49976 # DEPENDENCYPART_ARC
(6,3),-1.28982 # DEPENDENCYPART_ARC
(6,4),2.35059 # DEPENDENCYPART_ARC
(6,5),2.68042 # DEPENDENCYPART_ARC
(6,7),3.09239 # DEPENDENCYPART_ARC
(6,8),2.31622 # DEPENDENCYPART_ARC
(6,9),1.66494 # DEPENDENCYPART_ARC
(6,10),0.97502 # DEPENDENCYPART_ARC
(6,11),-0.179929 # DEPENDENCYPART_ARC
(6,12),0.71333 # DEPENDENCYPART_ARC
(6,13),0.543927 # DEPENDENCYPART_ARC
(6,14),-1.09954 # DEPENDENCYPART_ARC
(6,15),-1.24642 # DEPENDENCYPART_ARC
(6,16),-1.99004 # DEPENDENCYPART_ARC
(6,17),-1.01034 # DEPENDENCYPART_ARC
(6,18),-1.69421 # DEPENDENCYPART_ARC
(6,19),0.783031 # DEPENDENCYPART_ARC
(6,20),-0.0759389 # DEPENDENCYPART_ARC
(6,21),2.06477 # DEPENDENCYPART_ARC
(7,2),-0.629697 # DEPENDENCYPART_ARC
(7,4),-0.837184 # DEPENDENCYPART_ARC
(7,5),-0.157068 # DEPENDENCYPART_ARC
(7,6),-0.358216 # DEPENDENCYPART_ARC
(7,8),0.23001 # DEPENDENCYPART_ARC
(7,9),0.195562 # DEPENDENCYPART_ARC
(7,10),-0.12128 # DEPENDENCYPART_ARC
(7,12),-0.780456 # DEPENDENCYPART_ARC
(7,13),0.308866 # DEPENDENCYPART_ARC
(7,19),-1.13745 # DEPENDENCYPART_ARC
(7,21),0.836319 # DEPENDENCYPART_ARC
(8,2),-0.134251 # DEPENDENCYPART_ARC
(8,3),-1.46161 # DEPENDENCYPART_ARC
(8,4),1.87336 # DEPENDENCYPART_ARC
(8,5),0.870606 # DEPENDENCYPART_ARC
(8,6),-0.598411 # DEPENDENCYPART_ARC
(8,7),0.329018 # DEPENDENCYPART_ARC
(8,9),1.37224 # DEPENDENCYPART_ARC
(8,10),0.350336 # DEPENDENCYPART_ARC
(8,11),-0.56407 # DEPENDENCYPART_ARC
(8,12),0.280555 # DEPENDENCYPART_ARC
(8,13),0.00348155 # DEPENDENCYPART_ARC
(8,14),-0.234402 # DEPENDENCYPART_ARC
