# _root_ Az első hidegzuhany az esztergomi ralin ért , ahol a motor úgy kikészült , hogy a kukába lehetett dobni .
#goldHeads=3,3,7,6,6,7,0,7,13,11,13,13,7,13,13,17,19,13,18,7,
#predictedHeads=3,3,7,6,6,7,0,7,13,11,13,13,7,13,13,17,19,13,18,13,
(0,2),-1.90959 # DEPENDENCYPART_ARC
(0,3),-2.2163 # DEPENDENCYPART_ARC
(0,7),-0.615889 # DEPENDENCYPART_ARC
(0,9),-2.61809 # DEPENDENCYPART_ARC
(0,12),-2.58876 # DEPENDENCYPART_ARC
(0,13),-1.21264 # DEPENDENCYPART_ARC
(0,15),-2.43977 # DEPENDENCYPART_ARC
(0,18),-1.87535 # DEPENDENCYPART_ARC
(0,19),-2.50863 # DEPENDENCYPART_ARC
(1,2),-0.0967907 # DEPENDENCYPART_ARC
(1,5),-0.398232 # DEPENDENCYPART_ARC
(1,6),-1.08647 # DEPENDENCYPART_ARC
(2,1),0.49621 # DEPENDENCYPART_ARC
(2,6),-1.89723 # DEPENDENCYPART_ARC
(2,7),-1.19657 # DEPENDENCYPART_ARC
(3,1),1.39343 # DEPENDENCYPART_ARC
(3,2),1.51543 # DEPENDENCYPART_ARC
(3,6),-0.121856 # DEPENDENCYPART_ARC
(3,7),-0.0518715 # DEPENDENCYPART_ARC
(3,8),0.158575 # DEPENDENCYPART_ARC
(3,11),-0.490819 # DEPENDENCYPART_ARC
(3,14),0.119367 # DEPENDENCYPART_ARC
(3,17),-0.639291 # DEPENDENCYPART_ARC
(4,5),0.211568 # DEPENDENCYPART_ARC
(5,1),-1.3713 # DEPENDENCYPART_ARC
(5,3),-0.374367 # DEPENDENCYPART_ARC
(5,4),0.149725 # DEPENDENCYPART_ARC
(5,13),-1.47066 # DEPENDENCYPART_ARC
(5,20),-0.185859 # DEPENDENCYPART_ARC
(6,1),0.317321 # DEPENDENCYPART_ARC
(6,2),1.19808 # DEPENDENCYPART_ARC
(6,3),0.218141 # DEPENDENCYPART_ARC
(6,4),2.23785 # DEPENDENCYPART_ARC
(6,5),3.3128 # DEPENDENCYPART_ARC
(6,7),-0.767973 # DEPENDENCYPART_ARC
(6,8),-0.788613 # DEPENDENCYPART_ARC
(6,11),-2.00409 # DEPENDENCYPART_ARC
(6,13),-1.24976 # DEPENDENCYPART_ARC
(6,18),-1.72301 # DEPENDENCYPART_ARC
(6,19),-1.52524 # DEPENDENCYPART_ARC
(6,20),0.0344111 # DEPENDENCYPART_ARC
(7,1),-0.0709653 # DEPENDENCYPART_ARC
(7,2),0.15446 # DEPENDENCYPART_ARC
(7,3),0.965099 # DEPENDENCYPART_ARC
(7,4),0.121023 # DEPENDENCYPART_ARC
(7,5),0.728676 # DEPENDENCYPART_ARC
(7,6),4.04968 # DEPENDENCYPART_ARC
(7,8),1.32531 # DEPENDENCYPART_ARC
(7,9),0.473111 # DEPENDENCYPART_ARC
(7,10),-0.950726 # DEPENDENCYPART_ARC
(7,11),-1.16914 # DEPENDENCYPART_ARC
(7,12),-0.117403 # DEPENDENCYPART_ARC
(7,13),0.948395 # DEPENDENCYPART_ARC
(7,14),0.856043 # DEPENDENCYPART_ARC
(7,15),1.09084 # DEPENDENCYPART_ARC
(7,17),-3.19017 # DEPENDENCYPART_ARC
(7,18),1.16158 # DEPENDENCYPART_ARC
(7,19),0.981637 # DEPENDENCYPART_ARC
(7,20),2.22011 # DEPENDENCYPART_ARC
(9,6),-0.413429 # DEPENDENCYPART_ARC
(9,8),0.0731867 # DEPENDENCYPART_ARC
(9,11),0.0978189 # DEPENDENCYPART_ARC
(9,13),0.376664 # DEPENDENCYPART_ARC
(9,14),-0.288587 # DEPENDENCYPART_ARC
(9,17),-1.31126 # DEPENDENCYPART_ARC
(9,18),-0.462283 # DEPENDENCYPART_ARC
(9,19),-0.526403 # DEPENDENCYPART_ARC
(9,20),0.314574 # DEPENDENCYPART_ARC
(11,1),-2.11023 # DEPENDENCYPART_ARC
(11,2),-1.32062 # DEPENDENCYPART_ARC
(11,3),-1.45252 # DEPENDENCYPART_ARC
(11,4),-1.43481 # DEPENDENCYPART_ARC
(11,7),-1.38111 # DEPENDENCYPART_ARC
(11,8),-0.797083 # DEPENDENCYPART_ARC
(11,9),-0.644792 # DEPENDENCYPART_ARC
(11,10),2.9487 # DEPENDENCYPART_ARC
(11,12),-0.384671 # DEPENDENCYPART_ARC
(11,14),0.00169097 # DEPENDENCYPART_ARC
(11,18),-0.848803 # DEPENDENCYPART_ARC
(11,19),-0.515465 # DEPENDENCYPART_ARC
(11,20),0.33596 # DEPENDENCYPART_ARC
(12,7),-0.641333 # DEPENDENCYPART_ARC
(12,8),-0.78069 # DEPENDENCYPART_ARC
(12,11),0.170589 # DEPENDENCYPART_ARC
(12,13),0.0931064 # DEPENDENCYPART_ARC
(12,14),-0.616387 # DEPENDENCYPART_ARC
(12,17),-1.31991 # DEPENDENCYPART_ARC
(12,18),-0.964251 # DEPENDENCYPART_ARC
(12,19),-1.02998 # DEPENDENCYPART_ARC
(12,20),-0.4902 # DEPENDENCYPART_ARC
(13,1),-1.00258 # DEPENDENCYPART_ARC
(13,3),0.457749 # DEPENDENCYPART_ARC
(13,4),-1.02215 # DEPENDENCYPART_ARC
(13,5),-0.602772 # DEPENDENCYPART_ARC
(13,6),1.80984 # DEPENDENCYPART_ARC
(13,7),0.0607897 # DEPENDENCYPART_ARC
(13,8),0.899602 # DEPENDENCYPART_ARC
(13,9),2.48567 # DEPENDENCYPART_ARC
(13,10),-0.618937 # DEPENDENCYPART_ARC
(13,11),2.89225 # DEPENDENCYPART_ARC
(13,12),3.15403 # DEPENDENCYPART_ARC
(13,14),2.37875 # DEPENDENCYPART_ARC
(13,15),3.32532 # DEPENDENCYPART_ARC
(13,16),-0.398087 # DEPENDENCYPART_ARC
