# _root_ Az előrehaladás akadálymentesnek látszik , amikor — már 1992-ben — jön egy váratlan kitérő : egy tárgyaláson a külföldi partner felfedezi , és pazar állásajánlattal téríti el .
#goldHeads=2,4,4,0,4,11,11,11,11,11,4,14,14,11,4,17,21,20,20,21,23,23,4,25,26,23,26,4,
#predictedHeads=2,4,4,11,4,11,11,11,11,11,23,14,14,11,11,17,21,20,20,21,23,23,0,25,26,23,26,4,
(0,2),-1.94199 # DEPENDENCYPART_ARC
(0,3),-2.32089 # DEPENDENCYPART_ARC
(0,4),-0.205167 # DEPENDENCYPART_ARC
(0,6),-2.43555 # DEPENDENCYPART_ARC
(0,8),-2.15525 # DEPENDENCYPART_ARC
(0,9),-2.89708 # DEPENDENCYPART_ARC
(0,11),-1.03627 # DEPENDENCYPART_ARC
(0,21),-2.04503 # DEPENDENCYPART_ARC
(0,23),-0.660424 # DEPENDENCYPART_ARC
(0,26),-2.20441 # DEPENDENCYPART_ARC
(0,27),-3.57268 # DEPENDENCYPART_ARC
(1,3),-0.56153 # DEPENDENCYPART_ARC
(2,1),2.62855 # DEPENDENCYPART_ARC
(2,3),-0.498111 # DEPENDENCYPART_ARC
(2,4),-0.0907907 # DEPENDENCYPART_ARC
(2,11),-0.303108 # DEPENDENCYPART_ARC
(3,1),0.633496 # DEPENDENCYPART_ARC
(3,2),0.31777 # DEPENDENCYPART_ARC
(3,4),-0.519975 # DEPENDENCYPART_ARC
(3,5),-0.516643 # DEPENDENCYPART_ARC
(3,7),-0.65807 # DEPENDENCYPART_ARC
(3,9),-0.982085 # DEPENDENCYPART_ARC
(3,11),-1.35778 # DEPENDENCYPART_ARC
(3,28),0.807008 # DEPENDENCYPART_ARC
(4,1),-0.667266 # DEPENDENCYPART_ARC
(4,2),1.55614 # DEPENDENCYPART_ARC
(4,3),2.76821 # DEPENDENCYPART_ARC
(4,5),1.61982 # DEPENDENCYPART_ARC
(4,6),0.686499 # DEPENDENCYPART_ARC
(4,7),0.579117 # DEPENDENCYPART_ARC
(4,8),-0.460927 # DEPENDENCYPART_ARC
(4,9),0.228609 # DEPENDENCYPART_ARC
(4,10),-0.239872 # DEPENDENCYPART_ARC
(4,11),0.405724 # DEPENDENCYPART_ARC
(4,15),0.687389 # DEPENDENCYPART_ARC
(4,21),0.73071 # DEPENDENCYPART_ARC
(4,22),0.247671 # DEPENDENCYPART_ARC
(4,23),-0.70175 # DEPENDENCYPART_ARC
(4,26),0.310139 # DEPENDENCYPART_ARC
(4,27),-0.906809 # DEPENDENCYPART_ARC
(4,28),3.82445 # DEPENDENCYPART_ARC
(6,2),-0.0585747 # DEPENDENCYPART_ARC
(6,5),0.16829 # DEPENDENCYPART_ARC
(6,7),0.461585 # DEPENDENCYPART_ARC
(6,10),0.491136 # DEPENDENCYPART_ARC
(6,11),-0.00488045 # DEPENDENCYPART_ARC
(6,14),-1.2102 # DEPENDENCYPART_ARC
(6,15),0.175745 # DEPENDENCYPART_ARC
(6,21),-0.028862 # DEPENDENCYPART_ARC
(6,22),-0.619363 # DEPENDENCYPART_ARC
(6,25),-2.09782 # DEPENDENCYPART_ARC
(6,26),-0.524026 # DEPENDENCYPART_ARC
(6,28),0.328422 # DEPENDENCYPART_ARC
(8,2),-0.98047 # DEPENDENCYPART_ARC
(8,3),-0.949177 # DEPENDENCYPART_ARC
(8,4),-0.189912 # DEPENDENCYPART_ARC
(8,5),-0.305838 # DEPENDENCYPART_ARC
(8,6),-0.370964 # DEPENDENCYPART_ARC
(8,7),0.158845 # DEPENDENCYPART_ARC
(8,9),0.202105 # DEPENDENCYPART_ARC
(8,10),0.841395 # DEPENDENCYPART_ARC
(8,11),0.295828 # DEPENDENCYPART_ARC
(8,14),-0.540004 # DEPENDENCYPART_ARC
(8,15),0.564412 # DEPENDENCYPART_ARC
(8,17),-0.775071 # DEPENDENCYPART_ARC
(8,20),-1.09741 # DEPENDENCYPART_ARC
(8,21),0.0953353 # DEPENDENCYPART_ARC
(8,23),-0.198238 # DEPENDENCYPART_ARC
(8,25),-1.12559 # DEPENDENCYPART_ARC
(8,26),-0.252831 # DEPENDENCYPART_ARC
(8,28),0.667551 # DEPENDENCYPART_ARC
(9,4),-1.002 # DEPENDENCYPART_ARC
(9,5),0.200709 # DEPENDENCYPART_ARC
(9,6),0.509645 # DEPENDENCYPART_ARC
(9,7),0.20341 # DEPENDENCYPART_ARC
(9,8),1.09646 # DEPENDENCYPART_ARC
(9,10),0.629542 # DEPENDENCYPART_ARC
(9,11),1.0547 # DEPENDENCYPART_ARC
(9,13),-0.334672 # DEPENDENCYPART_ARC
(9,14),-0.317214 # DEPENDENCYPART_ARC
(9,15),0.464211 # DEPENDENCYPART_ARC
(9,21),0.0277652 # DEPENDENCYPART_ARC
(9,22),-0.278833 # DEPENDENCYPART_ARC
(9,26),-0.121465 # DEPENDENCYPART_ARC
(9,28),1.36501 # DEPENDENCYPART_ARC
(11,1),-0.995851 # DEPENDENCYPART_ARC
(11,2),-0.255025 # DEPENDENCYPART_ARC
(11,3),0.274785 # DEPENDENCYPART_ARC
(11,4),0.793868 # DEPENDENCYPART_ARC
(11,5),1.28504 # DEPENDENCYPART_ARC
(11,6),1.19776 # DEPENDENCYPART_ARC
(11,7),1.60469 # DEPENDENCYPART_ARC
(11,8),2.02568 # DEPENDENCYPART_ARC
(11,9),1.89995 # DEPENDENCYPART_ARC
(11,10),1.53215 # DEPENDENCYPART_ARC
(11,13),0.633861 # DEPENDENCYPART_ARC
(11,14),3.32896 # DEPENDENCYPART_ARC
(11,15),2.2233 # DEPENDENCYPART_ARC
(11,17),1.46169 # DEPENDENCYPART_ARC
(11,18),-0.415735 # DEPENDENCYPART_ARC
(11,19),-0.898328 # DEPENDENCYPART_ARC
(11,20),1.11136 # DEPENDENCYPART_ARC
(11,21),1.54707 # DEPENDENCYPART_ARC
(11,22),2.0516 # DEPENDENCYPART_ARC
(11,23),0.533069 # DEPENDENCYPART_ARC
(11,24),-1.21635 # DEPENDENCYPART_ARC
(11,25),-0.31633 # DEPENDENCYPART_ARC
(11,26),1.03241 # DEPENDENCYPART_ARC
(11,27),0.693194 # DEPENDENCYPART_ARC
(11,28),3.20513 # DEPENDENCYPART_ARC
(12,13),0.238968 # DEPENDENCYPART_ARC
(13,6),-1.83288 # DEPENDENCYPART_ARC
(13,8),-1.26628 # DEPENDENCYPART_ARC
(13,9),-0.887562 # DEPENDENCYPART_ARC
(13,12),0.622045 # DEPENDENCYPART_ARC
(14,1),-0.817462 # DEPENDENCYPART_ARC
(14,2),-2.04093 # DEPENDENCYPART_ARC
(14,3),-2.81044 # DEPENDENCYPART_ARC
(14,4),-2.13365 # DEPENDENCYPART_ARC
(14,5),-1.23598 # DEPENDENCYPART_ARC
(14,7),-0.726883 # DEPENDENCYPART_ARC
(14,8),-0.809597 # DEPENDENCYPART_ARC
(14,9),-2.07852 # DEPENDENCYPART_ARC
(14,10),-0.422047 # DEPENDENCYPART_ARC
(14,12),2.75218 # DEPENDENCYPART_ARC
(14,13),3.63813 # DEPENDENCYPART_ARC
(14,15),0.505167 # DEPENDENCYPART_ARC
(14,17),-1.08033 # DEPENDENCYPART_ARC
(14,19),-0.833241 # DEPENDENCYPART_ARC
(14,20),-0.00628267 # DEPENDENCYPART_ARC
(14,21),-0.3191 # DEPENDENCYPART_ARC
(14,22),-0.0868935 # DEPENDENCYPART_ARC
(14,23),-0.125274 # DEPENDENCYPART_ARC
(14,25),-1.39416 # DEPENDENCYPART_ARC
(14,26),-0.807331 # DEPENDENCYPART_ARC
(14,28),0.554418 # DEPENDENCYPART_ARC
(16,19),-0.410251 # DEPENDENCYPART_ARC
(17,12),-0.131858 # DEPENDENCYPART_ARC
(17,13),-0.585884 # DEPENDENCYPART_ARC
(17,14),-1.94248 # DEPENDENCYPART_ARC
(17,15),-1.13977 # DEPENDENCYPART_ARC
