# _root_ De például a májjal már más a helyzet : a sertés mája más enzimeket termel , mint az emberé , más nagyságú vörösvérsejteket hoz létre és így tovább .
#goldHeads=0,6,4,6,6,1,8,6,1,11,12,15,14,15,26,15,15,19,15,26,22,23,24,26,24,1,28,26,1,
#predictedHeads=24,15,4,2,15,8,8,12,1,11,12,15,14,15,1,15,15,19,24,24,24,23,24,26,24,27,0,24,1,
(0,1),-2.14208 # DEPENDENCYPART_ARC
(0,2),-2.22186 # DEPENDENCYPART_ARC
(0,4),-3.53331 # DEPENDENCYPART_ARC
(0,5),-2.19206 # DEPENDENCYPART_ARC
(0,6),-3.28502 # DEPENDENCYPART_ARC
(0,8),-3.95413 # DEPENDENCYPART_ARC
(0,13),-3.75195 # DEPENDENCYPART_ARC
(0,15),-2.14277 # DEPENDENCYPART_ARC
(0,17),-2.51402 # DEPENDENCYPART_ARC
(0,21),-3.9619 # DEPENDENCYPART_ARC
(0,24),-1.93232 # DEPENDENCYPART_ARC
(0,25),-3.85599 # DEPENDENCYPART_ARC
(0,26),-3.18294 # DEPENDENCYPART_ARC
(0,27),-1.10237 # DEPENDENCYPART_ARC
(0,28),-3.60752 # DEPENDENCYPART_ARC
(1,2),-0.515511 # DEPENDENCYPART_ARC
(1,4),-1.17247 # DEPENDENCYPART_ARC
(1,5),-0.649579 # DEPENDENCYPART_ARC
(1,8),-1.24985 # DEPENDENCYPART_ARC
(1,9),0.870321 # DEPENDENCYPART_ARC
(1,12),-1.93596 # DEPENDENCYPART_ARC
(1,15),0.750919 # DEPENDENCYPART_ARC
(1,16),0.17824 # DEPENDENCYPART_ARC
(1,17),0.107543 # DEPENDENCYPART_ARC
(1,20),-0.0246204 # DEPENDENCYPART_ARC
(1,22),-0.921739 # DEPENDENCYPART_ARC
(1,24),-0.451592 # DEPENDENCYPART_ARC
(1,29),2.57543 # DEPENDENCYPART_ARC
(2,1),0.756402 # DEPENDENCYPART_ARC
(2,4),0.329315 # DEPENDENCYPART_ARC
(2,5),0.178261 # DEPENDENCYPART_ARC
(2,8),-0.181578 # DEPENDENCYPART_ARC
(2,9),0.835877 # DEPENDENCYPART_ARC
(2,11),-0.885397 # DEPENDENCYPART_ARC
(2,12),-0.636591 # DEPENDENCYPART_ARC
(2,14),-1.00555 # DEPENDENCYPART_ARC
(2,15),0.692545 # DEPENDENCYPART_ARC
(2,16),0.640816 # DEPENDENCYPART_ARC
(2,19),-1.37412 # DEPENDENCYPART_ARC
(2,20),0.629274 # DEPENDENCYPART_ARC
(2,24),0.208641 # DEPENDENCYPART_ARC
(2,26),-0.0667326 # DEPENDENCYPART_ARC
(2,29),1.5144 # DEPENDENCYPART_ARC
(4,1),-1.06303 # DEPENDENCYPART_ARC
(4,2),-0.925892 # DEPENDENCYPART_ARC
(4,3),2.50053 # DEPENDENCYPART_ARC
(5,1),-0.666962 # DEPENDENCYPART_ARC
(5,2),-0.272013 # DEPENDENCYPART_ARC
(5,4),-0.291872 # DEPENDENCYPART_ARC
(5,8),-0.250101 # DEPENDENCYPART_ARC
(5,9),0.12187 # DEPENDENCYPART_ARC
(5,11),-1.01391 # DEPENDENCYPART_ARC
(5,12),-1.0471 # DEPENDENCYPART_ARC
(5,14),-1.04812 # DEPENDENCYPART_ARC
(5,15),-0.0121852 # DEPENDENCYPART_ARC
(5,17),-0.710808 # DEPENDENCYPART_ARC
(5,24),-0.574882 # DEPENDENCYPART_ARC
(5,26),-0.876523 # DEPENDENCYPART_ARC
(5,29),0.946659 # DEPENDENCYPART_ARC
(6,5),0.705095 # DEPENDENCYPART_ARC
(6,8),0.0346704 # DEPENDENCYPART_ARC
(6,9),-0.177641 # DEPENDENCYPART_ARC
(6,11),-0.595503 # DEPENDENCYPART_ARC
(6,12),-0.726956 # DEPENDENCYPART_ARC
(6,13),-1.24833 # DEPENDENCYPART_ARC
(6,14),-1.31691 # DEPENDENCYPART_ARC
(6,15),0.112634 # DEPENDENCYPART_ARC
(6,16),0.21783 # DEPENDENCYPART_ARC
(6,19),-0.812589 # DEPENDENCYPART_ARC
(6,20),-0.328787 # DEPENDENCYPART_ARC
(6,24),0.125946 # DEPENDENCYPART_ARC
(8,1),-1.15012 # DEPENDENCYPART_ARC
(8,2),-1.41528 # DEPENDENCYPART_ARC
(8,3),-0.119352 # DEPENDENCYPART_ARC
(8,4),-3.26329 # DEPENDENCYPART_ARC
(8,5),-1.04133 # DEPENDENCYPART_ARC
(8,6),1.48417 # DEPENDENCYPART_ARC
(8,7),3.00923 # DEPENDENCYPART_ARC
(8,9),0.307649 # DEPENDENCYPART_ARC
(8,11),-0.48548 # DEPENDENCYPART_ARC
(8,12),-0.404512 # DEPENDENCYPART_ARC
(8,14),-1.5769 # DEPENDENCYPART_ARC
(8,28),-0.747195 # DEPENDENCYPART_ARC
(8,29),0.73964 # DEPENDENCYPART_ARC
(11,3),-1.44437 # DEPENDENCYPART_ARC
(11,6),-0.586558 # DEPENDENCYPART_ARC
(11,7),-0.117209 # DEPENDENCYPART_ARC
(11,10),2.70309 # DEPENDENCYPART_ARC
(12,1),-0.641436 # DEPENDENCYPART_ARC
(12,2),-0.592345 # DEPENDENCYPART_ARC
(12,3),-2.06045 # DEPENDENCYPART_ARC
(12,4),-3.64659 # DEPENDENCYPART_ARC
(12,5),-0.857252 # DEPENDENCYPART_ARC
(12,6),-0.486234 # DEPENDENCYPART_ARC
(12,7),-0.752181 # DEPENDENCYPART_ARC
(12,8),0.243519 # DEPENDENCYPART_ARC
(12,9),-0.259482 # DEPENDENCYPART_ARC
(12,10),1.20784 # DEPENDENCYPART_ARC
(12,11),3.78713 # DEPENDENCYPART_ARC
(12,14),-1.04331 # DEPENDENCYPART_ARC
(12,28),-0.679059 # DEPENDENCYPART_ARC
(13,12),-0.0609411 # DEPENDENCYPART_ARC
(13,14),-0.725834 # DEPENDENCYPART_ARC
(13,16),-0.0581675 # DEPENDENCYPART_ARC
(13,19),-0.724515 # DEPENDENCYPART_ARC
(13,21),-0.908358 # DEPENDENCYPART_ARC
(13,23),-1.32884 # DEPENDENCYPART_ARC
(13,24),-0.142093 # DEPENDENCYPART_ARC
(13,26),-0.00225202 # DEPENDENCYPART_ARC
(14,2),-0.288076 # DEPENDENCYPART_ARC
(14,4),-3.6261 # DEPENDENCYPART_ARC
(14,5),-0.548307 # DEPENDENCYPART_ARC
(14,6),-0.49324 # DEPENDENCYPART_ARC
(14,7),-0.181195 # DEPENDENCYPART_ARC
(14,8),-2.02882 # DEPENDENCYPART_ARC
(14,10),0.658536 # DEPENDENCYPART_ARC
(14,11),-0.14819 # DEPENDENCYPART_ARC
(14,12),-0.426247 # DEPENDENCYPART_ARC
(14,13),2.8979 # DEPENDENCYPART_ARC
(14,28),-1.06306 # DEPENDENCYPART_ARC
(15,1),1.29492 # DEPENDENCYPART_ARC
(15,2),1.09381 # DEPENDENCYPART_ARC
(15,3),-1.3419 # DEPENDENCYPART_ARC
(15,4),-0.319499 # DEPENDENCYPART_ARC
(15,5),1.07263 # DEPENDENCYPART_ARC
(15,6),-0.627852 # DEPENDENCYPART_ARC
(15,7),-1.14616 # DEPENDENCYPART_ARC
(15,8),0.0578753 # DEPENDENCYPART_ARC
(15,9),0.575023 # DEPENDENCYPART_ARC
(15,10),-1.07464 # DEPENDENCYPART_ARC
(15,11),1.35608 # DEPENDENCYPART_ARC
(15,12),2.21978 # DEPENDENCYPART_ARC
(15,13),1.19403 # DEPENDENCYPART_ARC
(15,14),3.01323 # DEPENDENCYPART_ARC
(15,16),1.52168 # DEPENDENCYPART_ARC
(15,17),2.09242 # DEPENDENCYPART_ARC
(15,18),-0.981299 # DEPENDENCYPART_ARC
(15,19),0.0483523 # DEPENDENCYPART_ARC
(15,20),0.6499 # DEPENDENCYPART_ARC
(15,21),-1.63664 # DEPENDENCYPART_ARC
(15,22),-1.00644 # DEPENDENCYPART_ARC
(15,23),-2.70418 # DEPENDENCYPART_ARC
(15,24),0.767009 # DEPENDENCYPART_ARC
(15,25),-0.197057 # DEPENDENCYPART_ARC
(15,26),-0.474835 # DEPENDENCYPART_ARC
(15,27),-0.574059 # DEPENDENCYPART_ARC
(15,28),-0.800012 # DEPENDENCYPART_ARC
(15,29),2.26518 # DEPENDENCYPART_ARC
(17,1),1.02499 # DEPENDENCYPART_ARC
(17,2),0.0990543 # DEPENDENCYPART_ARC
(17,4),-0.39538 # DEPENDENCYPART_ARC
(17,5),-0.205916 # DEPENDENCYPART_ARC
(17,6),0.0745195 # DEPENDENCYPART_ARC
(17,8),-0.033319 # DEPENDENCYPART_ARC
(17,9),0.131751 # DEPENDENCYPART_ARC
(17,11),0.0594959 # DEPENDENCYPART_ARC
(17,12),0.224102 # DEPENDENCYPART_ARC
(17,13),0.106392 # DEPENDENCYPART_ARC
(17,14),-0.37817 # DEPENDENCYPART_ARC
(17,15),-0.129194 # DEPENDENCYPART_ARC
(17,16),1.05546 # DEPENDENCYPART_ARC
(17,19),0.162131 # DEPENDENCYPART_ARC
(17,20),0.147899 # DEPENDENCYPART_ARC
(17,22),-0.32161 # DEPENDENCYPART_ARC
(17,23),-1.07627 # DEPENDENCYPART_ARC
(17,24),0.194951 # DEPENDENCYPART_ARC
(17,25),-0.524513 # DEPENDENCYPART_ARC
(17,26),-0.325518 # DEPENDENCYPART_ARC
(17,28),-0.404297 # DEPENDENCYPART_ARC
(17,29),1.6149 # DEPENDENCYPART_ARC
(19,6),-2.09072 # DEPENDENCYPART_ARC
(19,13),-1.52999 # DEPENDENCYPART_ARC
(19,16),-0.446337 # DEPENDENCYPART_ARC
(19,17),-0.6581 # DEPENDENCYPART_ARC
(19,18),3.02356 # DEPENDENCYPART_ARC
(19,20),0.0952965 # DEPENDENCYPART_ARC
(19,22),-0.929284 # DEPENDENCYPART_ARC
(19,23),-0.760475 # DEPENDENCYPART_ARC
(19,28),-0.765078 # DEPENDENCYPART_ARC
(21,22),-0.787943 # DEPENDENCYPART_ARC
(21,23),-0.778753 # DEPENDENCYPART_ARC
(21,26),-0.653922 # DEPENDENCYPART_ARC
(22,18),-0.861965 # DEPENDENCYPART_ARC
(22,19),-1.24994 # DEPENDENCYPART_ARC
(22,20),-0.41997 # DEPENDENCYPART_ARC
(22,21),0.185672 # DEPENDENCYPART_ARC
(23,11),-2.03895 # DEPENDENCYPART_ARC
(23,13),-0.924694 # DEPENDENCYPART_ARC
(23,14),-3.02959 # DEPENDENCYPART_ARC
(23,16),-0.390476 # DEPENDENCYPART_ARC
(23,17),-0.246898 # DEPENDENCYPART_ARC
(23,18),1.07917 # DEPENDENCYPART_ARC
(23,19),-1.2351 # DEPENDENCYPART_ARC
(23,20),0.0589084 # DEPENDENCYPART_ARC
(23,21),1.14798 # DEPENDENCYPART_ARC
(23,22),3.35557 # DEPENDENCYPART_ARC
(23,27),-1.09521 # DEPENDENCYPART_ARC
(23,28),-1.23824 # DEPENDENCYPART_ARC
(24,1),1.79189 # DEPENDENCYPART_ARC
(24,2),-0.416151 # DEPENDENCYPART_ARC
(24,4),-1.13753 # DEPENDENCYPART_ARC
(24,5),-0.319818 # DEPENDENCYPART_ARC
(24,6),-2.86159 # DEPENDENCYPART_ARC
(24,8),-1.22706 # DEPENDENCYPART_ARC
(24,9),0.394009 # DEPENDENCYPART_ARC
(24,11),-0.302812 # DEPENDENCYPART_ARC
(24,12),0.277662 # DEPENDENCYPART_ARC
(24,13),-2.17094 # DEPENDENCYPART_ARC
(24,14),0.0970795 # DEPENDENCYPART_ARC
(24,15),-0.955469 # DEPENDENCYPART_ARC
(24,16),0.915069 # DEPENDENCYPART_ARC
(24,17),0.624112 # DEPENDENCYPART_ARC
(24,18),-0.848812 # DEPENDENCYPART_ARC
(24,19),0.411363 # DEPENDENCYPART_ARC
(24,20),0.890254 # DEPENDENCYPART_ARC
(24,21),1.24222 # DEPENDENCYPART_ARC
(24,22),0.614428 # DEPENDENCYPART_ARC
(24,23),2.2168 # DEPENDENCYPART_ARC
(24,25),2.48037 # DEPENDENCYPART_ARC
(24,26),0.811939 # DEPENDENCYPART_ARC
(24,27),0.321969 # DEPENDENCYPART_ARC
(24,28),0.755968 # DEPENDENCYPART_ARC
(24,29),1.52551 # DEPENDENCYPART_ARC
(25,22),-0.715999 # DEPENDENCYPART_ARC
(25,23),-0.560419 # DEPENDENCYPART_ARC
(26,1),1.04086 # DEPENDENCYPART_ARC
(26,9),-0.0179476 # DEPENDENCYPART_ARC
(26,13),-1.62514 # DEPENDENCYPART_ARC
(26,15),-0.11111 # DEPENDENCYPART_ARC
(26,16),0.716377 # DEPENDENCYPART_ARC
(26,17),0.292178 # DEPENDENCYPART_ARC
(26,19),-1.23363 # DEPENDENCYPART_ARC
(26,20),0.656496 # DEPENDENCYPART_ARC
(26,21),-1.27464 # DEPENDENCYPART_ARC
(26,22),-0.523115 # DEPENDENCYPART_ARC
(26,23),-0.828301 # DEPENDENCYPART_ARC
(26,24),1.02006 # DEPENDENCYPART_ARC
(26,27),-0.52491 # DEPENDENCYPART_ARC
(26,28),-0.421093 # DEPENDENCYPART_ARC
(26,29),1.07837 # DEPENDENCYPART_ARC
(27,15),-0.393819 # DEPENDENCYPART_ARC
(27,17),-0.21084 # DEPENDENCYPART_ARC
(27,23),-0.456636 # DEPENDENCYPART_ARC
(27,24),0.177415 # DEPENDENCYPART_ARC
(27,26),0.529665 # DEPENDENCYPART_ARC
(27,29),0.416476 # DEPENDENCYPART_ARC
(28,15),-0.0984481 # DEPENDENCYPART_ARC
(28,17),0.245308 # DEPENDENCYPART_ARC
(28,19),-0.620201 # DEPENDENCYPART_ARC
(28,22),-0.0916202 # DEPENDENCYPART_ARC
(28,23),-0.0426279 # DEPENDENCYPART_ARC
(28,26),0.615476 # DEPENDENCYPART_ARC
(28,27),1.34355 # DEPENDENCYPART_ARC
(28,29),1.13127 # DEPENDENCYPART_ARC
