# _root_ Egymillió forint körüli összeget zsákmányolt az a férfi , aki péntek délben kirabolta a főváros XI. kerületében , a Bartók_Béla_úton lévő egyik postahivatalt .
#goldHeads=2,3,4,5,0,8,8,5,5,13,12,13,6,15,17,17,21,21,20,21,23,23,13,5,
#predictedHeads=2,3,4,5,0,8,8,5,5,13,12,13,6,15,17,17,13,13,20,21,23,23,13,5,
(0,1),-1.37286 # DEPENDENCYPART_ARC
(0,2),-2.17315 # DEPENDENCYPART_ARC
(0,3),-2.36096 # DEPENDENCYPART_ARC
(0,4),-3.29607 # DEPENDENCYPART_ARC
(0,5),-1.14077 # DEPENDENCYPART_ARC
(0,6),-3.75883 # DEPENDENCYPART_ARC
(0,8),-3.84111 # DEPENDENCYPART_ARC
(0,13),-1.91861 # DEPENDENCYPART_ARC
(1,2),-0.405904 # DEPENDENCYPART_ARC
(1,3),-0.782463 # DEPENDENCYPART_ARC
(1,4),-1.84535 # DEPENDENCYPART_ARC
(1,5),-0.86043 # DEPENDENCYPART_ARC
(1,8),-1.44093 # DEPENDENCYPART_ARC
(1,9),-0.663707 # DEPENDENCYPART_ARC
(1,11),-1.63771 # DEPENDENCYPART_ARC
(1,13),-1.22706 # DEPENDENCYPART_ARC
(1,24),0.296079 # DEPENDENCYPART_ARC
(2,1),2.88526 # DEPENDENCYPART_ARC
(2,4),-0.679479 # DEPENDENCYPART_ARC
(2,5),-0.529839 # DEPENDENCYPART_ARC
(2,8),-1.08688 # DEPENDENCYPART_ARC
(2,9),-0.175263 # DEPENDENCYPART_ARC
(2,13),-0.779563 # DEPENDENCYPART_ARC
(2,24),1.19029 # DEPENDENCYPART_ARC
(3,1),0.63848 # DEPENDENCYPART_ARC
(3,2),2.42965 # DEPENDENCYPART_ARC
(3,13),-0.991855 # DEPENDENCYPART_ARC
(4,1),0.72492 # DEPENDENCYPART_ARC
(4,2),1.40632 # DEPENDENCYPART_ARC
(4,3),3.28722 # DEPENDENCYPART_ARC
(4,5),-0.791131 # DEPENDENCYPART_ARC
