# _root_ Újabb háromórás várakozás , mire befutnak a tejkonzervek , s végre útnak indulhatunk Albánia felé .
#goldHeads=3,3,10,3,6,3,8,6,10,0,13,13,10,15,13,10,
#predictedHeads=3,3,6,6,6,10,8,6,10,0,13,13,10,15,13,10,
(0,1),-2.22378 # DEPENDENCYPART_ARC
(0,3),-3.08117 # DEPENDENCYPART_ARC
(0,5),-2.66754 # DEPENDENCYPART_ARC
(0,6),-1.93159 # DEPENDENCYPART_ARC
(0,10),0.574221 # DEPENDENCYPART_ARC
(0,11),-2.94024 # DEPENDENCYPART_ARC
(0,13),-2.22031 # DEPENDENCYPART_ARC
(0,15),-3.61306 # DEPENDENCYPART_ARC
(1,2),-0.954291 # DEPENDENCYPART_ARC
(1,3),-0.693299 # DEPENDENCYPART_ARC
(1,4),-0.581387 # DEPENDENCYPART_ARC
(1,6),-1.04613 # DEPENDENCYPART_ARC
(1,8),-2.13607 # DEPENDENCYPART_ARC
(1,9),-0.858183 # DEPENDENCYPART_ARC
(1,10),-1.24132 # DEPENDENCYPART_ARC
(1,13),-1.89614 # DEPENDENCYPART_ARC
(1,16),-0.242584 # DEPENDENCYPART_ARC
(2,1),1.42314 # DEPENDENCYPART_ARC
(2,4),-0.68312 # DEPENDENCYPART_ARC
(2,6),-1.14857 # DEPENDENCYPART_ARC
(3,1),2.37739 # DEPENDENCYPART_ARC
(3,2),3.54695 # DEPENDENCYPART_ARC
(3,4),0.0414237 # DEPENDENCYPART_ARC
(3,6),-0.204375 # DEPENDENCYPART_ARC
(3,8),-1.34793 # DEPENDENCYPART_ARC
(3,9),-0.400595 # DEPENDENCYPART_ARC
(3,10),-0.570444 # DEPENDENCYPART_ARC
(3,11),-0.780927 # DEPENDENCYPART_ARC
(3,13),-1.05559 # DEPENDENCYPART_ARC
(3,15),-1.08235 # DEPENDENCYPART_ARC
(3,16),0.204699 # DEPENDENCYPART_ARC
(5,3),-0.542146 # DEPENDENCYPART_ARC
(5,4),0.128587 # DEPENDENCYPART_ARC
(5,6),0.371277 # DEPENDENCYPART_ARC
(5,8),-0.624576 # DEPENDENCYPART_ARC
(5,9),-0.335285 # DEPENDENCYPART_ARC
(5,12),-1.72197 # DEPENDENCYPART_ARC
(5,13),-0.507467 # DEPENDENCYPART_ARC
(5,15),-0.399334 # DEPENDENCYPART_ARC
(5,16),-0.0515974 # DEPENDENCYPART_ARC
(6,1),-0.699057 # DEPENDENCYPART_ARC
(6,2),-0.823161 # DEPENDENCYPART_ARC
(6,3),-0.0623801 # DEPENDENCYPART_ARC
(6,4),0.766059 # DEPENDENCYPART_ARC
(6,5),2.27783 # DEPENDENCYPART_ARC
(6,7),-0.802919 # DEPENDENCYPART_ARC
(6,8),2.40018 # DEPENDENCYPART_ARC
(6,9),1.12529 # DEPENDENCYPART_ARC
(6,10),0.390395 # DEPENDENCYPART_ARC
(6,11),-0.329777 # DEPENDENCYPART_ARC
(6,12),-1.18382 # DEPENDENCYPART_ARC
(6,13),0.247442 # DEPENDENCYPART_ARC
(6,14),-1.86623 # DEPENDENCYPART_ARC
(6,15),-0.0829508 # DEPENDENCYPART_ARC
(6,16),1.54603 # DEPENDENCYPART_ARC
(8,1),-2.32854 # DEPENDENCYPART_ARC
