# _root_ — Ha bármilyen módon tudomásunkra jutott , hogy egy elhunyt nem járul hozzá szervei átültetéséhez , eddig sem nyúltunk a tetemhez .
#goldHeads=19,19,4,6,6,19,6,6,10,12,12,6,12,15,12,19,19,19,0,21,19,19,
#predictedHeads=2,19,4,6,6,0,6,6,10,12,12,6,12,15,12,12,19,19,12,21,19,6,
(0,2),-1.69334 # DEPENDENCYPART_ARC
(0,4),-3.10794 # DEPENDENCYPART_ARC
(0,5),-3.4743 # DEPENDENCYPART_ARC
(0,6),-1.0825 # DEPENDENCYPART_ARC
(0,8),-1.64188 # DEPENDENCYPART_ARC
(0,11),-2.51147 # DEPENDENCYPART_ARC
(0,12),-1.81395 # DEPENDENCYPART_ARC
(0,13),-2.8131 # DEPENDENCYPART_ARC
(0,17),-2.72893 # DEPENDENCYPART_ARC
(0,19),-1.96513 # DEPENDENCYPART_ARC
(2,1),0.833821 # DEPENDENCYPART_ARC
(2,4),-1.12413 # DEPENDENCYPART_ARC
(2,5),-1.5992 # DEPENDENCYPART_ARC
(2,6),0.0074045 # DEPENDENCYPART_ARC
(2,7),-0.536787 # DEPENDENCYPART_ARC
(2,8),0.129806 # DEPENDENCYPART_ARC
(2,10),-2.00682 # DEPENDENCYPART_ARC
(2,12),-0.964435 # DEPENDENCYPART_ARC
(2,14),-1.24878 # DEPENDENCYPART_ARC
(2,16),-0.136344 # DEPENDENCYPART_ARC
(2,19),-0.938478 # DEPENDENCYPART_ARC
(2,21),-2.30098 # DEPENDENCYPART_ARC
(2,22),0.922066 # DEPENDENCYPART_ARC
(4,1),-0.406507 # DEPENDENCYPART_ARC
(4,2),-0.685919 # DEPENDENCYPART_ARC
(4,3),2.05849 # DEPENDENCYPART_ARC
(4,5),-1.10023 # DEPENDENCYPART_ARC
(5,1),-0.0977334 # DEPENDENCYPART_ARC
(5,2),-0.409274 # DEPENDENCYPART_ARC
(5,3),1.10689 # DEPENDENCYPART_ARC
(5,4),-0.77927 # DEPENDENCYPART_ARC
(5,7),-0.611489 # DEPENDENCYPART_ARC
(5,12),-2.04709 # DEPENDENCYPART_ARC
(5,19),-2.45459 # DEPENDENCYPART_ARC
(5,22),-0.0223863 # DEPENDENCYPART_ARC
(6,1),0.682816 # DEPENDENCYPART_ARC
(6,2),0.524754 # DEPENDENCYPART_ARC
(6,3),1.31128 # DEPENDENCYPART_ARC
(6,4),2.87229 # DEPENDENCYPART_ARC
(6,5),4.14606 # DEPENDENCYPART_ARC
(6,7),1.88082 # DEPENDENCYPART_ARC
(6,8),2.79554 # DEPENDENCYPART_ARC
(6,10),-0.691258 # DEPENDENCYPART_ARC
(6,11),0.370241 # DEPENDENCYPART_ARC
(6,12),1.24156 # DEPENDENCYPART_ARC
(6,13),0.350129 # DEPENDENCYPART_ARC
(6,14),-1.44902 # DEPENDENCYPART_ARC
(6,15),-0.099645 # DEPENDENCYPART_ARC
(6,16),0.716336 # DEPENDENCYPART_ARC
(6,17),-0.929175 # DEPENDENCYPART_ARC
(6,18),-0.505152 # DEPENDENCYPART_ARC
(6,19),0.423485 # DEPENDENCYPART_ARC
(6,21),-1.52196 # DEPENDENCYPART_ARC
(6,22),2.59487 # DEPENDENCYPART_ARC
(8,1),0.65539 # DEPENDENCYPART_ARC
(8,2),0.454225 # DEPENDENCYPART_ARC
(8,4),0.105572 # DEPENDENCYPART_ARC
(8,5),0.0738664 # DEPENDENCYPART_ARC
(8,6),0.172993 # DEPENDENCYPART_ARC
(8,7),1.0823 # DEPENDENCYPART_ARC
(8,10),-0.701582 # DEPENDENCYPART_ARC
(8,12),1.01034 # DEPENDENCYPART_ARC
(8,13),-0.225321 # DEPENDENCYPART_ARC
(8,14),-0.832166 # DEPENDENCYPART_ARC
(8,15),-1.2588 # DEPENDENCYPART_ARC
(8,16),0.454333 # DEPENDENCYPART_ARC
(8,19),0.499925 # DEPENDENCYPART_ARC
(8,21),-2.2686 # DEPENDENCYPART_ARC
(8,22),2.04273 # DEPENDENCYPART_ARC
(10,3),-1.39542 # DEPENDENCYPART_ARC
(10,6),-1.31813 # DEPENDENCYPART_ARC
(10,7),-0.721287 # DEPENDENCYPART_ARC
(10,8),-1.06255 # DEPENDENCYPART_ARC
(10,9),2.96238 # DEPENDENCYPART_ARC
(10,15),-1.63327 # DEPENDENCYPART_ARC
(11,1),-0.818622 # DEPENDENCYPART_ARC
(11,4),-1.25773 # DEPENDENCYPART_ARC
(11,6),-0.632367 # DEPENDENCYPART_ARC
(11,7),-0.373429 # DEPENDENCYPART_ARC
(11,8),-0.850827 # DEPENDENCYPART_ARC
(11,10),0.0491018 # DEPENDENCYPART_ARC
(11,14),-1.15041 # DEPENDENCYPART_ARC
(11,15),-0.870723 # DEPENDENCYPART_ARC
(11,16),-0.57534 # DEPENDENCYPART_ARC
(11,19),-1.26837 # DEPENDENCYPART_ARC
(11,21),-1.55483 # DEPENDENCYPART_ARC
(11,22),-0.257078 # DEPENDENCYPART_ARC
(12,1),0.586689 # DEPENDENCYPART_ARC
(12,2),0.510885 # DEPENDENCYPART_ARC
(12,3),-0.691826 # DEPENDENCYPART_ARC
(12,4),0.669783 # DEPENDENCYPART_ARC
(12,5),1.2551 # DEPENDENCYPART_ARC
(12,6),-0.271447 # DEPENDENCYPART_ARC
(12,7),0.831697 # DEPENDENCYPART_ARC
(12,8),0.168784 # DEPENDENCYPART_ARC
(12,9),-0.172153 # DEPENDENCYPART_ARC
(12,10),2.66176 # DEPENDENCYPART_ARC
(12,11),3.08977 # DEPENDENCYPART_ARC
(12,13),2.50652 # DEPENDENCYPART_ARC
(12,14),1.92688 # DEPENDENCYPART_ARC
(12,15),2.58957 # DEPENDENCYPART_ARC
(12,16),1.5167 # DEPENDENCYPART_ARC
(12,17),0.314957 # DEPENDENCYPART_ARC
(12,18),0.553679 # DEPENDENCYPART_ARC
(12,19),1.39579 # DEPENDENCYPART_ARC
(12,20),-1.13376 # DEPENDENCYPART_ARC
(12,21),0.169128 # DEPENDENCYPART_ARC
(12,22),1.88387 # DEPENDENCYPART_ARC
(13,1),-0.466112 # DEPENDENCYPART_ARC
(13,2),0.0466343 # DEPENDENCYPART_ARC
(13,4),-1.18184 # DEPENDENCYPART_ARC
(13,6),-0.833287 # DEPENDENCYPART_ARC
(13,7),-0.590784 # DEPENDENCYPART_ARC
(13,8),-0.792203 # DEPENDENCYPART_ARC
(13,10),-0.399741 # DEPENDENCYPART_ARC
(13,11),-0.0725285 # DEPENDENCYPART_ARC
(13,12),0.145941 # DEPENDENCYPART_ARC
(13,14),-0.441628 # DEPENDENCYPART_ARC
(13,15),-0.181706 # DEPENDENCYPART_ARC
(13,16),0.00534643 # DEPENDENCYPART_ARC
(13,21),-1.68723 # DEPENDENCYPART_ARC
(14,2),-0.963064 # DEPENDENCYPART_ARC
(14,9),-1.12062 # DEPENDENCYPART_ARC
(14,10),0.00502819 # DEPENDENCYPART_ARC
(14,11),-0.0578792 # DEPENDENCYPART_ARC
(14,12),-1.63146 # DEPENDENCYPART_ARC
(14,13),0.908031 # DEPENDENCYPART_ARC
(14,15),-1.36478 # DEPENDENCYPART_ARC
(14,17),-0.913895 # DEPENDENCYPART_ARC
(14,19),-0.877489 # DEPENDENCYPART_ARC
(15,2),-0.793994 # DEPENDENCYPART_ARC
(15,4),-2.65976 # DEPENDENCYPART_ARC
(15,6),-2.7855 # DEPENDENCYPART_ARC
(15,7),-0.753138 # DEPENDENCYPART_ARC
(15,8),-0.932936 # DEPENDENCYPART_ARC
(15,9),-0.422144 # DEPENDENCYPART_ARC
(15,10),-0.0224415 # DEPENDENCYPART_ARC
(15,11),-0.00620544 # DEPENDENCYPART_ARC
(15,12),-2.01472 # DEPENDENCYPART_ARC
(15,13),0.662181 # DEPENDENCYPART_ARC
(15,14),3.43455 # DEPENDENCYPART_ARC
(15,16),0.0391855 # DEPENDENCYPART_ARC
(15,17),-0.835183 # DEPENDENCYPART_ARC
(15,19),-1.30923 # DEPENDENCYPART_ARC
(15,21),-2.48211 # DEPENDENCYPART_ARC
(15,22),-0.0171685 # DEPENDENCYPART_ARC
(17,6),-0.597558 # DEPENDENCYPART_ARC
(17,8),-0.732505 # DEPENDENCYPART_ARC
(17,12),-0.337496 # DEPENDENCYPART_ARC
(17,14),-0.509706 # DEPENDENCYPART_ARC
(17,15),-0.847779 # DEPENDENCYPART_ARC
(17,16),-0.262824 # DEPENDENCYPART_ARC
(17,19),-0.173337 # DEPENDENCYPART_ARC
(17,21),-1.09037 # DEPENDENCYPART_ARC
(17,22),-0.376813 # DEPENDENCYPART_ARC
(18,1),-0.233855 # DEPENDENCYPART_ARC
(18,10),-1.24449 # DEPENDENCYPART_ARC
(18,11),-0.736223 # DEPENDENCYPART_ARC
(18,14),-0.867129 # DEPENDENCYPART_ARC
(18,15),-1.14719 # DEPENDENCYPART_ARC
(18,16),-0.758373 # DEPENDENCYPART_ARC
(18,17),0.231267 # DEPENDENCYPART_ARC
(18,21),-0.736692 # DEPENDENCYPART_ARC
(18,22),0.0554672 # DEPENDENCYPART_ARC
(19,1),0.26038 # DEPENDENCYPART_ARC
(19,2),0.894529 # DEPENDENCYPART_ARC
(19,4),0.0690073 # DEPENDENCYPART_ARC
(19,5),-0.647965 # DEPENDENCYPART_ARC
(19,6),-0.550263 # DEPENDENCYPART_ARC
(19,7),0.390929 # DEPENDENCYPART_ARC
(19,8),-0.0296366 # DEPENDENCYPART_ARC
(19,9),-1.1195 # DEPENDENCYPART_ARC
(19,10),-0.255701 # DEPENDENCYPART_ARC
(19,11),0.170535 # DEPENDENCYPART_ARC
(19,12),0.0221685 # DEPENDENCYPART_ARC
(19,13),0.739066 # DEPENDENCYPART_ARC
(19,14),0.408328 # DEPENDENCYPART_ARC
(19,15),-0.321641 # DEPENDENCYPART_ARC
(19,16),1.26347 # DEPENDENCYPART_ARC
(19,17),2.23907 # DEPENDENCYPART_ARC
(19,18),2.72174 # DEPENDENCYPART_ARC
(19,20),0.251477 # DEPENDENCYPART_ARC
(19,21),3.03493 # DEPENDENCYPART_ARC
(19,22),1.72625 # DEPENDENCYPART_ARC
(21,9),-1.09109 # DEPENDENCYPART_ARC
(21,17),-1.2666 # DEPENDENCYPART_ARC
(21,18),-1.14532 # DEPENDENCYPART_ARC
(21,20),2.88605 # DEPENDENCYPART_ARC
