# _root_ Ezúttal nem a tehetetlenség , a szégyen az , ami lefogja a tollat .
#goldHeads=8,8,4,8,4,7,4,0,8,11,8,13,11,8,
#predictedHeads=2,0,4,2,8,7,8,1,8,11,8,13,11,2,
(0,1),-1.88955 # DEPENDENCYPART_ARC
(0,2),-2.13021 # DEPENDENCYPART_ARC
(0,4),-3.00463 # DEPENDENCYPART_ARC
(0,7),-3.68103 # DEPENDENCYPART_ARC
(0,8),-3.24694 # DEPENDENCYPART_ARC
(0,11),-1.45595 # DEPENDENCYPART_ARC
(1,4),-0.470816 # DEPENDENCYPART_ARC
(1,5),-0.0521813 # DEPENDENCYPART_ARC
(1,7),-1.28197 # DEPENDENCYPART_ARC
(1,8),-0.83536 # DEPENDENCYPART_ARC
(1,9),-0.10723 # DEPENDENCYPART_ARC
(1,11),-0.147329 # DEPENDENCYPART_ARC
(1,13),-2.08782 # DEPENDENCYPART_ARC
(1,14),0.944373 # DEPENDENCYPART_ARC
(2,1),0.682998 # DEPENDENCYPART_ARC
(2,4),0.312521 # DEPENDENCYPART_ARC
(2,5),0.186308 # DEPENDENCYPART_ARC
(2,7),-0.661935 # DEPENDENCYPART_ARC
(2,9),0.0611883 # DEPENDENCYPART_ARC
(2,11),-0.104524 # DEPENDENCYPART_ARC
(2,14),1.58608 # DEPENDENCYPART_ARC
(3,4),-0.444208 # DEPENDENCYPART_ARC
(3,5),-0.431306 # DEPENDENCYPART_ARC
(3,7),-1.20372 # DEPENDENCYPART_ARC
(4,1),-1.00944 # DEPENDENCYPART_ARC
(4,2),-0.667197 # DEPENDENCYPART_ARC
(4,3),2.87428 # DEPENDENCYPART_ARC
(4,5),0.0511579 # DEPENDENCYPART_ARC
(4,7),-0.852902 # DEPENDENCYPART_ARC
(4,9),-0.513689 # DEPENDENCYPART_ARC
(4,11),-0.263667 # DEPENDENCYPART_ARC
(4,13),-2.64149 # DEPENDENCYPART_ARC
(4,14),0.550284 # DEPENDENCYPART_ARC
(6,5),-0.727896 # DEPENDENCYPART_ARC
(6,9),-0.359719 # DEPENDENCYPART_ARC
(7,1),-1.5533 # DEPENDENCYPART_ARC
(7,2),-1.4028 # DEPENDENCYPART_ARC
(7,3),0.215736 # DEPENDENCYPART_ARC
(7,4),-1.67475 # DEPENDENCYPART_ARC
(7,5),-0.930549 # DEPENDENCYPART_ARC
(7,6),2.87414 # DEPENDENCYPART_ARC
(7,9),-0.0995087 # DEPENDENCYPART_ARC
(7,11),0.114506 # DEPENDENCYPART_ARC
(7,13),-2.17749 # DEPENDENCYPART_ARC
(7,14),0.516819 # DEPENDENCYPART_ARC
(8,4),-0.350377 # DEPENDENCYPART_ARC
(8,5),0.491953 # DEPENDENCYPART_ARC
(8,7),0.219454 # DEPENDENCYPART_ARC
(8,9),0.788603 # DEPENDENCYPART_ARC
(8,10),-0.344609 # DEPENDENCYPART_ARC
(8,11),1.18404 # DEPENDENCYPART_ARC
(8,13),-0.518213 # DEPENDENCYPART_ARC
(8,14),1.14648 # DEPENDENCYPART_ARC
(10,13),-0.398257 # DEPENDENCYPART_ARC
(11,1),-0.298279 # DEPENDENCYPART_ARC
(11,2),0.00950726 # DEPENDENCYPART_ARC
(11,3),-2.32227 # DEPENDENCYPART_ARC
(11,4),-1.57089 # DEPENDENCYPART_ARC
(11,5),0.011024 # DEPENDENCYPART_ARC
(11,6),-2.28153 # DEPENDENCYPART_ARC
(11,7),0.0547297 # DEPENDENCYPART_ARC
(11,8),-0.772103 # DEPENDENCYPART_ARC
(11,9),0.328343 # DEPENDENCYPART_ARC
(11,10),2.35342 # DEPENDENCYPART_ARC
(11,12),-1.25009 # DEPENDENCYPART_ARC
(11,13),2.4156 # DEPENDENCYPART_ARC
(11,14),1.35523 # DEPENDENCYPART_ARC
(13,2),-2.16129 # DEPENDENCYPART_ARC
(13,4),-3.99591 # DEPENDENCYPART_ARC
(13,5),-2.55134 # DEPENDENCYPART_ARC
(13,6),-1.48407 # DEPENDENCYPART_ARC
(13,7),-3.31195 # DEPENDENCYPART_ARC
(13,8),-1.89404 # DEPENDENCYPART_ARC
(13,9),-1.87687 # DEPENDENCYPART_ARC
(13,10),-1.77445 # DEPENDENCYPART_ARC
(13,11),-1.21837 # DEPENDENCYPART_ARC
(13,12),2.61115 # DEPENDENCYPART_ARC
(13,14),-0.860629 # DEPENDENCYPART_ARC
