# _root_ A Kreml 234 szobáját egy 180_millió dolláros megrendelés keretében rekordidő , nyolc hónap alatt varázsolta újjá , s ezért magától Jelcintől vehetett át kitüntetést .
#goldHeads=2,4,4,15,8,7,8,9,15,14,14,13,14,15,18,15,18,0,22,22,22,18,22,22,18,
#predictedHeads=2,4,4,15,8,7,8,9,15,15,15,13,14,15,18,15,18,0,22,21,22,18,22,22,18,
(0,15),-1.3104 # DEPENDENCYPART_ARC
(0,16),-3.43852 # DEPENDENCYPART_ARC
(0,18),0.272239 # DEPENDENCYPART_ARC
(0,19),-3.93814 # DEPENDENCYPART_ARC
(0,20),-4.48116 # DEPENDENCYPART_ARC
(0,22),-2.08057 # DEPENDENCYPART_ARC
(2,1),2.29702 # DEPENDENCYPART_ARC
(2,3),-0.0498459 # DEPENDENCYPART_ARC
(2,4),-0.391012 # DEPENDENCYPART_ARC
(2,9),-0.719435 # DEPENDENCYPART_ARC
(2,10),0.113492 # DEPENDENCYPART_ARC
(2,11),0.698737 # DEPENDENCYPART_ARC
(2,12),-0.241395 # DEPENDENCYPART_ARC
(2,22),-0.774091 # DEPENDENCYPART_ARC
(2,25),0.994712 # DEPENDENCYPART_ARC
(3,1),-0.0441113 # DEPENDENCYPART_ARC
(3,2),0.0551607 # DEPENDENCYPART_ARC
(3,25),-0.0422604 # DEPENDENCYPART_ARC
(4,1),0.684573 # DEPENDENCYPART_ARC
(4,2),2.54871 # DEPENDENCYPART_ARC
(4,3),2.88569 # DEPENDENCYPART_ARC
(4,6),-0.567908 # DEPENDENCYPART_ARC
(4,7),-0.490022 # DEPENDENCYPART_ARC
(4,8),-0.434736 # DEPENDENCYPART_ARC
(4,9),-0.880588 # DEPENDENCYPART_ARC
(4,10),-0.523251 # DEPENDENCYPART_ARC
(4,11),0.409285 # DEPENDENCYPART_ARC
(4,12),-0.691244 # DEPENDENCYPART_ARC
(4,13),-0.757039 # DEPENDENCYPART_ARC
(4,14),-0.313104 # DEPENDENCYPART_ARC
(4,15),-0.847954 # DEPENDENCYPART_ARC
(4,17),-0.0858114 # DEPENDENCYPART_ARC
(4,18),-0.0764566 # DEPENDENCYPART_ARC
(4,22),-0.744772 # DEPENDENCYPART_ARC
(4,25),1.09919 # DEPENDENCYPART_ARC
(5,7),0.466572 # DEPENDENCYPART_ARC
(6,4),-1.96379 # DEPENDENCYPART_ARC
(6,12),-1.4603 # DEPENDENCYPART_ARC
(6,25),-0.270526 # DEPENDENCYPART_ARC
(7,1),-0.238213 # DEPENDENCYPART_ARC
(7,2),-0.674759 # DEPENDENCYPART_ARC
(7,3),0.465325 # DEPENDENCYPART_ARC
(7,4),-0.15795 # DEPENDENCYPART_ARC
(7,5),0.577151 # DEPENDENCYPART_ARC
(7,6),2.52087 # DEPENDENCYPART_ARC
(8,1),0.411947 # DEPENDENCYPART_ARC
(8,2),-0.0778314 # DEPENDENCYPART_ARC
(8,3),-0.0944293 # DEPENDENCYPART_ARC
(8,4),-3.59915 # DEPENDENCYPART_ARC
(8,5),1.91684 # DEPENDENCYPART_ARC
(8,6),1.4414 # DEPENDENCYPART_ARC
(8,7),3.49086 # DEPENDENCYPART_ARC
(9,1),-0.906703 # DEPENDENCYPART_ARC
(9,2),-0.305011 # DEPENDENCYPART_ARC
(9,3),-0.689368 # DEPENDENCYPART_ARC
(9,4),-3.80516 # DEPENDENCYPART_ARC
(9,5),0.736719 # DEPENDENCYPART_ARC
(9,6),0.133395 # DEPENDENCYPART_ARC
(9,7),1.72942 # DEPENDENCYPART_ARC
(9,8),3.68068 # DEPENDENCYPART_ARC
(9,10),-0.675013 # DEPENDENCYPART_ARC
(10,1),-0.412221 # DEPENDENCYPART_ARC
(10,2),-0.950217 # DEPENDENCYPART_ARC
(10,3),-0.704056 # DEPENDENCYPART_ARC
(10,4),-4.55747 # DEPENDENCYPART_ARC
(10,5),1.16071 # DEPENDENCYPART_ARC
(10,6),-0.132398 # DEPENDENCYPART_ARC
(10,7),1.01664 # DEPENDENCYPART_ARC
(10,8),0.882697 # DEPENDENCYPART_ARC
(10,9),0.244735 # DEPENDENCYPART_ARC
(10,11),0.794328 # DEPENDENCYPART_ARC
(10,12),-0.460147 # DEPENDENCYPART_ARC
(10,13),-0.00899788 # DEPENDENCYPART_ARC
(10,14),0.20038 # DEPENDENCYPART_ARC
(10,17),0.0600975 # DEPENDENCYPART_ARC
(10,22),-0.303709 # DEPENDENCYPART_ARC
(10,25),1.33003 # DEPENDENCYPART_ARC
(12,8),-1.15692 # DEPENDENCYPART_ARC
(12,9),-1.47164 # DEPENDENCYPART_ARC
(12,10),-0.76273 # DEPENDENCYPART_ARC
(12,11),-0.0731976 # DEPENDENCYPART_ARC
(12,17),-0.583977 # DEPENDENCYPART_ARC
(12,21),-2.41228 # DEPENDENCYPART_ARC
(12,22),-1.50304 # DEPENDENCYPART_ARC
(12,24),-2.6192 # DEPENDENCYPART_ARC
(12,25),-0.51889 # DEPENDENCYPART_ARC
(13,1),-0.0470377 # DEPENDENCYPART_ARC
(13,2),-0.665188 # DEPENDENCYPART_ARC
(13,3),-0.277551 # DEPENDENCYPART_ARC
(13,5),1.06994 # DEPENDENCYPART_ARC
(13,6),0.0583806 # DEPENDENCYPART_ARC
(13,7),0.71416 # DEPENDENCYPART_ARC
(13,8),-0.430345 # DEPENDENCYPART_ARC
(13,9),-2.1852 # DEPENDENCYPART_ARC
(13,10),-0.642512 # DEPENDENCYPART_ARC
(13,11),0.360173 # DEPENDENCYPART_ARC
(13,12),2.87594 # DEPENDENCYPART_ARC
(14,4),-1.77888 # DEPENDENCYPART_ARC
(14,6),-0.555971 # DEPENDENCYPART_ARC
(14,7),-0.618202 # DEPENDENCYPART_ARC
(14,8),-1.27541 # DEPENDENCYPART_ARC
(14,9),-0.545648 # DEPENDENCYPART_ARC
(14,10),0.361476 # DEPENDENCYPART_ARC
(14,11),0.613007 # DEPENDENCYPART_ARC
(14,12),0.717512 # DEPENDENCYPART_ARC
(14,13),3.84072 # DEPENDENCYPART_ARC
(14,17),-0.119823 # DEPENDENCYPART_ARC
(14,18),-0.359021 # DEPENDENCYPART_ARC
(14,21),-1.03631 # DEPENDENCYPART_ARC
(14,22),-0.21992 # DEPENDENCYPART_ARC
(14,24),-1.06793 # DEPENDENCYPART_ARC
(15,1),-0.671521 # DEPENDENCYPART_ARC
(15,2),1.16429 # DEPENDENCYPART_ARC
(15,3),-0.0597445 # DEPENDENCYPART_ARC
(15,4),1.6663 # DEPENDENCYPART_ARC
(15,5),-0.256712 # DEPENDENCYPART_ARC
(15,6),0.0123749 # DEPENDENCYPART_ARC
(15,7),-0.304045 # DEPENDENCYPART_ARC
(15,8),1.34688 # DEPENDENCYPART_ARC
(15,9),1.48508 # DEPENDENCYPART_ARC
(15,10),0.979854 # DEPENDENCYPART_ARC
(15,11),1.51314 # DEPENDENCYPART_ARC
(15,12),0.871575 # DEPENDENCYPART_ARC
(15,13),1.43874 # DEPENDENCYPART_ARC
(15,14),2.92035 # DEPENDENCYPART_ARC
(15,16),2.74719 # DEPENDENCYPART_ARC
(15,17),1.71423 # DEPENDENCYPART_ARC
(15,18),0.721462 # DEPENDENCYPART_ARC
(15,19),-0.361053 # DEPENDENCYPART_ARC
(15,20),-0.963727 # DEPENDENCYPART_ARC
(15,21),-1.20415 # DEPENDENCYPART_ARC
(15,22),0.817345 # DEPENDENCYPART_ARC
(15,23),0.681635 # DEPENDENCYPART_ARC
(15,24),-0.227426 # DEPENDENCYPART_ARC
(15,25),2.09663 # DEPENDENCYPART_ARC
(16,8),-0.716397 # DEPENDENCYPART_ARC
(16,9),-0.786808 # DEPENDENCYPART_ARC
(16,10),-1.13792 # DEPENDENCYPART_ARC
(16,11),-1.10291 # DEPENDENCYPART_ARC
(16,13),-0.215495 # DEPENDENCYPART_ARC
(16,14),-0.298952 # DEPENDENCYPART_ARC
(16,15),0.223999 # DEPENDENCYPART_ARC
