# _root_ Az internacionális BEK-döntő első mérkőzésén a magyar bajnok 4:2-re győzött , s ha csak ezt tekintjük , a Marczibányi téri visszavágó nem ígér különösebb izgalmakat .
#goldHeads=3,3,5,5,10,8,8,10,10,12,12,0,23,16,16,23,23,21,20,21,23,23,12,25,23,12,
#predictedHeads=3,3,5,5,10,8,8,10,10,12,12,0,23,16,16,12,16,19,21,21,23,23,15,25,23,12,
(0,4),-2.6696 # DEPENDENCYPART_ARC
(0,9),-2.92177 # DEPENDENCYPART_ARC
(0,10),-0.910686 # DEPENDENCYPART_ARC
(0,12),0.113573 # DEPENDENCYPART_ARC
(0,13),-2.33028 # DEPENDENCYPART_ARC
(0,15),-4.57753 # DEPENDENCYPART_ARC
(0,16),-1.54691 # DEPENDENCYPART_ARC
(0,23),-2.71599 # DEPENDENCYPART_ARC
(1,2),-0.0419752 # DEPENDENCYPART_ARC
(1,4),-0.503326 # DEPENDENCYPART_ARC
(1,5),-1.23038 # DEPENDENCYPART_ARC
(2,1),0.458199 # DEPENDENCYPART_ARC
(3,1),2.44186 # DEPENDENCYPART_ARC
(3,2),3.35325 # DEPENDENCYPART_ARC
(3,5),-1.12278 # DEPENDENCYPART_ARC
(3,8),-0.406301 # DEPENDENCYPART_ARC
(3,9),-1.09213 # DEPENDENCYPART_ARC
(3,11),-0.190959 # DEPENDENCYPART_ARC
(3,26),0.617739 # DEPENDENCYPART_ARC
(4,3),-0.405145 # DEPENDENCYPART_ARC
(4,8),-1.19239 # DEPENDENCYPART_ARC
(5,1),0.0162009 # DEPENDENCYPART_ARC
(5,2),0.746429 # DEPENDENCYPART_ARC
(5,3),2.07109 # DEPENDENCYPART_ARC
(5,4),3.40516 # DEPENDENCYPART_ARC
(5,6),-1.50452 # DEPENDENCYPART_ARC
(5,7),-1.19696 # DEPENDENCYPART_ARC
(5,8),-0.49727 # DEPENDENCYPART_ARC
(5,9),-1.23683 # DEPENDENCYPART_ARC
(5,11),-0.334525 # DEPENDENCYPART_ARC
(5,16),-2.35585 # DEPENDENCYPART_ARC
(5,23),-1.7091 # DEPENDENCYPART_ARC
(5,26),0.500469 # DEPENDENCYPART_ARC
(6,7),0.216418 # DEPENDENCYPART_ARC
(7,3),-3.01067 # DEPENDENCYPART_ARC
(7,5),-1.84397 # DEPENDENCYPART_ARC
(7,6),-0.382165 # DEPENDENCYPART_ARC
(8,1),-0.00519998 # DEPENDENCYPART_ARC
(8,2),0.278643 # DEPENDENCYPART_ARC
(8,3),-1.25913 # DEPENDENCYPART_ARC
(8,4),0.353513 # DEPENDENCYPART_ARC
(8,5),-2.8834 # DEPENDENCYPART_ARC
(8,6),2.33209 # DEPENDENCYPART_ARC
(8,7),3.22684 # DEPENDENCYPART_ARC
(8,9),-1.2358 # DEPENDENCYPART_ARC
(9,2),0.201137 # DEPENDENCYPART_ARC
(9,7),0.641627 # DEPENDENCYPART_ARC
(9,8),0.84249 # DEPENDENCYPART_ARC
(9,10),0.0968627 # DEPENDENCYPART_ARC
(9,11),0.163578 # DEPENDENCYPART_ARC
(9,16),0.112311 # DEPENDENCYPART_ARC
(9,17),0.164649 # DEPENDENCYPART_ARC
(10,1),-0.69456 # DEPENDENCYPART_ARC
(10,2),-0.359017 # DEPENDENCYPART_ARC
(10,3),1.42819 # DEPENDENCYPART_ARC
(10,4),-0.152431 # DEPENDENCYPART_ARC
(10,5),2.51798 # DEPENDENCYPART_ARC
(10,6),-0.792426 # DEPENDENCYPART_ARC
(10,7),0.32977 # DEPENDENCYPART_ARC
(10,8),2.27058 # DEPENDENCYPART_ARC
(10,9),1.58945 # DEPENDENCYPART_ARC
(10,11),1.82077 # DEPENDENCYPART_ARC
(10,12),0.913467 # DEPENDENCYPART_ARC
(10,13),1.03035 # DEPENDENCYPART_ARC
(10,14),-0.135547 # DEPENDENCYPART_ARC
(10,15),-1.23132 # DEPENDENCYPART_ARC
(10,16),0.688385 # DEPENDENCYPART_ARC
(10,17),0.176579 # DEPENDENCYPART_ARC
(10,18),-1.18377 # DEPENDENCYPART_ARC
(10,20),-1.33423 # DEPENDENCYPART_ARC
(10,22),-0.617696 # DEPENDENCYPART_ARC
(10,23),0.0100812 # DEPENDENCYPART_ARC
(10,24),-1.23396 # DEPENDENCYPART_ARC
(10,25),-2.82411 # DEPENDENCYPART_ARC
(10,26),2.37604 # DEPENDENCYPART_ARC
(12,2),-0.777149 # DEPENDENCYPART_ARC
(12,3),-0.657334 # DEPENDENCYPART_ARC
(12,5),-0.870543 # DEPENDENCYPART_ARC
(12,7),-0.621947 # DEPENDENCYPART_ARC
(12,8),-0.626761 # DEPENDENCYPART_ARC
(12,10),1.87142 # DEPENDENCYPART_ARC
(12,11),2.35418 # DEPENDENCYPART_ARC
(12,13),0.215552 # DEPENDENCYPART_ARC
(12,14),-0.403329 # DEPENDENCYPART_ARC
(12,15),-1.34289 # DEPENDENCYPART_ARC
(12,16),0.968807 # DEPENDENCYPART_ARC
(12,17),0.0211892 # DEPENDENCYPART_ARC
(12,19),-1.36934 # DEPENDENCYPART_ARC
(12,20),-0.672932 # DEPENDENCYPART_ARC
(12,21),-1.3928 # DEPENDENCYPART_ARC
(12,22),-0.662304 # DEPENDENCYPART_ARC
(12,23),0.545643 # DEPENDENCYPART_ARC
(12,24),-0.705801 # DEPENDENCYPART_ARC
(12,25),-1.34804 # DEPENDENCYPART_ARC
(12,26),3.04996 # DEPENDENCYPART_ARC
(13,3),-0.639019 # DEPENDENCYPART_ARC
(13,5),-0.643427 # DEPENDENCYPART_ARC
(13,8),-0.575011 # DEPENDENCYPART_ARC
(13,10),-1.0097 # DEPENDENCYPART_ARC
(13,11),0.581348 # DEPENDENCYPART_ARC
(13,12),0.852492 # DEPENDENCYPART_ARC
(13,14),-0.298967 # DEPENDENCYPART_ARC
(13,16),0.0500377 # DEPENDENCYPART_ARC
(13,17),0.590034 # DEPENDENCYPART_ARC
(13,21),-0.874491 # DEPENDENCYPART_ARC
(13,23),-0.571825 # DEPENDENCYPART_ARC
(13,24),-0.584855 # DEPENDENCYPART_ARC
(13,25),-0.989467 # DEPENDENCYPART_ARC
(13,26),1.11419 # DEPENDENCYPART_ARC
(14,10),-1.65112 # DEPENDENCYPART_ARC
(14,12),-1.64717 # DEPENDENCYPART_ARC
(14,13),-0.880086 # DEPENDENCYPART_ARC
(14,19),-1.86859 # DEPENDENCYPART_ARC
(14,21),-1.96365 # DEPENDENCYPART_ARC
(14,23),-1.34424 # DEPENDENCYPART_ARC
(14,25),-2.18437 # DEPENDENCYPART_ARC
(14,26),-0.580686 # DEPENDENCYPART_ARC
(15,8),-1.28224 # DEPENDENCYPART_ARC
(15,10),-0.517859 # DEPENDENCYPART_ARC
