# _root_ Magához inti Miradia_Gosit , a 13 éves , síró kislányt .
#goldHeads=2,0,2,2,10,7,10,10,10,2,2,
#predictedHeads=2,0,2,2,10,7,10,10,10,2,2,
(0,2),-0.119889 # DEPENDENCYPART_ARC
(0,3),-2.34804 # DEPENDENCYPART_ARC
(0,6),-2.61715 # DEPENDENCYPART_ARC
(0,7),-2.82228 # DEPENDENCYPART_ARC
(0,10),-4.87696 # DEPENDENCYPART_ARC
(2,1),3.0215 # DEPENDENCYPART_ARC
(2,3),2.44946 # DEPENDENCYPART_ARC
(2,4),1.45892 # DEPENDENCYPART_ARC
(2,5),-1.03915 # DEPENDENCYPART_ARC
(2,6),-0.429941 # DEPENDENCYPART_ARC
(2,7),-0.66318 # DEPENDENCYPART_ARC
(2,8),0.59983 # DEPENDENCYPART_ARC
(2,9),-1.33181 # DEPENDENCYPART_ARC
(2,10),0.691746 # DEPENDENCYPART_ARC
(2,11),1.91194 # DEPENDENCYPART_ARC
(3,2),0.537406 # DEPENDENCYPART_ARC
(3,4),0.195924 # DEPENDENCYPART_ARC
(3,6),-0.601202 # DEPENDENCYPART_ARC
(3,7),-0.243086 # DEPENDENCYPART_ARC
(3,8),-0.130722 # DEPENDENCYPART_ARC
(3,9),-0.657269 # DEPENDENCYPART_ARC
(3,10),-1.29913 # DEPENDENCYPART_ARC
(3,11),0.259642 # DEPENDENCYPART_ARC
(5,4),-0.307624 # DEPENDENCYPART_ARC
(5,7),0.211362 # DEPENDENCYPART_ARC
(5,8),0.195798 # DEPENDENCYPART_ARC
(5,9),-0.0679448 # DEPENDENCYPART_ARC
(5,10),-0.834295 # DEPENDENCYPART_ARC
(6,2),-1.65484 # DEPENDENCYPART_ARC
(6,3),-0.962375 # DEPENDENCYPART_ARC
(6,4),-1.13427 # DEPENDENCYPART_ARC
(6,5),0.155822 # DEPENDENCYPART_ARC
(6,7),-0.57184 # DEPENDENCYPART_ARC
(6,8),-0.482619 # DEPENDENCYPART_ARC
(6,10),-1.89386 # DEPENDENCYPART_ARC
(6,11),-0.840043 # DEPENDENCYPART_ARC
(7,1),-0.535148 # DEPENDENCYPART_ARC
(7,2),-0.599468 # DEPENDENCYPART_ARC
(7,3),-1.16811 # DEPENDENCYPART_ARC
(7,4),0.328323 # DEPENDENCYPART_ARC
(7,5),0.360902 # DEPENDENCYPART_ARC
(7,6),2.48663 # DEPENDENCYPART_ARC
(7,8),0.212828 # DEPENDENCYPART_ARC
(7,9),-0.859606 # DEPENDENCYPART_ARC
(7,10),-1.32537 # DEPENDENCYPART_ARC
(7,11),-0.331237 # DEPENDENCYPART_ARC
(9,2),-0.924827 # DEPENDENCYPART_ARC
(9,3),-2.01888 # DEPENDENCYPART_ARC
(9,4),-0.414425 # DEPENDENCYPART_ARC
(9,5),-0.492227 # DEPENDENCYPART_ARC
(9,6),0.288509 # DEPENDENCYPART_ARC
(9,7),0.0228274 # DEPENDENCYPART_ARC
(9,8),0.64707 # DEPENDENCYPART_ARC
(9,10),-0.910523 # DEPENDENCYPART_ARC
(9,11),-0.996895 # DEPENDENCYPART_ARC
(10,2),-1.02249 # DEPENDENCYPART_ARC
(10,3),0.0198393 # DEPENDENCYPART_ARC
(10,4),-0.0978434 # DEPENDENCYPART_ARC
(10,5),1.66538 # DEPENDENCYPART_ARC
(10,6),0.917373 # DEPENDENCYPART_ARC
(10,7),2.04243 # DEPENDENCYPART_ARC
(10,8),1.99828 # DEPENDENCYPART_ARC
(10,9),3.29641 # DEPENDENCYPART_ARC
(10,11),-0.0725822 # DEPENDENCYPART_ARC
