# _root_ A kávéházak és a passzázsokból kialakított bevásárlóudvarok zsúfolásig tömve vannak , mintha csak azt szeretnék bizonyítani , hogy itt Argentínához és Uruguayhoz hasonlóan igen is erős középosztály van .
#goldHeads=2,9,9,5,6,7,9,9,10,0,10,10,16,16,10,15,15,15,28,23,23,23,28,25,28,27,28,14,10,
#predictedHeads=2,10,10,5,6,7,10,10,10,0,10,10,16,16,10,15,15,15,28,28,28,23,28,25,26,27,28,14,15,
(0,3),-2.66852 # DEPENDENCYPART_ARC
(0,9),-2.75576 # DEPENDENCYPART_ARC
(0,10),-1.52126 # DEPENDENCYPART_ARC
(0,12),-0.810742 # DEPENDENCYPART_ARC
(0,14),-4.31643 # DEPENDENCYPART_ARC
(0,15),-1.21881 # DEPENDENCYPART_ARC
(0,16),-2.25132 # DEPENDENCYPART_ARC
(0,18),-3.46647 # DEPENDENCYPART_ARC
(0,19),-1.82976 # DEPENDENCYPART_ARC
(0,21),-2.13942 # DEPENDENCYPART_ARC
(0,24),-3.20767 # DEPENDENCYPART_ARC
(0,25),-4.38403 # DEPENDENCYPART_ARC
(0,28),-2.57331 # DEPENDENCYPART_ARC
(2,1),2.63539 # DEPENDENCYPART_ARC
(3,1),-0.654539 # DEPENDENCYPART_ARC
(3,2),0.452841 # DEPENDENCYPART_ARC
(3,4),-0.398639 # DEPENDENCYPART_ARC
(3,5),0.512325 # DEPENDENCYPART_ARC
(3,6),-0.227838 # DEPENDENCYPART_ARC
(3,7),0.353001 # DEPENDENCYPART_ARC
(3,8),-0.583515 # DEPENDENCYPART_ARC
(3,10),0.169251 # DEPENDENCYPART_ARC
(3,11),0.0784246 # DEPENDENCYPART_ARC
(3,13),-0.57902 # DEPENDENCYPART_ARC
(3,14),-1.22936 # DEPENDENCYPART_ARC
(3,15),-0.618007 # DEPENDENCYPART_ARC
(3,16),-0.946969 # DEPENDENCYPART_ARC
(3,17),-0.20125 # DEPENDENCYPART_ARC
(3,28),-2.31437 # DEPENDENCYPART_ARC
(3,29),0.818885 # DEPENDENCYPART_ARC
(5,1),-0.290878 # DEPENDENCYPART_ARC
(5,2),-1.69123 # DEPENDENCYPART_ARC
(5,4),2.84547 # DEPENDENCYPART_ARC
(6,1),-0.649898 # DEPENDENCYPART_ARC
(6,2),-0.174568 # DEPENDENCYPART_ARC
(6,3),0.694475 # DEPENDENCYPART_ARC
(6,4),0.45403 # DEPENDENCYPART_ARC
(6,5),2.88447 # DEPENDENCYPART_ARC
(7,1),0.364237 # DEPENDENCYPART_ARC
(7,2),-0.897081 # DEPENDENCYPART_ARC
(7,3),0.398896 # DEPENDENCYPART_ARC
(7,4),1.87591 # DEPENDENCYPART_ARC
(7,5),-0.0274587 # DEPENDENCYPART_ARC
(7,6),3.42474 # DEPENDENCYPART_ARC
(7,8),-1.35975 # DEPENDENCYPART_ARC
(8,1),-0.525988 # DEPENDENCYPART_ARC
(8,2),-2.23123 # DEPENDENCYPART_ARC
(8,3),0.560034 # DEPENDENCYPART_ARC
(8,4),0.795973 # DEPENDENCYPART_ARC
(8,5),-3.03051 # DEPENDENCYPART_ARC
(8,6),1.67615 # DEPENDENCYPART_ARC
(8,7),0.636378 # DEPENDENCYPART_ARC
(8,9),-0.899436 # DEPENDENCYPART_ARC
(9,2),0.338639 # DEPENDENCYPART_ARC
(9,3),0.574503 # DEPENDENCYPART_ARC
(9,5),0.586265 # DEPENDENCYPART_ARC
(9,6),0.63007 # DEPENDENCYPART_ARC
(9,7),0.617517 # DEPENDENCYPART_ARC
(9,8),1.22773 # DEPENDENCYPART_ARC
(9,11),0.114643 # DEPENDENCYPART_ARC
(9,12),0.169368 # DEPENDENCYPART_ARC
(9,13),-0.0861234 # DEPENDENCYPART_ARC
(9,14),-0.290958 # DEPENDENCYPART_ARC
(9,15),-0.183242 # DEPENDENCYPART_ARC
(9,16),-0.0624641 # DEPENDENCYPART_ARC
(9,29),-0.0307228 # DEPENDENCYPART_ARC
(10,1),-0.87892 # DEPENDENCYPART_ARC
(10,2),1.88339 # DEPENDENCYPART_ARC
(10,3),1.67886 # DEPENDENCYPART_ARC
(10,4),-0.885587 # DEPENDENCYPART_ARC
(10,5),1.92019 # DEPENDENCYPART_ARC
(10,6),0.0481702 # DEPENDENCYPART_ARC
(10,7),1.95771 # DEPENDENCYPART_ARC
(10,8),2.18561 # DEPENDENCYPART_ARC
(10,9),2.95762 # DEPENDENCYPART_ARC
(10,11),2.04865 # DEPENDENCYPART_ARC
(10,12),2.60917 # DEPENDENCYPART_ARC
(10,13),0.130667 # DEPENDENCYPART_ARC
(10,14),-1.07018 # DEPENDENCYPART_ARC
(10,15),1.51005 # DEPENDENCYPART_ARC
(10,16),1.45966 # DEPENDENCYPART_ARC
(10,17),0.849946 # DEPENDENCYPART_ARC
(10,18),1.27381 # DEPENDENCYPART_ARC
(10,19),-0.670577 # DEPENDENCYPART_ARC
(10,21),-0.0234761 # DEPENDENCYPART_ARC
(10,23),0.289931 # DEPENDENCYPART_ARC
(10,24),-0.28294 # DEPENDENCYPART_ARC
(10,25),-0.565946 # DEPENDENCYPART_ARC
(10,26),-0.953477 # DEPENDENCYPART_ARC
(10,28),-0.344601 # DEPENDENCYPART_ARC
(10,29),2.24589 # DEPENDENCYPART_ARC
(12,3),-0.420541 # DEPENDENCYPART_ARC
(12,5),-0.361764 # DEPENDENCYPART_ARC
(12,6),-0.0186056 # DEPENDENCYPART_ARC
(12,7),-0.400002 # DEPENDENCYPART_ARC
(12,8),-0.114737 # DEPENDENCYPART_ARC
(12,10),-0.437086 # DEPENDENCYPART_ARC
(12,11),1.33795 # DEPENDENCYPART_ARC
(12,13),-0.60907 # DEPENDENCYPART_ARC
