# _root_ A Gellért_Szálló igazgatója szerint Budapesten és környékén olyan sok panzió épült , hogy azokban hét-nyolcszor annyi férőhely van , mint a Gellértben .
#goldHeads=2,3,4,11,11,11,11,10,10,11,0,11,11,18,17,17,18,11,18,18,22,14,11,
#predictedHeads=2,3,4,11,11,11,11,11,10,11,0,11,11,18,18,17,18,11,18,18,22,18,11,
(0,4),-3.19936 # DEPENDENCYPART_ARC
(0,6),-2.5547 # DEPENDENCYPART_ARC
(0,8),-2.70709 # DEPENDENCYPART_ARC
(0,9),-3.25746 # DEPENDENCYPART_ARC
(0,10),-3.26343 # DEPENDENCYPART_ARC
(0,11),-0.841591 # DEPENDENCYPART_ARC
(0,13),-1.8797 # DEPENDENCYPART_ARC
(0,14),-4.14476 # DEPENDENCYPART_ARC
(0,15),-3.48225 # DEPENDENCYPART_ARC
(0,16),-3.63484 # DEPENDENCYPART_ARC
(0,18),-1.8266 # DEPENDENCYPART_ARC
(0,20),-2.99528 # DEPENDENCYPART_ARC
(2,1),2.055 # DEPENDENCYPART_ARC
(2,20),-0.937022 # DEPENDENCYPART_ARC
(3,1),0.672666 # DEPENDENCYPART_ARC
(3,2),3.63783 # DEPENDENCYPART_ARC
(3,5),-1.86552 # DEPENDENCYPART_ARC
(4,1),0.00489724 # DEPENDENCYPART_ARC
(4,2),1.0235 # DEPENDENCYPART_ARC
(4,3),4.11475 # DEPENDENCYPART_ARC
(4,5),-0.292086 # DEPENDENCYPART_ARC
(4,6),-0.717618 # DEPENDENCYPART_ARC
(4,7),-0.678072 # DEPENDENCYPART_ARC
(4,9),-0.855673 # DEPENDENCYPART_ARC
(5,1),0.214652 # DEPENDENCYPART_ARC
(5,2),-0.98806 # DEPENDENCYPART_ARC
(5,3),-0.97499 # DEPENDENCYPART_ARC
(5,4),0.0260948 # DEPENDENCYPART_ARC
(5,7),-1.59463 # DEPENDENCYPART_ARC
(5,9),-1.0457 # DEPENDENCYPART_ARC
(5,13),-1.02918 # DEPENDENCYPART_ARC
(5,14),-2.24515 # DEPENDENCYPART_ARC
(5,16),-2.53797 # DEPENDENCYPART_ARC
(5,20),-1.06703 # DEPENDENCYPART_ARC
(6,1),-1.19478 # DEPENDENCYPART_ARC
(6,2),-0.324837 # DEPENDENCYPART_ARC
(6,3),-0.456114 # DEPENDENCYPART_ARC
(6,4),-0.407297 # DEPENDENCYPART_ARC
(6,5),-0.140802 # DEPENDENCYPART_ARC
(6,7),-0.670329 # DEPENDENCYPART_ARC
(6,8),-0.578496 # DEPENDENCYPART_ARC
(6,9),-0.775694 # DEPENDENCYPART_ARC
(6,10),-0.7539 # DEPENDENCYPART_ARC
(6,11),0.252421 # DEPENDENCYPART_ARC
(6,12),0.0691921 # DEPENDENCYPART_ARC
(6,13),-0.173847 # DEPENDENCYPART_ARC
(6,14),-1.45278 # DEPENDENCYPART_ARC
(6,15),-1.02389 # DEPENDENCYPART_ARC
(6,16),-1.41711 # DEPENDENCYPART_ARC
(6,18),-1.33063 # DEPENDENCYPART_ARC
(6,19),-0.496437 # DEPENDENCYPART_ARC
(6,20),-1.06973 # DEPENDENCYPART_ARC
(6,22),-2.63736 # DEPENDENCYPART_ARC
(6,23),0.881875 # DEPENDENCYPART_ARC
(7,1),-0.312547 # DEPENDENCYPART_ARC
(7,2),1.1677 # DEPENDENCYPART_ARC
(7,3),0.203547 # DEPENDENCYPART_ARC
(7,4),-0.210708 # DEPENDENCYPART_ARC
(7,5),-0.212328 # DEPENDENCYPART_ARC
(7,6),1.09984 # DEPENDENCYPART_ARC
(7,8),-0.436523 # DEPENDENCYPART_ARC
(7,9),-0.666301 # DEPENDENCYPART_ARC
(7,10),-0.622995 # DEPENDENCYPART_ARC
(7,15),-1.06118 # DEPENDENCYPART_ARC
(7,18),-1.08418 # DEPENDENCYPART_ARC
(8,6),-0.111868 # DEPENDENCYPART_ARC
(8,7),0.121816 # DEPENDENCYPART_ARC
(8,10),-0.0269423 # DEPENDENCYPART_ARC
(8,11),0.177583 # DEPENDENCYPART_ARC
(8,12),-0.223769 # DEPENDENCYPART_ARC
(8,14),-0.574186 # DEPENDENCYPART_ARC
(8,16),-0.613793 # DEPENDENCYPART_ARC
(8,17),-1.46217 # DEPENDENCYPART_ARC
(8,18),-0.443254 # DEPENDENCYPART_ARC
(8,19),-0.27977 # DEPENDENCYPART_ARC
(8,23),-0.0856566 # DEPENDENCYPART_ARC
(9,5),-1.35585 # DEPENDENCYPART_ARC
(9,7),-1.46545 # DEPENDENCYPART_ARC
(9,8),0.388412 # DEPENDENCYPART_ARC
(9,12),-0.510314 # DEPENDENCYPART_ARC
(9,15),-1.29497 # DEPENDENCYPART_ARC
